*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 267    47   174      5     62    160     1    25   137  0.256  0.382  0.408  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 268    48   173      5     62    160     1    25   137  0.249  0.378  0.407  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 269    49   172      5     62    160     1    25   137  0.242  0.375  0.406  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 270    50   172      5     62    160     1    25   137  0.237  0.372  0.405  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 271    51   171      5     62    160     1    25   137  0.232  0.370  0.404  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 272    52   170      5     62    160     1    25   137  0.227  0.368  0.403  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 273    53   170      5     62    160     1    25   137  0.223  0.365  0.402  0.428  0.416  0.375  0.254  0.338  0.000  0.000
 1990 274    54   169      5     62    160     1    25   137  0.219  0.364  0.401  0.428  0.416  0.375  0.254  0.338  0.000  0.000
 1990 275    55   169      5     62    160     1    25   137  0.216  0.362  0.400  0.428  0.416  0.375  0.254  0.338  0.000  0.000
 1990 276    56   168      5     62    160     1    25   137  0.212  0.360  0.399  0.427  0.416  0.375  0.254  0.338  0.000  0.000
 1990 277    57   168      5     62    160     1    25   137  0.209  0.359  0.399  0.427  0.416  0.375  0.254  0.338  0.000  0.000
 1990 278    58   167      5     62    160     1    25   137  0.206  0.357  0.398  0.427  0.416  0.375  0.254  0.338  0.000  0.000
 1990 279    59   189      5     63    184     1    25   137  0.415  0.437  0.417  0.431  0.417  0.375  0.254  0.339  0.000  0.000
 1990 280    60   192      5     63    189     1    25   137  0.404  0.438  0.425  0.437  0.420  0.376  0.254  0.340  0.000  0.000
 1990 281    61   215     17     65    228     1    25   137  0.424  0.438  0.444  0.461  0.449  0.396  0.265  0.349  0.000  0.000
 1990 282    62   193     17     82    228     1    25   137  0.323  0.419  0.426  0.444  0.431  0.385  0.258  0.343  0.000  0.000
 1990 283    63   182     17     90    228     1    25   137  0.283  0.404  0.417  0.435  0.422  0.379  0.255  0.339  0.000  0.000
 1990 284    64   177     17     94    228     1    25   137  0.270  0.395  0.412  0.431  0.417  0.376  0.254  0.338  0.000  0.000
 1990 285    65   206     21     95    266     1    25   137  0.382  0.438  0.444  0.461  0.448  0.384  0.258  0.342  0.000  0.000
 1990 286    66   189     21    108    266     1    25   137  0.308  0.418  0.426  0.444  0.431  0.379  0.255  0.339  0.000  0.000
 1990 287    67   181     21    115    266     1    25   137  0.286  0.403  0.417  0.435  0.422  0.376  0.254  0.338  0.000  0.000
 1990 288    68   178     21    117    266     1    25   137  0.276  0.396  0.412  0.431  0.417  0.376  0.254  0.338  0.000  0.000
 1990 289    69   176     21    118    266     1    25   137  0.269  0.390  0.410  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 290    70   175     21    118    266     1    25   137  0.264  0.385  0.409  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 291    71   174     21    118    266     1    25   137  0.260  0.381  0.408  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 292    72   178     21    118    274     1    25   137  0.338  0.382  0.407  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 293    73   180     21    118    279     1    25   137  0.374  0.389  0.406  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 294    74   178     21    118    279     1    25   137  0.335  0.389  0.406  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 295    75   177     21    118    279     1    25   137  0.317  0.386  0.405  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 296    76   176     21    118    279     1    25   137  0.305  0.382  0.405  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 297    77   175     21    118    279     1    25   137  0.296  0.379  0.404  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1990 298    78   174     21    118    279     1    25   137  0.288  0.376  0.403  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1990 299    79   173     21    118    279     1    25   137  0.282  0.373  0.402  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1990 300    80   173     21    118    279     1    25   137  0.277  0.371  0.402  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1990 301    81   172     21    118    279     1    25   137  0.272  0.368  0.401  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1990 302    82   174     21    118    285     1    25   137  0.328  0.366  0.400  0.427  0.415  0.376  0.254  0.338  0.000  0.000
 1990 303    83   188     21    118    306     1    25   137  0.313  0.437  0.431  0.439  0.420  0.376  0.254  0.339  0.000  0.000
 1990 304    84   180     21    124    306     1    25   137  0.265  0.413  0.420  0.433  0.417  0.375  0.254  0.339  0.000  0.000
 1990 305    85   180     21    124    308     1    25   137  0.288  0.399  0.416  0.434  0.418  0.375  0.254  0.339  0.000  0.000
 1990 306    86   176     21    126    308     1    25   137  0.271  0.393  0.411  0.430  0.416  0.375  0.254  0.338  0.000  0.000
 1990 307    87   175     21    126    308     1    25   137  0.260  0.387  0.409  0.429  0.416  0.375  0.254  0.338  0.000  0.000
 1990 308    88   203     21    127    341     1    25   137  0.369  0.433  0.443  0.461  0.444  0.382  0.257  0.342  0.000  0.000
 1990 309    89   187     21    139    341     1    25   137  0.290  0.414  0.426  0.444  0.428  0.377  0.255  0.339  0.000  0.000
 1990 310    90   180     21    144    341     1    25   137  0.268  0.400  0.417  0.435  0.421  0.375  0.255  0.339  0.000  0.000
 1990 311    91   180     21    145    343     1    25   137  0.291  0.393  0.412  0.433  0.420  0.376  0.255  0.340  0.000  0.000
 1990 312    92   177     21    146    343     1    25   137  0.276  0.388  0.409  0.430  0.417  0.376  0.255  0.338  0.000  0.000
 1990 313    93   175     21    147    343     1    25   137  0.266  0.384  0.409  0.429  0.415  0.376  0.255  0.338  0.000  0.000
 1990 314    94   174     21    147    343     1    25   137  0.259  0.380  0.408  0.429  0.415  0.376  0.255  0.338  0.000  0.000
 1990 315    95   173     21    147    343     1    25   137  0.253  0.376  0.407  0.429  0.415  0.376  0.255  0.338  0.000  0.000
 1990 316    96   172     21    147    343     1    25   137  0.248  0.373  0.406  0.428  0.415  0.376  0.255  0.338  0.000  0.000
 1990 317    97   172     21    147    343     1    25   137  0.243  0.371  0.405  0.428  0.415  0.376  0.255  0.338  0.000  0.000
 1990 318    98   172     21    147    345     1    25   137  0.259  0.368  0.404  0.428  0.415  0.376  0.255  0.338  0.000  0.000
 1990 319    99   172     21    147    345     1    25   137  0.254  0.366  0.403  0.428  0.415  0.376  0.255  0.338  0.000  0.000
 1990 320   100   202     39    148    398     1    25   137  0.398  0.440  0.443  0.461  0.433  0.379  0.257  0.341  0.000  0.000
 1990 321   101   186     39    158    398     1    25   137  0.302  0.420  0.426  0.444  0.423  0.376  0.254  0.339  0.000  0.000
 1990 322   102   180     39    163    398     1    25   137  0.281  0.404  0.417  0.435  0.418  0.375  0.254  0.339  0.000  0.000
 1990 323   103   177     39    165    398     1    25   137  0.272  0.396  0.412  0.431  0.415  0.375  0.254  0.339  0.000  0.000
