*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 1990 243    23    20    0.6      0   0.01      5      2      0      8      7      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  201.5   0.04   0.04    0.7   0.82   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       0       1
 1990 244    24    21    0.6      0   0.01      5      2      0      9      7      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  201.1   0.04   0.04    0.7   0.82   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       0       1
 1990 245    25    22    0.6      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.6   0.04   0.04    0.7   0.83   0.04   0.07   0.06   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 246    26    23    0.6      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.6   0.04   0.04    0.6   0.83   0.04   0.07   0.06   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 247    27    24    0.7      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.6   0.04   0.04    0.6   0.83   0.04   0.07   0.06   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 248    28    25    0.7      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.7   0.04   0.04    0.5   0.83   0.04   0.07   0.06   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 249    29    26    0.8      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.7   0.05   0.05    0.5   0.83   0.04   0.07   0.06   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 250    30    27    0.8      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  101.7   0.05   0.05    0.5   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 251    31    28    0.9      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.8   0.05   0.05    0.4   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
 1990 252    32    29    1.0      0   0.00      0      2      0      9      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  101.8   0.05   0.05    0.4   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       1
