*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:22:11

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0028 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 191     0    0.0   10.0   11.1    7.6   15.2   0.48   13.9    6.3    9.7   11.0    6.3    9.7   11.0   86.4    330
 1990 192     1    0.0   10.1   11.1   13.7   27.4   0.06   18.2    5.2   11.1   13.3    5.2   11.1   13.3   86.4    330
 1990 193     2    0.0   10.1   11.1   13.8   27.6   0.06   17.6    3.9   10.1   12.4    3.9   10.1   12.4   86.4    330
 1990 194     3    0.0   10.1   11.1   13.4   26.8   0.09   19.7    6.0   12.2   14.5    6.0   12.2   14.5   86.4    330
 1990 195     4    0.0   10.1   11.1    9.4   18.8   0.36   19.2    7.8   13.0   14.9    7.8   13.0   14.9   86.4    330
 1990 196     5    0.0   10.1   11.1    6.9   13.8   0.53   20.0   10.1   14.6   16.3   10.1   14.6   16.3   86.4    330
 1990 197     6    7.8   10.1   11.1    5.5   11.0   0.63   15.7   10.1   12.6   13.6   10.1   12.6   13.6   86.4    330
 1990 198     7    0.0   10.1   11.2    8.4   16.8   0.44   16.0    9.4   12.4   13.5    9.4   12.4   13.5   86.4    330
 1990 199     8    6.9   10.2   11.2   12.0   24.0   0.20   11.2    1.6    6.0    7.6    1.6    6.0    7.6   86.4    330
 1990 200     9    0.0   10.2   11.2   12.3   24.6   0.19    8.9   -2.0    2.9    4.8   -2.0    2.9    4.8   86.4    330
 1990 201    10    0.0   10.2   11.2   11.7   23.4   0.23    8.1   -1.2    3.0    4.6   -1.2    3.0    4.6   86.4    330
 1990 202    11    0.0   10.2   11.2    9.4   18.8   0.39    8.6   -1.0    3.4    5.0   -1.0    3.4    5.0   86.4    330
 1990 203    12    0.0   10.2   11.2   12.5   25.0   0.19    8.8   -5.6    1.0    3.5   -5.6    1.0    3.5   86.4    330
 1990 204    13    0.0   10.3   11.3   12.5   25.0   0.20   13.9   -0.7    5.9    8.5   -0.7    5.9    8.5   86.4    330
 1990 205    14    0.0   10.3   11.3   14.0   28.0   0.10   14.7    2.1    7.8   10.0    2.1    7.8   10.0   86.4    330
 1990 206    15    0.0   10.3   11.3   14.7   29.4   0.07    6.5   -1.0    2.4    3.7   -1.0    2.4    3.7   86.4    330
 1990 207    16    0.0   10.3   11.3   11.0   22.0   0.31   12.0    4.0    7.6    9.1    4.0    7.6    9.1   86.4    330
 1990 208    17    0.0   10.3   11.3   13.5   27.0   0.15   16.0    1.7    8.2   10.7    1.7    8.2   10.7   86.4    330
 1990 209    18    0.0   10.4   11.3   14.9   29.8   0.07   10.2    1.1    5.3    6.9    1.1    5.3    6.9   86.4    330
 1990 210    19    0.0   10.4   11.4   14.2   28.4   0.12   12.7   -1.1    5.2    7.7   -1.1    5.2    7.7   86.4    330
 1990 211    20    0.0   10.4   11.4   12.8   25.6   0.21   12.8   -1.0    5.3    7.8   -1.0    5.3    7.8   86.4    330
 1990 212    21    0.0   10.4   11.4   13.0   26.0   0.21   14.9   -1.9    5.8    8.8   -1.9    5.8    8.8   86.4    330
 1990 213    22    0.0   10.5   11.4   13.0   26.0   0.21   17.5    3.8   10.1   12.5    3.8   10.1   12.5   86.4    330
 1990 214    23    0.0   10.5   11.5   14.4   28.8   0.14   19.9    3.7   11.1   14.0    3.7   11.1   14.0   86.4    330
 1990 215    24    0.0   10.5   11.5   14.8   29.6   0.12   21.5    5.0   12.6   15.5    5.0   12.6   15.5   86.4    330
 1990 216    25    0.0   10.5   11.5   14.8   29.6   0.13   21.9    5.7   13.1   16.0    5.7   13.1   16.0   86.4    330
 1990 217    26    0.0   10.6   11.5   14.5   29.0   0.15   25.9   10.2   17.4   20.2   10.2   17.4   20.2   86.4    330
 1990 218    27    0.0   10.6   11.5   15.6   31.2   0.09   23.4   13.9   18.3   20.0   13.9   18.3   20.0   86.4    330
 1990 219    28    0.0   10.6   11.6   15.2   30.4   0.12   25.9   14.4   19.7   21.8   14.4   19.7   21.8   86.4    330
 1990 220    29    0.0   10.6   11.6   12.9   25.8   0.26   25.0   12.8   18.4   20.6   12.8   18.4   20.6   86.4    330
 1990 221    30    2.0   10.7   11.6   14.7   29.4   0.16   20.5   10.3   15.0   16.9   10.3   15.0   16.9   86.4    330
 1990 222    31    0.0   10.7   11.6   15.1   30.2   0.15   22.3    8.9   15.1   17.5    8.9   15.1   17.5   86.4    330
 1990 223    32    0.0   10.7   11.7   15.4   30.8   0.14   28.0   11.9   19.3   22.3   11.9   19.3   22.3   86.4    330
 1990 224    33    0.0   10.7   11.7   15.3   30.6   0.15   28.4   12.1   19.6   22.6   12.1   19.6   22.6   86.4    330
 1990 225    34    0.0   10.8   11.7   14.5   29.0   0.20   28.0   12.8   19.8   22.6   12.8   19.8   22.6   86.4    330
 1990 226    35    0.0   10.8   11.7    5.2   10.4   0.72   25.8   14.9   19.9   22.0   14.9   19.9   22.0   86.4    330
 1990 227    36   28.0   10.8   11.8    7.5   15.0   0.59   15.8   10.5   13.0   13.9   10.5   13.0   13.9   86.4    330
 1990 228    37    0.0   10.9   11.8   14.8   29.6   0.21   18.9    8.5   13.3   15.2    8.5   13.3   15.2   86.4    330
 1990 229    38    0.0   10.9   11.8   16.8   33.6   0.11   21.4    7.7   14.1   16.6    7.7   14.1   16.6   86.4    330
 1990 230    39    0.0   10.9   11.9   16.2   32.4   0.14   20.8    6.0   12.9   15.6    6.0   12.9   15.6   86.4    330
 1990 231    40    0.0   10.9   11.9   12.8   25.6   0.33   20.8   10.4   15.2   17.2   10.4   15.2   17.2   86.4    330
 1990 232    41    0.0   11.0   11.9   17.3   34.6   0.10   21.0   10.3   15.3   17.3   10.3   15.3   17.3   86.4    330
 1990 233    42    0.0   11.0   11.9   14.8   29.6   0.24   20.9    6.7   13.3   16.0    6.7   13.3   16.0   86.4    330
 1990 234    43    0.0   11.0   12.0   13.0   26.0   0.34   18.4    8.3   13.0   14.9    8.3   13.0   14.9   86.4    330
 1990 235    44    0.0   11.1   12.0   17.0   34.0   0.14   15.6    4.4    9.6   11.7    4.4    9.6   11.7   86.4    330
 1990 236    45    0.0   11.1   12.0   11.2   22.4   0.44   18.1    3.7   10.4   13.1    3.7   10.4   13.1   86.4    330
 1990 237    46    0.0   11.1   12.1   13.0   26.0   0.35   24.6    9.6   16.6   19.5    9.6   16.6   19.5   86.4    330
 1990 238    47    0.0   11.2   12.1   16.4   32.8   0.19   25.5   11.7   18.2   20.8   11.7   18.2   20.8   86.4    330
 1990 239    48   42.0   11.2   12.1    6.8   13.6   0.67   17.6    5.5   11.2   13.5    5.5   11.2   13.5   86.4    330
 1990 240    49    2.0   11.2   12.1   18.8   37.6   0.09    9.7    2.0    5.6    7.1    2.0    5.6    7.1   86.4    330
 1990 241    50    0.0   11.3   12.2   17.8   35.6   0.14   14.6   -1.2    6.2    9.2   -1.2    6.2    9.2   86.4    330
 1990 242    51    0.0   11.3   12.2   16.8   33.6   0.20   21.8    2.9   11.8   15.4    2.9   11.8   15.4   86.4    330
 1990 243    52    0.0   11.3   12.2    5.5   11.0   0.74   11.8    5.5    8.5    9.7    5.5    8.5    9.7   86.4    330
 1990 244    53    3.0   11.4   12.3   10.7   21.4   0.50   10.2    0.8    5.2    7.0    0.8    5.2    7.0   86.4    330
 1990 245    54    0.0   11.4   12.3   17.7   35.4   0.17   11.6   -2.3    4.2    6.9   -2.3    4.2    6.9   86.4    330
 1990 246    55    0.0   11.4   12.3   19.8   39.6   0.08   16.8    2.5    9.2   12.0    2.5    9.2   12.0   86.4    330
 1990 247    56    0.0   11.4   12.4    5.6   11.2   0.74   16.4    7.1   11.5   13.3    7.1   11.5   13.3   86.4    330
 1990 248    57    0.0   11.5   12.4    6.0   12.0   0.73   18.6   13.4   15.9   16.9   13.4   15.9   16.9   86.4    330
 1990 249    58    1.0   11.5   12.4    5.7   11.4   0.74   15.4   13.4   14.3   14.7   13.4   14.3   14.7   86.4    330
 1990 250    59    8.0   11.5   12.5    5.8   11.6   0.74   15.9   12.8   14.3   14.9   12.8   14.3   14.9   86.4    330
 1990 251    60   18.0   11.6   12.5    5.8   11.6   0.74   14.3   10.3   12.2   13.0   10.3   12.2   13.0   86.4    330
 1990 252    61    0.0   11.6   12.5   19.7   39.4   0.13   23.5    7.8   15.2   18.3    7.8   15.2   18.3   86.4    330
 1990 253    62    0.0   11.6   12.6   15.2   30.4   0.33   27.5   11.6   19.1   22.3   11.6   19.1   22.3   86.4    330
 1990 254    63   24.0   11.7   12.6    9.6   19.2   0.58   23.1   10.7   16.6   19.0   10.7   16.6   19.0   86.4    330
 1990 255    64    0.0   11.7   12.6   17.1   34.2   0.26   13.8    5.2    9.3   11.0    5.2    9.3   11.0   86.4    330
 1990 256    65    0.0   11.7   12.6   18.8   37.6   0.19   11.8    2.7    7.0    8.8    2.7    7.0    8.8   86.4    330
 1990 257    66    0.0   11.8   12.7   20.4   40.8   0.13   14.2    0.5    7.0    9.7    0.5    7.0    9.7   86.4    330
 1990 258    67    0.0   11.8   12.7   21.4   42.8   0.10   18.4    3.4   10.5   13.5    3.4   10.5   13.5   86.4    330
 1990 259    68    0.0   11.8   12.7   17.8   35.6   0.25   21.6    7.9   14.4   17.2    7.9   14.4   17.2   86.4    330
