*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2000 253     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 254     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 255     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 256     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 257     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 258     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 259     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 260    10     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 261    11     8    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 262    12     9    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 263    13    10    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 264    14    11    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 265    15    12    1.2    0.0    1.2   0.00   4.40    0.0    0.6    0.6    4.4   4.40   0.00    0.00    0.00
 2000 266    16    13    1.3    0.0    1.3   0.00   4.54    0.2    0.6    0.6    4.5   4.54   1.10    0.00    0.00
 2000 267    17    14    1.3    0.0    1.3   0.00   4.54    0.2    0.6    0.6    4.5   4.54   1.07    0.00    0.00
 2000 268    18    15    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.17    0.00    0.00
 2000 269    19    16    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.19    0.00    0.00
 2000 270    20    17    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.15    0.00    0.00
 2000 271    21    18    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.08    0.00    0.00
 2000 272    22    19    1.2    0.0    1.2   0.00   4.45    0.2    0.6    0.6    4.5   4.45   1.15    0.00    0.00
 2000 273    23    20    1.2    0.0    1.2   0.00   4.42    0.2    0.6    0.6    4.4   4.42   1.16    0.00    0.00
 2000 274    24    21    1.2    0.0    1.2   0.00   4.39    0.3    0.6    0.6    4.4   4.39   1.18    0.00    0.00
 2000 275    25    22    1.2    0.0    1.2   0.00   4.36    0.3    0.6    0.6    4.4   4.36   1.19    0.00    0.01
 2000 276    26    23    1.2    0.0    1.2   0.00   4.34    0.3    0.6    0.6    4.3   4.34   1.15    0.00    0.01
 2000 277    27    24    1.2    0.0    1.2   0.00   4.25    0.3    0.6    0.6    4.3   4.25   1.19    0.00    0.01
 2000 278    28    25    1.2    0.0    1.2   0.00   3.85    0.5    0.7    0.5    3.8   3.85   1.25    0.00    0.01
 2000 279    29    26    1.4    0.0    1.4   0.00   3.86    0.7    0.8    0.5    3.9   3.86   1.32    0.00    0.01
 2000 280    30    27    1.5    0.0    1.5   0.00   3.89    1.0    1.0    0.5    3.9   3.89   1.32    0.00    0.02
 2000 281    31    28    1.6    0.0    1.6   0.00   3.70    1.3    1.1    0.5    3.7   3.70   1.26    0.00    0.02
 2000 282    32    29    1.9    0.0    1.9   0.00   3.58    1.7    1.4    0.5    3.6   3.58   1.25    0.00    0.02
 2000 283    33    30    2.2    0.0    2.2   0.00   3.74    1.9    1.7    0.5    3.7   3.74   1.11    0.00    0.03
 2000 284    34    31    2.4    0.0    2.4   0.00   3.78    2.6    1.9    0.5    3.8   3.78   1.29    0.00    0.03
 2000 285    35    32    2.7    0.0    2.7   0.00   3.74    3.1    2.2    0.5    3.7   3.74   1.27    0.00    0.04
 2000 286    36    33    3.0    0.0    3.0   0.00   3.32    3.6    2.5    0.5    3.3   3.32   1.20    0.00    0.05
 2000 287    37    34    3.7    0.0    3.7   0.00   3.58    4.7    3.2    0.5    3.6   3.58   1.23    0.00    0.06
 2000 288    38    35    4.2    0.0    4.2   0.00   3.62    5.0    3.7    0.5    3.6   3.62   1.10    0.00    0.07
 2000 289    39    36    4.8    0.0    4.8   0.00   3.65    5.7    4.3    0.5    3.6   3.65   1.11    0.00    0.08
 2000 290    40    37    5.3    0.0    5.3   0.00   3.50    6.4    4.8    0.5    3.5   3.50   1.13    0.00    0.09
 2000 291    41    38    6.1    0.0    6.1   0.00   3.48    7.3    5.6    0.5    3.5   3.48   1.13    0.00    0.10
 2000 292    42    39    7.0    0.0    7.0   0.00   3.45    8.2    6.5    0.5    3.5   3.45   1.09    0.00    0.11
 2000 293    43    40    8.0    0.0    8.0   0.00   3.53    9.7    7.5    0.5    3.5   3.53   1.17    0.00    0.13
 2000 294    44    41    8.9    0.0    8.9   0.00   3.39   10.5    8.5    0.5    3.4   3.39   1.09    0.00    0.14
 2000 295    45    42   10.3    0.0   10.3   0.00   3.37   12.8    9.8    0.5    3.4   3.37   1.24    0.00    0.16
 2000 296    46    43   11.9    0.0   11.9   0.00   3.86   14.5   11.3    0.5    3.9   3.86   1.16    0.00    0.17
 2000 297    47    44   12.0    0.0   12.0   0.00   3.59   14.7   11.5    0.5    3.6   3.59   1.12    0.00    0.19
 2000 298    48    45   12.8    0.0   12.8   0.00   3.47   15.5   12.3    0.5    3.5   3.47   1.11    0.00    0.21
 2000 299    49    46   15.0    0.0   15.0   0.00   3.78   18.6   14.5    0.5    3.8   3.78   1.19    0.00    0.23
 2000 300    50    47   15.8    0.0   15.8   0.00   3.68   19.7   15.2    0.5    3.7   3.68   1.16    0.00    0.26
 2000 301    51    48   17.0    0.0   17.0   0.00   3.57   22.9   16.5    0.5    3.6   3.57   1.28    0.00    0.28
 2000 302    52    49   18.2    0.0   18.2   0.00   3.54   25.5   17.6    0.5    3.5   3.54   1.27    0.00    0.32
 2000 303    53    50   19.1    0.0   19.1   0.00   3.55   28.0   18.5    0.5    3.5   3.55   1.28    0.00    0.36
 2000 304    54    51   20.9    0.0   20.9   0.00   3.50   30.9   20.3    0.6    3.5   3.50   1.22    0.00    0.41
 2000 305    55    52   23.2    0.0   23.2   0.00   3.46   34.3   22.5    0.7    3.5   3.46   1.19    0.00    0.47
 2000 306    56    53   26.1    0.0   26.1   0.00   3.43   36.0   25.2    0.9    3.4   3.43   1.07    0.00    0.53
 2000 307    57    54   28.7    0.0   28.7   0.00   3.40   40.5   27.6    1.0    3.4   3.40   1.16    0.00    0.58
 2000 308    58    55   30.8    0.0   30.8   0.00   3.37   45.2   29.6    1.2    3.4   3.37   1.21    0.00    0.65
 2000 309    59    56   33.0    0.0   33.0   0.00   3.35   47.6   31.5    1.5    3.3   3.35   1.14    0.00    0.73
 2000 310    60    57   35.5    0.0   35.5   0.00   3.32   52.6   33.7    1.8    3.3   3.32   1.19    0.00    0.80
 2000 311    61    58   38.6    0.0   38.6   0.00   3.29   56.8   36.3    2.3    3.3   3.29   1.16    0.00    0.90
 2000 312    62    59   41.9    0.0   41.9   0.00   3.25   59.2   39.0    2.9    3.3   3.25   1.09    0.00    0.99
 2000 313    63    60   45.7    0.0   45.7   0.00   3.22   63.9   42.1    3.7    3.2   3.22   1.10    0.00    1.08
 2000 314    64    61   48.9    0.0   48.9   0.00   3.19   66.7   44.5    4.4    3.2   3.19   1.07    0.00    1.18
 2000 315    65    62   52.3    0.0   52.3   0.00   3.16   73.0   47.0    5.3    3.2   3.16   1.15    0.00    1.28
 2000 316    66    63   56.2    0.0   56.2   0.00   3.12   77.8   49.7    6.5    3.1   3.12   1.13    0.00    1.38
 2000 317    67    64   60.7    0.0   60.7   0.00   3.08   83.2   52.7    7.9    3.1   3.08   1.12    0.00    1.50
 2000 318    68    65   63.8    0.0   63.8   0.00   3.06   87.6   54.7    9.0    3.1   3.06   1.12    0.00    1.62
 2000 319    69    66   65.6    0.0   65.6   0.00   3.07   92.0   56.0    9.6    3.1   3.07   1.17    0.00    1.74
 2000 320    70    67   66.9    0.0   66.9   0.00   3.06   94.5   56.9   10.1    3.1   3.06   1.16    0.00    1.88
 2000 321    71    68   68.8    0.0   68.8   0.00   3.02   98.6   57.9   10.9    3.0   3.02   1.15    0.00    2.02
 2000 322    72    69   71.6    0.0   71.6   0.00   2.96  102.9   59.4   12.2    3.0   2.96   1.13    0.00    2.18
 2000 323    73    70   76.7    0.0   76.7   0.00   2.97  110.4   62.5   14.2    3.0   2.97   1.14    0.00    2.34
 2000 324    74    71   82.1    0.0   82.1   0.00   2.94  116.9   65.4   16.6    2.9   2.94   1.12    0.00    2.51
 2000 325    75    72   85.3    0.0   85.3   0.00   2.91  123.3   67.1   18.2    2.9   2.91   1.14    0.00    2.69
 2000 326    76    73   89.4    0.0   89.4   0.00   2.89  129.2   69.2   20.2    2.9   2.89   1.13    0.00    2.88
 2000 327    77    74   95.5    0.0   95.5   0.00   2.86  135.0   72.1   23.4    2.9   2.86   1.10    0.00    3.09
 2000 328    78    75  103.2    0.0  103.2   0.00   2.82  143.3   75.6   27.7    2.8   2.82   1.09    0.00    3.29
 2000 329    79    76  107.3    0.0  107.3   0.00   2.79  147.8   77.3   30.1    2.8   2.79   1.09    0.00    3.49
 2000 330    80    77  111.3    0.0  111.3   0.00   2.77  155.2   78.9   32.4    2.8   2.77   1.12    0.00    3.70
 2000 331    81    78  117.6    0.0  117.6   0.00   2.74  162.7   81.4   36.2    2.7   2.74   1.11    0.00    3.93
