*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 250     0     0     0     0.0   99.3   16645   76.6   22.7  16.1  15.3  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.3   1.5   1.4   1.4  1.50  1.47  1.45  0.00  0.00    0.56    1.79    0.00    0.00    0.00
 2000 251     1     0     0     0.0   99.9   16645   77.9   22.0  16.9  15.4  15.2   8.7   4.7   0.0   0.1   0.1   0.0   0.0   0.2   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    1.12    3.08    0.00    0.00    0.00
 2000 252     2     0     0     0.0  100.5   16644   79.1   21.4  17.4  15.4  15.3   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.1   1.0   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.71    4.26    0.00    0.00    0.00
 2000 253     3     0     0     0.0  101.1   16644   80.2   20.9  14.6  16.9  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0   0.1   0.9   1.4   1.3   1.3  1.51  1.37  1.32  0.00  0.00    2.34    5.43    0.00    0.00    0.00
 2000 254     4     1     1     0.1  102.6   16643   81.5   21.1   6.5  12.0  15.0  10.1   6.8   1.5   0.3   0.3   0.0   0.0   1.0   1.0   1.4   1.2   1.3  1.51  1.33  1.28  0.00  0.00    2.97    6.31    0.00    0.00    0.05
 2000 255     5     1     1     0.2  103.0   16642   82.1   20.9   7.5  11.9  14.7   9.9   6.8   1.6   0.4   0.3   0.0   0.0   0.0   1.1   1.5   1.3   1.3  1.53  1.34  1.28  0.00  0.00    3.63    7.02    0.00    0.00    0.15
 2000 256     6     1     1     0.3  103.6   16642   82.3   21.3   7.7  11.8  14.6   9.7   6.8   1.7   0.5   0.3   0.0   0.0   0.1   1.1   1.5   1.3   1.3  1.55  1.34  1.27  0.00  0.00    4.29    7.26    0.00    0.00    0.15
 2000 257     7     1     1     0.3  104.2   16641   82.8   21.4   4.8  10.7  14.5  10.3   7.5   2.0   0.6   0.4   0.0   0.0   0.1   1.0   1.6   1.3   1.3  1.57  1.34  1.26  0.00  0.00    4.90    7.80    0.00    0.00    0.18
 2000 258     8     1     1     0.4  104.6   16641   82.9   21.7   3.4   9.5  14.0  10.3   7.8   2.5   0.8   0.4   0.0   0.0   0.1   1.1   1.7   1.3   1.3  1.58  1.34  1.26  0.00  0.00    5.42    7.97    0.00    0.00    0.19
 2000 259     9     1     1     0.6  104.5   16640   82.5   22.0   3.4   9.4  13.6  10.0   7.7   2.6   0.9   0.5   0.0   0.0   0.1   1.1   1.8   1.3   1.3  1.60  1.34  1.25  0.00  0.00    5.89    8.11    0.36    0.00    0.22
 2000 260    10     1     1     0.7  104.5   16640   82.3   22.2   3.5   9.3  13.3   9.8   7.7   2.7   1.1   0.5   0.0   0.0   0.1   1.2   1.8   1.3   1.4  1.61  1.35  1.24  0.00  0.00    6.31    8.32    0.57    0.00    0.25
 2000 261    11     1     1     0.8  104.7   16639   82.5   22.2   3.7   9.3  13.2   9.7   7.6   2.7   1.1   0.6   0.0   0.0   0.1   1.1   1.8   1.4   1.4  1.63  1.35  1.24  0.00  0.00    6.71    8.67    0.69    0.00    0.27
 2000 262    12     1     1     0.8  105.0   16639   82.8   22.3   2.5   8.4  13.3  10.2   7.9   2.8   1.2   0.6   0.0   0.0   0.1   1.0   1.9   1.4   1.4  1.64  1.34  1.23  0.00  0.00    7.13    9.04    0.74    0.00    0.28
 2000 263    13     1     1     1.3  104.8   16638   82.3   22.5   1.2   5.8  11.2   9.6   8.4   3.9   1.9   0.9   0.0   0.0   0.1   1.0   1.9   1.4   1.4  1.65  1.34  1.22  0.00  0.00    7.59    9.22    1.01    0.00    0.29
 2000 264    14     1     1     1.4  104.8   16638   81.9   22.9   1.1   5.5  10.8   9.4   8.4   4.0   2.0   1.0   0.0   0.0   0.1   1.1   2.0   1.4   1.4  1.67  1.35  1.21  0.00  0.00    8.10    9.41    1.38    0.00    0.30
 2000 265    15     1     1     1.9  104.4   16637   81.3   23.2   1.1   5.4  10.5   9.1   8.2   4.0   2.1   1.1   0.0   0.0   0.1   1.2   2.1   1.4   1.4  1.68  1.35  1.21  0.00  0.00    8.64    9.62    1.75    0.00    0.30
 2000 266    16     1     1     2.2  104.5   16637   81.0   23.5   1.3   5.4  10.3   8.9   8.1   4.1   2.2   1.2   0.0   0.0   0.1   1.2   2.1   1.4   1.4  1.70  1.35  1.20  0.00  0.00    9.19    9.89    1.97    0.00    0.30
 2000 267    17     1     1     2.3  104.6   16636   81.2   23.5   1.5   5.5  10.3   8.9   8.1   4.1   2.3   1.2   0.0   0.0   0.1   1.1   2.2   1.5   1.4  1.71  1.35  1.20  0.00  0.00    9.75   10.42    2.10    0.00    0.30
 2000 268    18     1     1     2.4  105.0   16636   81.5   23.5   1.7   5.6  10.3   8.8   8.0   4.1   2.3   1.2   0.0   0.0   0.1   1.0   2.3   1.5   1.5  1.73  1.35  1.19  0.00  0.00   10.31   10.93    2.16    0.00    0.31
