*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 270    20    0.0   12.2   13.1   21.9   43.8   0.15   16.2    2.1    8.9   11.2    2.1    8.9   11.2   86.4    330
 2000 271    21    0.0   12.2   13.1   23.5   47.0   0.09   24.1    6.4   14.9   17.9    6.4   14.9   17.9   86.4    330
 2000 272    22    0.0   12.3   13.2   23.3   46.6   0.10   26.0   10.3   17.9   20.5   10.3   17.9   20.5   86.4    330
 2000 273    23    0.0   12.3   13.2   19.6   39.2   0.25   26.7   11.5   18.8   21.4   11.5   18.8   21.4   86.4    330
 2000 274    24   15.0   12.3   13.2   18.9   37.8   0.28   25.4   13.7   19.4   21.3   13.7   19.4   21.3   86.4    330
 2000 275    25    0.0   12.4   13.3   17.8   35.6   0.33   24.6   15.0   19.6   21.3   15.0   19.6   21.3   86.4    330
 2000 276    26   31.0   12.4   13.3    7.0   14.0   0.74   18.6   15.9   17.2   17.7   15.9   17.2   17.7   86.4    330
 2000 277    27    9.7   12.4   13.4   10.5   21.0   0.61   20.6   13.1   16.7   18.0   13.1   16.7   18.0   86.4    330
 2000 278    28    0.0   12.5   13.4   19.5   39.0   0.28   18.3   12.1   15.1   16.2   12.1   15.1   16.2   86.4    330
 2000 279    29    0.0   12.5   13.4   24.3   48.6   0.10   18.4    7.4   12.7   14.6    7.4   12.7   14.6   86.4    330
 2000 280    30    0.0   12.5   13.5   25.0   50.0   0.08   18.6    5.1   11.7   14.0    5.1   11.7   14.0   86.4    330
 2000 281    31    0.0   12.6   13.5   23.9   47.8   0.13   21.7    6.7   14.0   16.6    6.7   14.0   16.6   86.4    330
 2000 282    32    6.0   12.6   13.5   24.9   49.8   0.10   22.6    9.9   16.1   18.3    9.9   16.1   18.3   86.4    330
 2000 283    33   20.0   12.6   13.6    7.5   15.0   0.73   18.1   12.2   15.1   16.1   12.2   15.1   16.1   86.4    330
 2000 284    34    0.0   12.7   13.6   24.8   49.6   0.11   18.2    9.1   13.5   15.1    9.1   13.5   15.1   86.4    330
 2000 285    35    0.0   12.7   13.6   25.4   50.8   0.09   21.2    8.0   14.5   16.7    8.0   14.5   16.7   86.4    330
 2000 286    36    0.0   12.7   13.7   23.0   46.0   0.18   27.2   16.2   21.6   23.5   16.2   21.6   23.5   86.4    330
 2000 287    37    0.0   12.8   13.7   23.1   46.2   0.18   21.8   11.9   16.7   18.5   11.9   16.7   18.5   86.4    330
 2000 288    38    0.0   12.8   13.7    7.5   15.0   0.74   19.7   13.8   16.7   17.7   13.8   16.7   17.7   86.4    330
 2000 289    39    3.2   12.8   13.8    8.2   16.4   0.71   19.9   12.4   16.1   17.4   12.4   16.1   17.4   86.4    330
 2000 290    40    7.9   12.9   13.8   11.4   22.8   0.60   23.3   14.4   18.8   20.3   14.4   18.8   20.3   86.4    330
 2000 291    41    0.0   12.9   13.8   11.3   22.6   0.61   22.0   16.5   19.2   20.2   16.5   19.2   20.2   86.4    330
 2000 292    42    0.0   12.9   13.9    7.8   15.6   0.73   23.6   16.3   19.9   21.2   16.3   19.9   21.2   86.4    330
 2000 293    43   15.4   12.9   13.9   13.3   26.6   0.54   19.7   16.5   18.1   18.6   16.5   18.1   18.6   86.4    330
 2000 294    44    0.0   13.0   13.9    7.8   15.6   0.73   26.6   15.6   21.0   23.0   15.6   21.0   23.0   86.4    330
 2000 295    45    0.0   13.0   14.0   20.5   41.0   0.30   27.5   15.2   21.3   23.4   15.2   21.3   23.4   86.4    330
 2000 296    46   36.0   13.0   14.0    8.1   16.2   0.72   19.7   16.1   17.9   18.5   16.1   17.9   18.5   86.4    330
 2000 297    47    0.5   13.1   14.0    8.2   16.4   0.72   18.8   14.7   16.7   17.4   14.7   16.7   17.4   86.4    330
 2000 298    48    0.0   13.1   14.0    7.9   15.8   0.73   22.0   14.2   18.1   19.4   14.2   18.1   19.4   86.4    330
 2000 299    49   46.0   13.1   14.1   13.7   27.4   0.54   22.0   16.6   19.3   20.2   16.6   19.3   20.2   86.4    330
 2000 300    50   16.0   13.2   14.1   11.8   23.6   0.61   23.9   18.1   21.0   22.0   18.1   21.0   22.0   86.4    330
 2000 301    51    0.0   13.2   14.1   27.4   54.8   0.09   24.8   12.5   18.6   20.8   12.5   18.6   20.8   86.4    330
 2000 302    52    0.0   13.2   14.2   27.5   55.0   0.09   20.1    9.2   14.6   16.5    9.2   14.6   16.5   86.4    330
 2000 303    53    0.0   13.2   14.2   28.7   57.4   0.05   17.9    7.4   12.6   14.5    7.4   12.6   14.5   86.4    330
 2000 304    54    0.0   13.3   14.2   28.4   56.8   0.06   27.1    9.5   18.2   21.4    9.5   18.2   21.4   86.4    330
 2000 305    55    0.0   13.3   14.3   26.7   53.4   0.12   26.6   12.4   19.5   22.0   12.4   19.5   22.0   86.4    330
 2000 306    56   15.0   13.3   14.3    8.2   16.4   0.73   24.7   14.6   19.6   21.4   14.6   19.6   21.4   86.4    330
 2000 307    57    0.0   13.4   14.3   20.5   41.0   0.33   22.5   13.8   18.1   19.7   13.8   18.1   19.7   86.4    330
