*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 19, 2016; 14:29:32

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0215 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2000 231     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 232     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 233     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 234     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 235     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 236     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 237     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 238    10     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 239    11     8    1.2    0.0    1.2   0.00   4.40    0.0    0.6    0.6    4.4   4.40   0.00    0.00    0.00
 2000 240    12     9    1.3    0.0    1.3   0.00   4.55    0.2    0.6    0.6    4.6   4.55   1.09    0.00    0.00
 2000 241    13    10    1.3    0.0    1.3   0.00   4.55    0.2    0.6    0.6    4.6   4.55   1.11    0.00    0.00
 2000 242    14    11    1.3    0.0    1.3   0.00   4.55    0.2    0.6    0.6    4.6   4.55   1.10    0.00    0.00
 2000 243    15    12    1.3    0.0    1.3   0.00   4.55    0.2    0.6    0.6    4.6   4.55   1.08    0.00    0.00
 2000 244    16    13    1.3    0.0    1.3   0.00   4.55    0.2    0.6    0.6    4.6   4.55   1.07    0.00    0.00
 2000 245    17    14    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.14    0.00    0.00
 2000 246    18    15    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.13    0.00    0.00
 2000 247    19    16    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.12    0.00    0.00
 2000 248    20    17    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.11    0.00    0.00
 2000 249    21    18    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.09    0.00    0.00
 2000 250    22    19    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.06    0.00    0.00
 2000 251    23    20    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.01    0.00    0.00
 2000 252    24    21    1.2    0.0    1.2   0.00   4.40    0.2    0.6    0.6    4.4   4.40   1.14    0.00    0.00
 2000 253    25    22    1.2    0.0    1.2   0.00   4.40    0.2    0.6    0.6    4.4   4.40   1.11    0.00    0.00
 2000 254    26    23    1.2    0.0    1.2   0.00   4.35    0.2    0.6    0.6    4.3   4.35   1.18    0.00    0.00
 2000 255    27    24    1.2    0.0    1.2   0.00   4.01    0.2    0.7    0.6    4.0   4.01   1.15    0.00    0.00
 2000 256    28    25    1.3    0.0    1.3   0.00   4.10    0.4    0.7    0.6    4.1   4.10   1.25    0.00    0.01
 2000 257    29    26    1.4    0.0    1.4   0.00   4.31    0.5    0.8    0.6    4.3   4.31   1.25    0.00    0.01
 2000 258    30    27    1.4    0.0    1.4   0.00   4.23    0.5    0.8    0.6    4.2   4.23   1.22    0.00    0.01
 2000 259    31    28    1.4    0.0    1.4   0.00   4.11    0.5    0.8    0.6    4.1   4.11   1.20    0.00    0.01
 2000 260    32    29    1.5    0.0    1.5   0.00   3.93    0.6    0.9    0.6    3.9   3.93   1.26    0.00    0.01
 2000 261    33    30    1.6    0.0    1.6   0.00   3.87    0.8    1.0    0.5    3.9   3.87   1.25    0.00    0.01
 2000 262    34    31    1.7    0.0    1.7   0.00   3.81    1.0    1.2    0.5    3.8   3.81   1.11    0.00    0.01
 2000 263    35    32    1.9    0.0    1.9   0.00   3.72    1.3    1.4    0.5    3.7   3.72   1.24    0.00    0.02
 2000 264    36    33    2.2    0.0    2.2   0.00   3.88    1.6    1.7    0.5    3.9   3.88   1.19    0.00    0.02
 2000 265    37    34    2.4    0.0    2.4   0.00   3.88    1.8    1.8    0.5    3.9   3.88   1.18    0.00    0.02
