*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:26:37

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0030 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 212    21     2     2     0.0  109.6   16637   93.3   16.2  12.6  20.0  18.0   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.1   0.8   0.9  1.55  0.96  0.82  0.00  0.00    9.12   18.53    0.00    0.00    0.30
 1990 213    22     2     2     0.0  109.9   16637   93.9   16.1  12.6  20.0  18.1   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.1   0.8   0.9  1.55  0.95  0.79  0.00  0.00    9.48   19.05    0.00    0.00    0.30
 1990 214    23     2     2     0.0  110.3   16636   94.4   15.9  12.7  20.1  18.2   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.55  0.93  0.77  0.00  0.00    9.87   19.58    0.00    0.00    0.30
 1990 215    24     2     2     0.0  110.8   16636   95.0   15.8  12.8  20.1  18.3   9.9   5.5   0.4   0.8   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.55  0.92  0.75  0.00  0.00   10.31   20.14    0.00    0.00    0.31
 1990 216    25     2     2     0.0  111.2   16635   95.6   15.7  12.8  20.2  18.4   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.73  0.00  0.00   10.78   20.73    0.00    0.00    0.31
 1990 217    26     2     2     0.0  111.7   16635   96.2   15.6  12.9  20.3  18.5  10.0   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.88  0.72  0.00  0.00   11.29   21.35    0.00    0.00    0.31
 1990 218    27     2     2     0.0  112.3   16634   96.8   15.5  13.1  20.3  18.6  10.0   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.84   22.01    0.00    0.00    0.31
 1990 219    28     2     2     0.0  112.9   16634   97.5   15.3  13.2  20.4  18.7  10.0   5.7   0.5   0.9   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.56  0.85  0.68  0.00  0.00   12.43   22.71    0.00    0.00    0.32
 1990 220    29     2     2     0.0  113.5   16633   98.3   15.2  13.4  20.5  18.8  10.1   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.57  0.84  0.66  0.00  0.00   13.05   23.45    0.00    0.00    0.32
 1990 221    30     2     2     0.0  113.9   16632   98.8   15.1  13.5  20.4  19.0  10.1   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.57  0.82  0.64  0.00  0.00   13.68   24.18    0.00    0.00    0.32
 1990 222    31     2     2     0.0  114.5   16632   99.5   15.0  13.7  20.5  19.1  10.2   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.57  0.81  0.63  0.00  0.00   14.27   24.87    0.00    0.00    0.32
 1990 223    32     2     2     0.0  115.0   16631  100.2   14.8  13.8  20.6  19.2  10.2   5.8   0.5   1.1   1.0   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.57  0.79  0.61  0.00  0.00   14.77   25.54    0.00    0.00    0.33
 1990 224    33     2     2     0.0  115.5   16631  100.8   14.7  13.9  20.6  19.3  10.3   5.9   0.6   1.1   1.1   0.0   0.0   0.0   0.4   1.1   0.7   0.7  1.57  0.78  0.59  0.00  0.00   15.27   26.18    0.00    0.00    0.33
 1990 225    34     2     2     0.0  116.0   16630  101.4   14.6  14.0  20.7  19.4  10.3   5.9   0.6   1.1   1.1   0.0   0.0   0.0   0.4   1.1   0.7   0.7  1.58  0.77  0.58  0.00  0.00   15.77   26.80    0.00    0.00    0.33
 1990 226    35     2     2     0.0  116.5   16630  102.0   14.5  14.1  20.8  19.5  10.3   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.58  0.76  0.56  0.00  0.00   16.28   27.43    0.00    0.00    0.33
 1990 227    36     2     2     0.0  117.0   16629  102.7   14.3  14.2  20.8  19.6  10.4   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.3   1.1   0.7   0.7  1.58  0.74  0.55  0.00  0.00   16.77   28.06    0.00    0.00    0.33
 1990 228    37     2     2     0.0  117.4   16629  103.2   14.2  14.3  20.9  19.7  10.4   6.0   0.6   1.2   1.1   0.0   0.0   0.1   0.3   1.1   0.7   0.7  1.58  0.73  0.54  0.00  0.00   17.23   28.67    0.00    0.00    0.33
 1990 229    38     2     2     0.0  117.8   16628  103.8   14.0  14.4  20.9  19.8  10.5   6.0   0.6   1.2   1.1   0.0   0.0   0.1   0.3   1.0   0.7   0.7  1.59  0.72  0.52  0.00  0.00   17.66   29.23    0.00    0.00    0.34
 1990 230    39     2     2     0.0  118.2   16628  104.3   13.9  14.5  20.9  19.9  10.5   6.0   0.7   1.2   1.2   0.0   0.0   0.1   0.3   1.0   0.7   0.7  1.59  0.71  0.51  0.00  0.00   18.07   29.76    0.00    0.00    0.34
 1990 231    40     2     2     0.0  118.5   16628  104.7   13.8  14.6  20.9  20.0  10.5   6.1   0.7   1.2   1.2   0.0   0.0   0.1   0.3   1.0   0.6   0.7  1.59  0.70  0.50  0.00  0.00   18.45   30.26    0.00    0.00    0.34
 1990 232    41     2     2     0.0  118.9   16627  105.2   13.7  14.7  20.9  20.1  10.6   6.1   0.7   1.2   1.2   0.0   0.0   0.1   0.3   1.0   0.6   0.7  1.59  0.69  0.49  0.00  0.00   18.85   30.76    0.00    0.00    0.34
 1990 233    42     2     2     0.0  119.2   16627  105.6   13.6  14.8  20.9  20.1  10.6   6.1   0.7   1.3   1.2   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.59  0.68  0.48  0.00  0.00   19.25   31.26    0.00    0.00    0.34
 1990 234    43     2     2     0.0  119.6   16626  106.1   13.5  14.9  21.0  20.2  10.6   6.1   0.7   1.3   1.2   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.59  0.67  0.47  0.00  0.00   19.65   31.75    0.00    0.00    0.35
 1990 235    44     2     2     0.0  119.7   16626  106.3   13.4  15.0  20.9  20.2  10.7   6.2   0.7   1.3   1.2   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.60  0.66  0.45  0.00  0.00   20.02   32.21    0.00    0.00    0.35
 1990 236    45     2     2     0.0  120.0   16626  106.7   13.3  15.1  20.9  20.3  10.7   6.2   0.8   1.3   1.3   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.60  0.65  0.44  0.00  0.00   20.37   32.65    0.00    0.00    0.35
 1990 237    46     2     2     0.0  120.3   16625  107.1   13.2  15.2  20.9  20.3  10.7   6.2   0.8   1.3   1.3   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.60  0.65  0.43  0.00  0.00   20.72   33.08    0.00    0.00    0.35
 1990 238    47     2     2     0.0  120.6   16625  107.4   13.1  15.3  20.9  20.3  10.7   6.2   0.8   1.4   1.3   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.60  0.64  0.43  0.00  0.00   21.08   33.52    0.00    0.00    0.35
 1990 239    48     2     2     0.0  120.7   16625  107.6   13.1  15.4  20.8  20.3  10.8   6.2   0.8   1.4   1.3   0.0   0.0   0.1   0.3   0.9   0.6   0.6  1.60  0.63  0.42  0.00  0.00   21.46   33.97    0.00    0.00    0.35
 1990 240    49     2     2     0.0  120.7   16624  107.7   13.0  15.5  20.7  20.3  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.3   0.8   0.6   0.6  1.60  0.62  0.41  0.00  0.00   21.85   34.43    0.00    0.00    0.36
 1990 241    50     2     2     0.0  120.9   16624  108.0   12.9  15.7  20.7  20.3  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.3   0.8   0.6   0.6  1.61  0.61  0.40  0.00  0.00   22.22   34.87    0.00    0.00    0.36
 1990 242    51     2     2     0.0  121.2   16623  108.4   12.9  15.8  20.7  20.3  10.9   6.3   0.9   1.4   1.3   0.0   0.0   0.1   0.3   0.8   0.6   0.6  1.61  0.61  0.39  0.00  0.00   22.57   35.29    0.00    0.00    0.36
 1990 243    52     2     2     0.0  121.5   16623  108.8   12.8  15.9  20.7  20.4  10.9   6.3   0.9   1.5   1.3   0.0   0.0   0.1   0.3   0.8   0.6   0.6  1.61  0.60  0.38  0.00  0.00   22.91   35.68    0.00    0.00    0.36
 1990 244    53     2     2     0.0  121.8   16623  109.1   12.7  15.9  20.7  20.4  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.2   0.8   0.6   0.6  1.61  0.59  0.37  0.00  0.00   23.20   36.04    0.00    0.00    0.36
 1990 245    54     2     2     0.0  122.0   16623  109.4   12.7  16.0  20.7  20.4  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.2   0.8   0.6   0.6  1.61  0.59  0.37  0.00  0.00   23.47   36.38    0.00    0.00    0.36
 1990 246    55     2     2     0.0  122.3   16622  109.7   12.6  16.1  20.7  20.5  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.2   0.8   0.6   0.6  1.61  0.58  0.36  0.00  0.00   23.74   36.72    0.00    0.00    0.36
 1990 247    56     2     2     0.0  122.6   16622  110.0   12.5  16.2  20.7  20.5  11.0   6.4   0.9   1.5   1.4   0.0   0.0   0.0   0.2   0.8   0.6   0.6  1.61  0.57  0.35  0.00  0.00   24.03   37.06    0.00    0.00    0.37
 1990 248    57     2     2     0.0  122.8   16622  110.3   12.5  16.3  20.7  20.6  11.0   6.4   1.0   1.5   1.4   0.0   0.0   0.0   0.2   0.8   0.6   0.6  1.61  0.57  0.35  0.00  0.00   24.31   37.39    0.00    0.00    0.37
 1990 249    58     2     2     0.0  123.0   16621  110.6   12.4   8.2  24.8  20.6  11.0   6.4   1.0   1.5   1.4   0.0   0.0   0.0   0.2   0.7   0.6   0.6  1.61  0.56  0.34  0.00  0.00   24.61   37.74    0.00    0.00    0.37
 1990 250    59     2     2     0.0  123.1   16621  110.7   12.5   7.2  24.6  21.0  11.0   6.5   1.0   1.6   1.4   0.0   0.0   0.1   0.3   0.7   0.6   0.6  1.62  0.56  0.33  0.00  0.00   24.99   38.10    0.00    0.00    0.37
 1990 251    60     2     2     0.0  123.3   16621  110.8   12.5   7.2  24.0  21.3  11.1   6.5   1.0   1.6   1.4   0.0   0.0   0.1   0.3   0.7   0.6   0.6  1.62  0.55  0.33  0.00  0.00   25.40   38.46    0.00    0.00    0.37
 1990 252    61     2     2     0.0  123.7   16620  111.2   12.5   7.3  23.7  21.6  11.1   6.5   1.0   1.6   1.4   0.0   0.0   0.1   0.3   0.7   0.6   0.6  1.62  0.55  0.32  0.00  0.00   25.81   38.87    0.00    0.00    0.37
 1990 253    62     2     2     0.0  123.9   16620  111.4   12.5   4.1  19.9  25.2  11.1   6.5   1.0   1.6   1.5   0.0   0.0   0.1   0.4   0.7   0.6   0.6  1.62  0.54  0.32  0.00  0.00   26.26   39.32    0.00    0.00    0.38
 1990 254    63     2     2     0.0  123.9   16619  111.3   12.6   4.1  19.4  25.1  11.3   6.6   1.0   1.6   1.5   0.0   0.0   0.1   0.4   0.8   0.6   0.6  1.62  0.53  0.31  0.00  0.00   26.78   39.72    0.00    0.00    0.38
