*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1988 295    83   115     3     5.6  183.9   16600  163.5   20.4  39.1  38.6  13.3   8.6  10.0   6.3   4.1   2.5   0.0   0.0   0.1   0.5   1.0   0.7   0.8  2.57  1.27  0.74  0.00  0.00   45.72  103.16    2.11    0.00    1.46
 1988 296    84   115     3     5.6  180.8   16600  160.5   20.3  37.8  37.3  12.9   8.5   9.9   6.3   4.1   2.5   0.0   0.0   0.1   0.5   1.0   0.7   0.8  2.58  1.26  0.73  0.00  0.00   46.35  103.82    2.11    0.00    1.46
 1988 297    85   115     3     5.6  178.2   16599  157.9   20.2  36.8  36.2  12.6   8.5   9.8   6.3   4.1   2.5   0.0   0.0   0.1   0.5   1.0   0.6   0.8  2.59  1.26  0.73  0.00  0.00   47.00  104.50    2.12    0.00    1.46
 1988 298    86   115     3     5.6  172.6   16599  152.6   20.0  34.6  33.9  11.9   8.3   9.6   6.3   4.1   2.6   0.0   0.0   0.1   0.5   1.0   0.6   0.8  2.57  1.26  0.72  0.00  0.00   47.62  105.24    2.12    0.00    1.47
 1988 299    87   115     3     5.6  168.6   16598  148.8   19.8  33.1  32.3  11.4   8.2   9.5   6.3   4.1   2.6   0.0   0.0   0.1   0.4   0.9   0.6   0.8  2.55  1.26  0.72  0.00  0.00   48.23  106.00    2.12    0.00    1.47
 1988 300    88   115     3     5.6  167.3   16597  147.7   19.6  32.2  32.0  11.3   8.2   9.5   6.3   4.2   2.6   0.0   0.0   0.1   0.4   0.9   0.6   0.7  2.53  1.26  0.71  0.00  0.00   48.83  106.70    2.13    0.00    1.49
 1988 301    89   115     3     5.6  162.7   16597  143.3   19.3  14.1  31.6  15.4   8.1   9.3   6.3   4.2   2.6   0.0   0.0   0.1   0.4   0.9   0.6   0.7  2.51  1.26  0.71  0.00  0.00   49.37  107.35    2.13    0.00    1.51
 1988 302    90   115     3     5.6  159.5   16596  140.3   19.3  13.4  29.8  15.2   8.0   9.2   6.3   4.2   2.6   0.0   0.0   0.1   0.5   0.9   0.6   0.7  2.48  1.26  0.71  0.00  0.00   49.99  107.87    2.13    0.00    1.53
 1988 303    91   115     3     5.6  154.8   16596  135.8   19.1  12.7  27.8  14.5   7.9   9.0   6.2   4.2   2.6   0.0   0.0   0.1   0.5   0.9   0.6   0.7  2.44  1.25  0.70  0.00  0.00   50.62  108.54    2.14    0.00    1.55
 1988 304    92   115     3     5.6  149.7   16595  130.9   18.8  11.9  25.9  13.6   7.8   8.8   6.1   4.2   2.6   0.0   0.0   0.1   0.5   0.9   0.6   0.7  2.40  1.25  0.70  0.00  0.00   51.26  109.22    2.14    0.00    1.57
 1988 305    93   115     3     5.6  147.7   16594  129.0   18.7   5.5  20.4  17.4   8.7   8.7   6.1   4.2   2.6   0.0   0.0   0.1   0.5   0.9   0.5   0.7  2.38  1.25  0.69  0.00  0.00   51.93  109.93    2.14    0.00    1.59
 1988 306    94   115     3     5.6  142.1   16594  123.4   18.7   5.0  18.7  16.0   8.7   8.4   6.0   4.2   2.6   0.0   0.0   0.2   0.6   1.0   0.5   0.6  2.32  1.25  0.69  0.00  0.00   52.63  110.32    2.15    0.00    1.61
 1988 307    95   115     3     5.6  137.6   16593  119.3   18.3   5.0  17.5  14.9   8.6   8.2   5.9   4.2   2.6   0.0   0.0   0.0   0.6   1.0   0.5   0.6  2.27  1.25  0.68  0.00  0.00   53.32  111.12    2.15    0.00    1.64
 1988 308    96   115     3     5.6  133.7   16592  115.5   18.1   4.8  16.4  13.9   8.5   8.1   5.8   4.2   2.6   0.0   0.0   0.1   0.6   1.0   0.5   0.6  2.24  1.25  0.68  0.00  0.00   53.98  111.77    2.15    0.00    1.65
 1988 309    97   115     3     5.6  128.9   16592  111.0   17.8   4.6  15.1  12.8   8.3   7.9   5.7   4.3   2.6   0.0   0.0   0.1   0.5   0.9   0.5   0.6  2.19  1.25  0.68  0.00  0.00   54.60  112.41    2.16    0.00    1.68
 1988 310    98   115     3     5.6  123.6   16591  106.0   17.6   4.3  13.8  11.6   8.1   7.7   5.6   4.3   2.7   0.0   0.0   0.1   0.5   0.9   0.5   0.6  2.14  1.25  0.67  0.00  0.00   55.24  113.05    2.16    0.00    1.70
 1988 311    99   115     3     5.6  117.1   16591   99.9   17.2   3.9  12.1  10.2   7.7   7.4   5.4   4.3   2.7   0.0   0.0   0.1   0.5   0.9   0.5   0.6  2.09  1.24  0.67  0.00  0.00   55.91  113.74    2.16    0.00    1.72
 1988 312   100   115     3     5.6  110.2   16590   93.4   16.8   3.5  10.5   8.8   7.4   7.0   5.2   4.3   2.7   0.0   0.0   0.1   0.5   0.8   0.5   0.6  2.02  1.24  0.66  0.00  0.00   56.59  114.47    2.17    0.00    1.74
 1988 313   101   115     3     5.6  102.5   16589   86.3   16.3   3.0   8.7   7.3   6.9   6.6   5.0   4.3   2.7   0.0   0.0   0.1   0.4   0.8   0.5   0.5  1.94  1.24  0.66  0.00  0.00   57.28  115.23    2.17    0.00    1.75
 1988 314   102   115     3     5.6   95.0   16589   79.2   15.8   1.0   6.3   6.9   6.4   6.2   4.7   4.3   2.7   0.0   0.0   0.1   0.4   0.7   0.5   0.5  1.86  1.24  0.66  0.00  0.00   57.95  115.97    2.17    0.00    1.77
 1988 315   103   115     3     5.6   84.9   16588   69.5   15.4   0.8   4.8   4.8   5.7   5.5   4.3   4.3   2.7   0.0   0.0   0.2   0.5   0.7   0.5   0.5  1.74  1.24  0.65  0.00  0.00   58.74  116.48    2.17    0.00    1.79
 1988 316   104   115     3     5.6   79.0   16587   64.2   14.8   0.7   3.2   4.2   5.2   5.1   4.1   4.4   2.7   0.0   0.0   0.0   0.5   0.7   0.5   0.5  1.66  1.21  0.65  0.00  0.00   59.50  117.37    2.17    0.00    1.81
 1988 317   105   115     3     5.6   73.1   16587   58.5   14.6   0.3   1.9   2.9   5.3   4.7   3.8   4.4   2.7   0.0   0.0   0.2   0.6   0.7   0.5   0.5  1.57  1.18  0.65  0.00  0.00   60.24  117.89    2.17    0.00    1.82
 1988 318   106   115     3     5.6   66.0   16586   51.8   14.3   0.3   1.4   2.0   4.3   4.1   3.3   4.4   2.7   0.0   0.0   0.3   0.7   0.8   0.5   0.5  1.44  1.16  0.64  0.00  0.00   60.97  118.25    2.17    0.00    1.84
 1988 319   107   115     3     5.6   58.4   16585   45.2   13.2   0.6   0.9   1.1   3.4   3.4   2.9   4.5   2.7   0.0   0.0   0.1   0.5   0.7   0.5   0.5  1.31  1.13  0.64  0.00  0.00   61.73  119.15    2.18    0.00    1.84
 1988 320   108   115     3     5.6   52.2   16584   39.6   12.6   0.3   0.5   0.5   2.7   2.8   2.5   4.5   2.7   0.0   0.0   0.1   0.5   0.6   0.5   0.5  1.19  1.11  0.63  0.00  0.00   62.48  119.82    2.18    0.00    1.84
 1988 321   109   115     3     5.6   46.9   16584   34.9   12.0   0.4   0.4   0.3   2.1   2.2   2.0   4.5   2.7   0.0   0.0   0.1   0.5   0.6   0.5   0.5  1.08  1.07  0.63  0.00  0.00   63.24  120.53    2.18    0.00    1.84
 1988 322   110   115     3     5.6   42.6   16583   31.2   11.4   0.4   0.4   0.3   1.6   1.8   1.7   4.2   2.7   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.98  1.01  0.63  0.00  0.00   64.04  121.26    2.18    0.00    1.84
 1988 323   111   115     3     5.6   38.8   16582   27.9   10.9   0.5   0.4   0.3   1.2   1.4   1.4   3.9   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.90  0.94  0.62  0.00  0.00   64.87  122.03    2.18    0.00    1.85
 1988 324   112   115     3     5.6   35.3   16582   24.9   10.4   0.3   0.5   0.3   1.0   1.1   1.2   3.5   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.84  0.88  0.62  0.00  0.00   65.66  122.75    2.18    0.00    1.85
 1988 325   113   115     3     5.6   32.5   16581   22.2   10.3   0.3   0.3   0.3   0.8   0.9   1.0   3.1   2.8   0.0   0.0   0.3   0.6   0.6   0.5   0.5  0.79  0.82  0.62  0.00  0.00   66.49  123.24    2.18    0.00    1.85
 1988 326   114   115     3     5.6   30.2   16580   20.5    9.7   0.6   0.5   0.4   0.6   0.7   0.8   2.8   2.8   0.0   0.0   0.0   0.5   0.6   0.5   0.5  0.75  0.76  0.61  0.00  0.00   67.32  124.19    2.18    0.00    1.85
 1988 327   115   115     3     5.6   28.1   16579   18.4    9.7   0.2   0.3   0.4   0.5   0.6   0.7   2.4   2.8   0.0   0.0   0.2   0.6   0.6   0.5   0.5  0.71  0.72  0.61  0.00  0.00   68.09  124.60    2.18    0.00    1.85
 1988 328   116   115     3     5.6   26.4   16579   16.7    9.7   0.3   0.3   0.3   0.4   0.5   0.6   2.1   2.8   0.0   0.0   0.3   0.7   0.7   0.5   0.5  0.68  0.68  0.61  0.00  0.00   68.81  124.92    2.18    0.00    1.85
 1988 329   117   115     3     5.6   25.1   16578   15.9    9.2   0.6   0.4   0.3   0.4   0.4   0.5   1.9   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.66  0.64  0.60  0.00  0.00   69.54  125.70    2.19    0.00    1.85
 1988 330   118   115     3     5.6   23.7   16577   14.7    9.0   0.3   0.4   0.3   0.3   0.4   0.4   1.7   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.64  0.62  0.60  0.00  0.00   70.24  126.25    2.19    0.00    1.85
 1988 331   119   115     3     5.6   22.7   16577   13.8    8.9   0.4   0.4   0.3   0.3   0.3   0.3   1.5   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.62  0.59  0.60  0.00  0.00   70.93  126.82    2.19    0.00    1.86
 1988 332   120   115     3     5.6   22.0   16576   13.2    8.7   0.4   0.4   0.3   0.3   0.3   0.3   1.3   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.5  0.61  0.57  0.59  0.00  0.00   71.65  127.42    2.19    0.00    1.86
 1988 333   121   115     3     5.6   21.4   16576   12.8    8.6   0.4   0.4   0.3   0.3   0.3   0.3   1.2   2.8   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.60  0.56  0.58  0.00  0.00   72.36  128.04    2.19    0.00    1.86
 1988 334   122   115     3     5.6   21.0   16575   12.5    8.5   0.4   0.4   0.3   0.3   0.3   0.3   1.0   2.9   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.59  0.54  0.56  0.00  0.00   73.05  128.64    2.19    0.00    1.86
 1988 335   123   115     3     5.6   20.6   16574   12.3    8.3   0.4   0.4   0.3   0.3   0.3   0.3   0.9   2.9   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.58  0.53  0.55  0.00  0.00   73.71  129.25    2.19    0.00    1.86
 1988 336   124   115     3     5.6   20.5   16574   12.2    8.3   0.4   0.4   0.3   0.3   0.3   0.3   0.9   2.9   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.59  0.52  0.53  0.00  0.00   74.34  129.84    2.19    0.00    1.87
 1988 337   125   115     3     5.6   21.1   16573   12.8    8.3   0.6   0.5   0.4   0.3   0.3   0.3   0.9   2.9   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.59  0.51  0.52  0.00  0.00   74.93  130.43    2.19    0.00    1.87
 1988 338   126   115     3     5.6   21.7   16573   13.4    8.3   0.4   0.7   0.5   0.4   0.3   0.3   0.9   2.9   0.0   0.0   0.1   0.4   0.7   0.5   0.4  0.60  0.51  0.51  0.00  0.00   75.52  131.04    2.19    0.00    1.87
 1988 339   127   115     3     5.6   22.4   16572   13.9    8.6   0.4   0.7   0.6   0.4   0.4   0.3   0.9   2.9   0.0   0.0   0.2   0.6   0.7   0.5   0.4  0.61  0.50  0.50  0.00  0.00   76.27  131.48    2.19    0.00    1.87
 1988 340   128   115     3     5.6   23.2   16571   14.8    8.4   0.9   0.9   0.7   0.5   0.4   0.3   0.9   3.0   0.0   0.0   0.0   0.5   0.8   0.5   0.4  0.62  0.49  0.48  0.00  0.00   77.04  132.39    2.19    0.00    1.87
 1988 341   129   115     3     5.6   24.0   16571   15.5    8.5   0.9   1.1   0.9   0.5   0.4   0.3   0.9   3.0   0.0   0.0   0.2   0.5   0.8   0.5   0.4  0.63  0.48  0.47  0.00  0.00   77.82  133.10    2.19    0.00    1.87
 1988 342   130   115     3     5.6   24.8   16570   16.4    8.3   1.3   1.3   1.0   0.6   0.5   0.3   0.9   3.0   0.0   0.0   0.0   0.5   0.8   0.5   0.4  0.63  0.48  0.46  0.00  0.00   78.61  134.07    2.19    0.00    1.88
 1988 343   131   115     3     5.6   25.5   16569   17.2    8.4   1.3   1.6   1.1   0.6   0.5   0.3   1.0   3.0   0.0   0.0   0.2   0.4   0.8   0.5   0.4  0.64  0.47  0.45  0.00  0.00   79.38  134.79    2.19    0.00    1.88
 1988 344   132   115     3     5.6   26.2   16569   18.1    8.2   1.7   1.8   1.3   0.7   0.5   0.3   1.0   3.0   0.0   0.0   0.0   0.4   0.8   0.5   0.4  0.65  0.46  0.44  0.00  0.00   80.10  135.70    2.19    0.00    1.88
 1988 345   133   115     3     5.6   26.9   16568   18.7    8.2   1.6   1.9   1.4   0.7   0.6   0.3   1.0   3.0   0.0   0.0   0.2   0.4   0.8   0.4   0.4  0.65  0.45  0.42  0.00  0.00   80.77  136.33    2.19    0.00    1.88
 1988 346   134   115     3     5.6   27.5   16568   19.5    8.0   1.1   2.0   1.9   0.7   0.6   0.3   1.0   3.1   0.0   0.0   0.0   0.4   0.8   0.4   0.4  0.66  0.45  0.41  0.00  0.00   81.39  137.10    2.19    0.00    1.88
 1988 347   135   115     3     5.6   28.3   16567   20.0    8.3   1.2   2.0   2.0   0.8   0.6   0.4   1.0   3.1   0.0   0.0   0.2   0.5   0.8   0.4   0.4  0.67  0.44  0.40  0.00  0.00   82.14  137.59    2.19    0.00    1.88
 1988 348   136   115     3     5.6   29.0   16566   20.7    8.3   0.8   1.7   2.2   1.2   0.6   0.4   1.0   3.1   0.0   0.0   0.1   0.5   0.9   0.4   0.4  0.67  0.44  0.40  0.00  0.00   82.87  138.33    2.19    0.00    1.88
 1988 349   137   115     3     5.6   29.8   16565   21.0    8.8   0.9   1.7   2.2   1.2   0.7   0.4   1.0   3.1   0.0   0.0   0.1   0.6   1.0   0.5   0.4  0.68  0.43  0.39  0.00  0.00   83.66  138.66    2.19    0.00    1.88
 1988 350   138   115     3     5.6   27.2   16565   18.9    8.3   0.8   1.3   1.6   1.1   0.7   0.3   1.0   3.0   0.0   0.0   0.1   0.5   0.9   0.5   0.4  0.67  0.42  0.38  0.00  0.00   84.46  139.49    2.19    0.00    1.88
 1988 351   139   115     3     5.6   24.2   16564   16.2    8.0   0.6   0.9   1.0   0.9   0.6   0.3   0.9   2.9   0.0   0.0   0.1   0.5   0.7   0.5   0.4  0.65  0.42  0.37  0.00  0.00   85.25  140.21    2.19    0.00    1.89
 1988 352   140   115     3     5.6   22.0   16563   14.1    7.9   0.5   0.6   0.6   0.8   0.5   0.3   0.8   2.8   0.0   0.0   0.1   0.5   0.7   0.5   0.4  0.64  0.41  0.36  0.00  0.00   86.02  140.90    2.19    0.00    1.89
 1988 353   141   115     3     5.6   22.6   16563   14.7    7.9   0.7   0.8   0.6   0.8   0.5   0.3   0.8   2.8   0.0   0.0   0.1   0.5   0.7   0.5   0.4  0.64  0.41  0.35  0.00  0.00   86.83  141.61    2.19    0.00    1.89
 1988 354   142   115     3     5.6   20.1   16562   12.5    7.6   0.4   0.4   0.4   0.7   0.4   0.3   0.8   2.6   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.62  0.40  0.34  0.00  0.00   87.62  142.35    2.19    0.00    1.89
 1988 355   143   115     3     5.6   18.9   16561   11.5    7.4   0.4   0.4   0.3   0.6   0.4   0.3   0.7   2.4   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.61  0.39  0.33  0.00  0.00   88.37  143.05    2.19    0.00    1.89
 1988 356   144   115     3     5.6   17.9   16561   10.6    7.3   0.4   0.4   0.3   0.5   0.3   0.3   0.6   2.3   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.59  0.39  0.33  0.00  0.00   89.08  143.71    2.19    0.00    1.90
 1988 357   145   115     3     5.6   17.1   16560    9.9    7.2   0.4   0.4   0.3   0.4   0.3   0.3   0.5   2.2   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.58  0.38  0.32  0.00  0.00   89.74  144.35    2.19    0.00    1.90
 1988 358   146   115     3     5.6   16.4   16560    9.4    7.0   0.2   0.4   0.4   0.3   0.3   0.3   0.5   2.0   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.57  0.38  0.31  0.00  0.00   90.36  144.95    2.19    0.00    1.90
 1988 359   147   115     3     5.6   15.9   16559    8.7    7.2   0.4   0.3   0.3   0.3   0.3   0.3   0.4   1.9   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.57  0.37  0.30  0.00  0.00   91.12  145.43    2.19    0.00    1.90
 1988 360   148   115     3     5.6   15.7   16558    8.6    7.1   0.5   0.5   0.3   0.3   0.3   0.3   0.4   1.8   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.56  0.37  0.30  0.00  0.00   91.89  146.14    2.19    0.00    1.90
 1988 361   149   115     3     5.6   15.3   16558    8.3    7.0   0.5   0.5   0.3   0.3   0.3   0.3   0.4   1.7   0.0   0.0   0.1   0.5   0.6   0.5   0.4  0.56  0.36  0.29  0.00  0.00   92.67  146.88    2.19    0.00    1.91
 1988 362   150   115     3     5.6   14.9   16557    8.0    6.8   0.5   0.5   0.3   0.3   0.3   0.3   0.3   1.6   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.55  0.36  0.28  0.00  0.00   93.44  147.65    2.19    0.00    1.91
 1988 363   151   115     3     5.6   14.5   16556    7.7    6.7   0.5   0.5   0.3   0.3   0.3   0.3   0.3   1.5   0.0   0.0   0.1   0.4   0.6   0.5   0.4  0.55  0.35  0.28  0.00  0.00   94.18  148.40    2.19    0.00    1.91
 1988 364   152   115     3     5.6   14.0   16556    7.4    6.6   0.2   0.4   0.4   0.3   0.3   0.3   0.3   1.4   0.0   0.0   0.1   0.4   0.5   0.5   0.4  0.55  0.35  0.27  0.00  0.00   94.87  149.11    2.19    0.00    1.91
 1988 365   153   115     3     5.6   13.8   16555    6.9    6.9   0.3   0.3   0.3   0.3   0.3   0.3   0.3   1.3   0.0   0.0   0.2   0.5   0.6   0.4   0.4  0.54  0.34  0.26  0.00  0.00   95.69  149.53    2.19    0.00    1.91
 1988 366   154   115     3     5.6   13.9   16554    7.2    6.7   0.7   0.5   0.3   0.3   0.3   0.3   0.3   1.3   0.0   0.0   0.0   0.5   0.6   0.4   0.4  0.54  0.34  0.26  0.00  0.00   96.45  150.38    2.19    0.00    1.92
 1989 001   155   115     3     5.6   13.4   16554    6.7    6.7   0.2   0.4   0.3   0.3   0.3   0.3   0.3   1.2   0.0   0.0   0.2   0.5   0.6   0.4   0.4  0.54  0.33  0.25  0.00  0.00   97.18  150.94    2.19    0.00    1.92
 1989 002   156   115     3     5.6   13.3   16553    6.8    6.5   0.6   0.4   0.3   0.3   0.3   0.3   0.3   1.1   0.0   0.0   0.0   0.4   0.6   0.4   0.4  0.54  0.33  0.24  0.00  0.00   97.88  151.74    2.19    0.00    1.92
 1989 003   157   115     3     5.6   12.9   16552    6.5    6.4   0.0   0.5   0.4   0.3   0.3   0.3   0.3   1.1   0.0   0.0   0.2   0.4   0.5   0.4   0.4  0.54  0.33  0.24  0.00  0.00   98.53  152.35    2.19    0.00    1.92
 1989 004   158   115     3     5.6   12.8   16552    6.4    6.4   0.4   0.4   0.3   0.3   0.3   0.3   0.3   1.0   0.0   0.0   0.0   0.4   0.6   0.4   0.4  0.54  0.32  0.23  0.00  0.00   99.38  153.15    2.19    0.00    1.92
 1989 005   159   115     3     5.6   12.7   16551    6.3    6.5   0.3   0.5   0.4   0.3   0.3   0.3   0.3   0.9   0.0   0.0   0.2   0.4   0.6   0.4   0.4  0.54  0.32  0.23  0.00  0.00  100.24  153.82    2.19    0.00    1.92
 1989 006   160   115     3     5.6   12.6   16550    6.4    6.2   0.7   0.5   0.4   0.3   0.3   0.3   0.3   0.9   0.0   0.0   0.0   0.4   0.6   0.4   0.3  0.54  0.31  0.22  0.00  0.00  101.06  154.74    2.19    0.00    1.93
 1989 007   161   115     3     5.6   12.3   16550    6.0    6.3   0.3   0.5   0.4   0.3   0.3   0.3   0.3   0.8   0.0   0.0   0.2   0.4   0.6   0.4   0.3  0.54  0.31  0.22  0.00  0.00  101.82  155.38    2.19    0.00    1.93
 1989 008   162   115     3     5.6   12.1   16549    6.1    6.1   0.5   0.4   0.4   0.3   0.3   0.3   0.3   0.8   0.0   0.0   0.0   0.3   0.5   0.4   0.3  0.54  0.30  0.21  0.00  0.00  102.52  156.21    2.19    0.00    1.93
 1989 009   163   115     3     5.6   12.0   16548    5.6    6.4   0.2   0.3   0.3   0.3   0.3   0.3   0.3   0.8   0.0   0.0   0.2   0.5   0.6   0.4   0.3  0.54  0.30  0.21  0.00  0.00  103.38  156.62    2.19    0.00    1.93
 1989 010   164   115     3     5.6   12.2   16547    6.0    6.2   0.7   0.5   0.4   0.3   0.3   0.3   0.3   0.7   0.0   0.0   0.0   0.5   0.6   0.4   0.3  0.54  0.30  0.20  0.00  0.00  104.19  157.52    2.19    0.00    1.93
 1989 011   165   115     3     5.6   11.9   16547    5.6    6.3   0.3   0.5   0.4   0.3   0.3   0.3   0.3   0.7   0.0   0.0   0.2   0.4   0.6   0.4   0.3  0.54  0.29  0.20  0.00  0.00  104.97  158.12    2.19    0.00    1.93
 1989 012   166   115     3     5.6   11.8   16546    5.7    6.1   0.7   0.5   0.3   0.3   0.3   0.3   0.3   0.7   0.0   0.0   0.0   0.4   0.6   0.4   0.3  0.54  0.29  0.19  0.00  0.00  105.68  158.92    2.19    0.00    1.93
 1989 013   167   115     3     5.6   12.4   16546    6.3    6.1   0.3   0.7   0.5   0.3   0.3   0.3   0.3   0.7   0.0   0.0   0.2   0.4   0.6   0.4   0.3  0.54  0.29  0.19  0.00  0.00  106.33  159.48    2.19    0.00    1.93
 1989 014   168   115     3     5.6   13.2   16545    7.0    6.2   0.7   0.9   0.6   0.4   0.3   0.3   0.3   0.7   0.0   0.0   0.0   0.4   0.7   0.4   0.3  0.54  0.28  0.19  0.00  0.00  107.13  160.21    2.19    0.00    1.93

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   3        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1989 212     0     0     0     0.0   99.2   16646   76.3   22.9  15.8  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.4   1.5   1.4   1.5  1.50  1.47  1.45  0.00  0.00    0.47    1.47    0.00    0.00    0.00
 1989 213     1     0     0     0.0   99.7   16645   77.5   22.2  16.2  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.93    2.66    0.00    0.00    0.00
 1989 214     2     0     0     0.0  100.2   16645   78.5   21.6  16.5  15.6  15.3   8.7   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.4   1.4  1.51  1.40  1.37  0.00  0.00    1.41    3.73    0.00    0.00    0.00
 1989 215     3     0     0     0.0  100.7   16644   79.6   21.1   5.1  16.5  18.8   8.8   4.7   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.93    4.78    0.00    0.00    0.00
 1989 216     4     1     1     0.0  102.2   16644   81.0   21.2   5.4  15.4  19.9   9.0   4.8   0.1   0.2   0.2   0.0   0.0   0.9   1.1   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.49    5.65    0.00    0.00    0.06
 1989 217     5     1     1     0.0  102.7   16643   82.2   20.5   6.1  15.2  20.1   9.1   4.9   0.1   0.3   0.3   0.0   0.0   0.2   1.1   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    3.07    6.87    0.00    0.00    0.14
 1989 218     6     1     1     0.0  103.2   16642   83.3   19.9   6.2  15.4  20.1   9.3   4.9   0.1   0.3   0.3   0.0   0.0   0.0   1.0   1.3   1.2   1.2  1.52  1.27  1.21  0.00  0.00    3.67    7.96    0.00    0.00    0.23
 1989 219     7     1     1     0.0  103.8   16642   84.3   19.5   6.3  15.5  20.2   9.5   5.0   0.1   0.4   0.4   0.0   0.0   0.1   0.9   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.28    8.96    0.00    0.00    0.23
 1989 220     8     1     1     0.0  104.4   16641   85.3   19.1   6.5  15.7  20.2   9.7   5.1   0.2   0.4   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.88    9.95    0.00    0.00    0.25
 1989 221     9     1     1     0.0  104.9   16641   86.1   18.8   4.1  14.8  21.5  10.0   5.1   0.2   0.4   0.5   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.44   10.83    0.00    0.00    0.27
 1989 222    10     1     1     0.0  105.5   16640   86.7   18.8   3.4  13.9  21.6  10.7   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.8   1.4   1.0   1.1  1.53  1.16  1.07  0.00  0.00    5.98   11.38    0.00    0.00    0.29
 1989 223    11     1     1     0.0  106.0   16640   87.3   18.7   3.5  13.7  21.3  11.3   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.9   1.4   1.0   1.0  1.53  1.14  1.04  0.00  0.00    6.52   11.96    0.00    0.00    0.31
 1989 224    12     1     1     0.0  106.5   16639   87.8   18.7   3.5  13.6  20.9  11.7   5.3   0.2   0.5   0.6   0.0   0.0   0.1   1.0   1.5   1.0   1.0  1.54  1.12  1.01  0.00  0.00    7.05   12.52    0.00    0.00    0.33
 1989 225    13     1     1     0.0  107.0   16638   88.4   18.6   3.9  13.5  20.8  11.9   5.3   0.3   0.6   0.6   0.0   0.0   0.1   1.0   1.6   0.9   1.0  1.54  1.09  0.98  0.00  0.00    7.58   13.08    0.00    0.00    0.35
 1989 226    14     1     1     0.0  107.5   16638   89.3   18.3   4.2  13.5  20.9  12.1   5.4   0.3   0.6   0.6   0.0   0.0   0.1   0.9   1.5   0.9   1.0  1.54  1.07  0.95  0.00  0.00    8.13   13.98    0.00    0.00    0.35
 1989 227    15     1     1     0.0  108.1   16637   90.2   17.9   4.6  13.6  20.9  12.2   5.4   0.3   0.6   0.7   0.0   0.0   0.1   0.8   1.5   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.72   14.91    0.00    0.00    0.35
