*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1987 233    21     1     1     0.2  108.9   16636   89.5   19.4   3.4   9.5  18.2  12.9   7.8   0.9   0.7   0.7   0.0   0.0   0.1   0.9   1.8   1.2   1.0  1.62  1.04  0.85  0.00  0.00    9.97   14.57    0.20    0.00    0.41
 1987 234    22     1     1     0.2  109.0   16636   89.7   19.4   3.6   9.4  18.3  12.9   7.8   0.9   0.7   0.8   0.0   0.0   0.1   0.8   1.7   1.2   1.1  1.63  1.04  0.85  0.00  0.00   10.31   14.98    0.21    0.00    0.41
 1987 235    23     1     1     0.2  109.4   16635   90.1   19.3   3.8   9.5  18.3  12.9   7.9   0.9   0.7   0.8   0.0   0.0   0.1   0.8   1.7   1.3   1.1  1.65  1.04  0.84  0.00  0.00   10.70   15.41    0.22    0.00    0.41
 1987 236    24     1     1     0.2  109.8   16635   90.6   19.2   4.1   9.5  18.4  13.0   7.9   0.9   0.7   0.8   0.0   0.0   0.1   0.7   1.7   1.2   1.1  1.66  1.04  0.84  0.00  0.00   11.13   15.96    0.22    0.00    0.41
 1987 237    25     1     1     0.2  110.3   16634   91.2   19.1   4.3   9.6  18.5  13.0   7.9   0.9   0.8   0.8   0.0   0.0   0.1   0.7   1.6   1.2   1.1  1.67  1.04  0.83  0.00  0.00   11.60   16.53    0.23    0.00    0.41
 1987 238    26     1     1     0.2  110.8   16634   91.8   19.0   4.6   9.7  18.6  13.1   7.9   0.9   0.8   0.8   0.0   0.0   0.1   0.7   1.6   1.1   1.1  1.69  1.05  0.82  0.00  0.00   12.13   17.15    0.23    0.00    0.42
 1987 239    27     1     1     0.2  111.4   16633   92.4   18.9   4.8   9.8  18.7  13.2   7.9   0.9   0.8   0.8   0.0   0.0   0.1   0.6   1.6   1.1   1.1  1.70  1.05  0.82  0.00  0.00   12.69   17.80    0.24    0.00    0.42
 1987 240    28     1     1     0.2  111.9   16633   93.1   18.8   2.3   7.7  17.5  14.1   9.3   1.4   0.8   0.8   0.0   0.0   0.1   0.6   1.5   1.1   1.1  1.72  1.05  0.81  0.00  0.00   13.27   18.46    0.25    0.00    0.42
 1987 241    29     1     1     1.0  111.6   16632   92.4   19.2   1.0   5.2  13.9  12.8  10.3   3.1   1.5   1.1   0.0   0.0   0.2   0.7   1.6   1.1   1.1  1.73  1.05  0.81  0.00  0.00   13.84   18.62    0.33    0.00    0.42
 1987 242    30     1     1     1.5  111.5   16632   91.9   19.6   1.1   5.1  13.6  12.4  10.1   3.3   1.7   1.1   0.0   0.0   0.3   0.8   1.7   1.1   1.2  1.75  1.05  0.80  0.00  0.00   14.39   18.76    0.48    0.00    0.43
 1987 243    31     1     1     1.9  111.6   16631   91.7   19.9   1.3   5.0  13.4  12.2  10.0   3.4   1.7   1.1   0.0   0.0   0.2   0.8   1.7   1.1   1.2  1.76  1.06  0.80  0.00  0.00   14.89   19.01    0.56    0.00    0.43
 1987 244    32     1     1     2.0  111.8   16631   91.8   20.0   1.5   5.0  13.3  12.0   9.9   3.5   1.8   1.2   0.0   0.0   0.1   0.8   1.8   1.2   1.2  1.78  1.06  0.80  0.00  0.00   15.37   19.36    0.62    0.00    0.44
 1987 245    33     1     1     2.1  112.1   16630   91.9   20.1   1.7   5.1  13.4  12.0   9.9   3.5   1.8   1.2   0.0   0.0   0.1   0.7   1.8   1.2   1.2  1.79  1.06  0.79  0.00  0.00   15.82   19.70    0.67    0.00    0.44
 1987 246    34     1     1     2.2  112.4   16630   92.3   20.1   1.9   5.1  13.5  11.9   9.9   3.5   1.8   1.2   0.0   0.0   0.1   0.7   1.8   1.2   1.2  1.80  1.06  0.79  0.00  0.00   16.25   20.17    0.70    0.00    0.45
 1987 247    35     1     1     2.2  112.8   16629   92.8   20.0   2.1   5.2  13.6  12.0   9.9   3.5   1.9   1.2   0.0   0.0   0.1   0.7   1.7   1.2   1.2  1.82  1.06  0.78  0.00  0.00   16.70   20.65    0.71    0.00    0.45
 1987 248    36     1     1     2.2  113.2   16629   93.2   20.0   2.3   5.3  13.6  12.0   9.9   3.5   1.9   1.2   0.0   0.0   0.1   0.6   1.7   1.2   1.2  1.83  1.06  0.78  0.00  0.00   17.16   21.12    0.72    0.00    0.45
 1987 249    37     1     1     2.2  113.7   16628   93.7   19.9   2.5   5.4  13.7  12.0   9.9   3.5   1.9   1.2   0.0   0.0   0.1   0.6   1.7   1.2   1.2  1.84  1.06  0.77  0.00  0.00   17.62   21.68    0.74    0.00    0.45
 1987 250    38     1     1     2.2  114.1   16628   94.3   19.8   2.7   5.4  13.8  12.1   9.9   3.5   1.9   1.2   0.0   0.0   0.1   0.6   1.6   1.1   1.3  1.86  1.06  0.77  0.00  0.00   18.06   22.21    0.75    0.00    0.46
 1987 251    39     1     1     2.2  114.5   16628   94.8   19.8   2.8   5.5  13.9  12.2   9.9   3.5   1.9   1.2   0.0   0.0   0.1   0.6   1.6   1.1   1.3  1.87  1.06  0.76  0.00  0.00   18.53   22.75    0.76    0.00    0.46
 1987 252    40     1     1     2.2  115.0   16627   95.3   19.7   3.0   5.6  14.0  12.2   9.9   3.6   1.9   1.2   0.0   0.0   0.1   0.6   1.5   1.1   1.3  1.88  1.07  0.76  0.00  0.00   19.01   23.29    0.77    0.00    0.46
 1987 253    41     1     1     2.2  115.5   16627   95.9   19.6   3.2   5.7  14.0  12.3  10.0   3.6   1.9   1.3   0.0   0.0   0.1   0.6   1.5   1.0   1.3  1.89  1.07  0.75  0.00  0.00   19.51   23.85    0.78    0.00    0.46
 1987 254    42     1     1     2.2  115.9   16626   96.3   19.6   3.3   5.8  14.1  12.3  10.0   3.6   1.9   1.3   0.0   0.0   0.1   0.5   1.5   1.0   1.3  1.91  1.07  0.75  0.00  0.00   20.02   24.41    0.78    0.00    0.47
 1987 255    43     1     1     2.2  116.2   16625   96.7   19.5   3.5   5.8  14.1  12.4  10.0   3.6   1.9   1.3   0.0   0.0   0.1   0.5   1.5   1.0   1.3  1.92  1.07  0.74  0.00  0.00   20.55   24.98    0.79    0.00    0.47
 1987 256    44     1     1     2.2  116.6   16625   97.1   19.5   3.6   5.9  14.2  12.4  10.0   3.6   1.9   1.3   0.0   0.0   0.1   0.5   1.4   1.0   1.3  1.93  1.07  0.74  0.00  0.00   21.08   25.55    0.80    0.00    0.47
 1987 257    45     1     1     2.2  117.0   16624   97.5   19.4   3.8   5.9  14.2  12.5  10.0   3.6   2.0   1.3   0.0   0.0   0.1   0.5   1.4   0.9   1.3  1.95  1.07  0.73  0.00  0.00   21.63   26.12    0.81    0.00    0.48
 1987 258    46     1     1     2.3  117.2   16624   97.9   19.3   1.4   4.1  11.8  12.1  11.2   4.7   2.4   1.5   0.0   0.0   0.1   0.5   1.4   0.9   1.3  1.96  1.07  0.73  0.00  0.00   22.17   26.78    0.81    0.00    0.48
