*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 19, 2016; 14:33:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0218 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 249    21     0     0     0.0  110.1   16634   93.7   16.4   6.4  12.5  20.9  13.0   5.9   0.4   0.8   0.8   0.0   0.0   0.1   0.6   1.3   0.8   0.8  1.56  0.94  0.78  0.00  0.00   11.57   19.07    0.00    0.00    0.00
 2000 250    22     0     0     0.0  110.6   16634   94.4   16.3   6.7  12.6  21.0  13.0   5.9   0.4   0.8   0.9   0.0   0.0   0.1   0.6   1.3   0.8   0.8  1.56  0.92  0.76  0.00  0.00   12.06   19.74    0.00    0.00    0.00
 2000 251    23     0     0     0.0  111.1   16633   95.0   16.1   7.0  12.6  21.1  13.0   6.0   0.4   0.9   0.9   0.0   0.0   0.1   0.6   1.3   0.8   0.8  1.56  0.90  0.74  0.00  0.00   12.58   20.44    0.00    0.00    0.00
 2000 252    24     0     0     0.0  111.7   16633   95.8   15.9   7.2  12.6  21.2  13.1   6.0   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.3   0.8   0.8  1.56  0.89  0.72  0.00  0.00   13.15   21.18    0.00    0.00    0.00
 2000 253    25     0     0     0.0  112.3   16632   96.6   15.8   5.9  13.4  21.3  13.1   6.1   0.5   0.9   0.9   0.0   0.0   0.1   0.5   1.3   0.7   0.8  1.57  0.87  0.70  0.00  0.00   13.78   21.97    0.00    0.00    0.00
 2000 254    26     0     0     0.0  112.9   16632   97.2   15.8   2.3   8.5  18.3  14.4   9.3   1.5   1.0   1.0   0.0   0.0   0.2   0.6   1.3   0.7   0.8  1.57  0.85  0.68  0.00  0.00   14.41   22.61    0.00    0.00    0.00
 2000 255    27     0     0     0.4  113.2   16631   97.1   16.1   2.5   8.4  17.8  14.0   9.3   1.8   1.1   1.0   0.0   0.0   0.1   0.7   1.3   0.8   0.8  1.59  0.86  0.67  0.00  0.00   15.05   22.86    0.00    0.00    0.00
 2000 256    28     0     0     0.6  113.6   16630   97.2   16.4   2.8   8.5  17.6  13.7   9.3   2.0   1.1   1.0   0.0   0.0   0.1   0.7   1.4   0.8   0.8  1.60  0.86  0.67  0.00  0.00   15.71   23.25    0.00    0.00    0.00
 2000 257    29     0     0     0.6  114.1   16630   97.4   16.6   1.8   7.1  16.6  14.0  10.1   2.3   1.2   1.0   0.0   0.0   0.1   0.6   1.5   0.8   0.8  1.62  0.86  0.67  0.00  0.00   16.32   23.62    0.00    0.00    0.00
 2000 258    30     0     0     0.7  114.4   16629   97.4   17.0   1.3   6.1  15.4  13.7  10.6   3.0   1.4   1.1   0.0   0.0   0.2   0.7   1.6   0.8   0.9  1.63  0.87  0.66  0.00  0.00   16.84   23.75    0.00    0.00    0.00
