*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1999 232     0     0     0     0.0   54.9   16645   32.6   22.3   6.6   5.4   5.2   4.7   2.6   0.0   0.1   0.1   0.0   0.0   0.0   1.2   1.5   1.4   1.4  1.50  1.46  1.45  0.00  0.00    0.68    2.30    0.00    0.00    0.00
 1999 233     1     0     0     0.0   55.6   16645   33.9   21.7   6.6   5.7   5.3   4.8   2.7   0.0   0.1   0.1   0.0   0.0   0.1   1.0   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    1.37    3.63    0.00    0.00    0.00
 1999 234     2     0     0     0.0   56.3   16644   35.2   21.1   6.8   6.0   5.5   4.9   2.8   0.1   0.2   0.2   0.0   0.0   0.1   0.9   1.4   1.3   1.3  1.51  1.39  1.36  0.00  0.00    2.08    4.96    0.00    0.00    0.00
 1999 235     3     0     0     0.0   57.0   16643   36.4   20.5   6.9   6.2   5.6   5.0   2.8   0.1   0.2   0.2   0.0   0.0   0.1   0.8   1.4   1.2   1.3  1.51  1.36  1.32  0.00  0.00    2.74    6.15    0.00    0.00    0.00
 1999 236     4     1     1     0.0   58.5   16643   38.0   20.6   7.9   6.4   5.8   5.1   2.9   0.1   0.2   0.3   0.0   0.0   0.9   0.7   1.3   1.2   1.2  1.52  1.33  1.28  0.00  0.00    3.37    7.21    0.00    0.00    0.04
 1999 237     5     1     1     0.0   59.1   16642   39.4   19.7   8.7   6.5   5.9   5.2   3.0   0.1   0.3   0.3   0.0   0.0   0.2   0.7   1.3   1.2   1.2  1.52  1.29  1.24  0.00  0.00    3.96    8.59    0.00    0.00    0.08
 1999 238     6     1     1     0.0   59.6   16642   40.3   19.3   8.9   6.6   6.0   5.3   3.0   0.1   0.3   0.3   0.0   0.0   0.1   0.7   1.3   1.1   1.2  1.52  1.27  1.20  0.00  0.00    4.51    9.50    0.00    0.00    0.12
 1999 239     7     1     1     0.0   60.1   16641   41.1   19.0   8.9   6.7   6.1   5.3   3.1   0.2   0.4   0.4   0.0   0.0   0.0   0.6   1.3   1.1   1.1  1.52  1.24  1.16  0.00  0.00    5.01   10.30    0.00    0.00    0.16
 1999 240     8     1     1     0.0   60.6   16641   41.8   18.7   9.0   6.8   6.2   5.4   3.1   0.2   0.4   0.4   0.0   0.0   0.1   0.6   1.3   1.1   1.1  1.53  1.21  1.13  0.00  0.00    5.51   11.06    0.00    0.00    0.17
 1999 241     9     1     1     0.0   61.0   16640   42.6   18.5   9.0   6.9   6.3   5.4   3.2   0.2   0.4   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.53  1.19  1.10  0.00  0.00    6.00   11.81    0.00    0.00    0.18
