*EVALUATION : UYSB0397SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 23, 2016; 20:22:27

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM
   1 UYSB0397SN  1  1 SB      71     -99      86     -99     107     -99     142     -99     806     -99    1611     -99     967     -99  0.0834     -99    2.20     -99    2864     -99    2060     -99    2.40     -99   0.281     -99   50.03     -99      51     -99      81     -99      12     -99    6.36     -99     439     -99      19     -99   15.34     -99   20.36     -99    0.66     -99     154     -99
   2 UYSB0397SN  1  1 SB      72     -99      86     -99     109     -99     158     -99    3140     -99    4691     -99    2081     -99  0.1509     -99    2.20     -99    6358     -99    3220     -99    2.10     -99   0.494     -99   66.94     -99     195     -99     231     -99      12     -99    6.20     -99     380     -99      16     -99   17.28     -99   20.29     -99    0.78     -99     170     -99
   3 UYSB0397SN  1  1 SB      66     -99      79     -99     100     -99     150     -99    2324     -99    3805     -99    1804     -99  0.1288     -99    2.20     -99    5268     -99    2940     -99    1.80     -99   0.441     -99   61.10     -99     142     -99     180     -99      12     -99    6.13     -99     293     -99      13     -99   16.41     -99   20.15     -99    0.76     -99     162     -99
   4 UYSB0397SN  1  1 SB      64     -99      78     -99      96     -99     147     -99    2656     -99    3769     -99    1518     -99  0.1750     -99    2.20     -99    4592     -99    1940     -99    1.43     -99   0.578     -99   70.47     -99     165     -99     186     -99       5     -99    6.22     -99     273     -99      11     -99   16.14     -99   20.31     -99    0.80     -99     159     -99
   5 UYSB0397SN  1  1 SB      76     -99      89     -99     110     -99     158     -99    2879     -99    4589     -99    2105     -99  0.1368     -99    2.20     -99    6145     -99    3270     -99    2.24     -99   0.469     -99   62.74     -99     178     -99     217     -99      12     -99    6.19     -99     563     -99      24     -99   17.51     -99   20.51     -99    0.81     -99     170     -99
   6 UYSB0397SN  1  1 SB      81     -99      96     -99     116     -99     155     -99    1636     -99    3011     -99    2005     -99  0.0816     -99    2.20     -99    4698     -99    3060     -99    2.80     -99   0.348     -99   54.32     -99     104     -99     146     -99      15     -99    6.35     -99     632     -99      27     -99   17.36     -99   20.39     -99    0.75     -99     167     -99
   7 UYSB0397SN  1  1 SB      84     -99      95     -99     118     -99     157     -99    1809     -99    2657     -99    1139     -99  0.1589     -99    2.20     -99    4265     -99    2460     -99    2.80     -99   0.424     -99   68.08     -99     106     -99     131     -99      12     -99    5.88     -99     698     -99      30     -99   16.34     -99   21.28     -99    0.71     -99     169     -99
   8 UYSB0397SN  1  1 SB      70     -99      83     -99     103     -99     151     -99    3455     -99    4950     -99    2102     -99  0.1644     -99    2.20     -99    6337     -99    2880     -99    2.24     -99   0.545     -99   69.79     -99     217     -99     248     -99       9     -99    6.28     -99     487     -99      21     -99   16.82     -99   20.37     -99    0.79     -99     163     -99
   9 UYSB0397SN  1  1 SB      63     -99      75     -99      97     -99     138     -99    1269     -99    2098     -99    1076     -99  0.1180     -99    2.20     -99    3212     -99    1940     -99    1.50     -99   0.395     -99   60.50     -99      78     -99      98     -99       8     -99    6.13     -99     308     -99      13     -99   15.62     -99   20.87     -99    0.71     -99     150     -99
  10 UYSB0397SN  1  1 SB      74     -99      84     -99     105     -99     143     -99    1030     -99    2105     -99    1371     -99  0.0751     -99    2.20     -99    3345     -99    2310     -99    2.16     -99   0.308     -99   48.95     -99      65     -99     101     -99      12     -99    6.36     -99     436     -99      19     -99   16.67     -99   20.25     -99    0.77     -99     155     -99
  11 UYSB0397SN  1  1 SB      81     -99      94     -99     117     -99     164     -99    3237     -99    4942     -99    2175     -99  0.1488     -99    2.20     -99    6323     -99    3090     -99    2.36     -99   0.512     -99   65.50     -99     206     -99     242     -99      10     -99    6.35     -99     475     -99      20     -99   17.70     -99   20.29     -99    0.83     -99     176     -99
  12 UYSB0397SN  1  1 SB      86     -99     100     -99     123     -99     163     -99    1911     -99    3116     -99    1769     -99  0.1080     -99    2.20     -99    4625     -99    2710     -99    2.85     -99   0.413     -99   61.33     -99     117     -99     148     -99      11     -99    6.11     -99    1174     -99      49     -99   17.70     -99   21.18     -99    0.76     -99     175     -99
