*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1999 284    52  24.00  23.80   9.60  5.549  2.459  0.219  2.240  0.000   83.1    2.1   81.0    0.0
 1999 285    53   7.40  19.00  12.70  1.650  1.650  0.044  1.606  0.000   84.8    2.2   82.6    0.0
 1999 286    54   7.40  18.00  15.40  1.667  1.667  0.048  1.619  0.000   86.5    2.2   84.2    0.0
 1999 287    55   7.50  15.40  12.20  1.584  1.584  0.049  1.535  0.000   88.0    2.3   85.8    0.0
 1999 288    56  11.40  23.90  12.80  2.706  2.706  0.089  2.617  0.000   90.7    2.4   88.4    0.0
 1999 289    57  22.60  22.30  11.10  5.179  3.379  0.290  3.089  0.000   94.1    2.6   91.5    0.0
 1999 290    58  26.50  25.90  10.20  6.302  2.039  0.380  1.660  0.000   96.2    3.0   93.1    0.0
 1999 291    59  26.60  26.20  13.50  6.516  1.623  0.426  1.197  0.000   97.8    3.4   94.3    0.0
 1999 292    60  26.50  27.00   9.90  6.362  1.441  0.455  0.986  0.000   99.2    3.9   95.3    0.0
 1999 293    61  26.10  27.20  13.00  6.434  1.353  0.494  0.859  0.000  100.6    4.4   96.2    0.0
 1999 294    62  22.20  28.40  13.10  5.550  1.231  0.460  0.771  0.000  101.8    4.9   96.9    0.0
 1999 295    63  20.50  23.00  12.70  4.776  1.163  0.457  0.705  0.000  103.0    5.3   97.7    0.0
 1999 296    64  16.90  23.20  12.20  3.924  1.074  0.420  0.654  0.000  104.0    5.7   98.3    0.0
 1999 297    65  15.20  23.30  12.60  3.539  1.034  0.422  0.613  0.000  105.1    6.2   98.9    0.0
 1999 298    66  15.90  22.70  15.50  3.757  1.076  0.498  0.578  0.000  106.2    6.7   99.5    0.0
 1999 299    67  26.40  24.80  13.50  6.280  1.489  0.940  0.549  0.000  107.6    7.6  100.0    0.0
 1999 300    68  25.10  26.30  15.20  6.145  1.561  1.037  0.524  0.000  109.2    8.6  100.6    0.0
 1999 301    69  20.90  29.60  15.50  5.309  1.524  1.023  0.502  0.000  110.7    9.7  101.1    0.0
 1999 302    70  25.80  27.20  18.20  6.484  1.905  1.423  0.482  0.000  112.6   11.1  101.6    0.0
 1999 303    71  14.70  24.00  17.40  3.520  1.349  0.884  0.465  0.000  114.0   12.0  102.0    0.0
 1999 304    72  21.10  25.90  16.80  5.119  1.895  1.446  0.449  0.000  115.9   13.4  102.5    0.0
 1999 305    73  10.60  24.60  15.60  2.496  1.226  0.790  0.435  0.000  117.1   14.2  102.9    0.0
 1999 306    74  25.30  25.70  15.50  6.003  2.509  2.086  0.422  0.000  119.6   16.3  103.3    0.0
 1999 307    75  24.20  24.00  14.00  5.529  2.528  2.118  0.411  0.000  122.1   18.4  103.7    0.0
 1999 308    76   8.30  17.00  12.00  1.695  1.102  0.702  0.400  0.000  123.2   19.1  104.1    0.0
 1999 309    77  28.80  22.60  10.30  6.228  3.042  2.653  0.390  0.000  126.3   21.8  104.5    0.0
 1999 310    78  29.10  27.80   9.90  6.670  3.365  2.985  0.380  0.000  129.7   24.7  104.9    0.0
 1999 311    79  15.40  20.70  13.60  3.318  2.379  1.579  0.800  0.000  132.0   26.3  105.7    0.0
 1999 312    80  25.00  19.00   8.50  5.019  2.870  2.494  0.376  0.000  134.9   28.8  106.1    0.0
 1999 313    81  27.50  17.50   6.50  5.297  3.064  2.696  0.368  0.000  138.0   31.5  106.5    0.0
 1999 314    82  29.20  20.70   2.70  5.671  3.296  2.936  0.360  0.000  141.3   34.4  106.8    0.0
 1999 315    83  29.30  25.40   8.50  6.367  3.722  3.369  0.353  0.000  145.0   37.8  107.2    0.0
 1999 316    84  28.50  28.30  10.00  6.477  3.909  3.563  0.346  0.000  148.9   41.4  107.5    0.0
 1999 317    85  27.40  27.10  14.70  6.348  3.986  3.647  0.339  0.000  152.9   45.0  107.9    0.0
 1999 318    86  24.70  27.00  12.90  5.613  3.708  3.375  0.333  0.000  156.6   48.4  108.2    0.0
 1999 319    87  30.30  29.00  14.10  7.091  4.751  4.424  0.327  0.000  161.3   52.8  108.5    0.0
 1999 320    88  30.30  29.00  12.80  6.996  4.848  4.527  0.321  0.000  166.2   57.4  108.8    0.0
 1999 321    89  26.20  28.60  12.70  5.998  4.321  4.005  0.316  0.000  170.5   61.4  109.1    0.0
 1999 322    90  25.50  28.30  13.90  5.855  4.333  4.022  0.311  0.000  174.8   65.4  109.5    0.0
 1999 323    91  23.10  28.80  14.60  5.349  4.080  3.774  0.306  0.000  178.9   69.2  109.8    0.0
 1999 324    92  22.60  27.10  15.50  5.154  4.024  3.722  0.302  0.000  182.9   72.9  110.1    0.0
 1999 325    93  29.40  27.20  14.00  6.620  5.176  4.879  0.297  0.000  188.1   77.8  110.4    0.0
 1999 326    94  30.60  25.70  12.20  6.658  5.288  4.995  0.293  0.000  193.4   82.7  110.7    0.0
 1999 327    95  15.50  25.00  12.90  3.358  3.354  2.554  0.800  0.000  196.8   85.3  111.5    0.0
 1999 328    96  24.10  26.90  14.30  5.394  4.441  4.149  0.292  0.000  201.2   89.5  111.7    0.0
 1999 329    97  23.20  29.00  11.50  5.200  5.200  3.200  2.000  0.000  206.4   92.7  113.7    0.0
 1999 330    98  10.50  23.00  15.30  2.255  2.255  1.405  0.850  0.000  208.7   94.1  114.6    0.0
 1999 331    99  24.40  27.20  14.70  5.480  5.480  3.792  1.689  0.000  214.1   97.8  116.3    0.0
 1999 332   100  31.30  30.40  13.30  7.210  6.954  5.747  1.207  0.000  221.1  103.6  117.5    0.0
 1999 333   101  29.40  32.10  14.10  6.940  6.561  5.569  0.992  0.000  227.7  109.2  118.5    0.0
 1999 334   102  31.80  33.90  17.50  7.840  7.193  6.330  0.862  0.000  234.8  115.5  119.3    0.0
 1999 335   103  18.00  32.00  17.70  4.354  4.284  3.511  0.773  0.000  239.1  119.0  120.1    0.0
 1999 336   104   9.00  22.70  14.30  1.903  1.903  1.235  0.668  0.000  241.0  120.2  120.8    0.0
 1999 337   105  20.40  24.80  13.80  4.409  4.409  2.856  1.553  0.000  245.4  123.1  122.3    0.0
 1999 338   106  31.10  30.50  15.60  7.282  7.282  4.730  2.552  0.000  252.7  127.8  124.9    0.0
 1999 339   107  13.40  22.00  10.90  2.728  2.728  1.777  0.950  0.000  255.5  129.6  125.8    0.0
 1999 340   108  32.30  21.80   7.90  6.389  6.389  4.161  2.228  0.000  261.8  133.8  128.1    0.0
 1999 341   109  24.30  22.60   8.00  4.862  4.819  3.126  1.693  0.000  266.7  136.9  129.8    0.0
 1999 342   110  31.10  26.80  10.50  6.701  6.287  4.437  1.850  0.000  272.9  141.3  131.6    0.0
 1999 343   111  31.90  29.00  12.10  7.147  6.195  3.701  2.495  0.000  279.1  145.0  134.1    0.0
 1999 344   112  32.10  29.70  14.10  7.366  4.694  3.278  1.416  0.000  283.8  148.3  135.5    0.0
 1999 345   113  25.30  30.40  15.20  5.903  2.877  2.828  0.049  0.000  286.7  151.1  135.6    0.0
 1999 346   114  14.00  26.80  17.20  3.184  2.523  2.485  0.037  0.000  289.2  153.6  135.6    0.0
 1999 347   115  16.10  26.00  15.80  3.590  3.590  2.297  1.294  0.000  292.8  155.9  136.9    0.0
 1999 348   116  31.40  27.90  14.50  7.093  7.093  4.498  2.595  0.000  299.9  160.4  139.5    0.0
 1999 349   117  31.40  30.60  16.20  7.421  5.255  2.735  2.520  0.000  305.2  163.1  142.0    0.0
 1999 350   118  32.50  31.70  14.30  7.679  5.247  2.273  2.974  0.000  310.4  165.4  145.0    0.0
 1999 351   119  31.50  31.40  16.40  7.538  3.471  1.986  1.485  0.000  313.9  167.4  146.5    0.0
 1999 352   120  26.60  34.30  17.40  6.619  2.070  1.778  0.291  0.000  316.0  169.2  146.8    0.0
 1999 353   121  29.70  29.30  19.20  7.096  1.649  1.614  0.034  0.000  317.6  170.8  146.8    0.0
 1999 354   122  31.40  30.60  12.20  7.235  1.507  1.480  0.027  0.000  319.1  172.3  146.8    0.0
 1999 355   123  22.20  31.50  15.60  5.312  1.391  1.369  0.022  0.000  320.5  173.7  146.9    0.0
 1999 356   124  32.30  28.30  15.80  7.487  1.289  1.271  0.018  0.000  321.8  174.9  146.9    0.0
 1999 357   125  32.50  27.70   9.20  7.119  1.201  1.186  0.014  0.000  323.0  176.1  146.9    0.0
 1999 358   126  29.10  34.00  13.60  7.111  1.125  1.113  0.011  0.000  324.1  177.2  146.9    0.0
 1999 359   127  30.90  37.20  17.90  8.883  1.055  1.046  0.009  0.000  325.2  178.3  146.9    0.0
 1999 360   128  20.60  39.40  20.80  6.751  0.991  0.984  0.007  0.000  326.2  179.3  146.9    0.0
 1999 361   129  20.60  38.30  24.30  6.567  0.855  0.850  0.005  0.000  327.0  180.1  146.9    0.0
 1999 362   130   9.10  24.70  21.00  2.141  1.772  0.769  1.003  0.000  328.8  180.9  147.9    0.0
 1999 363   131  14.30  25.00  18.10  3.313  1.708  0.707  1.002  0.000  330.5  181.6  148.9    0.0
 1999 364   132   9.10  25.60  18.00  2.129  1.808  0.605  1.202  0.000  332.3  182.2  150.1    0.0
 1999 365   133  29.10  29.50  14.10  6.934  2.160  0.589  1.571  0.000  334.5  182.8  151.7    0.0
 2000 001   134  31.30  29.80  13.20  7.454  1.179  0.552  0.627  0.000  335.7  183.3  152.3    0.0
 2000 002   135  28.90  30.20  14.00  6.960  0.538  0.538  0.000  0.000  336.2  183.9  152.3    0.0
 2000 003   136  32.10  30.50  13.30  7.718  0.505  0.505  0.000  0.000  336.7  184.4  152.3    0.0
