*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 12:23:42

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0108 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 191     0   116      0      0      0     0     0   125  0.347  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 192     1   114      0      0      0     0     0   125  0.322  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 193     2   113      0      0      0     0     0   125  0.303  0.391  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 194     3   154      0      0      0     1    43   125  0.522  0.566  0.477  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1990 195     4   152      0      0      0     1    43   125  0.507  0.538  0.488  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 1990 196     5   152      0      0      0     1    43   125  0.513  0.521  0.490  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 1990 197     6   152      0      0      1     1    43   125  0.523  0.514  0.491  0.343  0.378  0.416  0.408  0.395  0.000  0.000
 1990 198     7   150      0      0      1     1    43   125  0.473  0.513  0.492  0.346  0.378  0.415  0.408  0.395  0.000  0.000
 1990 199     8   147      0      0      1     1    43   125  0.444  0.502  0.491  0.348  0.379  0.415  0.408  0.395  0.000  0.000
 1990 200     9   146      0      0      1     1    43   125  0.434  0.492  0.489  0.350  0.379  0.415  0.408  0.395  0.000  0.000
 1990 201    10   145      0      0      1     1    43   125  0.428  0.484  0.487  0.352  0.379  0.414  0.408  0.395  0.000  0.000
 1990 202    11   144      0      0      1     1    43   125  0.423  0.478  0.485  0.354  0.380  0.414  0.407  0.395  0.000  0.000
 1990 203    12   143      0      0      1     1    43   125  0.419  0.473  0.483  0.356  0.380  0.414  0.407  0.395  0.000  0.000
 1990 204    13   142      0      0      1     1    43   125  0.415  0.469  0.480  0.358  0.381  0.413  0.407  0.395  0.000  0.000
 1990 205    14   141      0      0      1     1    43   125  0.412  0.465  0.478  0.359  0.381  0.413  0.407  0.395  0.000  0.000
 1990 206    15   141      0      0      1     1    43   125  0.409  0.462  0.476  0.361  0.381  0.413  0.407  0.395  0.000  0.000
 1990 207    16   140      0      0      1     1    43   125  0.406  0.459  0.474  0.362  0.382  0.412  0.407  0.395  0.000  0.000
 1990 208    17   139      0      0      1     1    43   125  0.403  0.456  0.472  0.363  0.382  0.412  0.407  0.395  0.000  0.000
 1990 209    18   139      0      0      1     1    43   125  0.401  0.453  0.470  0.364  0.382  0.412  0.407  0.395  0.000  0.000
 1990 210    19   138      0      0      1     1    43   125  0.398  0.451  0.469  0.365  0.383  0.411  0.407  0.395  0.000  0.000
 1990 211    20   138      0      0      1     1    43   125  0.396  0.449  0.467  0.366  0.383  0.411  0.407  0.395  0.000  0.000
 1990 212    21   137      0      0      1     1    43   125  0.393  0.446  0.466  0.367  0.383  0.411  0.407  0.395  0.000  0.000
 1990 213    22   137      0      0      1     1    43   125  0.391  0.444  0.464  0.368  0.384  0.411  0.407  0.395  0.000  0.000
 1990 214    23   137      0      0      1     1    43   125  0.389  0.442  0.463  0.369  0.384  0.410  0.407  0.395  0.000  0.000
 1990 215    24   136      0      0      1     1    43   125  0.387  0.441  0.461  0.370  0.384  0.410  0.406  0.395  0.000  0.000
 1990 216    25   136      0      0      1     1    43   125  0.385  0.439  0.460  0.370  0.385  0.410  0.406  0.395  0.000  0.000
 1990 217    26   135      0      0      1     1    43   125  0.383  0.437  0.459  0.371  0.385  0.410  0.406  0.395  0.000  0.000
 1990 218    27   135      0      0      1     1    43   125  0.381  0.435  0.458  0.371  0.385  0.409  0.406  0.395  0.000  0.000
 1990 219    28   134      0      0      1     1    43   125  0.379  0.434  0.457  0.372  0.386  0.409  0.406  0.395  0.000  0.000
 1990 220    29   161      0      0      1     2    73   125  0.512  0.566  0.499  0.372  0.386  0.409  0.406  0.394  0.000  0.000
 1990 221    30   175      0      0     18     2    73   125  0.521  0.551  0.571  0.400  0.386  0.409  0.406  0.394  0.000  0.000
 1990 222    31   171      0      0     18     2    73   125  0.470  0.538  0.556  0.417  0.387  0.409  0.406  0.394  0.000  0.000
 1990 223    32   168      0      0     18     2    73   125  0.452  0.523  0.545  0.424  0.388  0.408  0.406  0.394  0.000  0.000
 1990 224    33   167      0      0     18     2    73   125  0.455  0.514  0.538  0.424  0.390  0.408  0.406  0.394  0.000  0.000
 1990 225    34   165      0      0     18     2    73   125  0.457  0.508  0.532  0.424  0.391  0.408  0.405  0.394  0.000  0.000
 1990 226    35   164      0      0     18     2    73   125  0.458  0.504  0.527  0.423  0.392  0.408  0.405  0.394  0.000  0.000
 1990 227    36   163      0      0     18     2    73   125  0.458  0.500  0.523  0.423  0.394  0.408  0.405  0.394  0.000  0.000
 1990 228    37   162      0      0     18     2    73   125  0.457  0.496  0.519  0.422  0.395  0.408  0.405  0.394  0.000  0.000
 1990 229    38   161      0      0     18     2    73   125  0.455  0.492  0.515  0.421  0.396  0.408  0.405  0.394  0.000  0.000
 1990 230    39   160      0      0     18     2    73   125  0.453  0.489  0.512  0.420  0.397  0.407  0.405  0.394  0.000  0.000
 1990 231    40   159      0      0     18     2    73   125  0.452  0.487  0.509  0.419  0.398  0.407  0.405  0.394  0.000  0.000
 1990 232    41   158      0      0     18     2    73   125  0.449  0.483  0.505  0.418  0.399  0.407  0.405  0.394  0.000  0.000
 1990 233    42   157      0      0     18     2    73   125  0.446  0.480  0.502  0.417  0.399  0.407  0.405  0.394  0.000  0.000
 1990 234    43   156      0      0     18     2    73   125  0.443  0.476  0.499  0.416  0.400  0.407  0.405  0.394  0.000  0.000
 1990 235    44   155      0      0     18     2    73   125  0.440  0.473  0.495  0.415  0.401  0.407  0.405  0.394  0.000  0.000
 1990 236    45   154      0      0     18     2    73   125  0.437  0.470  0.493  0.414  0.401  0.407  0.405  0.394  0.000  0.000
 1990 237    46   153      0      0     18     2    73   125  0.434  0.466  0.489  0.413  0.402  0.407  0.404  0.394  0.000  0.000
 1990 238    47   152      0      0     18     2    73   125  0.431  0.463  0.486  0.412  0.402  0.407  0.404  0.394  0.000  0.000
 1990 239    48   155      0      0     23     2    73   125  0.501  0.461  0.484  0.411  0.403  0.407  0.404  0.394  0.000  0.000
 1990 240    49   154      0      0     24     2    73   125  0.494  0.466  0.481  0.410  0.403  0.407  0.404  0.393  0.000  0.000
 1990 241    50   153      0      0     24     2    73   125  0.472  0.468  0.479  0.410  0.403  0.407  0.404  0.393  0.000  0.000
 1990 242    51   152      0      0     24     2    73   125  0.459  0.468  0.477  0.409  0.404  0.407  0.404  0.393  0.000  0.000
 1990 243    52   151      0      0     24     2    73   125  0.450  0.467  0.476  0.408  0.404  0.407  0.404  0.393  0.000  0.000
 1990 244    53   154      0      0     31     2    73   125  0.517  0.471  0.475  0.407  0.404  0.407  0.404  0.393  0.000  0.000
 1990 245    54   153      0      0     31     2    73   125  0.485  0.478  0.474  0.406  0.404  0.406  0.404  0.393  0.000  0.000
 1990 246    55   152      0      0     31     2    73   125  0.468  0.478  0.475  0.406  0.404  0.406  0.404  0.393  0.000  0.000
 1990 247    56   152      0      0     31     2    73   125  0.459  0.476  0.475  0.405  0.404  0.406  0.404  0.393  0.000  0.000
 1990 248    57   151      0      0     31     2    73   125  0.451  0.473  0.475  0.404  0.404  0.406  0.404  0.393  0.000  0.000
 1990 249    58   222     34      4    141     2    73   125  0.563  0.567  0.568  0.469  0.460  0.447  0.439  0.427  0.000  0.000
 1990 250    59   222     35     48    188     2    73   125  0.545  0.567  0.567  0.470  0.460  0.447  0.439  0.432  0.000  0.000
 1990 251    60   205     35     62    188     2    73   125  0.500  0.556  0.556  0.457  0.449  0.436  0.427  0.417  0.000  0.000
 1990 252    61   193     35     71    188     2    73   125  0.464  0.533  0.548  0.449  0.442  0.429  0.419  0.408  0.000  0.000
 1990 253    62   185     35     75    188     2    73   125  0.440  0.517  0.538  0.444  0.437  0.425  0.415  0.403  0.000  0.000
 1990 254    63   180     35     78    188     2    73   125  0.441  0.508  0.532  0.441  0.435  0.423  0.412  0.400  0.000  0.000
 1990 255    64   177     35     79    188     2    73   125  0.441  0.500  0.525  0.440  0.433  0.421  0.410  0.398  0.000  0.000
 1990 256    65   175     35     79    188     2    73   125  0.440  0.494  0.520  0.438  0.433  0.421  0.410  0.398  0.000  0.000
 1990 257    66   173     35     79    188     2    73   125  0.438  0.488  0.514  0.436  0.433  0.421  0.410  0.398  0.000  0.000
 1990 258    67   172     35     79    188     2    73   125  0.436  0.484  0.510  0.434  0.433  0.421  0.410  0.398  0.000  0.000
 1990 259    68   170     35     79    188     2    73   125  0.434  0.479  0.506  0.432  0.433  0.421  0.410  0.398  0.000  0.000
 1990 260    69   169     35     79    188     2    73   125  0.432  0.476  0.502  0.430  0.432  0.421  0.410  0.398  0.000  0.000
 1990 261    70   194     35     79    216     2    73   125  0.548  0.565  0.563  0.441  0.433  0.421  0.411  0.398  0.000  0.000
 1990 262    71   189     35     82    216     2    73   125  0.497  0.553  0.552  0.439  0.433  0.421  0.411  0.398  0.000  0.000
 1990 263    72   186     35     83    216     2    73   125  0.509  0.532  0.545  0.439  0.433  0.421  0.411  0.398  0.000  0.000
 1990 264    73   183     35     83    216     2    73   125  0.488  0.525  0.538  0.437  0.433  0.421  0.411  0.398  0.000  0.000
 1990 265    74   178     35     83    216     2    73   125  0.451  0.515  0.529  0.435  0.433  0.421  0.411  0.398  0.000  0.000
 1990 266    75   175     35     83    216     2    73   125  0.446  0.503  0.520  0.433  0.432  0.421  0.411  0.398  0.000  0.000
 1990 267    76   172     35     83    216     2    73   125  0.441  0.493  0.512  0.430  0.431  0.421  0.411  0.398  0.000  0.000
 1990 268    77   170     35     83    216     2    73   125  0.436  0.485  0.505  0.427  0.430  0.421  0.411  0.398  0.000  0.000
 1990 269    78   167     35     83    216     2    73   125  0.431  0.477  0.499  0.424  0.428  0.421  0.411  0.398  0.000  0.000
 1990 270    79   164     35     83    216     2    73   125  0.426  0.470  0.492  0.420  0.426  0.421  0.411  0.398  0.000  0.000
 1990 271    80   162     35     83    216     2    73   125  0.421  0.466  0.489  0.418  0.425  0.421  0.411  0.398  0.000  0.000
 1990 272    81   159     35     83    216     2    73   125  0.416  0.458  0.482  0.414  0.423  0.421  0.411  0.398  0.000  0.000
 1990 273    82   156     35     83    216     2    73   125  0.410  0.451  0.474  0.409  0.420  0.421  0.411  0.398  0.000  0.000
 1990 274    83   152     35     83    216     2    73   125  0.404  0.443  0.467  0.404  0.416  0.420  0.411  0.398  0.000  0.000
 1990 275    84   148     35     83    216     2    73   125  0.398  0.435  0.459  0.398  0.412  0.420  0.411  0.398  0.000  0.000
 1990 276    85   144     35     83    216     2    73   125  0.392  0.428  0.451  0.391  0.407  0.420  0.411  0.398  0.000  0.000
 1990 277    86   170     35     83    216     3   103   125  0.542  0.564  0.493  0.386  0.403  0.419  0.411  0.398  0.000  0.000
 1990 278    87   198     36     83    246     3   103   125  0.558  0.557  0.570  0.470  0.430  0.419  0.411  0.398  0.000  0.000
 1990 279    88   211     36     84    262     3   103   125  0.555  0.565  0.565  0.467  0.458  0.439  0.423  0.403  0.000  0.000
 1990 280    89   225     40    136    334     3   103   125  0.556  0.567  0.568  0.488  0.458  0.447  0.439  0.432  0.000  0.000
 1990 281    90   208     40    151    334     3   103   125  0.541  0.554  0.555  0.468  0.445  0.436  0.427  0.417  0.000  0.000
 1990 282    91   194     40    160    334     3   103   125  0.511  0.542  0.543  0.450  0.433  0.428  0.419  0.408  0.000  0.000
 1990 283    92   185     40    164    334     3   103   125  0.508  0.527  0.535  0.439  0.427  0.423  0.415  0.403  0.000  0.000
 1990 284    93   182     40    164    334     3   103   125  0.515  0.520  0.529  0.434  0.423  0.420  0.414  0.402  0.000  0.000
 1990 285    94   182     40    165    341     3   103   125  0.547  0.548  0.527  0.427  0.417  0.418  0.411  0.401  0.000  0.000
 1990 286    95   177     40    166    341     3   103   125  0.524  0.537  0.526  0.422  0.412  0.415  0.410  0.398  0.000  0.000
 1990 287    96   172     40    166    341     3   103   125  0.511  0.525  0.521  0.417  0.407  0.412  0.410  0.397  0.000  0.000
 1990 288    97   166     40    166    341     3   103   125  0.499  0.515  0.515  0.412  0.401  0.407  0.410  0.397  0.000  0.000
 1990 289    98   162     40    166    341     3   103   125  0.491  0.507  0.510  0.408  0.397  0.403  0.410  0.397  0.000  0.000
 1990 290    99   159     40    166    341     3   103   125  0.488  0.502  0.506  0.406  0.395  0.401  0.409  0.397  0.000  0.000
 1990 291   100   156     40    166    342     3   103   125  0.500  0.495  0.500  0.402  0.391  0.396  0.409  0.397  0.000  0.000
 1990 292   101   153     40    166    346     3   103   125  0.538  0.496  0.493  0.396  0.386  0.391  0.409  0.397  0.000  0.000
 1990 293   102   149     40    166    346     3   103   125  0.501  0.501  0.489  0.391  0.383  0.387  0.408  0.397  0.000  0.000
 1990 294   103   143     40    166    346     3   103   125  0.482  0.492  0.482  0.385  0.379  0.382  0.408  0.397  0.000  0.000
 1990 295   104   137     40    166    346     3   103   125  0.465  0.480  0.473  0.379  0.375  0.378  0.408  0.397  0.000  0.000
 1990 296   105   133     40    166    346     3   103   125  0.457  0.472  0.467  0.376  0.373  0.376  0.407  0.397  0.000  0.000
 1990 297   106   128     40    166    346     3   103   125  0.442  0.461  0.458  0.372  0.370  0.373  0.407  0.397  0.000  0.000
 1990 298   107   124     40    166    346     3   103   125  0.431  0.452  0.451  0.370  0.368  0.371  0.405  0.397  0.000  0.000
 1990 299   108   120     40    166    346     3   103   125  0.426  0.442  0.443  0.367  0.366  0.369  0.403  0.397  0.000  0.000
 1990 300   109   115     40    166    346     3   103   125  0.415  0.432  0.434  0.365  0.364  0.367  0.400  0.397  0.000  0.000
 1990 301   110   191     42    166    396     4   134   125  0.580  0.565  0.565  0.469  0.460  0.385  0.399  0.397  0.000  0.000
 1990 302   111   190     42    166    397     4   134   125  0.559  0.563  0.559  0.461  0.455  0.393  0.398  0.396  0.000  0.000
 1990 303   112   183     42    166    397     4   134   125  0.533  0.548  0.546  0.446  0.439  0.405  0.395  0.396  0.000  0.000
 1990 304   113   195     42    166    410     4   134   125  0.571  0.562  0.566  0.467  0.446  0.409  0.395  0.396  0.000  0.000
 1990 305   114   189     42    166    410     4   134   125  0.541  0.551  0.554  0.452  0.435  0.412  0.405  0.396  0.000  0.000
 1990 306   115   183     42    166    410     4   134   125  0.523  0.543  0.545  0.441  0.427  0.412  0.401  0.395  0.000  0.000
 1990 307   116   179     42    166    410     4   134   125  0.530  0.534  0.541  0.437  0.425  0.409  0.399  0.395  0.000  0.000
 1990 308   117   206     42    166    442     4   134   125  0.557  0.564  0.562  0.465  0.456  0.434  0.412  0.398  0.000  0.000
 1990 309   118   193     42    174    442     4   134   125  0.534  0.550  0.552  0.449  0.441  0.423  0.406  0.398  0.000  0.000
 1990 310   119   188     42    176    442     4   134   125  0.534  0.541  0.547  0.443  0.435  0.419  0.406  0.398  0.000  0.000
 1990 311   120   181     42    177    442     4   134   125  0.522  0.534  0.540  0.435  0.428  0.414  0.403  0.398  0.000  0.000
 1990 312   121   179     42    177    443     4   134   125  0.543  0.530  0.536  0.433  0.426  0.412  0.400  0.397  0.000  0.000
 1990 313   122   175     42    177    444     4   134   125  0.524  0.534  0.532  0.429  0.422  0.408  0.396  0.397  0.000  0.000
 1990 314   123   169     42    177    444     4   134   125  0.513  0.525  0.526  0.424  0.417  0.403  0.392  0.396  0.000  0.000
 1990 315   124   163     42    177    444     4   134   125  0.503  0.518  0.521  0.420  0.412  0.398  0.388  0.395  0.000  0.000
 1990 316   125   161     42    177    444     4   134   125  0.504  0.513  0.518  0.418  0.410  0.396  0.386  0.394  0.000  0.000
 1990 317   126   155     42    177    444     4   134   125  0.492  0.508  0.512  0.414  0.406  0.392  0.382  0.392  0.000  0.000
 1990 318   127   156     42    177    451     4   134   125  0.556  0.532  0.506  0.409  0.401  0.388  0.378  0.390  0.000  0.000
 1990 319   128   203     43    177    501     4   134   125  0.552  0.564  0.569  0.468  0.458  0.434  0.395  0.390  0.000  0.000
 1990 320   129   217     43    180    522     4   134   125  0.553  0.564  0.564  0.466  0.457  0.443  0.436  0.419  0.000  0.000
 1990 321   130   198     43    192    522     4   134   125  0.528  0.550  0.550  0.450  0.441  0.428  0.419  0.408  0.000  0.000
 1990 322   131   186     43    197    522     4   134   125  0.515  0.535  0.541  0.439  0.432  0.419  0.408  0.401  0.000  0.000
 1990 323   132   178     43    197    522     4   134   125  0.506  0.525  0.534  0.433  0.426  0.414  0.402  0.397  0.000  0.000
 1990 324   133   203     43    197    551     4   134   125  0.567  0.562  0.563  0.467  0.457  0.425  0.407  0.396  0.000  0.000
 1990 325   134   196     43    198    552     4   134   125  0.540  0.553  0.553  0.456  0.451  0.422  0.408  0.396  0.000  0.000
 1990 326   135   185     43    201    552     4   134   125  0.519  0.542  0.543  0.443  0.437  0.416  0.403  0.394  0.000  0.000
 1990 327   136   178     43    201    552     4   134   125  0.515  0.530  0.536  0.436  0.430  0.413  0.397  0.392  0.000  0.000
 1990 328   137   173     43    201    552     4   134   125  0.508  0.523  0.531  0.431  0.425  0.409  0.393  0.391  0.000  0.000
 1990 329   138   166     43    201    552     4   134   125  0.496  0.516  0.524  0.426  0.420  0.404  0.389  0.389  0.000  0.000
 1990 330   139   186     43    201    577     4   134   125  0.561  0.561  0.562  0.466  0.435  0.402  0.385  0.387  0.000  0.000
 1990 331   140   180     43    201    577     4   134   125  0.533  0.548  0.549  0.450  0.428  0.412  0.381  0.385  0.000  0.000
 1990 332   141   173     43    201    577     4   134   125  0.519  0.536  0.541  0.440  0.426  0.409  0.377  0.383  0.000  0.000
 1990 333   142   166     43    201    577     4   134   125  0.509  0.527  0.534  0.433  0.420  0.404  0.374  0.381  0.000  0.000
 1990 334   143   163     43    201    577     4   134   125  0.510  0.521  0.530  0.430  0.418  0.401  0.373  0.379  0.000  0.000
 1990 335   144   160     43    201    580     4   134   125  0.538  0.519  0.523  0.425  0.413  0.396  0.371  0.377  0.000  0.000
 1990 336   145   163     43    201    586     4   134   125  0.543  0.562  0.528  0.422  0.410  0.393  0.370  0.376  0.000  0.000
