*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 12:23:42

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0108 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 191     0    0.0   10.1   11.1   13.3   26.6   0.09   15.8    7.8   11.4   12.8    7.8   11.4   12.8   86.4    330
 1990 192     1    0.0   10.1   11.1   13.4   26.8   0.09   17.8    4.0   10.2   12.6    4.0   10.2   12.6   86.4    330
 1990 193     2    0.0   10.1   11.1   13.5   27.0   0.09   18.8    4.7   11.1   13.5    4.7   11.1   13.5   86.4    330
 1990 194     3    0.0   10.1   11.1   11.0   22.0   0.26   20.8    8.2   13.9   16.1    8.2   13.9   16.1   86.4    330
 1990 195     4    0.0   10.1   11.1    7.2   14.4   0.52   21.0    9.6   14.8   16.7    9.6   14.8   16.7   86.4    330
 1990 196     5    0.0   10.1   11.2    3.9    7.8   0.74   20.5   11.4   15.5   17.1   11.4   15.5   17.1   86.4    330
 1990 197     6    1.0   10.2   11.2    3.9    7.8   0.74   13.4    7.6   10.2   11.2    7.6   10.2   11.2   86.4    330
 1990 198     7    0.0   10.2   11.2   13.8   27.6   0.09   17.2    4.5   10.3   12.5    4.5   10.3   12.5   86.4    330
 1990 199     8    0.0   10.2   11.2   13.3   26.6   0.13   11.6    1.5    6.1    7.8    1.5    6.1    7.8   86.4    330
 1990 200     9    0.0   10.2   11.2   10.0   20.0   0.35   11.1   -1.3    4.3    6.5   -1.3    4.3    6.5   86.4    330
 1990 201    10    0.0   10.2   11.2    8.7   17.4   0.44   11.8   -1.7    4.4    6.8   -1.7    4.4    6.8   86.4    330
 1990 202    11    0.0   10.3   11.2   13.2   26.4   0.15    9.6   -2.2    3.2    5.2   -2.2    3.2    5.2   86.4    330
 1990 203    12    0.0   10.3   11.3    7.7   15.4   0.51   11.1   -3.6    3.1    5.7   -3.6    3.1    5.7   86.4    330
 1990 204    13    0.0   10.3   11.3   13.9   27.8   0.12   13.8   -3.2    4.5    7.5   -3.2    4.5    7.5   86.4    330
 1990 205    14    0.0   10.3   11.3   14.4   28.8   0.09   14.8    1.7    7.7   10.0    1.7    7.7   10.0   86.4    330
 1990 206    15    0.0   10.3   11.3   12.4   24.8   0.22   16.9    0.8    8.1   11.0    0.8    8.1   11.0   86.4    330
 1990 207    16    0.0   10.4   11.3   14.5   29.0   0.10   17.0    1.2    8.4   11.2    1.2    8.4   11.2   86.4    330
 1990 208    17    0.0   10.4   11.4   14.4   28.8   0.11   13.6    3.5    8.1    9.9    3.5    8.1    9.9   86.4    330
 1990 209    18    0.0   10.4   11.4   14.6   29.2   0.10   15.2   -2.6    5.5    8.7   -2.6    5.5    8.7   86.4    330
 1990 210    19    0.0   10.4   11.4    5.1   10.2   0.69   14.1    4.4    8.8   10.6    4.4    8.8   10.6   86.4    330
 1990 211    20    0.0   10.4   11.4   14.9   29.8   0.10   13.4   -1.0    5.6    8.2   -1.0    5.6    8.2   86.4    330
 1990 212    21    0.0   10.5   11.4   15.0   30.0   0.10   16.0    1.3    8.0   10.7    1.3    8.0   10.7   86.4    330
 1990 213    22    0.0   10.5   11.5   10.3   20.6   0.38   18.3    4.9   11.0   13.4    4.9   11.0   13.4   86.4    330
 1990 214    23    0.0   10.5   11.5   12.6   25.2   0.25   20.5    2.8   10.9   14.1    2.8   10.9   14.1   86.4    330
 1990 215    24    0.0   10.5   11.5   13.2   26.4   0.22   24.0    5.0   13.7   17.1    5.0   13.7   17.1   86.4    330
 1990 216    25    0.0   10.6   11.5   14.7   29.4   0.14   26.6    6.8   15.9   19.5    6.8   15.9   19.5   86.4    330
 1990 217    26    0.0   10.6   11.5   15.2   30.4   0.12   26.0   12.6   18.8   21.2   12.6   18.8   21.2   86.4    330
 1990 218    27    0.0   10.6   11.6   15.4   30.8   0.11   26.5   15.7   20.7   22.6   15.7   20.7   22.6   86.4    330
 1990 219    28    0.0   10.6   11.6   14.9   29.8   0.15   26.5   16.8   21.3   23.0   16.8   21.3   23.0   86.4    330
 1990 220    29    0.0   10.7   11.6   12.4   24.8   0.30   26.3   14.4   19.9   22.0   14.4   19.9   22.0   86.4    330
 1990 221    30   17.0   10.7   11.6   13.6   27.2   0.23   21.6   15.1   18.1   19.3   15.1   18.1   19.3   86.4    330
 1990 222    31    0.0   10.7   11.7   15.6   31.2   0.13   26.6   13.2   19.4   21.8   13.2   19.4   21.8   86.4    330
 1990 223    32    0.0   10.7   11.7   15.1   30.2   0.16   26.6   14.8   20.3   22.4   14.8   20.3   22.4   86.4    330
 1990 224    33    0.0   10.8   11.7   15.8   31.6   0.13   28.5   13.4   20.4   23.2   13.4   20.4   23.2   86.4    330
 1990 225    34    0.0   10.8   11.7   16.0   32.0   0.13   28.9   15.1   21.5   24.0   15.1   21.5   24.0   86.4    330
 1990 226    35    0.0   10.8   11.8    9.6   19.2   0.48   25.4   15.0   19.8   21.7   15.0   19.8   21.7   86.4    330
 1990 227    36    0.0   10.9   11.8   14.3   28.6   0.23   20.0    9.9   14.6   16.5    9.9   14.6   16.5   86.4    330
 1990 228    37    0.0   10.9   11.8   16.8   33.6   0.11   21.0    5.9   12.9   15.7    5.9   12.9   15.7   86.4    330
 1990 229    38    0.0   10.9   11.8   17.4   34.8   0.08   22.8   11.3   16.6   18.8   11.3   16.6   18.8   86.4    330
 1990 230    39    0.0   10.9   11.9   14.7   29.4   0.23   23.7    6.6   14.5   17.7    6.6   14.5   17.7   86.4    330
 1990 231    40    0.0   11.0   11.9    7.7   15.4   0.60   21.2   10.8   15.6   17.6   10.8   15.6   17.6   86.4    330
 1990 232    41    0.0   11.0   11.9   17.5   35.0   0.10   23.4    6.5   14.4   17.5    6.5   14.4   17.5   86.4    330
 1990 233    42    0.0   11.0   12.0   17.7   35.4   0.10   24.3    8.7   16.0   18.9    8.7   16.0   18.9   86.4    330
 1990 234    43    0.0   11.1   12.0   17.4   34.8   0.12   22.4    7.8   14.6   17.4    7.8   14.6   17.4   86.4    330
 1990 235    44    0.0   11.1   12.0   15.7   31.4   0.21   19.4    7.5   13.1   15.3    7.5   13.1   15.3   86.4    330
 1990 236    45    0.0   11.1   12.0   11.9   23.8   0.41   22.0    7.6   14.3   17.1    7.6   14.3   17.1   86.4    330
 1990 237    46    0.0   11.1   12.1   16.8   33.6   0.17   23.4   11.4   17.0   19.3   11.4   17.0   19.3   86.4    330
 1990 238    47    0.0   11.2   12.1   13.0   26.0   0.36   25.0   12.2   18.2   20.6   12.2   18.2   20.6   86.4    330
 1990 239    48    4.7   11.2   12.1    9.4   18.8   0.54   18.8    4.9   11.4   14.1    4.9   11.4   14.1   86.4    330
 1990 240    49    1.7   11.2   12.2   18.9   37.8   0.09   12.1    2.1    6.8    8.7    2.1    6.8    8.7   86.4    330
 1990 241    50    0.0   11.3   12.2   19.2   38.4   0.08   15.7    0.7    7.7   10.6    0.7    7.7   10.6   86.4    330
 1990 242    51    0.0   11.3   12.2   17.9   35.8   0.15   21.8    5.3   13.0   16.2    5.3   13.0   16.2   86.4    330
 1990 243    52    0.0   11.3   12.2    5.7   11.4   0.73   13.2    5.0    8.9   10.4    5.0    8.9   10.4   86.4    330
 1990 244    53    6.4   11.4   12.3   16.6   33.2   0.22   12.6    1.2    6.6    8.8    1.2    6.6    8.8   86.4    330
 1990 245    54    0.0   11.4   12.3   17.5   35.0   0.19   14.1   -1.2    6.0    9.0   -1.2    6.0    9.0   86.4    330
 1990 246    55    0.0   11.4   12.3   19.9   39.8   0.08   18.6    2.1    9.9   13.1    2.1    9.9   13.1   86.4    330
 1990 247    56    0.0   11.5   12.4    7.8   15.6   0.64   21.5    9.2   15.0   17.4    9.2   15.0   17.4   86.4    330
 1990 248    57    0.0   11.5   12.4    7.4   14.8   0.66   19.6   14.5   16.9   17.9   14.5   16.9   17.9   86.4    330
 1990 249    58  110.0   11.5   12.4    5.8   11.6   0.74   16.4   14.4   15.3   15.7   14.4   15.3   15.7   86.4    330
 1990 250    59   47.0   11.6   12.5    5.9   11.8   0.74   17.0   13.1   14.9   15.7   13.1   14.9   15.7   86.4    330
 1990 251    60    0.0   11.6   12.5   11.6   23.2   0.49   18.8   12.4   15.4   16.7   12.4   15.4   16.7   86.4    330
 1990 252    61    0.0   11.6   12.5   19.3   38.6   0.15   22.7    8.3   15.1   18.0    8.3   15.1   18.0   86.4    330
 1990 253    62    0.0   11.6   12.6   19.0   38.0   0.17   26.8   13.9   20.0   22.6   13.9   20.0   22.6   86.4    330
 1990 254    63    0.0   11.7   12.6   11.1   22.2   0.52   22.5   10.1   16.0   18.4   10.1   16.0   18.4   86.4    330
 1990 255    64    0.0   11.7   12.6   18.2   36.4   0.22   16.8    6.5   11.4   13.4    6.5   11.4   13.4   86.4    330
 1990 256    65    0.0   11.7   12.6   16.5   33.0   0.30   14.8    1.5    7.8   10.5    1.5    7.8   10.5   86.4    330
 1990 257    66    0.0   11.8   12.7   21.5   43.0   0.09   15.4    0.7    7.7   10.6    0.7    7.7   10.6   86.4    330
 1990 258    67    0.0   11.8   12.7   21.6   43.2   0.09   20.0    4.4   11.8   14.9    4.4   11.8   14.9   86.4    330
 1990 259    68    0.0   11.8   12.7   21.2   42.4   0.12   22.8    7.2   14.6   17.7    7.2   14.6   17.7   86.4    330
 1990 260    69    0.0   11.9   12.8   12.1   24.2   0.50   22.8    9.6   15.9   18.5    9.6   15.9   18.5   86.4    330
 1990 261    70   28.0   11.9   12.8    9.2   18.4   0.62   18.6   13.0   15.7   16.8   13.0   15.7   16.8   86.4    330
 1990 262    71    0.0   11.9   12.8   15.4   30.8   0.37   21.0    9.4   14.9   17.3    9.4   14.9   17.3   86.4    330
 1990 263    72    0.0   12.0   12.9    7.0   14.0   0.72   21.8   14.3   17.9   19.4   14.3   17.9   19.4   86.4    330
 1990 264    73    0.0   12.0   12.9   14.4   28.8   0.42   24.6   16.5   20.4   21.7   16.5   20.4   21.7   86.4    330
 1990 265    74    0.0   12.0   12.9   22.5   45.0   0.10   19.6   10.6   14.9   16.4   10.6   14.9   16.4   86.4    330
 1990 266    75    0.0   12.1   13.0   22.0   44.0   0.12   15.4    6.2   10.6   12.1    6.2   10.6   12.1   86.4    330
 1990 267    76    0.0   12.1   13.0   22.7   45.4   0.10   17.3    1.5    9.1   11.7    1.5    9.1   11.7   86.4    330
 1990 268    77    0.0   12.1   13.0   23.2   46.4   0.09   19.8    4.4   11.8   14.3    4.4   11.8   14.3   86.4    330
 1990 269    78    0.0   12.2   13.1   23.4   46.8   0.09   23.6    4.3   13.6   16.8    4.3   13.6   16.8   86.4    330
 1990 270    79    0.0   12.2   13.1   21.8   43.6   0.15   26.8    9.8   18.0   20.8    9.8   18.0   20.8   86.4    330
 1990 271    80    0.0   12.2   13.1    9.8   19.6   0.62   25.4   13.0   19.0   21.0   13.0   19.0   21.0   86.4    330
 1990 272    81    0.0   12.3   13.2   23.1   46.2   0.12   24.2   11.4   17.6   19.7   11.4   17.6   19.7   86.4    330
 1990 273    82    0.0   12.3   13.2   23.5   47.0   0.11   26.5    9.6   17.8   20.6    9.6   17.8   20.6   86.4    330
 1990 274    83    0.0   12.3   13.2   23.9   47.8   0.10   29.8   14.9   22.1   24.6   14.9   22.1   24.6   86.4    330
 1990 275    84    0.0   12.4   13.3   23.7   47.4   0.11   28.3   15.8   21.8   23.9   15.8   21.8   23.9   86.4    330
 1990 276    85    0.0   12.4   13.3   23.8   47.6   0.11   29.8   13.9   21.6   24.3   13.9   21.6   24.3   86.4    330
 1990 277    86    0.0   12.4   13.3   17.4   34.8   0.35   31.0   18.6   24.6   26.7   18.6   24.6   26.7   86.4    330
 1990 278    87   30.0   12.5   13.4    7.1   14.2   0.74   20.6   17.4   19.0   19.5   17.4   19.0   19.5   86.4    330
 1990 279    88   16.0   12.5   13.4    9.3   18.6   0.66   24.0   17.4   20.6   21.7   17.4   20.6   21.7   86.4    330
 1990 280    89   72.0   12.5   13.4    8.8   17.6   0.68   25.4   18.9   22.1   23.2   18.9   22.1   23.2   86.4    330
 1990 281    90    0.0   12.6   13.5    7.6   15.2   0.72   18.6   14.6   16.5   17.2   14.6   16.5   17.2   86.4    330
 1990 282    91    0.0   12.6   13.5   25.1   50.2   0.09   24.5    9.8   17.0   19.5    9.8   17.0   19.5   86.4    330
 1990 283    92    0.0   12.6   13.5   24.9   49.8   0.10   21.8   13.7   17.7   19.0   13.7   17.7   19.0   86.4    330
 1990 284    93    0.6   12.7   13.6   14.7   29.4   0.47   30.2   14.7   22.3   24.9   14.7   22.3   24.9   86.4    330
 1990 285    94    6.6   12.7   13.6   25.8   51.6   0.08   21.0   10.7   15.7   17.5   10.7   15.7   17.5   86.4    330
 1990 286    95    0.0   12.7   13.6   23.4   46.8   0.17   22.8    7.0   14.7   17.4    7.0   14.7   17.4   86.4    330
 1990 287    96    0.0   12.7   13.7   25.4   50.8   0.10   25.0   11.8   18.3   20.5   11.8   18.3   20.5   86.4    330
 1990 288    97    0.0   12.8   13.7   25.8   51.6   0.09   22.6   12.1   17.2   19.1   12.1   17.2   19.1   86.4    330
 1990 289    98    0.0   12.8   13.7   21.9   43.8   0.23   23.7    5.0   14.2   17.4    5.0   14.2   17.4   86.4    330
 1990 290    99    0.0   12.8   13.8   14.6   29.2   0.49   20.8   11.8   16.2   17.8   11.8   16.2   17.8   86.4    330
 1990 291   100    1.0   12.9   13.8   19.3   38.6   0.33   27.5   15.2   21.2   23.4   15.2   21.2   23.4   86.4    330
 1990 292   101    3.5   12.9   13.8   27.1   54.2   0.06   26.4   13.9   20.0   22.2   13.9   20.0   22.2   86.4    330
 1990 293   102    0.0   12.9   13.9   19.6   39.2   0.33   26.4   14.2   20.2   22.3   14.2   20.2   22.3   86.4    330
 1990 294   103    0.0   13.0   13.9   27.6   55.2   0.06   27.0   13.8   20.3   22.6   13.8   20.3   22.6   86.4    330
 1990 295   104    0.0   13.0   13.9   27.7   55.4   0.06   28.3   13.4   20.7   23.4   13.4   20.7   23.4   86.4    330
 1990 296   105    0.0   13.0   14.0   15.9   31.8   0.46   28.0   14.4   21.1   23.5   14.4   21.1   23.5   86.4    330
 1990 297   106    0.0   13.0   14.0   24.3   48.6   0.18   26.3   15.6   20.9   22.8   15.6   20.9   22.8   86.4    330
 1990 298   107    0.0   13.1   14.0   19.9   39.8   0.33   19.8   14.4   17.1   18.0   14.4   17.1   18.0   86.4    330
 1990 299   108    0.3   13.1   14.1   19.6   39.2   0.34   30.2   15.0   22.5   25.2   15.0   22.5   25.2   86.4    330
 1990 300   109    0.0   13.1   14.1   19.7   39.4   0.34   30.2   19.7   24.9   26.8   19.7   24.9   26.8   86.4    330
 1990 301   110   50.0   13.2   14.1    8.0   16.0   0.73   24.0   20.7   22.3   22.9   20.7   22.3   22.9   86.4    330
 1990 302   111    1.0   13.2   14.1   12.0   24.0   0.60   26.9   20.3   23.6   24.7   20.3   23.6   24.7   86.4    330
 1990 303   112    0.0   13.2   14.2   28.2   56.4   0.07   28.7   17.7   23.2   25.1   17.7   23.2   25.1   86.4    330
 1990 304   113   13.6   13.2   14.2    8.2   16.4   0.73   24.1   16.4   20.2   21.6   16.4   20.2   21.6   86.4    330
 1990 305   114    0.0   13.3   14.2   24.4   48.8   0.20   27.8   18.4   23.1   24.8   18.4   23.1   24.8   86.4    330
 1990 306   115    0.0   13.3   14.3   28.2   56.4   0.08   29.2   19.0   24.1   25.9   19.0   24.1   25.9   86.4    330
 1990 307   116    0.0   13.3   14.3   14.3   28.6   0.53   30.0   22.0   26.0   27.4   22.0   26.0   27.4   86.4    330
 1990 308   117   32.0   13.4   14.3   24.0   48.0   0.22   22.8   10.9   16.8   19.0   10.9   16.8   19.0   86.4    330
 1990 309   118    0.0   13.4   14.4   28.8   57.6   0.07   20.8    6.8   13.8   16.3    6.8   13.8   16.3   86.4    330
 1990 310   119    0.0   13.4   14.4   12.0   24.0   0.61   21.8   10.5   16.1   18.2   10.5   16.1   18.2   86.4    330
 1990 311   120    0.0   13.4   14.4   27.5   55.0   0.11   31.1   11.9   21.5   24.9   11.9   21.5   24.9   86.4    330
 1990 312   121    1.0   13.5   14.4   14.4   28.8   0.54   22.5   13.5   18.0   19.6   13.5   18.0   19.6   86.4    330
 1990 313   122    0.6   13.5   14.5   22.3   44.6   0.28   26.2   15.5   20.9   22.8   15.5   20.9   22.8   86.4    330
 1990 314   123    0.0   13.5   14.5   27.3   54.6   0.13   27.9   15.0   21.5   23.8   15.0   21.5   23.8   86.4    330
 1990 315   124    0.0   13.5   14.5   24.9   49.8   0.21   28.5   18.6   23.6   25.4   18.6   23.6   25.4   86.4    330
 1990 316   125    0.0   13.6   14.5   10.9   21.8   0.65   24.0   16.5   20.3   21.6   16.5   20.3   21.6   86.4    330
 1990 317   126    0.0   13.6   14.6   21.8   43.6   0.31   34.4   21.8   28.1   30.4   21.8   28.1   30.4   86.4    330
 1990 318   127    7.0   13.6   14.6   23.6   47.2   0.25   32.7   23.6   28.2   29.8   23.6   28.2   29.8   86.4    330
 1990 319   128   49.7   13.6   14.6    9.4   18.8   0.70   26.1   20.0   23.1   24.2   20.0   23.1   24.2   86.4    330
 1990 320   129   21.3   13.6   14.6   21.0   42.0   0.34   25.4   17.9   21.7   23.0   17.9   21.7   23.0   86.4    330
 1990 321   130    0.0   13.7   14.7   30.4   60.8   0.04   28.7   13.0   20.9   23.8   13.0   20.9   23.8   86.4    330
 1990 322   131    0.0   13.7   14.7   30.3   60.6   0.05   33.0   19.3   26.2   28.7   19.3   26.2   28.7   86.4    330
 1990 323   132    0.0   13.7   14.7   29.5   59.0   0.08   33.5   23.6   28.6   30.4   23.6   28.6   30.4   86.4    330
 1990 324   133   29.1   13.7   14.7   16.6   33.2   0.48   27.4   21.1   24.3   25.4   21.1   24.3   25.4   86.4    330
 1990 325   134    0.5   13.7   14.8   30.3   60.6   0.05   31.1   19.8   25.5   27.6   19.8   25.5   27.6   86.4    330
 1990 326   135    0.0   13.8   14.8   30.8   61.6   0.04   30.8   15.3   23.1   26.0   15.3   23.1   26.0   86.4    330
 1990 327   136    0.0   13.8   14.8   30.9   61.8   0.04   29.7   15.0   22.4   25.1   15.0   22.4   25.1   86.4    330
 1990 328   137    0.0   13.8   14.8   22.2   44.4   0.31   32.4   20.2   26.4   28.6   20.2   26.4   28.6   86.4    330
 1990 329   138    0.0   13.8   14.8   27.1   54.2   0.16   32.2   19.7   26.0   28.3   19.7   26.0   28.3   86.4    330
 1990 330   139   25.7   13.8   14.9   24.0   48.0   0.26   26.0   18.0   22.0   23.5   18.0   22.0   23.5   86.4    330
 1990 331   140    0.0   13.8   14.9   30.0   60.0   0.07   24.2   11.4   17.9   20.2   11.4   17.9   20.2   86.4    330
 1990 332   141    0.0   13.9   14.9   31.0   62.0   0.04   26.4   11.8   19.2   21.9   11.8   19.2   21.9   86.4    330
 1990 333   142    0.0   13.9   14.9   31.6   63.2   0.03   28.2   13.2   20.8   23.5   13.2   20.8   23.5   86.4    330
 1990 334   143    0.0   13.9   14.9   14.2   28.4   0.56   26.4   15.0   20.8   22.9   15.0   20.8   22.9   86.4    330
 1990 335   144    2.3   13.9   14.9   26.4   52.8   0.19   28.4   12.4   20.5   23.4   12.4   20.5   23.4   86.4    330
 1990 336   145    6.5   13.9   15.0   14.9   29.8   0.54   24.1   16.1   20.2   21.6   16.1   20.2   21.6   86.4    330
 1990 337   146   15.6   13.9   15.0   29.8   59.6   0.09   25.4   11.6   18.6   21.1   11.6   18.6   21.1   86.4    330
 1990 338   147    0.0   13.9   15.0   28.1   56.2   0.14   29.0   12.6   20.9   23.9   12.6   20.9   23.9   86.4    330
 1990 339   148    0.0   13.9   15.0   20.3   40.6   0.38   31.8   20.0   26.0   28.2   20.0   26.0   28.2   86.4    330
 1990 340   149   46.3   14.0   15.0   21.3   42.6   0.35   27.4   19.5   23.5   25.0   19.5   23.5   25.0   86.4    330
 1990 341   150   11.8   14.0   15.0   26.2   52.4   0.20   31.6   18.4   25.1   27.5   18.4   25.1   27.5   86.4    330
 1990 342   151    0.0   14.0   15.0   30.2   60.4   0.08   27.9   16.2   22.1   24.3   16.2   22.1   24.3   86.4    330
 1990 343   152    0.0   14.0   15.0    9.0   18.0   0.73   23.2   18.1   20.7   21.6   18.1   20.7   21.6   86.4    330
 1990 344   153   55.4   14.0   15.1   12.1   24.2   0.63   23.3   18.0   20.7   21.7   18.0   20.7   21.7   86.4    330
 1990 345   154    0.0   14.0   15.1   26.0   52.0   0.21   27.5   16.3   22.0   23.6   16.3   22.0   23.6   86.4    330
 1990 346   155    0.0   14.0   15.1   13.2   26.4   0.60   23.8   14.8   19.4   20.7   14.8   19.4   20.7   86.4    330
 1990 347   156    0.0   14.0   15.1   26.5   53.0   0.19   25.9   14.9   20.5   22.1   14.9   20.5   22.1   86.4    330
 1990 348   157    0.0   14.0   15.1   31.3   62.6   0.05   25.6   11.7   18.8   20.8   11.7   18.8   20.8   86.4    330
 1990 349   158    0.0   14.0   15.1   32.0   64.0   0.03   28.2   14.0   21.2   23.3   14.0   21.2   23.3   86.4    330
 1990 350   159    0.0   14.0   15.1   31.2   62.4   0.05   31.4   14.9   23.3   25.7   14.9   23.3   25.7   86.4    330
 1990 351   160    0.0   14.0   15.1   16.3   32.6   0.50   32.7   19.9   26.4   28.3   19.9   26.4   28.3   86.4    330
 1990 352   161    2.6   14.0   15.1   29.4   58.8   0.11   26.8   18.9   22.9   24.1   18.9   22.9   24.1   86.4    330
 1990 353   162    0.0   14.0   15.1   31.4   62.8   0.05   28.2   14.5   21.5   23.5   14.5   21.5   23.5   86.4    330
 1990 354   163    0.0   14.0   15.1   32.0   64.0   0.03   29.6   15.4   22.6   24.7   15.4   22.6   24.7   86.4    330
 1990 355   164    0.0   14.0   15.1   20.8   41.6   0.37   31.4   15.9   23.8   26.0   15.9   23.8   26.0   86.4    330
 1990 356   165   42.0   14.0   15.1    9.2   18.4   0.72   23.4   19.8   21.6   22.2   19.8   21.6   22.2   86.4    330
 1990 357   166    6.6   14.0   15.1   15.9   31.8   0.52   29.4   19.4   24.5   25.9   19.4   24.5   25.9   86.4    330
 1990 358   167    0.0   14.0   15.1   14.8   29.6   0.55   26.5   19.5   23.1   24.1   19.5   23.1   24.1   86.4    330
 1990 359   168    0.5   14.0   15.1   32.0   64.0   0.03   29.0   15.1   22.2   24.2   15.1   22.2   24.2   86.4    330

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 12:23:42

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0108 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1991 191     0    0.0   10.1   11.1    5.2   10.4   0.65   13.2    5.4    8.9   10.3    5.4    8.9   10.3   86.4    330
 1991 192     1    0.0   10.1   11.1    9.7   19.4   0.34   12.2    0.5    5.8    7.8    0.5    5.8    7.8   86.4    330
 1991 193     2    0.0   10.1   11.1    6.8   13.6   0.54   10.0    2.9    6.1    7.3    2.9    6.1    7.3   86.4    330
 1991 194     3    0.0   10.1   11.1   13.0   26.0   0.13    9.2   -0.5    3.9    5.6   -0.5    3.9    5.6   86.4    330
 1991 195     4    0.0   10.1   11.1   12.3   24.6   0.18   11.4   -4.0    3.0    5.6   -4.0    3.0    5.6   86.4    330
 1991 196     5    0.0   10.1   11.2   12.4   24.8   0.17   15.7   -3.4    5.3    8.6   -3.4    5.3    8.6   86.4    330
 1991 197     6    0.0   10.2   11.2   11.1   22.2   0.26   19.2    6.7   12.4   14.5    6.7   12.4   14.5   86.4    330
 1991 198     7    0.0   10.2   11.2    9.1   18.2   0.40   25.0   12.4   18.1   20.3   12.4   18.1   20.3   86.4    330
 1991 199     8   53.0   10.2   11.2    4.2    8.4   0.72   16.9    9.1   12.6   14.0    9.1   12.6   14.0   86.4    330
 1991 200     9    0.0   10.2   11.2   10.5   21.0   0.32   15.8    6.9   10.9   12.5    6.9   10.9   12.5   86.4    330
 1991 201    10    3.0   10.2   11.2    6.0   12.0   0.61   20.4   11.8   15.7   17.2   11.8   15.7   17.2   86.4    330
 1991 202    11   10.3   10.3   11.2    4.1    8.2   0.74   11.6    8.6   10.0   10.5    8.6   10.0   10.5   86.4    330
 1991 203    12    0.3   10.3   11.3   11.6   23.2   0.26   13.8    3.8    8.4   10.1    3.8    8.4   10.1   86.4    330
 1991 204    13    0.0   10.3   11.3   14.1   28.2   0.10   13.0    0.4    6.1    8.3    0.4    6.1    8.3   86.4    330
 1991 205    14    0.0   10.3   11.3   13.5   27.0   0.15   15.8    4.3    9.5   11.6    4.3    9.5   11.6   86.4    330
 1991 206    15    0.0   10.3   11.3   14.1   28.2   0.11   18.6    3.6   10.4   13.1    3.6   10.4   13.1   86.4    330
 1991 207    16    0.0   10.4   11.3   13.7   27.4   0.15   24.0   11.6   17.3   19.4   11.6   17.3   19.4   86.4    330
 1991 208    17    0.0   10.4   11.4   13.4   26.8   0.17   25.6   14.2   19.4   21.4   14.2   19.4   21.4   86.4    330
 1991 209    18    0.0   10.4   11.4   12.4   24.8   0.24   25.7   17.2   21.1   22.6   17.2   21.1   22.6   86.4    330
 1991 210    19    0.0   10.4   11.4   11.9   23.8   0.27   25.0   17.0   20.7   22.1   17.0   20.7   22.1   86.4    330
 1991 211    20   17.0   10.4   11.4    4.3    8.6   0.74   16.2    6.3   10.8   12.6    6.3   10.8   12.6   86.4    330
 1991 212    21   11.3   10.5   11.4    8.9   17.8   0.46   15.8    3.4    9.1   11.3    3.4    9.1   11.3   86.4    330
 1991 213    22    0.0   10.5   11.5   15.4   30.8   0.08   10.0    0.3    4.7    6.5    0.3    4.7    6.5   86.4    330
