*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:28:18

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0034 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1990 191     0  11.20  16.30   7.00  2.298  2.298  0.000  2.298  0.000    2.3    0.0    2.3    0.0
 1990 192     1  11.90  19.40   6.80  2.546  1.394  0.000  1.394  0.000    3.7    0.0    3.7    0.0
 1990 193     2  12.10  19.60   5.20  2.558  1.087  0.000  1.087  0.000    4.8    0.0    4.8    0.0
 1990 194     3  12.20  20.20   5.20  2.601  0.922  0.000  0.922  0.000    5.7    0.0    5.7    0.0
 1990 195     4   8.90  20.60   6.80  1.936  0.816  0.000  0.816  0.000    6.5    0.0    6.5    0.0
 1990 196     5   9.70  21.50  10.80  2.212  2.212  0.000  2.212  0.000    8.7    0.0    8.7    0.0
 1990 197     6   3.50  13.00  10.70  0.710  0.710  0.000  0.710  0.000    9.4    0.0    9.4    0.0
 1990 198     7   3.70  12.80  10.00  0.743  0.743  0.000  0.743  0.000   10.2    0.0   10.2    0.0
 1990 199     8  10.10   9.80   4.80  1.834  1.834  0.000  1.834  0.000   12.0    0.0   12.0    0.0
 1990 200     9  12.40   8.40   3.60  2.171  2.103  0.000  2.103  0.000   14.1    0.0   14.1    0.0
 1990 201    10  12.30   8.80   4.20  2.183  2.183  0.000  2.183  0.000   16.3    0.0   16.3    0.0
 1990 202    11   5.60   8.60   2.60  0.973  0.973  0.000  0.973  0.000   17.3    0.0   17.3    0.0
 1990 203    12  12.60  10.20   0.80  2.204  1.524  0.000  1.524  0.000   18.8    0.0   18.8    0.0
 1990 204    13   7.90  11.80  -2.60  1.366  1.144  0.000  1.144  0.000   19.9    0.0   19.9    0.0
 1990 205    14  10.60  12.50  -1.40  1.880  0.956  0.000  0.956  0.000   20.9    0.0   20.9    0.0
 1990 206    15  10.40  16.40   1.40  2.022  0.839  0.000  0.839  0.000   21.7    0.0   21.7    0.0
 1990 207    16  10.20  14.00   4.10  1.965  0.756  0.000  0.756  0.000   22.5    0.0   22.5    0.0
 1990 208    17   9.60  10.20   2.40  1.709  0.694  0.000  0.694  0.000   23.2    0.0   23.2    0.0
 1990 209    18   4.40  10.80   1.00  0.779  0.645  0.000  0.645  0.000   23.8    0.0   23.8    0.0
 1990 210    19  12.30  11.80   3.40  2.273  0.605  0.000  0.605  0.000   24.4    0.0   24.4    0.0
 1990 211    20  12.50  15.20   1.80  2.396  0.572  0.000  0.572  0.000   25.0    0.0   25.0    0.0
 1990 212    21   9.10  15.60   2.80  1.773  0.544  0.000  0.544  0.000   25.6    0.0   25.6    0.0
 1990 213    22  13.10  17.80   5.00  2.694  0.519  0.000  0.519  0.000   26.1    0.0   26.1    0.0
 1990 214    23  12.20  19.20   4.80  2.555  0.498  0.000  0.498  0.000   26.6    0.0   26.6    0.0
 1990 215    24  13.70  20.00   6.00  2.934  0.479  0.000  0.479  0.000   27.0    0.0   27.0    0.0
 1990 216    25  12.90  22.60   6.20  2.867  0.462  0.000  0.462  0.000   27.5    0.0   27.5    0.0
 1990 217    26  12.10  23.60  11.00  2.840  0.446  0.000  0.446  0.000   28.0    0.0   28.0    0.0
 1990 218    27  12.00  25.20  14.00  2.944  0.433  0.000  0.433  0.000   28.4    0.0   28.4    0.0
 1990 219    28  13.00  25.80  16.20  3.269  0.420  0.000  0.420  0.000   28.8    0.0   28.8    0.0
 1990 220    29  10.30  17.60  11.20  2.238  0.414  0.005  0.408  0.000   29.2    0.0   29.2    0.0
 1990 221    30   9.20  14.60   7.80  1.855  0.404  0.006  0.398  0.000   29.6    0.0   29.6    0.0
 1990 222    31  12.00  21.20   6.40  2.621  0.398  0.010  0.388  0.000   30.0    0.0   30.0    0.0
 1990 223    32  14.00  28.40  13.40  3.549  0.596  0.018  0.579  0.000   30.6    0.0   30.6    0.0
 1990 224    33  14.20  24.40  13.00  3.419  0.396  0.026  0.370  0.000   31.0    0.1   31.0    0.0
 1990 225    34  10.70  25.00  12.80  2.590  1.466  0.026  1.440  0.000   32.5    0.1   32.4    0.0
 1990 226    35   4.40  15.00  11.20  0.921  0.921  0.012  0.909  0.000   33.4    0.1   33.3    0.0
 1990 227    36  11.70  13.80   6.40  2.296  0.610  0.031  0.579  0.000   34.0    0.1   33.9    0.0
 1990 228    37  15.10  20.40   3.60  3.174  0.595  0.045  0.550  0.000   34.6    0.2   34.4    0.0
 1990 229    38  15.20  19.80   7.20  3.274  0.579  0.055  0.525  0.000   35.2    0.2   35.0    0.0
 1990 230    39  14.90  18.00   7.00  3.122  0.570  0.067  0.502  0.000   35.8    0.3   35.5    0.0
 1990 231    40  15.60  20.40   7.60  3.396  0.570  0.087  0.483  0.000   36.3    0.4   35.9    0.0
 1990 232    41  16.70  17.50   5.80  3.431  0.572  0.107  0.466  0.000   36.9    0.5   36.4    0.0
 1990 233    42   7.50  15.00   7.60  1.511  0.502  0.053  0.450  0.000   37.4    0.5   36.9    0.0
 1990 234    43  16.10  13.80   4.70  3.094  0.553  0.117  0.436  0.000   38.0    0.7   37.3    0.0
 1990 235    44  16.00  15.20   0.20  2.999  0.538  0.115  0.423  0.000   38.5    0.8   37.7    0.0
 1990 236    45  15.40  19.00   3.90  3.176  0.497  0.086  0.411  0.000   39.0    0.9   38.1    0.0
 1990 237    46  15.60  22.60   8.40  3.519  0.506  0.106  0.400  0.000   39.5    1.0   38.5    0.0
 1990 238    47  13.50  23.80  11.80  3.179  0.515  0.125  0.390  0.000   40.0    1.1   38.9    0.0
 1990 239    48  10.10  13.60   8.00  1.996  1.702  0.102  1.600  0.000   41.7    1.2   40.5    0.0
 1990 240    49   9.70   9.80   2.30  1.700  0.483  0.093  0.390  0.000   42.2    1.3   40.9    0.0
 1990 241    50  15.90  15.00  -1.40  2.917  0.519  0.138  0.381  0.000   42.7    1.4   41.3    0.0
 1990 242    51  13.50  16.00   4.80  2.690  0.433  0.061  0.372  0.000   43.2    1.5   41.7    0.0
 1990 243    52   5.20   9.80   2.80  0.920  0.920  0.024  0.896  0.000   44.1    1.5   42.6    0.0
 1990 244    53  14.00   9.60  -0.20  2.388  0.445  0.055  0.389  0.000   44.5    1.6   42.9    0.0
 1990 245    54  16.40  13.60  -2.80  2.911  0.422  0.042  0.380  0.000   44.9    1.6   43.3    0.0
 1990 246    55  17.10  16.40  -0.50  3.259  0.383  0.011  0.371  0.000   45.3    1.6   43.7    0.0
 1990 247    56   7.10  16.20   7.20  1.457  0.369  0.005  0.363  0.000   45.7    1.6   44.1    0.0
 1990 248    57   9.90  17.00  10.80  2.123  0.374  0.019  0.356  0.000   46.1    1.6   44.4    0.0
 1990 249    58   5.50  16.00  10.20  1.155  1.155  0.020  1.136  0.000   47.2    1.7   45.6    0.0
 1990 250    59   5.50  17.00  12.30  1.193  1.193  0.029  1.164  0.000   48.4    1.7   46.7    0.0
 1990 251    60   7.50  15.20  12.00  1.580  1.580  0.054  1.526  0.000   50.0    1.8   48.2    0.0
 1990 252    61  18.00  24.20   9.80  4.189  3.904  0.166  3.738  0.000   53.9    1.9   52.0    0.0
 1990 253    62  12.40  22.00  12.90  2.873  2.873  0.168  2.705  0.000   56.8    2.1   54.7    0.0
 1990 254    63  13.80  14.20   7.10  2.717  2.717  0.207  2.510  0.000   59.5    2.3   57.2    0.0
 1990 255    64  16.40  12.00   5.90  3.078  2.273  0.281  1.993  0.000   61.8    2.6   59.2    0.0
 1990 256    65  17.50  16.00   3.40  3.403  2.813  0.318  2.495  0.000   64.6    2.9   61.7    0.0
 1990 257    66  20.00  16.00   0.80  3.789  1.740  0.348  1.392  0.000   66.3    3.2   63.1    0.0
 1990 258    67  20.20  19.80   4.00  4.190  1.385  0.298  1.086  0.000   67.7    3.5   64.2    0.0
 1990 259    68  17.50  21.20   6.60  3.786  1.218  0.295  0.922  0.000   68.9    3.8   65.1    0.0
 1990 260    69  12.60  15.00   9.80  2.571  1.051  0.236  0.815  0.000   70.0    4.1   65.9    0.0
 1990 261    70   6.10  12.60  10.00  1.203  1.203  0.122  1.081  0.000   71.2    4.2   67.0    0.0
 1990 262    71   9.00  15.20   7.80  1.799  1.163  0.217  0.946  0.000   72.3    4.4   67.9    0.0
 1990 263    72  10.80  20.60  11.60  2.402  1.157  0.325  0.832  0.000   73.5    4.7   68.8    0.0
 1990 264    73   6.20  20.60  12.50  1.384  1.384  0.225  1.159  0.000   74.9    5.0   69.9    0.0
 1990 265    74  18.50  16.00  10.00  3.785  2.014  0.683  1.331  0.000   76.9    5.6   71.2    0.0
 1990 266    75  10.90  11.80   6.40  2.019  1.445  0.388  1.057  0.000   78.3    6.0   72.3    0.0
 1990 267    76  19.60  14.20   5.80  3.742  1.634  0.730  0.904  0.000   80.0    6.8   73.2    0.0
 1990 268    77  21.70  19.40   3.70  4.376  1.682  0.880  0.803  0.000   81.6    7.6   74.0    0.0
 1990 269    78  21.00  21.00   5.20  4.391  1.617  0.888  0.730  0.000   83.3    8.5   74.7    0.0
 1990 270    79  21.20  25.40   9.80  4.878  1.727  1.054  0.673  0.000   85.0    9.6   75.4    0.0
 1990 271    80  15.10  19.60  11.90  3.270  1.422  0.794  0.628  0.000   86.4   10.4   76.0    0.0
 1990 272    81  17.40  22.40  11.40  3.879  1.611  1.019  0.591  0.000   88.0   11.4   76.6    0.0
 1990 273    82  20.50  28.30  12.00  4.917  1.991  1.431  0.560  0.000   90.0   12.8   77.2    0.0
 1990 274    83  22.80  30.20  12.60  5.583  2.382  1.848  0.534  0.000   92.4   14.7   77.7    0.0
 1990 275    84  22.60  23.50   8.20  4.887  2.351  1.841  0.510  0.000   94.8   16.5   78.2    0.0
 1990 276    85  18.00  25.00  10.40  4.025  4.025  1.628  2.397  0.000   98.8   18.1   80.6    0.0
 1990 277    86   7.30  22.00  16.20  1.643  1.643  0.708  0.935  0.000  100.4   18.8   81.6    0.0
 1990 278    87   6.90  19.20  14.80  1.475  1.475  0.681  0.794  0.000  101.9   19.5   82.4    0.0
 1990 279    88   6.90  15.20  13.00  1.371  1.371  0.666  0.705  0.000  103.3   20.2   83.1    0.0
 1990 280    89   7.00  21.20  13.00  1.503  1.503  0.753  0.750  0.000  104.8   20.9   83.8    0.0
 1990 281    90  14.80  18.40  12.80  3.048  3.048  1.593  1.455  0.000  107.8   22.5   85.3    0.0
 1990 282    91  22.00  24.80  11.20  4.835  4.835  2.640  2.196  0.000  112.7   25.2   87.5    0.0
 1990 283    92  24.40  23.50  11.00  5.245  4.993  3.016  1.977  0.000  117.6   28.2   89.4    0.0
 1990 284    93  10.80  21.20  14.80  2.319  2.319  1.392  0.927  0.000  120.0   29.6   90.4    0.0
 1990 285    94  24.50  19.80  10.80  4.973  4.973  3.112  1.861  0.000  124.9   32.7   92.2    0.0
 1990 286    95  23.00  23.80   9.20  4.838  4.838  3.111  1.726  0.000  129.8   35.8   94.0    0.0
 1990 287    96  23.50  23.30   9.00  4.889  4.392  3.238  1.153  0.000  134.2   39.1   95.1    0.0
 1990 288    97  25.00  18.60   7.80  4.820  4.820  3.277  1.543  0.000  139.0   42.3   96.7    0.0
 1990 289    98  25.40  21.20   5.70  4.971  4.971  3.430  1.540  0.000  144.0   45.8   98.2    0.0
 1990 290    99  25.10  23.80   9.30  5.238  5.032  3.674  1.358  0.000  149.0   49.4   99.6    0.0
 1990 291   100  25.20  25.60  13.80  5.568  5.065  3.995  1.070  0.000  154.1   53.4  100.6    0.0
 1990 292   101  17.10  24.00  14.80  3.725  3.662  2.750  0.912  0.000  157.7   56.2  101.5    0.0
 1990 293   102  20.00  23.40  13.60  4.270  4.034  3.226  0.809  0.000  161.7   59.4  102.3    0.0
 1990 294   103  22.80  26.20  11.60  4.945  4.557  3.823  0.734  0.000  166.3   63.2  103.1    0.0
 1990 295   104  26.30  27.40  12.40  5.811  5.259  4.583  0.677  0.000  171.6   67.8  103.8    0.0
 1990 296   105  24.70  18.20   9.10  4.706  4.417  3.785  0.631  0.000  176.0   71.6  104.4    0.0
 1990 297   106  27.10  22.80   7.20  5.395  4.969  4.375  0.594  0.000  181.0   76.0  105.0    0.0
 1990 298   107  25.80  25.00   9.40  5.378  4.967  4.405  0.562  0.000  185.9   80.4  105.5    0.0
 1990 299   108  24.10  28.40  17.40  5.567  5.152  4.617  0.535  0.000  191.1   85.0  106.1    0.0
 1990 300   109  16.80  28.60  18.50  3.913  3.913  3.306  0.607  0.000  195.0   88.3  106.7    0.0
 1990 301   110  16.60  22.00  17.60  3.547  3.547  3.050  0.497  0.000  198.5   91.3  107.2    0.0
 1990 302   111   8.60  22.20  16.40  1.821  1.821  1.585  0.237  0.000  200.4   92.9  107.4    0.0
 1990 303   112  16.90  23.00  17.50  3.643  3.643  3.194  0.449  0.000  204.0   96.1  107.9    0.0
 1990 304   113  19.50  22.80  15.20  4.111  4.111  3.638  0.473  0.000  208.1   99.8  108.3    0.0
