*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 01, 2016; 15:14:26

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0103 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1975 184     0   8.80  16.00   7.80  1.741  1.741  0.000  1.741  0.000    1.7    0.0    1.7    0.0
 1975 185     1   8.50  20.60   5.70  1.759  1.759  0.000  1.759  0.000    3.5    0.0    3.5    0.0
 1975 186     2  10.20  14.80   7.80  1.983  1.983  0.000  1.983  0.000    5.5    0.0    5.5    0.0
 1975 187     3  12.30  14.10   5.50  2.313  2.313  0.000  2.313  0.000    7.8    0.0    7.8    0.0
 1975 188     4  12.40  19.40   4.30  2.491  2.176  0.000  2.176  0.000   10.0    0.0   10.0    0.0
 1975 189     5  12.40  20.90   5.90  2.582  2.582  0.000  2.582  0.000   12.6    0.0   12.6    0.0
 1975 190     6   9.20  23.40   8.80  2.031  0.480  0.000  0.480  0.000   13.0    0.0   13.0    0.0
 1975 191     7   7.00  21.80  14.80  1.593  0.276  0.000  0.276  0.000   13.3    0.0   13.3    0.0
 1975 192     8   3.60  15.50  12.30  0.738  0.738  0.000  0.738  0.000   14.0    0.0   14.0    0.0
 1975 193     9  10.90  14.90   5.30  2.071  2.071  0.000  2.071  0.000   16.1    0.0   16.1    0.0
 1975 194    10   4.70  18.80   2.60  0.921  0.921  0.000  0.921  0.000   17.0    0.0   17.0    0.0
 1975 195    11   3.70  18.60  11.30  0.784  0.784  0.000  0.784  0.000   17.8    0.0   17.8    0.0
 1975 196    12  12.30  12.70   5.60  2.267  2.267  0.000  2.267  0.000   20.1    0.0   20.1    0.0
 1975 197    13   9.60   7.50   2.20  1.565  1.565  0.000  1.565  0.000   21.7    0.0   21.7    0.0
 1975 198    14  10.50  10.30   1.20  1.776  1.776  0.000  1.776  0.000   23.4    0.0   23.4    0.0
 1975 199    15  11.80  10.20   0.00  1.965  1.456  0.000  1.456  0.000   24.9    0.0   24.9    0.0
 1975 200    16  12.20  13.10  -1.30  2.102  2.102  0.000  2.102  0.000   27.0    0.0   27.0    0.0
 1975 201    17  12.00  14.90  -2.10  2.111  0.967  0.000  0.967  0.000   28.0    0.0   28.0    0.0
 1975 202    18  12.20  13.90  -1.80  2.119  0.271  0.000  0.271  0.000   28.2    0.0   28.2    0.0
 1975 203    19   5.80  15.40   3.20  1.087  0.455  0.000  0.455  0.000   28.7    0.0   28.7    0.0
 1975 204    20   5.50  16.60   7.70  1.097  0.241  0.000  0.241  0.000   28.9    0.0   28.9    0.0
 1975 205    21   6.80  13.40   7.30  1.289  0.228  0.000  0.228  0.000   29.2    0.0   29.2    0.0
 1975 206    22  10.90  10.80   3.10  1.898  0.418  0.000  0.418  0.000   29.6    0.0   29.6    0.0
 1975 207    23  11.60  10.30  -0.40  1.926  1.354  0.000  1.354  0.000   30.9    0.0   30.9    0.0
 1975 208    24   7.70  12.40   3.60  1.383  0.253  0.000  0.253  0.000   31.2    0.0   31.2    0.0
 1975 209    25   5.50  14.10   9.20  1.073  0.192  0.000  0.192  0.000   31.4    0.0   31.4    0.0
 1975 210    26   4.50  15.00   8.20  0.881  0.881  0.000  0.881  0.000   32.2    0.0   32.2    0.0
 1975 211    27   4.10  11.70   8.40  0.766  0.766  0.001  0.765  0.000   33.0    0.0   33.0    0.0
 1975 212    28   6.00  18.50   9.60  1.250  1.250  0.001  1.249  0.000   34.3    0.0   34.3    0.0
 1975 213    29   9.80  23.00  10.50  2.184  1.460  0.004  1.456  0.000   35.7    0.0   35.7    0.0
 1975 214    30   6.90  18.60   9.40  1.437  1.090  0.005  1.085  0.000   36.8    0.0   36.8    0.0
 1975 215    31   7.90  13.60   7.30  1.501  0.274  0.007  0.268  0.000   37.1    0.0   37.1    0.0
 1975 216    32  11.20  14.00   2.50  2.038  0.172  0.010  0.162  0.000   37.3    0.0   37.2    0.0
 1975 217    33  11.90  14.20   3.60  2.198  0.167  0.010  0.158  0.000   37.4    0.0   37.4    0.0
 1975 218    34  11.60  15.00   0.30  2.096  0.162  0.009  0.153  0.000   37.6    0.0   37.5    0.0
 1975 219    35   4.40  14.90   2.80  0.815  0.152  0.003  0.149  0.000   37.7    0.0   37.7    0.0
 1975 220    36   4.30  14.30   8.80  0.838  0.148  0.003  0.145  0.000   37.9    0.1   37.8    0.0
 1975 221    37   4.40  14.30  10.80  0.874  0.145  0.003  0.142  0.000   38.0    0.1   38.0    0.0
 1975 222    38   4.40  15.00  12.70  0.898  0.898  0.004  0.894  0.000   38.9    0.1   38.9    0.0
 1975 223    39   5.80  12.40   9.40  1.105  1.105  0.006  1.099  0.000   40.0    0.1   40.0    0.0
 1975 224    40  13.50  19.90   7.40  2.809  2.809  0.018  2.791  0.000   42.8    0.1   42.8    0.0
 1975 225    41  14.60  15.50   5.00  2.788  2.788  0.021  2.767  0.000   45.6    0.1   45.5    0.0
 1975 226    42   6.30  14.00   3.00  1.152  0.872  0.009  0.863  0.000   46.5    0.1   46.4    0.0
 1975 227    43   5.00  16.70  10.60  1.025  1.025  0.008  1.017  0.000   47.5    0.1   47.4    0.0
 1975 228    44   7.60  17.80   7.10  1.531  1.531  0.014  1.517  0.000   49.1    0.1   48.9    0.0
 1975 229    45  15.00  18.30   3.70  2.946  2.357  0.029  2.328  0.000   51.4    0.2   51.3    0.0
 1975 230    46  13.80  19.20   8.00  2.857  2.485  0.034  2.451  0.000   53.9    0.2   53.7    0.0
 1975 231    47  12.50  20.50  10.30  2.687  0.506  0.044  0.461  0.000   54.4    0.2   54.2    0.0
