*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 19:11:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0384 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 1999 294    62  25.3  23.9  22.1  20.6  19.5  18.7  18.2  18.0   0.0   0.0
 1999 295    63  24.9  23.5  21.8  20.3  19.4  18.5  18.1  18.0   0.0   0.0
 1999 296    64  24.2  22.9  21.3  19.9  19.1  18.4  18.0  17.9   0.0   0.0
 1999 297    65  23.3  22.2  20.7  19.5  18.7  18.1  17.9  17.8   0.0   0.0
 1999 298    66  22.4  21.4  20.1  19.0  18.4  17.9  17.7  17.7   0.0   0.0
 1999 299    67  21.8  20.9  19.7  18.7  18.2  17.7  17.6  17.6   0.0   0.0
 1999 300    68  22.4  21.4  20.1  19.0  18.4  17.9  17.7  17.6   0.0   0.0
 1999 301    69  23.6  22.4  20.9  19.6  18.8  18.2  17.9  17.8   0.0   0.0
 1999 302    70  24.6  23.3  21.6  20.1  19.2  18.4  18.0  17.9   0.0   0.0
 1999 303    71  24.9  23.6  21.8  20.3  19.3  18.5  18.1  17.9   0.0   0.0
 1999 304    72  25.1  23.7  21.9  20.4  19.4  18.5  18.1  17.9   0.0   0.0
 1999 305    73  24.6  23.3  21.6  20.1  19.2  18.4  18.0  17.8   0.0   0.0
 1999 306    74  24.0  22.8  21.2  19.8  19.0  18.2  17.9  17.8   0.0   0.0
 1999 307    75  23.4  22.2  20.7  19.5  18.7  18.1  17.8  17.7   0.0   0.0
 1999 308    76  22.1  21.1  19.8  18.8  18.2  17.7  17.6  17.5   0.0   0.0
 1999 309    77  21.5  20.6  19.4  18.5  18.0  17.6  17.5  17.5   0.0   0.0
 1999 310    78  22.2  21.2  19.9  18.9  18.2  17.7  17.6  17.5   0.0   0.0
 1999 311    79  21.3  20.5  19.3  18.4  17.9  17.5  17.4  17.4   0.0   0.0
 1999 312    80  20.4  19.6  18.7  17.9  17.5  17.3  17.3  17.3   0.0   0.0
 1999 313    81  20.5  19.8  18.8  18.0  17.6  17.3  17.3  17.3   0.0   0.0
 1999 314    82  20.2  19.5  18.6  17.8  17.4  17.2  17.2  17.3   0.0   0.0
 1999 315    83  19.8  19.1  18.3  17.6  17.3  17.1  17.1  17.2   0.0   0.0
 1999 316    84  21.1  20.3  19.2  18.3  17.8  17.4  17.3  17.4   0.0   0.0
 1999 317    85  22.7  21.6  20.3  19.1  18.4  17.8  17.6  17.5   0.0   0.0
 1999 318    86  24.4  23.1  21.4  20.0  19.0  18.2  17.9  17.7   0.0   0.0
 1999 319    87  26.0  24.5  22.5  20.8  19.7  18.6  18.1  17.9   0.0   0.0
 1999 320    88  26.8  25.2  23.1  21.2  20.0  18.8  18.2  18.0   0.0   0.0
 1999 321    89  26.9  25.3  23.1  21.3  20.0  18.8  18.2  18.0   0.0   0.0
 1999 322    90  27.1  25.4  23.2  21.3  20.1  18.9  18.2  18.0   0.0   0.0
 1999 323    91  27.4  25.7  23.5  21.5  20.2  19.0  18.3  18.0   0.0   0.0
 1999 324    92  26.9  25.3  23.2  21.3  20.0  18.9  18.2  18.0   0.0   0.0
 1999 325    93  26.6  25.0  22.9  21.1  19.9  18.8  18.2  17.9   0.0   0.0
 1999 326    94  26.2  24.7  22.7  20.9  19.7  18.6  18.1  17.9   0.0   0.0
 1999 327    95  25.4  24.0  22.1  20.5  19.4  18.4  18.0  17.8   0.0   0.0
 1999 328    96  25.0  23.7  21.9  20.3  19.3  18.4  17.9  17.7   0.0   0.0
 1999 329    97  25.2  23.9  22.0  20.4  19.4  18.4  17.9  17.8   0.0   0.0
 1999 330    98  24.3  23.1  21.4  20.0  19.0  18.2  17.8  17.7   0.0   0.0
 1999 331    99  24.4  23.2  21.5  20.1  19.1  18.2  17.8  17.7   0.0   0.0
 1999 332   100  25.6  24.2  22.3  20.7  19.5  18.5  18.0  17.8   0.0   0.0
 1999 333   101  26.7  25.2  23.1  21.2  20.0  18.8  18.1  17.9   0.0   0.0
 1999 334   102  27.9  26.2  23.9  21.8  20.4  19.1  18.3  18.0   0.0   0.0
 1999 335   103  29.5  27.6  25.0  22.7  21.0  19.5  18.6  18.2   0.0   0.0
 1999 336   104  28.7  26.9  24.4  22.2  20.7  19.3  18.4  18.1   0.0   0.0
 1999 337   105  27.5  25.8  23.6  21.6  20.3  19.0  18.3  18.0   0.0   0.0
 1999 338   106  27.1  25.6  23.4  21.5  20.1  18.9  18.2  17.9   0.0   0.0
 1999 339   107  24.7  23.5  21.8  20.3  19.2  18.3  17.8  17.7   0.0   0.0
 1999 340   108  23.1  22.0  20.6  19.4  18.6  17.9  17.6  17.5   0.0   0.0
