*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 17:50:38

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0265 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1999 253    21     0     0     0.0   66.3   16634   50.6   15.7   3.4   8.6   8.9   6.1   3.7   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.56  0.93  0.77  0.00  0.00   12.13   20.39    0.00    0.00    0.00
 1999 254    22     0     0     0.0   66.7   16633   51.2   15.5   3.5   8.7   8.9   6.2   3.7   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.56  0.91  0.75  0.00  0.00   12.63   21.06    0.00    0.00    0.00
 1999 255    23     0     0     0.0   67.2   16633   51.8   15.4   3.6   8.7   9.0   6.3   3.8   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.56  0.89  0.73  0.00  0.00   13.10   21.69    0.00    0.00    0.00
 1999 256    24     0     0     0.0   67.6   16632   52.4   15.2   3.2   9.1   9.1   6.3   3.8   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.57  0.88  0.71  0.00  0.00   13.58   22.31    0.00    0.00    0.00
 1999 257    25     0     0     0.0   68.1   16632   53.0   15.1   3.2   9.1   9.2   6.4   3.8   0.5   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.57  0.86  0.69  0.00  0.00   14.08   22.95    0.00    0.00    0.00
 1999 258    26     0     0     0.0   68.6   16631   53.7   14.9   3.3   9.1   9.3   6.4   3.9   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.57  0.85  0.67  0.00  0.00   14.58   23.58    0.00    0.00    0.00
 1999 259    27     0     0     0.0   69.1   16631   54.3   14.8   3.4   9.2   9.4   6.5   3.9   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.57  0.83  0.66  0.00  0.00   15.09   24.22    0.00    0.00    0.00
 1999 260    28     0     0     0.0   69.6   16630   54.9   14.7   3.5   9.3   9.5   6.5   3.9   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.0   0.6   0.7  1.57  0.82  0.64  0.00  0.00   15.63   24.89    0.00    0.00    0.00
 1999 261    29     0     0     0.0   70.1   16630   55.6   14.5   3.6   9.4   9.5   6.6   4.0   0.5   1.0   1.0   0.0   0.0   0.1   0.5   1.0   0.6   0.7  1.58  0.80  0.62  0.00  0.00   16.19   25.57    0.00    0.00    0.00
 1999 262    30     0     0     0.0   70.6   16629   56.2   14.4   3.8   9.5   9.6   6.6   4.0   0.6   1.1   1.0   0.0   0.0   0.1   0.5   1.0   0.6   0.7  1.58  0.79  0.60  0.00  0.00   16.76   26.27    0.00    0.00    0.00
 1999 263    31     0     0     0.0   71.1   16629   56.9   14.3   3.9   9.6   9.7   6.7   4.0   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.0   0.6   0.7  1.58  0.78  0.59  0.00  0.00   17.34   26.97    0.00    0.00    0.00
 1999 264    32     0     0     0.0   71.7   16628   57.5   14.1   4.0   9.6   9.8   6.7   4.1   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.0   0.5   0.7  1.58  0.76  0.57  0.00  0.00   17.94   27.70    0.00    0.00    0.00
