*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 267    47   179      0     52    160     1    42   125  0.462  0.507  0.527  0.439  0.433  0.422  0.410  0.397  0.000  0.000
 1990 268    48   177      0     52    160     1    42   125  0.461  0.502  0.523  0.437  0.433  0.422  0.410  0.397  0.000  0.000
 1990 269    49   176      0     52    160     1    42   125  0.459  0.497  0.519  0.436  0.433  0.422  0.410  0.397  0.000  0.000
 1990 270    50   175      0     52    160     1    42   125  0.457  0.494  0.515  0.435  0.433  0.422  0.410  0.397  0.000  0.000
 1990 271    51   174      0     52    160     1    42   125  0.455  0.491  0.513  0.433  0.433  0.422  0.410  0.397  0.000  0.000
 1990 272    52   172      0     52    160     1    42   125  0.453  0.487  0.509  0.432  0.432  0.422  0.410  0.397  0.000  0.000
 1990 273    53   171      0     52    160     1    42   125  0.451  0.484  0.505  0.431  0.432  0.422  0.410  0.397  0.000  0.000
 1990 274    54   169      0     52    160     1    42   125  0.447  0.480  0.501  0.429  0.432  0.422  0.410  0.397  0.000  0.000
 1990 275    55   168      0     52    160     1    42   125  0.443  0.475  0.495  0.428  0.431  0.422  0.410  0.397  0.000  0.000
 1990 276    56   166      0     52    160     1    42   125  0.439  0.470  0.490  0.426  0.431  0.422  0.410  0.397  0.000  0.000
 1990 277    57   164      0     52    160     1    42   125  0.435  0.466  0.485  0.424  0.430  0.422  0.410  0.397  0.000  0.000
 1990 278    58   163      0     52    160     1    42   125  0.431  0.463  0.484  0.423  0.430  0.422  0.410  0.397  0.000  0.000
 1990 279    59   185      0     52    184     1    42   125  0.545  0.565  0.526  0.421  0.429  0.422  0.410  0.397  0.000  0.000
 1990 280    60   188      0     52    189     1    42   125  0.547  0.562  0.546  0.425  0.429  0.422  0.410  0.397  0.000  0.000
 1990 281    61   221      1     56    228     1    42   125  0.537  0.565  0.563  0.471  0.460  0.447  0.439  0.430  0.000  0.000
 1990 282    62   202      1     70    228     1    42   125  0.482  0.551  0.545  0.456  0.448  0.436  0.427  0.416  0.000  0.000
 1990 283    63   190      1     77    228     1    42   125  0.477  0.526  0.535  0.446  0.441  0.429  0.419  0.407  0.000  0.000
 1990 284    64   184      1     81    228     1    42   125  0.483  0.516  0.529  0.441  0.437  0.425  0.415  0.402  0.000  0.000
 1990 285    65   215      1     83    266     1    42   125  0.530  0.558  0.556  0.466  0.460  0.447  0.439  0.413  0.000  0.000
 1990 286    66   198      1     95    266     1    42   125  0.487  0.539  0.540  0.452  0.448  0.436  0.427  0.406  0.000  0.000
 1990 287    67   187      1    101    266     1    42   125  0.485  0.520  0.528  0.443  0.440  0.429  0.419  0.402  0.000  0.000
 1990 288    68   179      1    104    266     1    42   125  0.457  0.508  0.518  0.435  0.434  0.425  0.415  0.399  0.000  0.000
 1990 289    69   173      1    106    266     1    42   125  0.445  0.495  0.510  0.428  0.430  0.423  0.412  0.397  0.000  0.000
 1990 290    70   169      1    107    266     1    42   125  0.437  0.487  0.505  0.424  0.428  0.421  0.410  0.397  0.000  0.000
 1990 291    71   165      1    107    266     1    42   125  0.431  0.477  0.497  0.417  0.423  0.421  0.410  0.397  0.000  0.000
 1990 292    72   169      1    107    274     1    42   125  0.553  0.481  0.491  0.412  0.419  0.421  0.410  0.397  0.000  0.000
 1990 293    73   170      1    107    279     1    42   125  0.514  0.533  0.487  0.407  0.415  0.421  0.410  0.397  0.000  0.000
 1990 294    74   165      1    107    279     1    42   125  0.497  0.514  0.485  0.401  0.410  0.421  0.410  0.397  0.000  0.000
 1990 295    75   160      1    107    279     1    42   125  0.471  0.500  0.480  0.394  0.402  0.420  0.410  0.397  0.000  0.000
 1990 296    76   155      1    107    279     1    42   125  0.462  0.487  0.475  0.388  0.397  0.420  0.410  0.397  0.000  0.000
 1990 297    77   151      1    107    279     1    42   125  0.447  0.477  0.469  0.384  0.391  0.419  0.410  0.397  0.000  0.000
