*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 16:35:33

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0221 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1999 232     0   116      0      0      0     0     0   125  0.347  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1999 233     1   114      0      0      0     0     0   125  0.322  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1999 234     2   115      0      0      2     0     0   125  0.343  0.391  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1999 235     3   156      0      0      2     1    42   125  0.549  0.567  0.480  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1999 236     4   154      0      0      2     1    42   125  0.519  0.547  0.492  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 1999 237     5   152      0      0      2     1    42   125  0.488  0.528  0.496  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 1999 238     6   149      0      0      2     1    42   125  0.457  0.513  0.496  0.344  0.378  0.416  0.408  0.395  0.000  0.000
 1999 239     7   147      0      0      2     1    42   125  0.437  0.500  0.494  0.346  0.378  0.415  0.408  0.395  0.000  0.000
 1999 240     8   146      0      0      2     1    42   125  0.434  0.491  0.492  0.349  0.379  0.415  0.408  0.395  0.000  0.000
 1999 241     9   145      0      0      2     1    42   125  0.428  0.484  0.490  0.351  0.379  0.415  0.408  0.395  0.000  0.000
 1999 242    10   145      0      0      4     1    42   125  0.455  0.478  0.487  0.353  0.379  0.414  0.408  0.395  0.000  0.000
 1999 243    11   144      0      0      4     1    42   125  0.441  0.476  0.485  0.355  0.380  0.414  0.407  0.395  0.000  0.000
 1999 244    12   143      0      0      4     1    42   125  0.432  0.473  0.483  0.357  0.380  0.414  0.407  0.395  0.000  0.000
 1999 245    13   151      0      0     13     1    42   125  0.545  0.492  0.480  0.358  0.381  0.413  0.407  0.395  0.000  0.000
 1999 246    14   160      0      0     24     1    42   125  0.516  0.578  0.493  0.360  0.381  0.413  0.407  0.395  0.000  0.000
 1999 247    15   161      0      0     26     1    42   125  0.554  0.547  0.508  0.362  0.381  0.413  0.407  0.395  0.000  0.000
 1999 248    16   164      0      0     30     1    42   125  0.542  0.558  0.520  0.365  0.382  0.412  0.407  0.395  0.000  0.000
