*EVALUATION : UYSB0221SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 23, 2016; 16:35:33

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM
   1 UYSB0221SN  1  1 SB      71     -99      85     -99     106     -99     155     -99    3419     -99    5101     -99    2259     -99  0.1514     -99    2.20     -99    6834     -99    3410     -99    2.29     -99   0.500     -99   67.03     -99     211     -99     251     -99      13     -99    6.16     -99     461     -99      20     -99   17.34     -99   20.97     -99    0.80     -99     167     -99
   2 UYSB0221SN  1  1 SB      72     -99      86     -99     109     -99     158     -99    3130     -99    4681     -99    2078     -99  0.1507     -99    2.20     -99    6371     -99    3240     -99    2.11     -99   0.491     -99   66.87     -99     195     -99     231     -99      12     -99    6.22     -99     380     -99      16     -99   17.32     -99   20.25     -99    0.79     -99     170     -99
   3 UYSB0221SN  1  1 SB      65     -99      78     -99      98     -99     150     -99    2591     -99    4040     -99    1702     -99  0.1522     -99    2.20     -99    5394     -99    2800     -99    1.67     -99   0.480     -99   64.13     -99     157     -99     193     -99      11     -99    6.05     -99     277     -99      12     -99   16.20     -99   20.35     -99    0.76     -99     162     -99
   4 UYSB0221SN  1  1 SB      64     -99      78     -99      96     -99     147     -99    2703     -99    3833     -99    1527     -99  0.1770     -99    2.20     -99    4703     -99    2000     -99    1.48     -99   0.575     -99   70.52     -99     167     -99     189     -99       6     -99    6.17     -99     278     -99      11     -99   16.20     -99   20.42     -99    0.80     -99     159     -99
   5 UYSB0221SN  1  1 SB      76     -99      89     -99     110     -99     159     -99    3339     -99    5043     -99    2112     -99  0.1581     -99    2.20     -99    6633     -99    3290     -99    2.26     -99   0.503     -99   66.21     -99     206     -99     244     -99      11     -99    6.18     -99     563     -99      24     -99   17.51     -99   20.58     -99    0.81     -99     171     -99
   6 UYSB0221SN  1  1 SB      80     -99      94     -99     114     -99     163     -99    3930     -99    5888     -99    2625     -99  0.1497     -99    2.20     -99    7670     -99    3740     -99    2.70     -99   0.512     -99   66.74     -99     242     -99     287     -99      13     -99    6.17     -99     648     -99      28     -99   18.13     -99   20.42     -99    0.81     -99     175     -99
   7 UYSB0221SN  1  1 SB      84     -99      95     -99     118     -99     164     -99    3854     -99    5623     -99    2472     -99  0.1559     -99    2.20     -99    7577     -99    3720     -99    2.81     -99   0.509     -99   68.55     -99     242     -99     282     -99      14     -99    6.27     -99     698     -99      30     -99   18.40     -99   20.48     -99    0.84     -99     176     -99
   8 UYSB0221SN  1  1 SB      70     -99      83     -99     103     -99     152     -99    3689     -99    5268     -99    2200     -99  0.1677     -99    2.20     -99    6595     -99    2910     -99    2.13     -99   0.559     -99   70.03     -99     232     -99     264     -99       9     -99    6.30     -99     487     -99      21     -99   17.30     -99   20.32     -99    0.83     -99     164     -99
   9 UYSB0221SN  1  1 SB      62     -99      74     -99      96     -99     145     -99    2548     -99    3863     -99    1689     -99  0.1509     -99    2.20     -99    4977     -99    2430     -99    1.39     -99   0.512     -99   65.95     -99     159     -99     189     -99       8     -99    6.25     -99     270     -99      12     -99   15.82     -99   20.66     -99    0.76     -99     157     -99
  10 UYSB0221SN  1  1 SB      74     -99      84     -99     105     -99     154     -99    3580     -99    5231     -99    2240     -99  0.1598     -99    2.20     -99    6532     -99    2950     -99    2.15     -99   0.548     -99   68.45     -99     225     -99     258     -99       9     -99    6.27     -99     436     -99      19     -99   17.47     -99   20.53     -99    0.85     -99     166     -99
