*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:10:00

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0026 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 1990 191     0  13.6  14.1  14.8  15.6  16.1  16.6  16.8  16.8   0.0   0.0
 1990 192     1  14.2  14.6  15.2  15.9  16.3  16.8  16.9  16.9   0.0   0.0
 1990 193     2  14.8  15.1  15.6  16.2  16.6  16.9  17.0  17.0   0.0   0.0
 1990 194     3  15.5  15.7  16.1  16.5  16.8  17.1  17.1  17.0   0.0   0.0
 1990 195     4  16.2  16.3  16.6  16.9  17.1  17.2  17.2  17.1   0.0   0.0
 1990 196     5  17.0  17.1  17.2  17.3  17.4  17.4  17.3  17.2   0.0   0.0
 1990 197     6  16.4  16.5  16.7  16.9  17.1  17.2  17.2  17.1   0.0   0.0
 1990 198     7  15.5  15.7  16.1  16.5  16.8  17.0  17.1  17.0   0.0   0.0
 1990 199     8  13.9  14.4  15.0  15.6  16.1  16.6  16.8  16.9   0.0   0.0
 1990 200     9  12.1  12.8  13.8  14.7  15.4  16.2  16.5  16.7   0.0   0.0
 1990 201    10  10.1  11.0  12.3  13.6  14.6  15.6  16.2  16.4   0.0   0.0
 1990 202    11   8.9  10.0  11.5  13.0  14.2  15.3  16.0  16.3   0.0   0.0
 1990 203    12   8.2   9.4  11.0  12.7  13.9  15.1  15.9  16.2   0.0   0.0
 1990 204    13   8.0   9.2  10.9  12.5  13.8  15.1  15.9  16.2   0.0   0.0
 1990 205    14   8.3   9.4  11.1  12.7  13.9  15.1  15.9  16.2   0.0   0.0
 1990 206    15   9.2  10.2  11.7  13.1  14.2  15.3  16.0  16.3   0.0   0.0
 1990 207    16  10.1  11.0  12.3  13.6  14.6  15.6  16.2  16.4   0.0   0.0
 1990 208    17  10.2  11.1  12.3  13.6  14.6  15.6  16.2  16.4   0.0   0.0
 1990 209    18  10.1  11.0  12.3  13.5  14.5  15.5  16.2  16.4   0.0   0.0
 1990 210    19  10.3  11.1  12.4  13.6  14.6  15.6  16.2  16.4   0.0   0.0
 1990 211    20  10.2  11.0  12.3  13.6  14.5  15.5  16.1  16.4   0.0   0.0
 1990 212    21  10.3  11.1  12.4  13.6  14.6  15.6  16.2  16.4   0.0   0.0
 1990 213    22  11.5  12.2  13.2  14.2  15.0  15.8  16.3  16.5   0.0   0.0
 1990 214    23  13.2  13.6  14.3  15.0  15.6  16.2  16.6  16.7   0.0   0.0
 1990 215    24  14.6  14.8  15.2  15.7  16.1  16.6  16.8  16.8   0.0   0.0
 1990 216    25  15.9  15.9  16.1  16.4  16.6  16.9  17.0  17.0   0.0   0.0
 1990 217    26  17.5  17.3  17.2  17.2  17.2  17.3  17.2  17.2   0.0   0.0
 1990 218    27  18.9  18.6  18.1  17.9  17.7  17.6  17.4  17.3   0.0   0.0
 1990 219    28  20.4  19.8  19.1  18.6  18.3  17.9  17.7  17.5   0.0   0.0
 1990 220    29  20.3  19.8  19.1  18.6  18.2  17.9  17.6  17.5   0.0   0.0
 1990 221    30  19.2  18.8  18.3  18.0  17.8  17.6  17.5  17.3   0.0   0.0
 1990 222    31  18.6  18.2  17.9  17.6  17.5  17.5  17.3  17.2   0.0   0.0
 1990 223    32  19.0  18.6  18.1  17.8  17.7  17.5  17.4  17.3   0.0   0.0
 1990 224    33  18.8  18.4  18.0  17.7  17.6  17.5  17.4  17.3   0.0   0.0
 1990 225    34  19.8  19.3  18.7  18.2  17.9  17.7  17.5  17.4   0.0   0.0
 1990 226    35  20.1  19.5  18.8  18.3  18.0  17.7  17.5  17.4   0.0   0.0
 1990 227    36  19.1  18.6  18.1  17.8  17.6  17.5  17.4  17.3   0.0   0.0
 1990 228    37  17.6  17.3  17.1  17.0  17.0  17.1  17.1  17.1   0.0   0.0
 1990 229    38  16.6  16.5  16.4  16.5  16.7  16.9  17.0  17.0   0.0   0.0
 1990 230    39  15.5  15.5  15.6  15.9  16.2  16.6  16.8  16.8   0.0   0.0
 1990 231    40  16.2  16.1  16.1  16.2  16.4  16.7  16.9  16.9   0.0   0.0
 1990 232    41  16.8  16.6  16.5  16.6  16.7  16.9  17.0  17.0   0.0   0.0
 1990 233    42  16.1  16.0  16.0  16.2  16.4  16.7  16.8  16.9   0.0   0.0
 1990 234    43  15.1  15.2  15.3  15.6  16.0  16.4  16.7  16.8   0.0   0.0
 1990 235    44  14.5  14.6  14.9  15.3  15.7  16.2  16.5  16.7   0.0   0.0
 1990 236    45  14.1  14.2  14.6  15.1  15.5  16.1  16.5  16.6   0.0   0.0
 1990 237    46  14.8  14.9  15.1  15.4  15.8  16.3  16.6  16.7   0.0   0.0
 1990 238    47  16.4  16.2  16.1  16.2  16.4  16.6  16.8  16.9   0.0   0.0
 1990 239    48  16.5  16.3  16.2  16.3  16.4  16.7  16.8  16.9   0.0   0.0
 1990 240    49  15.7  15.6  15.6  15.8  16.1  16.4  16.7  16.8   0.0   0.0
 1990 241    50  14.9  14.9  15.1  15.4  15.8  16.2  16.5  16.7   0.0   0.0
 1990 242    51  13.7  13.9  14.3  14.8  15.3  15.9  16.3  16.5   0.0   0.0
 1990 243    52  11.2  11.7  12.6  13.5  14.3  15.3  15.9  16.2   0.0   0.0
 1990 244    53  10.2  10.8  11.9  13.0  13.9  15.0  15.8  16.1   0.0   0.0
 1990 245    54  10.6  11.2  12.1  13.2  14.1  15.1  15.8  16.2   0.0   0.0
 1990 246    55  10.9  11.5  12.3  13.3  14.2  15.2  15.9  16.2   0.0   0.0
 1990 247    56  10.9  11.5  12.3  13.3  14.1  15.1  15.9  16.2   0.0   0.0
 1990 248    57  12.3  12.6  13.2  14.0  14.7  15.5  16.1  16.3   0.0   0.0
 1990 249    58  13.5  13.7  14.1  14.6  15.1  15.8  16.2  16.4   0.0   0.0
 1990 250    59  14.4  14.5  14.7  15.0  15.4  15.9  16.3  16.5   0.0   0.0
 1990 251    60  14.6  14.6  14.8  15.1  15.5  16.0  16.4  16.5   0.0   0.0
 1990 252    61  16.1  15.9  15.8  15.8  16.0  16.3  16.6  16.7   0.0   0.0
 1990 253    62  17.0  16.7  16.4  16.3  16.4  16.5  16.7  16.8   0.0   0.0
 1990 254    63  16.9  16.6  16.3  16.2  16.3  16.5  16.7  16.8   0.0   0.0
 1990 255    64  16.1  15.9  15.7  15.8  16.0  16.3  16.5  16.7   0.0   0.0
 1990 256    65  16.0  15.8  15.7  15.7  15.9  16.2  16.5  16.6   0.0   0.0
 1990 257    66  14.6  14.6  14.7  15.0  15.4  15.9  16.3  16.5   0.0   0.0
 1990 258    67  14.1  14.1  14.3  14.7  15.1  15.7  16.2  16.4   0.0   0.0
 1990 259    68  15.1  15.0  15.0  15.2  15.5  16.0  16.3  16.5   0.0   0.0
 1990 260    69  15.7  15.5  15.4  15.5  15.7  16.1  16.4  16.6   0.0   0.0
 1990 261    70  15.4  15.2  15.2  15.3  15.6  16.0  16.3  16.5   0.0   0.0
 1990 262    71  15.2  15.1  15.1  15.2  15.5  15.9  16.3  16.5   0.0   0.0
 1990 263    72  15.3  15.1  15.1  15.3  15.5  15.9  16.3  16.5   0.0   0.0
 1990 264    73  15.1  15.0  15.0  15.2  15.4  15.9  16.3  16.5   0.0   0.0
 1990 265    74  15.3  15.2  15.1  15.3  15.5  15.9  16.3  16.5   0.0   0.0
 1990 266    75  15.1  15.0  15.0  15.1  15.4  15.9  16.2  16.4   0.0   0.0
 1990 267    76  15.1  15.0  14.9  15.1  15.4  15.8  16.2  16.4   0.0   0.0
 1990 268    77  15.0  14.8  14.8  15.0  15.3  15.8  16.2  16.4   0.0   0.0
 1990 269    78  15.1  15.0  15.0  15.1  15.4  15.8  16.2  16.4   0.0   0.0
 1990 270    79  16.6  16.3  16.0  15.9  15.9  16.2  16.4  16.6   0.0   0.0
 1990 271    80  18.1  17.6  17.0  16.6  16.5  16.5  16.6  16.7   0.0   0.0
 1990 272    81  19.6  18.8  18.0  17.3  17.0  16.9  16.9  16.9   0.0   0.0
 1990 273    82  21.2  20.2  19.1  18.2  17.6  17.3  17.1  17.0   0.0   0.0
 1990 274    83  23.0  21.8  20.2  19.0  18.3  17.7  17.4  17.2   0.0   0.0
 1990 275    84  22.8  21.6  20.2  19.0  18.2  17.6  17.3  17.2   0.0   0.0
 1990 276    85  23.6  22.3  20.7  19.4  18.5  17.8  17.4  17.3   0.0   0.0
 1990 277    86  23.6  22.3  20.7  19.4  18.5  17.8  17.4  17.3   0.0   0.0
 1990 278    87  22.2  21.1  19.7  18.6  18.0  17.4  17.2  17.1   0.0   0.0
 1990 279    88  19.6  18.8  17.9  17.3  17.0  16.8  16.8  16.8   0.0   0.0
 1990 280    89  18.8  18.2  17.4  16.9  16.6  16.6  16.6  16.7   0.0   0.0
 1990 281    90  17.8  17.3  16.7  16.3  16.2  16.3  16.5  16.6   0.0   0.0
 1990 282    91  18.2  17.6  17.0  16.5  16.4  16.4  16.5  16.6   0.0   0.0
 1990 283    92  19.0  18.4  17.5  17.0  16.7  16.6  16.6  16.7   0.0   0.0
 1990 284    93  20.0  19.2  18.2  17.5  17.1  16.8  16.8  16.8   0.0   0.0
 1990 285    94  20.2  19.3  18.3  17.5  17.1  16.8  16.8  16.8   0.0   0.0
 1990 286    95  21.0  20.1  18.9  18.0  17.4  17.1  16.9  16.9   0.0   0.0
 1990 287    96  20.9  19.9  18.8  17.9  17.4  17.0  16.9  16.9   0.0   0.0
 1990 288    97  20.1  19.2  18.2  17.4  17.0  16.8  16.7  16.8   0.0   0.0
 1990 289    98  20.1  19.2  18.2  17.4  17.0  16.8  16.7  16.8   0.0   0.0
 1990 290    99  20.7  19.8  18.6  17.7  17.2  16.9  16.8  16.8   0.0   0.0
 1990 291   100  21.1  20.2  18.9  18.0  17.4  17.0  16.9  16.9   0.0   0.0
 1990 292   101  21.3  20.3  19.0  18.0  17.4  17.0  16.9  16.9   0.0   0.0
 1990 293   102  22.1  20.9  19.5  18.4  17.7  17.2  17.0  16.9   0.0   0.0
 1990 294   103  22.9  21.7  20.1  18.9  18.1  17.4  17.1  17.0   0.0   0.0
 1990 295   104  23.7  22.3  20.6  19.2  18.3  17.6  17.2  17.1   0.0   0.0
 1990 296   105  22.5  21.3  19.8  18.6  17.9  17.3  17.0  17.0   0.0   0.0
 1990 297   106  22.3  21.1  19.6  18.5  17.8  17.2  17.0  16.9   0.0   0.0
 1990 298   107  22.5  21.4  19.8  18.6  17.9  17.3  17.0  16.9   0.0   0.0
 1990 299   108  23.0  21.8  20.2  18.9  18.0  17.4  17.1  17.0   0.0   0.0
 1990 300   109  23.2  21.9  20.3  18.9  18.1  17.4  17.1  17.0   0.0   0.0
 1990 301   110  23.8  22.5  20.7  19.3  18.3  17.6  17.2  17.1   0.0   0.0
 1990 302   111  23.7  22.4  20.7  19.2  18.3  17.6  17.2  17.0   0.0   0.0
 1990 303   112  23.4  22.1  20.5  19.1  18.2  17.5  17.1  17.0   0.0   0.0
 1990 304   113  22.4  21.2  19.8  18.6  17.8  17.2  16.9  16.9   0.0   0.0
 1990 305   114  21.9  20.8  19.4  18.3  17.6  17.1  16.9  16.8   0.0   0.0
 1990 306   115  22.8  21.6  20.1  18.8  18.0  17.3  17.0  16.9   0.0   0.0
 1990 307   116  23.9  22.6  20.8  19.4  18.4  17.6  17.2  17.0   0.0   0.0
 1990 308   117  23.2  22.0  20.4  19.0  18.2  17.4  17.1  17.0   0.0   0.0
 1990 309   118  22.6  21.4  19.9  18.7  17.9  17.2  16.9  16.9   0.0   0.0
 1990 310   119  21.8  20.7  19.4  18.3  17.6  17.0  16.8  16.8   0.0   0.0
 1990 311   120  19.8  19.0  18.0  17.3  16.8  16.5  16.5  16.5   0.0   0.0
 1990 312   121  18.6  17.9  17.2  16.6  16.3  16.2  16.3  16.4   0.0   0.0
 1990 313   122  19.2  18.5  17.6  16.9  16.5  16.3  16.4  16.4   0.0   0.0
 1990 314   123  20.5  19.6  18.5  17.6  17.0  16.7  16.6  16.6   0.0   0.0
 1990 315   124  20.6  19.7  18.6  17.6  17.1  16.7  16.6  16.6   0.0   0.0
 1990 316   125  22.3  21.2  19.7  18.5  17.7  17.1  16.8  16.8   0.0   0.0
 1990 317   126  23.7  22.4  20.7  19.2  18.3  17.5  17.1  16.9   0.0   0.0
