*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:12:08

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0027 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 241    50    47    2.2    0.0    2.2   0.00   4.14    1.8    1.6    0.6    4.1   4.14   1.28    0.00    0.04
 1990 242    51    48    2.2    0.0    2.2   0.00   3.96    1.8    1.6    0.6    4.0   3.96   1.26    0.00    0.04
 1990 243    52    49    2.3    0.0    2.3   0.00   4.23    1.8    1.7    0.6    4.2   4.23   1.10    0.00    0.04
 1990 244    53    50    2.3    0.0    2.3   0.00   4.23    1.8    1.7    0.6    4.2   4.23   1.16    0.00    0.05
 1990 245    54    51    2.3    0.0    2.3   0.00   4.17    1.8    1.8    0.6    4.2   4.17   1.15    0.00    0.05
 1990 246    55    52    2.3    0.0    2.3   0.00   4.03    1.8    1.8    0.6    4.0   4.03   1.16    0.00    0.05
 1990 247    56    53    2.4    0.0    2.4   0.00   3.98    1.9    1.9    0.6    4.0   3.98   1.07    0.00    0.05
 1990 248    57    54    2.6    0.0    2.6   0.00   3.84    2.0    2.0    0.5    3.8   3.84   1.07    0.00    0.05
 1990 249    58    55    2.8    0.0    2.8   0.00   3.88    2.3    2.3    0.5    3.9   3.88   1.07    0.00    0.06
 1990 250    59    56    3.0    0.0    3.0   0.00   4.05    2.5    2.4    0.6    4.1   4.05   1.07    0.00    0.06
 1990 251    60    57    3.1    0.0    3.1   0.00   3.96    2.5    2.5    0.6    4.0   3.96   1.08    0.00    0.07
 1990 252    61    58    3.2    0.0    3.2   0.00   3.52    2.7    2.7    0.5    3.5   3.52   1.10    0.00    0.07
 1990 253    62    59    3.7    0.0    3.7   0.00   3.58    3.3    3.2    0.5    3.6   3.58   1.10    0.00    0.07
 1990 254    63    60    4.3    0.0    4.3   0.00   3.69    3.9    3.8    0.5    3.7   3.69   1.14    0.00    0.08
