*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1990 216    32    29    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 217    33    30    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 218    34    31    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 219    35    32    1.0      1   0.00     14     14      0     14     28      0    0.0  0.000      0      0  0.000  0.000  0.012  0.000   4.40   0.00   0.00      0      0     23.8   0.00   0.00   0.13   0.28   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 220    36    33    2.0      1   0.01     14     14      0     14     28      0    0.0  0.000      0      0  0.000  0.193  0.015  0.000   4.52   0.00   0.00      0      0     39.4   0.00   0.00   0.14   0.28   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 221    37    34    2.0      1   0.01     14     14      0     15     28      0    0.0  0.000      0      0  0.263  0.509  0.000  0.000   4.50   0.00   0.00      0      0     45.9   0.00   0.00   0.14   0.27   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 222    38    35    2.0      1   0.01     14     14      0     15     28      0    0.0  0.000      0      0  0.338  0.559  0.000  0.000   4.48   0.00   0.00      0      0     52.2   0.00   0.00   0.15   0.27   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 223    39    36    3.0      1   0.01     14     14      0     16     28      0    0.0  0.000      0      0  0.441  0.628  0.000  0.000   4.48   0.00   0.00      0      0     61.3   0.00   0.00   0.16   0.27   0.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 224    40    37    3.0      1   0.01     14     14      0     16     28      0    0.0  0.000      0      0  0.489  0.660  0.000  0.000   4.48   0.00   0.00      0      0     70.1   0.00   0.00   0.18   0.27   0.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 225    41    38    4.0      1   0.01     14     14      0     17     28      0    0.0  0.000      0      0  0.486  0.658  0.000  0.000   4.48   0.00   0.00      0      0    103.3   0.00   0.00   0.19   0.27   0.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 226    42    39    4.0      1   0.03     14     14      0     17     28      0    0.0  0.000      0      0  0.000  0.294  0.000  0.000   4.48   0.00   0.00      0      0    182.7   0.00   0.00   0.20   0.26   0.15   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 227    43    40    4.0      1   0.03     14     14      0     18     28      0    0.0  0.000      0      0  0.460  0.640  0.000  0.000   4.33   0.00   0.00      0      0    195.8   0.00   0.00   0.21   0.27   0.16   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 228    44    41    4.0      1   0.04     14     14      0     22     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.32   0.00   0.00      0      0    258.7   0.00   0.00   0.22   0.30   0.19   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 229    45    42    5.0      1   0.05     14     14      0     27     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.27   0.00   0.00      0      0    333.8   0.00   0.00   0.22   0.35   0.24   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 230    46    43    5.0      1   0.06     18     14      0     32     32      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.79   0.00   0.00      0      0    320.6   0.00   0.00   0.23   0.37   0.28   0.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1990 231    47    44    5.0      1   0.07     23     14      0     35     37      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.65   0.00   0.00      0      0    306.0   0.00   0.00   0.24   0.38   0.32   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1990 232    48    45    5.0      1   0.09     29     14      0     43     43      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.64   0.00   0.00      0      0    293.1   0.00   0.00   0.25   0.39   0.39   0.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1990 233    49    46    5.0      1   0.10     35     14      0     51     49      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.77   0.00   0.00      0      0    284.2   0.00   0.00   0.25   0.39   0.47   0.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1990 234    50    47    6.0      1   0.11     40     14      0     58     54      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.82   0.00   0.00      0      0    277.2   0.00   0.00   0.26   0.39   0.54   0.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
