*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 231    47   122      0      0     48     0     0   125  0.349  0.459  0.402  0.353  0.383  0.405  0.404  0.394  0.000  0.000
 1990 232    48   121      0      0     48     0     0   125  0.340  0.449  0.404  0.353  0.383  0.405  0.404  0.394  0.000  0.000
 1990 233    49   120      0      0     48     0     0   125  0.332  0.440  0.405  0.353  0.383  0.405  0.404  0.393  0.000  0.000
 1990 234    50   119      0      0     48     0     0   125  0.325  0.433  0.405  0.354  0.383  0.405  0.404  0.393  0.000  0.000
 1990 235    51   118      0      0     48     0     0   125  0.318  0.426  0.406  0.354  0.383  0.405  0.404  0.393  0.000  0.000
 1990 236    52   117      0      0     48     0     0   125  0.311  0.421  0.406  0.354  0.383  0.404  0.404  0.393  0.000  0.000
 1990 237    53   116      0      0     48     0     0   125  0.305  0.416  0.406  0.355  0.383  0.404  0.404  0.393  0.000  0.000
 1990 238    54   115      0      0     48     0     0   125  0.298  0.411  0.406  0.355  0.383  0.404  0.404  0.393  0.000  0.000
 1990 239    55   156      0      0     90     0     0   125  0.548  0.564  0.491  0.355  0.383  0.404  0.403  0.393  0.000  0.000
 1990 240    56   155      0      0     92     0     0   125  0.509  0.551  0.503  0.358  0.383  0.404  0.403  0.393  0.000  0.000
 1990 241    57   151      0      0     92     0     0   125  0.477  0.526  0.506  0.360  0.383  0.404  0.403  0.393  0.000  0.000
 1990 242    58   149      0      0     92     0     0   125  0.461  0.511  0.504  0.363  0.383  0.404  0.403  0.393  0.000  0.000
 1990 243    59   148      0      0     92     0     0   125  0.463  0.501  0.502  0.365  0.383  0.403  0.403  0.393  0.000  0.000
 1990 244    60   150      0      0     95     0     0   125  0.515  0.494  0.499  0.368  0.383  0.403  0.403  0.393  0.000  0.000
 1990 245    61   147      0      0     95     0     0   125  0.452  0.498  0.497  0.369  0.384  0.403  0.403  0.393  0.000  0.000
 1990 246    62   146      0      0     95     0     0   125  0.440  0.491  0.495  0.371  0.384  0.403  0.403  0.393  0.000  0.000
 1990 247    63   145      0      0     95     0     0   125  0.433  0.485  0.492  0.373  0.384  0.403  0.403  0.393  0.000  0.000
 1990 248    64   144      0      0     95     0     0   125  0.428  0.479  0.490  0.374  0.384  0.403  0.403  0.392  0.000  0.000
 1990 249    65   143      0      0     96     0     0   125  0.436  0.475  0.488  0.376  0.384  0.403  0.402  0.392  0.000  0.000
 1990 250    66   150      0      0    104     0     0   125  0.556  0.486  0.485  0.377  0.385  0.402  0.402  0.392  0.000  0.000
 1990 251    67   167      0      0    122     0     0   125  0.517  0.580  0.545  0.380  0.385  0.402  0.402  0.392  0.000  0.000
 1990 252    68   163      0      0    122     0     0   125  0.452  0.553  0.539  0.395  0.385  0.402  0.402  0.392  0.000  0.000
 1990 253    69   160      0      0    122     0     0   125  0.457  0.525  0.536  0.398  0.386  0.402  0.402  0.392  0.000  0.000
 1990 254    70   182      0      0    146     0     0   125  0.544  0.563  0.562  0.454  0.396  0.402  0.402  0.392  0.000  0.000
 1990 255    71   179      0      0    146     0     0   125  0.485  0.553  0.553  0.446  0.417  0.402  0.402  0.392  0.000  0.000
 1990 256    72   176      0      0    146     0     0   125  0.480  0.529  0.546  0.442  0.428  0.402  0.402  0.392  0.000  0.000
 1990 257    73   173      0      0    146     0     0   125  0.456  0.519  0.539  0.440  0.431  0.403  0.402  0.392  0.000  0.000
 1990 258    74   171      0      0    146     0     0   125  0.455  0.510  0.533  0.440  0.430  0.403  0.402  0.392  0.000  0.000
 1990 259    75   170      0      0    146     0     0   125  0.455  0.504  0.529  0.439  0.430  0.403  0.402  0.392  0.000  0.000
 1990 260    76   169      0      0    146     0     0   125  0.455  0.500  0.525  0.438  0.430  0.404  0.402  0.392  0.000  0.000
 1990 261    77   199      0      0    178     0     0   125  0.549  0.564  0.565  0.468  0.460  0.416  0.401  0.392  0.000  0.000
 1990 262    78   192      0      3    178     0     0   125  0.496  0.554  0.554  0.456  0.448  0.419  0.408  0.395  0.000  0.000
 1990 263    79   188      0      7    178     0     0   125  0.507  0.532  0.547  0.449  0.441  0.419  0.408  0.395  0.000  0.000
 1990 264    80   185      0      8    178     0     0   125  0.505  0.527  0.541  0.444  0.437  0.419  0.408  0.395  0.000  0.000
 1990 265    81   180      0      9    178     0     0   125  0.453  0.521  0.535  0.441  0.435  0.419  0.408  0.395  0.000  0.000
 1990 266    82   177      0      9    178     0     0   125  0.454  0.509  0.530  0.439  0.433  0.419  0.408  0.395  0.000  0.000
 1990 267    83   175      0      9    178     0     0   125  0.452  0.501  0.524  0.437  0.433  0.419  0.408  0.395  0.000  0.000
 1990 268    84   173      0      9    178     0     0   125  0.449  0.494  0.518  0.435  0.433  0.419  0.408  0.395  0.000  0.000
 1990 269    85   171      0      9    178     0     0   125  0.445  0.488  0.513  0.433  0.433  0.419  0.408  0.395  0.000  0.000
 1990 270    86   169      0      9    178     0     0   125  0.441  0.482  0.508  0.431  0.433  0.419  0.408  0.395  0.000  0.000
 1990 271    87   168      0      9    178     0     0   125  0.438  0.479  0.505  0.430  0.432  0.419  0.408  0.395  0.000  0.000
 1990 272    88   166      0      9    178     0     0   125  0.434  0.474  0.500  0.428  0.432  0.419  0.408  0.395  0.000  0.000
 1990 273    89   164      0      9    178     0     0   125  0.429  0.468  0.495  0.425  0.431  0.419  0.408  0.395  0.000  0.000
 1990 274    90   162      0      9    178     0     0   125  0.424  0.461  0.488  0.423  0.431  0.419  0.408  0.395  0.000  0.000
 1990 275    91   159      0      9    178     0     0   125  0.419  0.453  0.481  0.420  0.430  0.419  0.408  0.395  0.000  0.000
 1990 276    92   156      0      9    178     0     0   125  0.413  0.446  0.473  0.417  0.429  0.419  0.408  0.395  0.000  0.000
 1990 277    93   154      0      9    178     0     0   125  0.407  0.439  0.466  0.414  0.427  0.419  0.408  0.395  0.000  0.000
 1990 278    94   152      0      9    178     0     0   125  0.401  0.436  0.464  0.412  0.427  0.419  0.408  0.395  0.000  0.000
 1990 279    95   174      0      9    202     0     0   125  0.553  0.564  0.477  0.410  0.426  0.419  0.408  0.395  0.000  0.000
 1990 280    96   178      0      9    207     0     0   125  0.553  0.555  0.507  0.409  0.425  0.419  0.408  0.395  0.000  0.000
 1990 281    97   213      1     10    246     0     0   125  0.547  0.556  0.568  0.470  0.459  0.445  0.426  0.403  0.000  0.000
 1990 282    98   198      1     21    246     0     0   125  0.506  0.545  0.547  0.453  0.447  0.435  0.419  0.400  0.000  0.000
 1990 283    99   188      1     26    246     0     0   125  0.500  0.527  0.534  0.444  0.439  0.428  0.414  0.398  0.000  0.000
 1990 284   100   184      1     29    246     0     0   125  0.503  0.518  0.529  0.439  0.435  0.425  0.412  0.398  0.000  0.000
 1990 285   101   215      1     30    284     0     0   125  0.541  0.557  0.557  0.464  0.459  0.447  0.439  0.411  0.000  0.000
 1990 286   102   198      1     42    284     0     0   125  0.507  0.541  0.541  0.448  0.446  0.436  0.427  0.404  0.000  0.000
 1990 287   103   188      1     47    284     0     0   125  0.501  0.522  0.530  0.438  0.438  0.429  0.419  0.401  0.000  0.000
 1990 288   104   180      1     50    284     0     0   125  0.484  0.510  0.520  0.432  0.432  0.425  0.415  0.398  0.000  0.000
 1990 289   105   174      1     52    284     0     0   125  0.476  0.499  0.511  0.425  0.428  0.422  0.412  0.397  0.000  0.000
 1990 290   106   170      1     52    284     0     0   125  0.469  0.493  0.506  0.420  0.424  0.420  0.410  0.397  0.000  0.000
 1990 291   107   165      1     52    284     0     0   125  0.449  0.483  0.498  0.413  0.419  0.420  0.410  0.397  0.000  0.000
 1990 292   108   169      1     52    292     0     0   125  0.559  0.496  0.491  0.408  0.415  0.419  0.410  0.397  0.000  0.000
 1990 293   109   170      1     52    297     0     0   125  0.525  0.548  0.488  0.403  0.411  0.418  0.410  0.397  0.000  0.000
 1990 294   110   166      1     52    297     0     0   125  0.520  0.523  0.489  0.397  0.405  0.417  0.410  0.397  0.000  0.000
 1990 295   111   160      1     52    297     0     0   125  0.498  0.509  0.484  0.390  0.398  0.416  0.410  0.397  0.000  0.000
 1990 296   112   155      1     52    297     0     0   125  0.486  0.497  0.479  0.385  0.392  0.415  0.410  0.397  0.000  0.000
 1990 297   113   151      1     52    297     0     0   125  0.475  0.487  0.473  0.381  0.387  0.413  0.410  0.397  0.000  0.000
 1990 298   114   148      1     52    297     0     0   125  0.469  0.479  0.469  0.379  0.384  0.412  0.410  0.397  0.000  0.000
 1990 299   115   142      1     52    297     0     0   125  0.453  0.467  0.459  0.374  0.379  0.409  0.410  0.397  0.000  0.000
 1990 300   116   138      1     52    297     0     0   125  0.443  0.457  0.451  0.371  0.376  0.406  0.410  0.397  0.000  0.000
 1990 301   117   136      1     52    297     0     0   125  0.440  0.452  0.448  0.370  0.375  0.405  0.410  0.397  0.000  0.000
 1990 302   118   139      1     52    302     0     0   125  0.541  0.447  0.442  0.368  0.373  0.403  0.409  0.397  0.000  0.000
 1990 303   119   153      1     52    323     0     0   125  0.521  0.570  0.481  0.364  0.369  0.400  0.409  0.397  0.000  0.000
 1990 304   120   148      1     52    323     0     0   125  0.524  0.529  0.483  0.363  0.366  0.396  0.409  0.397  0.000  0.000
