*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:30:22

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0129 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 215     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 216     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 217     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 218     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 219     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 220     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 221     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1990 222    10     7    1.2    0.0    1.2   0.00   4.40    0.0    0.6    0.6    4.4   4.40   0.00    0.00    0.00
 1990 223    11     8    1.3    0.0    1.3   0.00   4.53    0.2    0.6    0.6    4.5   4.53   1.09    0.00    0.00
 1990 224    12     9    1.3    0.0    1.3   0.00   4.50    0.2    0.6    0.6    4.5   4.50   1.12    0.00    0.00
 1990 225    13    10    1.2    0.0    1.2   0.00   4.46    0.2    0.6    0.6    4.5   4.46   1.14    0.00    0.00
 1990 226    14    11    1.2    0.0    1.2   0.00   4.46    0.2    0.6    0.6    4.5   4.46   1.11    0.00    0.00
 1990 227    15    12    1.2    0.0    1.2   0.00   4.42    0.2    0.6    0.6    4.4   4.42   1.15    0.00    0.00
 1990 228    16    13    1.2    0.0    1.2   0.00   4.40    0.2    0.6    0.6    4.4   4.40   1.20    0.00    0.00
 1990 229    17    14    1.2    0.0    1.2   0.00   4.38    0.3    0.6    0.6    4.4   4.38   1.21    0.00    0.00
 1990 230    18    15    1.2    0.0    1.2   0.00   4.37    0.3    0.6    0.6    4.4   4.37   1.23    0.00    0.01
 1990 231    19    16    1.2    0.0    1.2   0.00   4.35    0.4    0.6    0.6    4.3   4.35   1.21    0.00    0.01
 1990 232    20    17    1.2    0.0    1.2   0.00   3.87    0.4    0.7    0.5    3.9   3.87   1.22    0.00    0.01
 1990 233    21    18    1.4    0.0    1.4   0.00   3.86    0.6    0.8    0.5    3.9   3.86   1.21    0.00    0.01
 1990 234    22    19    1.5    0.0    1.5   0.00   3.90    0.8    1.0    0.5    3.9   3.90   1.20    0.00    0.01
 1990 235    23    20    1.7    0.0    1.7   0.00   4.10    1.1    1.1    0.6    4.1   4.10   1.33    0.00    0.02
 1990 236    24    21    1.7    0.0    1.7   0.00   4.05    1.2    1.2    0.6    4.1   4.05   1.20    0.00    0.02
 1990 237    25    22    1.8    0.0    1.8   0.00   3.63    1.3    1.3    0.5    3.6   3.63   1.15    0.00    0.02
 1990 238    26    23    2.1    0.0    2.1   0.00   3.53    1.7    1.6    0.5    3.5   3.53   1.19    0.00    0.03
 1990 239    27    24    2.5    0.0    2.5   0.00   4.00    2.1    2.0    0.6    4.0   4.00   1.14    0.00    0.03
 1990 240    28    25    2.7    0.0    2.7   0.00   4.22    2.6    2.1    0.6    4.2   4.22   1.56    0.00    0.04
 1990 241    29    26    2.7    0.0    2.7   0.00   4.14    2.6    2.1    0.6    4.1   4.14   1.44    0.00    0.04
 1990 242    30    27    2.7    0.0    2.7   0.00   3.84    2.6    2.1    0.5    3.8   3.84   1.37    0.00    0.04
 1990 243    31    28    2.9    0.0    2.9   0.00   4.16    2.6    2.3    0.6    4.2   4.16   1.09    0.00    0.04
 1990 244    32    29    2.9    0.0    2.9   0.00   4.20    2.7    2.4    0.6    4.2   4.20   1.16    0.00    0.05
 1990 245    33    30    2.9    0.0    2.9   0.00   4.19    2.7    2.4    0.6    4.2   4.19   1.18    0.00    0.05
 1990 246    34    31    2.9    0.0    2.9   0.00   4.01    2.7    2.4    0.6    4.0   4.01   1.18    0.00    0.05
 1990 247    35    32    3.1    0.0    3.1   0.00   3.97    2.8    2.5    0.6    4.0   3.97   1.07    0.00    0.06
 1990 248    36    33    3.2    0.0    3.2   0.00   3.72    2.9    2.7    0.5    3.7   3.72   1.07    0.00    0.06
 1990 249    37    34    3.6    0.0    3.6   0.00   4.04    3.3    3.0    0.6    4.0   4.04   1.07    0.00    0.07
 1990 250    38    35    3.7    0.0    3.7   0.00   3.98    3.4    3.1    0.6    4.0   3.98   1.08    0.00    0.07
