*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 16, 2016; 17:55:43

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0214 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2000 305     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 306     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 307     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 308     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 309     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 310     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 311     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 312    10     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2000 313    11     8    1.2    0.0    1.2   0.00   4.40    0.0    0.6    0.6    4.4   4.40   0.00    0.00    0.00
 2000 314    12     9    1.3    0.0    1.3   0.00   4.49    0.2    0.6    0.6    4.5   4.49   1.11    0.00    0.00
 2000 315    13    10    1.2    0.0    1.2   0.00   4.46    0.2    0.6    0.6    4.5   4.46   1.13    0.00    0.00
 2000 316    14    11    1.2    0.0    1.2   0.00   4.41    0.2    0.6    0.6    4.4   4.41   1.17    0.00    0.00
 2000 317    15    12    1.2    0.0    1.2   0.00   4.37    0.2    0.6    0.6    4.4   4.37   1.18    0.00    0.00
 2000 318    16    13    1.2    0.0    1.2   0.00   4.34    0.3    0.6    0.6    4.3   4.34   1.24    0.00    0.00
 2000 319    17    14    1.2    0.0    1.2   0.00   4.32    0.3    0.6    0.6    4.3   4.32   1.26    0.00    0.01
 2000 320    18    15    1.2    0.0    1.2   0.00   4.30    0.3    0.6    0.6    4.3   4.30   1.28    0.00    0.01
 2000 321    19    16    1.2    0.0    1.2   0.00   4.27    0.4    0.6    0.6    4.3   4.27   1.23    0.00    0.01
 2000 322    20    17    1.2    0.0    1.2   0.00   4.22    0.5    0.6    0.6    4.2   4.22   1.27    0.00    0.01
 2000 323    21    18    1.2    0.0    1.2   0.00   3.22    0.6    0.7    0.5    3.2   3.22   1.25    0.00    0.01
 2000 324    22    19    1.5    0.0    1.5   0.00   3.53    0.9    1.0    0.5    3.5   3.53   1.14    0.00    0.02
 2000 325    23    20    1.7    0.0    1.7   0.00   3.58    1.5    1.2    0.5    3.6   3.58   1.34    0.00    0.02
 2000 326    24    21    2.0    0.0    2.0   0.00   3.41    1.9    1.5    0.5    3.4   3.41   1.26    0.00    0.02
 2000 327    25    22    2.3    0.0    2.3   0.00   3.29    2.3    1.9    0.5    3.3   3.29   1.20    0.00    0.03
 2000 328    26    23    2.8    0.0    2.8   0.00   3.11    3.0    2.4    0.4    3.1   3.11   1.21    0.00    0.04
 2000 329    27    24    3.6    0.0    3.6   0.00   3.57    4.5    3.1    0.5    3.6   3.57   1.35    0.00    0.04
 2000 330    28    25    3.9    0.0    3.9   0.00   3.45    5.2    3.4    0.5    3.5   3.45   1.29    0.00    0.05
 2000 331    29    26    4.4    0.0    4.4   0.00   3.40    6.1    3.9    0.5    3.4   3.40   1.24    0.00    0.07
 2000 332    30    27    5.0    0.0    5.0   0.00   3.10    7.3    4.6    0.4    3.1   3.10   1.25    0.00    0.08
 2000 333    31    28    6.2    0.0    6.2   0.00   3.28    8.5    5.7    0.5    3.3   3.28   1.16    0.00    0.10
 2000 334    32    29    8.0    0.0    8.0   0.00   3.77   11.7    7.4    0.5    3.8   3.77   1.28    0.00    0.12
 2000 335    33    30    8.8    0.0    8.8   0.00   3.68   13.5    8.3    0.5    3.7   3.68   1.26    0.00    0.14
 2000 336    34    31    9.8    0.0    9.8   0.00   3.56   15.5    9.2    0.5    3.6   3.56   1.24    0.00    0.17
 2000 337    35    32   11.1    0.0   11.1   0.00   3.51   17.9   10.6    0.5    3.5   3.51   1.22    0.00    0.21
 2000 338    36    33   12.2    0.0   12.2   0.00   3.47   18.9   11.6    0.5    3.5   3.47   1.14    0.00    0.25
 2000 339    37    34   13.3    0.0   13.3   0.00   3.44   21.8   12.7    0.6    3.4   3.44   1.22    0.00    0.29
 2000 340    38    35   14.7    0.0   14.7   0.00   3.40   24.7   14.1    0.7    3.4   3.40   1.21    0.00    0.33
 2000 341    39    36   17.4    0.0   17.4   0.00   3.34   28.3   16.5    0.9    3.3   3.34   1.18    0.00    0.39
 2000 342    40    37   20.4    0.0   20.4   0.00   3.28   31.5   19.1    1.3    3.3   3.28   1.13    0.00    0.45
 2000 343    41    38   23.0    0.0   23.0   0.00   3.16   35.2   21.3    1.7    3.2   3.16   1.14    0.00    0.51
 2000 344    42    39   24.3    0.0   24.3   0.00   3.14   38.2   22.4    1.9    3.1   3.14   1.16    0.00    0.58
 2000 345    43    40   26.4    0.0   26.4   0.00   3.18   41.3   24.0    2.3    3.2   3.18   1.17    0.00    0.65
 2000 346    44    41   28.0    0.0   28.0   0.00   3.12   43.9   25.2    2.8    3.1   3.12   1.17    0.00    0.73
 2000 347    45    42   29.5    0.0   29.5   0.00   3.07   46.1   26.2    3.3    3.1   3.07   1.17    0.00    0.82
 2000 348    46    43   32.3    0.0   32.3   0.00   3.08   48.7   28.1    4.1    3.1   3.08   1.14    0.00    0.91
 2000 349    47    44   33.5    0.0   33.5   0.00   2.92   50.8   28.5    4.9    2.9   2.92   1.13    0.00    1.00
 2000 350    48    45   34.9    0.0   34.9   0.00   2.85   52.9   29.2    5.7    2.8   2.85   1.11    0.00    1.09
 2000 351    49    46   35.7    0.0   35.7   0.00   2.69   54.5   29.3    6.4    2.7   2.69   1.05    0.00    1.18
 2000 352    50    47   36.4    0.0   36.4   0.00   2.44   55.6   28.9    7.5    2.4   2.44   1.00    0.00    1.28
 2000 353    51    48   37.1    0.0   37.1   0.00   2.30   56.4   28.7    8.4    2.3   2.30   0.99    0.00    1.39
 2000 354    52    49   37.6    0.0   37.6   0.00   2.25   57.1   28.6    8.9    2.2   2.25   0.98    0.00    1.49
 2000 355    53    50   37.9    0.0   37.9   0.00   2.22   57.6   28.6    9.4    2.2   2.22   0.98    0.00    1.59
 2000 356    54    51   38.3    0.0   38.3   0.00   2.15   58.1   28.2   10.1    2.1   2.15   0.97    0.00    1.69
 2000 357    55    52   38.8    0.0   38.8   0.00   2.09   58.7   27.9   10.8    2.1   2.09   0.97    0.00    1.80
 2000 358    56    53   39.2    0.0   39.2   0.00   2.06   59.3   27.8   11.4    2.1   2.06   0.95    0.00    1.90
 2000 359    57    54   39.7    0.0   39.7   0.00   2.01   59.9   27.6   12.1    2.0   2.01   0.94    0.00    2.01
 2000 360    58    55   40.1    0.0   40.1   0.00   1.93   60.6   27.0   13.2    1.9   1.93   0.93    0.00    2.12
 2000 361    59    56   44.0    0.0   44.0   0.00   1.99   65.2   28.4   15.6    2.0   1.99   0.96    0.00    2.22
 2000 362    60    57   47.1    0.0   47.1   0.00   1.89   68.8   28.3   18.8    1.9   1.89   0.97    0.00    2.33
 2000 363    61    58   49.5    0.0   49.5   0.00   1.80   71.6   28.0   21.5    1.8   1.80   0.97    0.00    2.45
 2000 364    62    59   51.7    0.0   51.7   0.00   1.73   74.0   27.8   23.8    1.7   1.73   0.98    0.00    2.56
 2000 365    63    60   53.4    0.0   53.4   0.00   1.68   76.1   27.8   25.6    1.7   1.68   0.94    0.00    2.68
 2000 366    64    61   54.8    0.0   54.8   0.00   1.60   77.9   27.4   27.5    1.6   1.60   0.91    0.00    2.80
 2001 001    65    62   56.1    0.0   56.1   0.00   1.51   79.5   26.8   29.3    1.5   1.51   0.89    0.00    2.92
 2001 002    66    63   57.2    0.0   57.2   0.00   1.41   80.7   26.2   31.0    1.4   1.41   0.88    0.00    3.04
 2001 003    67    64   58.0    0.0   58.0   0.00   1.55   81.8   28.4   29.7    1.6   1.55   0.86    0.00    3.16
 2001 004    68    65   58.8    0.0   58.8   0.00   1.54   82.7   27.8   30.9    1.5   1.54   0.85    0.00    3.29
 2001 005    69    66   59.4    0.0   59.4   0.00   1.52   83.4   27.2   32.2    1.5   1.52   0.84    0.00    3.41
 2001 006    70    67   59.9    0.0   59.9   0.00   1.52   84.1   26.7   33.2    1.5   1.52   0.85    0.00    3.53
 2001 007    71    68   60.3    0.0   60.3   0.00   1.52   84.7   26.2   34.1    1.5   1.52   0.85    0.00    3.66
