*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 16, 2016; 17:55:43

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0214 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2000 324    22    19    5.0      1   0.08     29     14      0     54     43      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.53   0.00   0.00      0      0    297.1   0.00   0.00   0.22   0.26   0.76   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 2000 325    23    20    5.0      1   0.10     35     14      0     73     49      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.58   0.00   0.00      0      0    285.4   0.00   0.00   0.23   0.33   1.00   0.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 2000 326    24    21    5.0      1   0.12     44     14      0     89     58      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.41   0.00   0.00      0      0    271.8   0.00   0.00   0.23   0.33   1.23   0.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 2000 327    25    22    6.0      1   0.15     57     14      0    101     71      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.29   0.00   0.00      0      0    257.9   0.00   0.00   0.24   0.32   1.39   0.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 2000 328    26    23    6.0      1   0.19     76     14      0    117     90      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.11   0.00   0.00      0      0    242.9   0.00   0.00   0.26   0.32   1.58   0.34   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 2000 329    27    24    6.0      1   0.20     86     14      0    157    100      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.57   0.00   0.00      0      0    237.1   0.00   0.00   0.26   0.33   2.04   0.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 2000 330    28    25    7.0      1   0.23     99     14      0    198    113      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.45   0.00   0.00      0      0    230.2   0.00   0.00   0.27   0.33   2.48   0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 2000 331    29    26    7.0      2   0.27    115     14      0    237    129      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.40   0.00   0.00      0      0    238.6   0.00   0.00   0.28   0.33   2.88   1.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
 2000 332    30    27    7.0      2   0.33    148     14      0    285    162      0    0.0  0.000      0      0  0.000  0.000  0.004  0.000   3.10   0.00   0.00      0      0    226.5   0.00   0.00   0.30   0.32   3.33   1.36   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       6
 2000 333    31    28    8.0      2   0.38    174     14      0    310    188      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.28   0.00   0.00      0      0    218.8   0.00   0.00   0.32   0.32   3.55   1.54   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 2000 334    32    29    8.0      2   0.42    197     14      0    389    211      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.77   0.00   0.00      0      0    213.3   0.00   0.00   0.33   0.32   4.00   2.06   0.07   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       9
 2000 335    33    30    8.0      3   0.46    225     14      0    471    239      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.68   0.00   0.00      0      0    206.4   0.00   0.00   0.34   0.32   4.00   2.59   0.18   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      11
