*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 205    21    24     2     0.0  132.0   16636  116.0   16.0  58.3  18.0  17.3   9.8   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.94  0.78  0.00  0.00   10.48   40.96    0.00    0.00    1.20
 1990 206    22    24     2     0.0  132.4   16635  116.5   15.9  58.3  18.1  17.4   9.9   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.92  0.76  0.00  0.00   10.81   41.45    0.00    0.00    1.20
 1990 207    23    24     2     0.0  132.7   16635  117.0   15.7  58.4  18.1  17.5   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.74  0.00  0.00   11.14   41.94    0.00    0.00    1.20
 1990 208    24    24     2     0.0  133.1   16635  117.5   15.6  58.4  18.2  17.6   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.89  0.72  0.00  0.00   11.49   42.43    0.00    0.00    1.20
 1990 209    25    24     2     0.0  133.4   16634  118.0   15.4  58.5  18.2  17.6  10.0   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.87   42.94    0.00    0.00    1.20
 1990 210    26    24     2     0.0  133.8   16634  118.5   15.3  58.6  18.3  17.7  10.0   5.7   0.5   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.57  0.86  0.68  0.00  0.00   12.25   43.44    0.00    0.00    1.20
 1990 211    27    24     2     0.0  134.2   16633  119.0   15.2  58.6  18.3  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.84  0.67  0.00  0.00   12.61   43.92    0.00    0.00    1.21
 1990 212    28    24     2     0.0  134.5   16633  119.5   15.1  58.7  18.3  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.83  0.65  0.00  0.00   12.99   44.42    0.00    0.00    1.21
 1990 213    29    24     2     0.0  134.9   16633  120.0   15.0  58.8  18.4  17.9  10.1   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.82  0.63  0.00  0.00   13.38   44.92    0.00    0.00    1.21
 1990 214    30    24     2     0.0  135.3   16632  120.5   14.9  58.8  18.4  18.0  10.1   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.80  0.62  0.00  0.00   13.78   45.41    0.00    0.00    1.21
 1990 215    31    24     2     0.0  135.8   16632  121.0   14.8  58.9  18.5  18.1  10.1   5.8   0.5   1.1   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.79  0.60  0.00  0.00   14.22   45.94    0.00    0.00    1.21
 1990 216    32    24     2     0.0  136.3   16631  121.5   14.7  59.0  18.6  18.2  10.2   5.8   0.6   1.1   1.1   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.58  0.78  0.58  0.00  0.00   14.70   46.50    0.00    0.00    1.21
 1990 217    33    24     2     0.0  136.8   16631  122.1   14.6  59.1  18.6  18.3  10.2   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.76  0.57  0.00  0.00   15.22   47.09    0.00    0.00    1.21
 1990 218    34    24     2     0.0  137.4   16630  122.8   14.6  59.2  18.7  18.4  10.3   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.75  0.55  0.00  0.00   15.81   47.74    0.00    0.00    1.22
 1990 219    35    24     2     0.0  138.0   16630  123.5   14.5  59.4  18.8  18.5  10.3   5.9   0.6   1.2   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.74  0.54  0.00  0.00   16.42   48.44    0.00    0.00    1.22
 1990 220    36    24     2     0.0  138.6   16629  124.2   14.4  59.5  18.9  18.6  10.3   6.0   0.6   1.2   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.73  0.53  0.00  0.00   17.08   49.17    0.00    0.00    1.22
 1990 221    37    24     2     0.0  139.1   16628  124.8   14.3  59.7  18.9  18.7  10.4   6.0   0.7   1.2   1.2   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.71  0.51  0.00  0.00   17.75   49.92    0.00    0.00    1.22
 1990 222    38    24     2     0.0  139.8   16628  125.5   14.3  59.9  19.0  18.8  10.4   6.0   0.7   1.2   1.2   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.70  0.50  0.00  0.00   18.43   50.67    0.00    0.00    1.22
 1990 223    39    24     2     0.0  140.3   16627  126.2   14.1  60.0  19.1  18.9  10.5   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.4   1.1   0.6   0.7  1.59  0.69  0.49  0.00  0.00   18.97   51.40    0.00    0.00    1.22
 1990 224    40    24     2     0.0  140.9   16627  126.9   13.9  60.1  19.2  19.1  10.5   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.4   1.1   0.6   0.7  1.59  0.68  0.47  0.00  0.00   19.52   52.07    0.00    0.00    1.23
 1990 225    41    24     2     0.0  141.4   16626  127.6   13.8  60.2  19.3  19.2  10.6   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.67  0.46  0.00  0.00   20.07   52.74    0.00    0.00    1.23
 1990 226    42    24     2     0.0  142.0   16625  128.3   13.7  60.3  19.4  19.3  10.6   6.2   0.8   1.3   1.2   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.66  0.45  0.00  0.00   20.64   53.41    0.00    0.00    1.23
 1990 227    43    24     2     0.0  142.5   16625  128.9   13.6  30.8  34.2  19.4  10.6   6.2   0.8   1.3   1.3   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.65  0.44  0.00  0.00   21.21   54.07    0.00    0.00    1.23
 1990 228    44    24     2     0.0  143.2   16624  129.5   13.7  28.7  35.1  19.8  10.7   6.2   0.8   1.4   1.3   0.0   0.0   0.1   0.3   1.1   0.6   0.6  1.60  0.64  0.43  0.00  0.00   21.88   54.69    0.00    0.00    1.23
 1990 229    45    24     2     0.0  143.7   16624  130.2   13.6  28.8  34.9  20.1  10.7   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.1   0.6   0.6  1.60  0.63  0.42  0.00  0.00   22.45   55.35    0.00    0.00    1.23
 1990 230    46    24     2     0.0  144.2   16623  130.7   13.5  28.9  34.7  20.3  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.62  0.41  0.00  0.00   22.97   55.97    0.00    0.00    1.23
