*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 234    50    47    2.1    0.0    2.1   0.00   3.82    1.5    1.5    0.5    3.8   3.82   1.22    0.00    0.02
 1990 235    51    48    2.3    0.0    2.3   0.00   4.02    2.0    1.7    0.6    4.0   4.02   1.37    0.00    0.02
 1990 236    52    49    2.4    0.0    2.4   0.00   3.98    2.0    1.8    0.6    4.0   3.98   1.21    0.00    0.02
 1990 237    53    50    2.5    0.0    2.5   0.00   3.57    2.2    2.0    0.5    3.6   3.57   1.16    0.00    0.03
 1990 238    54    51    2.9    0.0    2.9   0.00   3.47    2.8    2.4    0.5    3.5   3.47   1.20    0.00    0.03
 1990 239    55    52    3.4    0.0    3.4   0.00   3.92    3.3    2.9    0.5    3.9   3.92   1.15    0.00    0.04
 1990 240    56    53    3.6    0.0    3.6   0.00   4.14    4.0    3.1    0.6    4.1   4.14   1.56    0.00    0.05
 1990 241    57    54    3.6    0.0    3.6   0.00   4.05    4.0    3.1    0.6    4.0   4.05   1.45    0.00    0.05
 1990 242    58    55    3.6    0.0    3.6   0.00   3.73    4.0    3.1    0.5    3.7   3.73   1.37    0.00    0.05
 1990 243    59    56    4.0    0.0    4.0   0.00   4.08    4.0    3.4    0.6    4.1   4.08   1.09    0.00    0.05
 1990 244    60    57    4.1    0.0    4.1   0.00   4.12    4.2    3.5    0.6    4.1   4.12   1.16    0.00    0.06
 1990 245    61    58    4.1    0.0    4.1   0.00   4.11    4.2    3.5    0.6    4.1   4.11   1.17    0.00    0.07
 1990 246    62    59    4.1    0.0    4.1   0.00   3.94    4.2    3.5    0.6    3.9   3.94   1.17    0.00    0.07
 1990 247    63    60    4.2    0.0    4.2   0.00   3.89    4.2    3.7    0.5    3.9   3.89   1.07    0.00    0.07
 1990 248    64    61    4.4    0.0    4.4   0.00   4.02    4.4    3.9    0.6    4.0   4.02   1.07    0.00    0.08
 1990 249    65    62    4.5    0.0    4.5   0.00   3.98    4.5    3.9    0.6    4.0   3.98   1.07    0.00    0.08
 1990 250    66    63    4.6    0.0    4.6   0.00   3.95    4.6    4.0    0.6    4.0   3.95   1.07    0.00    0.09
 1990 251    67    64    4.7    0.0    4.7   0.00   3.96    4.7    4.1    0.6    4.0   3.96   1.07    0.00    0.10
 1990 252    68    65    4.8    0.0    4.8   0.00   3.52    4.8    4.3    0.5    3.5   3.52   1.09    0.00    0.10
 1990 253    69    66    5.4    0.0    5.4   0.00   3.51    5.5    4.9    0.5    3.5   3.51   1.09    0.00    0.11
 1990 254    70    67    6.1    0.0    6.1   0.00   3.61    6.2    5.6    0.5    3.6   3.61   1.09    0.00    0.12
 1990 255    71    68    6.7    0.0    6.7   0.00   3.60    6.9    6.2    0.5    3.6   3.60   1.14    0.00    0.12
 1990 256    72    69    7.4    0.0    7.4   0.00   3.71    7.7    6.9    0.5    3.7   3.71   1.17    0.00    0.13
 1990 257    73    70    8.0    0.0    8.0   0.00   3.60    8.3    7.5    0.5    3.6   3.60   1.17    0.00    0.14
 1990 258    74    71    8.8    0.0    8.8   0.00   3.77    9.3    8.2    0.5    3.8   3.77   1.22    0.00    0.14
 1990 259    75    72    9.2    0.0    9.2   0.00   3.60    9.7    8.6    0.5    3.6   3.60   1.14    0.00    0.15
 1990 260    76    73   10.0    0.0   10.0   0.00   3.65   10.5    9.5    0.5    3.7   3.65   1.10    0.00    0.16
 1990 261    77    74   10.7    0.0   10.7   0.00   3.64   11.2   10.2    0.5    3.6   3.64   1.10    0.00    0.17
 1990 262    78    75   11.4    0.0   11.4   0.00   3.90   12.5   10.9    0.5    3.9   3.90   1.23    0.00    0.18
 1990 263    79    76   11.4    0.0   11.4   0.00   3.67   12.5   10.9    0.5    3.7   3.67   1.21    0.00    0.18
 1990 264    80    77   11.9    0.0   11.9   0.00   3.58   12.8   11.4    0.5    3.6   3.58   1.09    0.00    0.19
 1990 265    81    78   13.6    0.0   13.6   0.00   3.79   15.2   13.1    0.5    3.8   3.79   1.25    0.00    0.20
 1990 266    82    79   13.8    0.0   13.8   0.00   3.75   16.0   13.3    0.5    3.7   3.75   1.36    0.00    0.22
 1990 267    83    80   13.8    0.0   13.8   0.00   3.66   16.5   13.3    0.5    3.7   3.66   1.38    0.00    0.23
 1990 268    84    81   14.2    0.0   14.2   0.00   3.64   17.2   13.7    0.5    3.6   3.64   1.32    0.00    0.25
 1990 269    85    82   14.9    0.0   14.9   0.00   3.56   18.2   14.4    0.5    3.6   3.56   1.22    0.00    0.27
 1990 270    86    83   16.4    0.0   16.4   0.00   3.53   20.0   15.9    0.5    3.5   3.53   1.18    0.00    0.30
 1990 271    87    84   17.7    0.0   17.7   0.00   3.50   20.9   17.2    0.5    3.5   3.50   1.07    0.00    0.32
 1990 272    88    85   19.2    0.0   19.2   0.00   3.48   23.4   18.6    0.6    3.5   3.48   1.18    0.00    0.34
 1990 273    89    86   20.8    0.0   20.8   0.00   3.45   25.6   20.2    0.6    3.4   3.45   1.18    0.00    0.37
 1990 274    90    87   23.2    0.0   23.2   0.00   3.41   28.6   22.5    0.7    3.4   3.41   1.18    0.00    0.40
 1990 275    91    88   25.6    0.0   25.6   0.00   3.38   32.1   24.8    0.9    3.4   3.38   1.20    0.00    0.43
 1990 276    92    89   28.7    0.0   28.7   0.00   3.34   35.7   27.5    1.1    3.3   3.34   1.17    0.00    0.47
 1990 277    93    90   32.8    0.0   32.8   0.00   3.29   39.8   31.2    1.6    3.3   3.29   1.12    0.00    0.51
 1990 278    94    91   35.1    0.0   35.1   0.00   3.26   41.8   33.2    1.9    3.3   3.26   1.07    0.00    0.55
 1990 279    95    92   38.3    0.0   38.3   0.00   3.22   45.1   35.9    2.5    3.2   3.22   1.07    0.00    0.59
 1990 280    96    93   40.8    0.0   40.8   0.00   3.19   47.6   37.8    3.0    3.2   3.19   1.07    0.00    0.63
 1990 281    97    94   43.1    0.0   43.1   0.00   3.16   50.7   39.7    3.5    3.2   3.16   1.12    0.00    0.67
 1990 282    98    95   45.5    0.0   45.5   0.00   3.14   55.4   41.5    4.0    3.1   3.14   1.23    0.00    0.71
 1990 283    99    96   48.2    0.0   48.2   0.00   3.11   59.0   43.5    4.7    3.1   3.11   1.19    0.00    0.77
 1990 284   100    97   51.4    0.0   51.4   0.00   3.08   61.2   45.8    5.6    3.1   3.08   1.08    0.00    0.83
 1990 285   101    98   53.8    0.0   53.8   0.00   3.06   66.8   47.4    6.3    3.1   3.06   1.22    0.00    0.88
 1990 286   102    99   55.9    0.0   55.9   0.00   3.04   70.9   48.9    7.0    3.0   3.04   1.21    0.00    0.96
 1990 287   103   100   59.0    0.0   59.0   0.00   3.02   75.2   50.9    8.1    3.0   3.02   1.17    0.00    1.04
 1990 288   104   101   61.2    0.0   61.2   0.00   3.00   79.4   52.3    8.9    3.0   3.00   1.18    0.00    1.12
 1990 289   105   102   63.0    0.0   63.0   0.00   2.98   83.3   53.5    9.5    3.0   2.98   1.18    0.00    1.22
 1990 290   106   103   65.6    0.0   65.6   0.00   2.97   85.5   55.1   10.5    3.0   2.97   1.11    0.00    1.33
 1990 291   107   104   69.8    0.0   69.8   0.00   2.94   91.5   57.6   12.3    2.9   2.94   1.14    0.00    1.43
 1990 292   108   105   74.3    0.0   74.3   0.00   2.90   95.8   60.1   14.2    2.9   2.90   1.10    0.00    1.54
 1990 293   109   106   78.9    0.0   78.9   0.00   2.87  100.8   62.5   16.4    2.9   2.87   1.09    0.00    1.66
 1990 294   110   107   83.5    0.0   83.5   0.00   2.84  106.9   64.9   18.6    2.8   2.84   1.12    0.00    1.77
 1990 295   111   108   88.1    0.0   88.1   0.00   2.82  113.6   67.1   21.0    2.8   2.82   1.14    0.00    1.89
 1990 296   112   109   93.1    0.0   93.1   0.00   2.79  118.7   69.5   23.6    2.8   2.79   1.11    0.00    2.03
 1990 297   113   110   97.6    0.0   97.6   0.00   2.76  124.2   71.5   26.1    2.8   2.76   1.11    0.00    2.16
 1990 298   114   111  103.3    0.0  103.3   0.00   2.73  129.0   74.9   28.5    2.7   2.73   1.07    0.00    2.30
 1990 299   115   112  109.4    0.0  109.4   0.00   2.61  135.4   76.5   32.9    2.6   2.61   1.07    0.00    2.43
 1990 300   116   113  114.2    0.0  114.2   0.00   2.53  140.3   77.4   36.9    2.5   2.53   1.07    0.00    2.57
 1990 301   117   114  118.2    0.0  118.2   0.00   2.53  144.2   78.9   39.4    2.5   2.53   1.07    0.00    2.70
 1990 302   118   115  121.4    0.0  121.4   0.00   2.48  147.4   79.2   42.2    2.5   2.48   1.07    0.00    2.84
 1990 303   119   116  123.8    0.0  123.8   0.00   2.36  150.1   77.9   45.9    2.4   2.36   1.05    0.00    2.97
 1990 304   120   117  125.6    0.0  125.6   0.00   2.28  152.3   77.1   48.5    2.3   2.28   1.02    0.00    3.11
