*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:58:53

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0007 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 205    21     2     2     0.0  110.9   16636   94.9   16.0  20.9  17.7  17.3   9.8   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.94  0.78  0.00  0.00   10.48   20.06    0.00    0.00    0.32
 1990 206    22     2     2     0.0  111.3   16635   95.4   15.9  20.9  17.7  17.4   9.9   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.92  0.76  0.00  0.00   10.81   20.56    0.00    0.00    0.32
 1990 207    23     2     2     0.0  111.6   16635   95.9   15.7  21.0  17.8  17.5   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.74  0.00  0.00   11.14   21.04    0.00    0.00    0.32
 1990 208    24     2     2     0.0  111.9   16635   96.4   15.6  21.0  17.8  17.6   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.89  0.72  0.00  0.00   11.49   21.53    0.00    0.00    0.33
 1990 209    25     2     2     0.0  112.3   16634   96.9   15.4  21.1  17.9  17.6  10.0   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.87   22.04    0.00    0.00    0.33
 1990 210    26     2     2     0.0  112.7   16634   97.4   15.3  21.1  17.9  17.7  10.0   5.7   0.5   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.57  0.86  0.68  0.00  0.00   12.25   22.54    0.00    0.00    0.33
 1990 211    27     2     2     0.0  113.0   16633   97.8   15.2  21.2  18.0  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.84  0.67  0.00  0.00   12.61   23.03    0.00    0.00    0.33
 1990 212    28     2     2     0.0  113.4   16633   98.3   15.1  21.3  18.0  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.83  0.65  0.00  0.00   12.99   23.52    0.00    0.00    0.33
 1990 213    29     2     2     0.0  113.8   16633   98.8   15.0  21.3  18.1  17.9  10.1   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.82  0.63  0.00  0.00   13.38   24.02    0.00    0.00    0.33
 1990 214    30     2     2     0.0  114.2   16632   99.3   14.9  21.4  18.1  18.0  10.1   5.8   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.80  0.62  0.00  0.00   13.78   24.52    0.00    0.00    0.34
 1990 215    31     2     2     0.0  114.6   16632   99.9   14.8  21.5  18.2  18.1  10.1   5.8   0.5   1.1   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.57  0.79  0.60  0.00  0.00   14.22   25.04    0.00    0.00    0.34
 1990 216    32     2     2     0.0  115.1   16631  100.4   14.7  21.6  18.2  18.2  10.2   5.8   0.6   1.1   1.1   0.0   0.0   0.1   0.4   1.1   0.7   0.7  1.58  0.78  0.58  0.00  0.00   14.70   25.60    0.00    0.00    0.34
 1990 217    33     2     2     0.0  115.6   16631  101.0   14.6  21.7  18.3  18.3  10.2   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.76  0.57  0.00  0.00   15.22   26.20    0.00    0.00    0.34
 1990 218    34     2     2     0.0  116.2   16630  101.7   14.6  21.8  18.4  18.4  10.3   5.9   0.6   1.1   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.75  0.55  0.00  0.00   15.81   26.85    0.00    0.00    0.34
 1990 219    35     2     2     0.0  116.8   16630  102.4   14.5  22.0  18.5  18.5  10.3   5.9   0.6   1.2   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.58  0.74  0.54  0.00  0.00   16.42   27.54    0.00    0.00    0.34
 1990 220    36     2     2     0.0  117.5   16629  103.1   14.4  22.1  18.6  18.6  10.3   6.0   0.6   1.2   1.1   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.73  0.53  0.00  0.00   17.08   28.27    0.00    0.00    0.34
 1990 221    37     2     2     0.0  118.0   16628  103.7   14.3  22.3  18.5  18.7  10.4   6.0   0.7   1.2   1.2   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.71  0.51  0.00  0.00   17.75   29.02    0.00    0.00    0.34
 1990 222    38     2     2     0.0  118.7   16628  104.4   14.3  22.4  18.7  18.8  10.4   6.0   0.7   1.2   1.2   0.0   0.0   0.1   0.5   1.1   0.7   0.7  1.59  0.70  0.50  0.00  0.00   18.43   29.77    0.00    0.00    0.34
 1990 223    39     2     2     0.0  119.2   16627  105.1   14.1  22.6  18.8  18.9  10.5   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.4   1.1   0.6   0.7  1.59  0.69  0.49  0.00  0.00   18.97   30.50    0.00    0.00    0.35
 1990 224    40     2     2     0.0  119.7   16627  105.8   13.9  22.7  18.9  19.1  10.5   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.4   1.1   0.6   0.7  1.59  0.68  0.47  0.00  0.00   19.52   31.18    0.00    0.00    0.35
 1990 225    41     2     2     0.0  120.3   16626  106.5   13.8  22.8  19.0  19.2  10.6   6.1   0.7   1.3   1.2   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.67  0.46  0.00  0.00   20.07   31.85    0.00    0.00    0.35
 1990 226    42     2     2     0.0  120.9   16625  107.1   13.7  22.8  19.0  19.3  10.6   6.2   0.8   1.3   1.2   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.66  0.45  0.00  0.00   20.64   32.51    0.00    0.00    0.35
 1990 227    43     2     2     0.0  121.4   16625  107.8   13.6  11.7  24.7  19.4  10.6   6.2   0.8   1.3   1.3   0.0   0.0   0.0   0.3   1.1   0.6   0.6  1.60  0.65  0.44  0.00  0.00   21.21   33.18    0.00    0.00    0.35
 1990 228    44     2     2     0.0  122.1   16624  108.4   13.7  10.9  25.0  19.7  10.7   6.2   0.8   1.4   1.3   0.0   0.0   0.1   0.3   1.1   0.6   0.6  1.60  0.64  0.43  0.00  0.00   21.88   33.79    0.00    0.00    0.35
 1990 229    45     2     2     0.0  122.6   16624  109.0   13.6  11.0  24.9  19.9  10.7   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.1   0.6   0.6  1.60  0.63  0.42  0.00  0.00   22.45   34.46    0.00    0.00    0.35
 1990 230    46     2     2     0.0  123.1   16623  109.6   13.5  11.1  24.8  20.1  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.62  0.41  0.00  0.00   22.97   35.08    0.00    0.00    0.36
 1990 231    47     2     2     0.0  123.5   16623  110.1   13.4  11.2  24.7  20.3  10.8   6.3   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.61  0.40  0.00  0.00   23.46   35.65    0.00    0.00    0.36
 1990 232    48     2     2     0.0  123.8   16622  110.5   13.3  11.2  24.6  20.4  10.8   6.4   0.9   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.6   0.6  1.61  0.60  0.39  0.00  0.00   23.92   36.20    0.00    0.00    0.36
 1990 233    49     2     2     0.0  123.9   16622  110.7   13.2  11.3  24.5  20.5  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.60  0.38  0.00  0.00   24.39   36.76    0.00    0.00    0.37
 1990 234    50     2     2     0.0  124.0   16621  110.9   13.1  11.4  24.3  20.5  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.59  0.37  0.00  0.00   24.86   37.31    0.00    0.00    0.37
 1990 235    51     2     2     0.0  124.2   16621  111.1   13.0  11.4  24.2  20.5  10.9   6.4   0.9   1.5   1.4   0.0   0.0   0.1   0.4   0.9   0.6   0.6  1.61  0.58  0.36  0.00  0.00   25.32   37.85    0.00    0.00    0.37
