*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 20:47:44

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0173 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1990 220     0  12.90  25.00  12.80  3.127  2.370  0.000  2.370  0.000    2.4    0.0    2.4    0.0
 1990 221     1  14.70  20.50  10.30  3.295  1.600  0.000  1.600  0.000    4.0    0.0    4.0    0.0
 1990 222     2  15.10  22.30   8.90  3.423  1.489  0.000  1.489  0.000    5.5    0.0    5.5    0.0
 1990 223     3  15.40  28.00  11.90  3.842  1.129  0.000  1.129  0.000    6.6    0.0    6.6    0.0
 1990 224     4  15.30  28.40  12.10  3.842  0.948  0.000  0.948  0.000    7.5    0.0    7.5    0.0
 1990 225     5  14.50  28.00  12.80  3.644  0.833  0.000  0.833  0.000    8.4    0.0    8.4    0.0
 1990 226     6   5.20  25.80  14.90  1.294  0.752  0.000  0.752  0.000    9.1    0.0    9.1    0.0
 1990 227     7   7.50  15.80  10.50  1.580  1.580  0.000  1.580  0.000   10.7    0.0   10.7    0.0
 1990 228     8  14.80  18.90   8.50  3.195  3.195  0.000  3.195  0.000   13.9    0.0   13.9    0.0
 1990 229     9  16.80  21.40   7.70  3.724  2.725  0.000  2.725  0.000   16.6    0.0   16.6    0.0
 1990 230    10  16.20  20.80   6.00  3.508  2.308  0.000  2.308  0.000   18.9    0.0   18.9    0.0
 1990 231    11  12.80  20.80  10.40  2.881  1.376  0.012  1.364  0.000   20.3    0.0   20.3    0.0
 1990 232    12  17.30  21.00  10.30  3.901  1.090  0.017  1.073  0.000   21.4    0.0   21.4    0.0
 1990 233    13  14.80  20.90   6.70  3.227  0.929  0.015  0.914  0.000   22.3    0.0   22.3    0.0
 1990 234    14  13.00  18.40   8.30  2.780  0.824  0.014  0.810  0.000   23.1    0.1   23.1    0.0
 1990 235    15  17.00  15.60   4.40  3.363  0.753  0.018  0.735  0.000   23.9    0.1   23.8    0.0
 1990 236    16  11.20  18.10   3.70  2.283  0.690  0.012  0.677  0.000   24.6    0.1   24.5    0.0
 1990 237    17  13.00  24.60   9.60  3.051  0.649  0.017  0.632  0.000   25.2    0.1   25.1    0.0
 1990 238    18  16.40  25.50  11.70  3.961  0.618  0.024  0.594  0.000   25.9    0.1   25.7    0.0
 1990 239    19   6.80  17.60   5.50  1.400  1.400  0.006  1.394  0.000   27.3    0.1   27.1    0.0
 1990 240    20  18.80   9.70   2.00  3.301  3.301  0.014  3.288  0.000   30.6    0.1   30.4    0.0
 1990 241    21  17.80  14.60  -1.20  3.271  3.062  0.022  3.040  0.000   33.6    0.2   33.4    0.0
 1990 242    22  16.80  21.80   2.90  3.581  3.212  0.025  3.188  0.000   36.8    0.2   36.6    0.0
 1990 243    23   5.50  11.80   5.50  1.038  1.038  0.005  1.033  0.000   37.9    0.2   37.7    0.0
 1990 244    24  10.70  10.20   0.80  1.869  1.869  0.008  1.861  0.000   39.7    0.2   39.5    0.0
 1990 245    25  17.70  11.60  -2.30  3.057  1.499  0.022  1.477  0.000   41.2    0.2   41.0    0.0
 1990 246    26  19.80  16.80   2.50  3.916  1.124  0.000  1.124  0.000   42.4    0.2   42.1    0.0
 1990 247    27   5.60  16.40   7.10  1.152  0.945  0.000  0.945  0.000   43.3    0.2   43.1    0.0
 1990 248    28   6.00  18.60  13.40  1.348  0.831  0.000  0.831  0.000   44.1    0.2   43.9    0.0
 1990 249    29   5.70  15.40  13.40  1.226  0.800  0.000  0.800  0.000   44.9    0.2   44.7    0.0
 1990 250    30   5.80  15.90  12.80  1.250  0.915  0.000  0.915  0.000   45.9    0.2   45.6    0.0
 1990 251    31   5.80  14.30  10.30  1.194  1.194  0.000  1.194  0.000   47.0    0.2   46.8    0.0
 1990 252    32  19.70  23.50   7.80  4.493  4.493  0.000  4.493  0.000   51.5    0.2   51.3    0.0
 1990 253    33  15.20  27.50  11.60  3.761  2.382  0.000  2.382  0.000   53.9    0.2   53.7    0.0
 1990 254    34   9.60  23.10  10.70  2.233  2.233  0.000  2.233  0.000   56.2    0.2   55.9    0.0
 1990 255    35  17.10  13.80   5.20  3.321  3.321  0.000  3.321  0.000   59.5    0.2   59.2    0.0
 1990 256    36  18.80  11.80   2.70  3.448  2.247  0.000  2.247  0.000   61.7    0.2   61.5    0.0
 1990 257    37  20.40  14.20   0.50  3.797  2.135  0.000  2.135  0.000   63.9    0.2   63.6    0.0
 1990 258    38  21.40  18.40   3.40  4.372  1.331  0.000  1.331  0.000   65.2    0.2   65.0    0.0
 1990 259    39  17.80  21.60   7.90  3.963  1.057  0.000  1.057  0.000   66.2    0.2   66.0    0.0
 1990 260    40  10.60  17.70  10.60  2.294  0.904  0.000  0.904  0.000   67.1    0.2   66.9    0.0
 1990 261    41   9.30  17.90  11.00  2.026  2.026  0.000  2.026  0.000   69.2    0.2   68.9    0.0
 1990 262    42  13.80  17.70  10.00  2.971  2.970  0.000  2.970  0.000   72.1    0.2   71.9    0.0
 1990 263    43   6.40  17.90  13.30  1.423  1.255  0.000  1.255  0.000   73.4    0.2   73.2    0.0
 1990 264    44   6.40  20.50  15.80  1.504  1.504  0.000  1.504  0.000   74.9    0.2   74.7    0.0
 1990 265    45  20.10  18.60   9.20  4.349  2.160  0.000  2.160  0.000   77.1    0.2   76.8    0.0
 1990 266    46  18.60  13.50   5.40  3.604  1.336  0.000  1.336  0.000   78.4    0.2   78.2    0.0
 1990 267    47  22.30  15.00   3.20  4.323  1.059  0.000  1.059  0.000   79.5    0.2   79.2    0.0
 1990 268    48  23.20  16.30   3.10  4.582  0.906  0.000  0.906  0.000   80.4    0.2   80.1    0.0
 1990 269    49  23.40  20.50   5.10  5.005  0.804  0.000  0.804  0.000   81.2    0.2   80.9    0.0
 1990 270    50  21.30  24.00   8.90  4.936  0.730  0.000  0.730  0.000   81.9    0.2   81.7    0.0
 1990 271    51   6.80  21.70  12.20  1.574  0.674  0.000  0.674  0.000   82.6    0.2   82.3    0.0
 1990 272    52  19.30  22.00  11.30  4.450  0.629  0.000  0.629  0.000   83.2    0.2   83.0    0.0
 1990 273    53  19.30  25.20   8.90  4.541  0.592  0.000  0.592  0.000   83.8    0.2   83.6    0.0
 1990 274    54  21.70  28.10  12.90  5.464  0.561  0.000  0.561  0.000   84.4    0.2   84.1    0.0
 1990 275    55  24.20  24.00  11.90  5.751  0.534  0.000  0.534  0.000   84.9    0.2   84.7    0.0
 1990 276    56  21.80  26.60  13.30  5.409  0.511  0.000  0.511  0.000   85.4    0.2   85.2    0.0
 1990 277    57  17.90  30.10  17.50  4.775  0.490  0.000  0.490  0.000   85.9    0.2   85.7    0.0
 1990 278    58   7.10  19.10  17.30  1.660  0.472  0.000  0.472  0.000   86.4    0.2   86.1    0.0
 1990 279    59   9.40  22.70  17.20  2.296  2.296  0.000  2.296  0.000   88.7    0.2   88.4    0.0
 1990 280    60   7.20  21.60  17.70  1.742  1.742  0.000  1.742  0.000   90.4    0.2   90.2    0.0
 1990 281    61  11.50  20.40  13.70  2.651  2.651  0.000  2.651  0.000   93.1    0.2   92.8    0.0
 1990 282    62  23.40  22.30   9.50  5.333  4.539  0.000  4.539  0.000   97.6    0.2   97.4    0.0
 1990 283    63  21.00  22.30  11.30  4.860  2.507  0.000  2.507  0.000  100.1    0.2   99.9    0.0
 1990 284    64   9.00  22.10  14.50  2.135  1.394  0.000  1.394  0.000  101.5    0.2  101.3    0.0
 1990 285    65  25.50  19.40  11.30  5.683  5.683  0.000  5.683  0.000  107.2    0.2  106.9    0.0
 1990 286    66  26.10  21.60   7.60  5.796  3.604  0.000  3.604  0.000  110.8    0.2  110.5    0.0
 1990 287    67  24.80  22.60  11.50  5.772  1.514  0.000  1.514  0.000  112.3    0.2  112.1    0.0
 1990 288    68  25.50  20.10   8.90  5.615  1.140  0.000  1.140  0.000  113.4    0.2  113.2    0.0
 1990 289    69  26.40  20.50   5.00  5.641  0.954  0.000  0.954  0.000  114.4    0.2  114.2    0.0
