*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1999 276    44    0.0   12.4   13.3   23.9   47.8   0.10   12.8    1.7    7.1    8.9    1.7    7.1    8.9   86.4    330
 1999 277    45    0.0   12.4   13.4   22.1   44.2   0.18   13.2   -0.5    6.1    8.5   -0.5    6.1    8.5   86.4    330
 1999 278    46    0.0   12.5   13.4    8.9   17.8   0.67   17.3    4.5   10.7   12.9    4.5   10.7   12.9   86.4    330
 1999 279    47    6.0   12.5   13.4   12.9   25.8   0.52   20.2   12.2   16.1   17.4   12.2   16.1   17.4   86.4    330
 1999 280    48    8.8   12.5   13.5    7.2   14.4   0.74   16.8   13.4   15.1   15.6   13.4   15.1   15.6   86.4    330
 1999 281    49    2.0   12.6   13.5   13.3   26.6   0.51   18.7   12.3   15.4   16.5   12.3   15.4   16.5   86.4    330
 1999 282    50    0.0   12.6   13.5   15.2   30.4   0.45   18.3    8.4   13.2   14.9    8.4   13.2   14.9   86.4    330
 1999 283    51    0.0   12.6   13.6   23.0   46.0   0.17   21.3    8.7   14.8   17.0    8.7   14.8   17.0   86.4    330
 1999 284    52    2.8   12.7   13.6   24.0   48.0   0.14   23.8    9.6   16.5   19.0    9.6   16.5   19.0   86.4    330
 1999 285    53   33.0   12.7   13.6    7.4   14.8   0.74   19.0   12.7   15.8   16.9   12.7   15.8   16.9   86.4    330
 1999 286    54   23.0   12.7   13.7    7.4   14.8   0.74   18.0   15.4   16.7   17.1   15.4   16.7   17.1   86.4    330
 1999 287    55    0.0   12.8   13.7    7.5   15.0   0.73   15.4   12.2   13.8   14.3   12.2   13.8   14.3   86.4    330
 1999 288    56    0.0   12.8   13.7   11.4   22.8   0.60   23.9   12.8   18.2   20.2   12.8   18.2   20.2   86.4    330
 1999 289    57    0.0   12.8   13.8   22.6   45.2   0.21   22.3   11.1   16.6   18.5   11.1   16.6   18.5   86.4    330
 1999 290    58    0.0   12.9   13.8   26.5   53.0   0.08   25.9   10.2   17.9   20.6   10.2   17.9   20.6   86.4    330
 1999 291    59    0.0   12.9   13.8   26.6   53.2   0.08   26.2   13.5   19.7   22.0   13.5   19.7   22.0   86.4    330
 1999 292    60    0.0   12.9   13.9   26.5   53.0   0.08   27.0    9.9   18.3   21.3    9.9   18.3   21.3   86.4    330
 1999 293    61    0.0   12.9   13.9   26.1   52.2   0.10   27.2   13.0   20.0   22.5   13.0   20.0   22.5   86.4    330
 1999 294    62    0.0   13.0   13.9   22.2   44.4   0.24   28.4   13.1   20.6   23.3   13.1   20.6   23.3   86.4    330
