*EVALUATION : UYMZ0102SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 01, 2016; 15:14:21

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1TS   PD1TM   PDFTS   PDFTM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM
  11 UYMZ0102SN  1  1 MZ     129     -99     -99     -99     -99     -99     186     -99    8172     -99     -99     -99    3141     -99  0.2602     -99   448.8     -99   19164     -99   11074     -99    3.99     -99   0.426     -99     -99     -99     121     -99     174     -99      53     -99     1.5     -99    8395     -99     149     -99   21.94     -99
  12 UYMZ0102SN  1  1 MZ     136     -99     -99     -99     -99     -99     194     -99    9613     -99     -99     -99    3600     -99  0.2670     -99   514.3     -99   19677     -99   10147     -99    3.83     -99   0.489     -99     -99     -99     122     -99     164     -99      42     -99     1.3     -99    8623     -99     141     -99   22.10     -99
  13 UYMZ0102SN  1  1 MZ     140     -99     -99     -99     -99     -99     195     -99    8855     -99     -99     -99    3496     -99  0.2533     -99   499.5     -99   19428     -99   10650     -99    3.60     -99   0.456     -99     -99     -99     123     -99     172     -99      49     -99     1.4     -99    8124     -99     146     -99   21.76     -99
  14 UYMZ0102SN  1  1 MZ     145     -99     -99     -99     -99     -99     197     -99   10191     -99     -99     -99    4123     -99  0.2472     -99   589.0     -99   21000     -99   10885     -99    2.88     -99   0.485     -99     -99     -99     139     -99     184     -99      45     -99     1.4     -99    8325     -99     160     -99   21.53     -99
  15 UYMZ0102SN  1  1 MZ     139     -99     -99     -99     -99     -99     191     -99    8803     -99     -99     -99    3485     -99  0.2526     -99   497.9     -99   19752     -99   11027     -99    3.20     -99   0.446     -99     -99     -99     137     -99     191     -99      53     -99     1.6     -99    8266     -99     169     -99   21.40     -99
  16 UYMZ0102SN  1  1 MZ     -99     -99     -99     -99     -99     -99      58     -99       0     -99     -99     -99       0     -99  0.0000     -99     0.0     -99      89     -99      89     -99    0.10     -99   0.000     -99     -99     -99       0     -99       4     -99       4     -99     0.0     -99       0     -99       0     -99    6.72     -99
  17 UYMZ0102SN  1  1 MZ     138     -99     -99     -99     -99     -99     192     -99    8600     -99     -99     -99    3250     -99  0.2646     -99   464.3     -99   19683     -99   11167     -99    3.70     -99   0.437     -99     -99     -99     121     -99     176     -99      54     -99     1.4     -99    9005     -99     147     -99   22.51     -99
  18 UYMZ0102SN  1  1 MZ     143     -99     -99     -99     -99     -99     199     -99    8826     -99     -99     -99    3461     -99  0.2550     -99   494.4     -99   19432     -99   10682     -99    3.13     -99   0.454     -99     -99     -99     128     -99     178     -99      50     -99     1.5     -99    8233     -99     159     -99   20.77     -99
  19 UYMZ0102SN  1  1 MZ     138     -99     -99     -99     -99     -99     197     -99    8957     -99     -99     -99    3385     -99  0.2646     -99   483.5     -99   19404     -99   10523     -99    4.01     -99   0.462     -99     -99     -99     134     -99     182     -99      48     -99     1.5     -99    7939     -99     159     -99   21.28     -99
  20 UYMZ0102SN  1  1 MZ     138     -99     -99     -99     -99     -99     190     -99    9084     -99     -99     -99    3794     -99  0.2394     -99   542.0     -99   20273     -99   11277     -99    3.82     -99   0.448     -99     -99     -99     113     -99     160     -99      47     -99     1.2     -99    9187     -99     134     -99   22.95     -99
  21 UYMZ0102SN  1  1 MZ     134     -99     -99     -99     -99     -99     189     -99   10119     -99     -99     -99    3997     -99  0.2532     -99   571.0     -99   20346     -99   10301     -99    3.36     -99   0.497     -99     -99     -99     132     -99     172     -99      40     -99     1.3     -99    7754     -99     150     -99   20.87     -99
