*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 01, 2016; 15:14:21

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0102 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1975 184     0   8.80  16.00   7.80  1.812  1.812  0.000  1.812  0.000    1.8    0.0    1.8    0.0
 1975 185     1   8.50  20.60   5.70  1.831  1.774  0.000  1.774  0.000    3.6    0.0    3.6    0.0
 1975 186     2  10.20  14.80   7.80  2.064  2.064  0.000  2.064  0.000    5.6    0.0    5.6    0.0
 1975 187     3  12.30  14.10   5.50  2.407  2.407  0.000  2.407  0.000    8.1    0.0    8.1    0.0
 1975 188     4  12.40  19.40   4.30  2.592  2.592  0.000  2.592  0.000   10.6    0.0   10.6    0.0
 1975 189     5  12.40  20.90   5.90  2.686  2.012  0.000  2.012  0.000   12.7    0.0   12.7    0.0
 1975 190     6   9.20  23.40   8.80  2.114  2.114  0.000  2.114  0.000   14.8    0.0   14.8    0.0
 1975 191     7   7.00  21.80  14.80  1.658  1.658  0.000  1.658  0.000   16.4    0.0   16.4    0.0
 1975 192     8   3.60  15.50  12.30  0.768  0.768  0.000  0.768  0.000   17.2    0.0   17.2    0.0
 1975 193     9  10.90  14.90   5.30  2.155  2.155  0.000  2.155  0.000   19.4    0.0   19.4    0.0
 1975 194    10   4.70  18.80   2.60  0.958  0.958  0.000  0.958  0.000   20.3    0.0   20.3    0.0
 1975 195    11   3.70  18.60  11.30  0.816  0.816  0.000  0.816  0.000   21.1    0.0   21.1    0.0
 1975 196    12  12.30  12.70   5.60  2.359  2.359  0.000  2.359  0.000   23.5    0.0   23.5    0.0
 1975 197    13   9.60   7.50   2.20  1.629  1.629  0.000  1.629  0.000   25.1    0.0   25.1    0.0
 1975 198    14  10.50  10.30   1.20  1.848  1.848  0.000  1.848  0.000   27.0    0.0   27.0    0.0
 1975 199    15  11.80  10.20   0.00  2.045  1.413  0.000  1.413  0.000   28.4    0.0   28.4    0.0
 1975 200    16  12.20  13.10  -1.30  2.188  2.188  0.000  2.188  0.000   30.6    0.0   30.6    0.0
 1975 201    17  12.00  14.90  -2.10  2.197  1.563  0.000  1.563  0.000   32.1    0.0   32.1    0.0
 1975 202    18  12.20  13.90  -1.80  2.205  1.360  0.000  1.360  0.000   33.5    0.0   33.5    0.0
 1975 203    19   5.80  15.40   3.20  1.131  0.966  0.000  0.966  0.000   34.5    0.0   34.5    0.0
 1975 204    20   5.50  16.60   7.70  1.141  0.845  0.000  0.845  0.000   35.3    0.0   35.3    0.0
 1975 205    21   6.80  13.40   7.30  1.341  0.961  0.000  0.961  0.000   36.3    0.0   36.3    0.0
 1975 206    22  10.90  10.80   3.10  1.975  0.960  0.000  0.960  0.000   37.2    0.0   37.2    0.0
 1975 207    23  11.60  10.30  -0.40  2.005  0.716  0.000  0.716  0.000   37.9    0.0   37.9    0.0
 1975 208    24   7.70  12.40   3.60  1.439  0.663  0.000  0.663  0.000   38.6    0.0   38.6    0.0
 1975 209    25   5.50  14.10   9.20  1.117  1.117  0.000  1.117  0.000   39.7    0.0   39.7    0.0
 1975 210    26   4.50  15.00   8.20  0.917  0.917  0.000  0.917  0.000   40.6    0.0   40.6    0.0
 1975 211    27   4.10  11.70   8.40  0.797  0.797  0.001  0.796  0.000   41.4    0.0   41.4    0.0
 1975 212    28   6.00  18.50   9.60  1.301  0.851  0.001  0.849  0.000   42.3    0.0   42.3    0.0
 1975 213    29   9.80  23.00  10.50  2.272  0.793  0.004  0.789  0.000   43.1    0.0   43.1    0.0
