*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 290    52  11.40  23.30  14.40  2.724  2.626  0.125  2.501  0.000  105.0    2.1  102.9    0.0
 2000 291    53  11.30  22.00  16.50  2.701  2.701  0.085  2.616  0.000  107.7    2.2  105.5    0.0
 2000 292    54   7.80  23.60  16.30  1.897  1.773  0.103  1.670  0.000  109.5    2.3  107.2    0.0
 2000 293    55  13.30  19.70  16.50  3.085  3.085  0.117  2.969  0.000  112.6    2.4  110.2    0.0
 2000 294    56   7.80  26.60  15.60  1.952  1.952  0.081  1.872  0.000  114.5    2.5  112.1    0.0
 2000 295    57  20.50  27.50  15.20  5.164  3.790  0.370  3.421  0.000  118.3    2.8  115.5    0.0
 2000 296    58   8.10  19.70  16.10  1.868  1.868  0.094  1.774  0.000  120.2    2.9  117.3    0.0
 2000 297    59   8.20  18.80  14.70  1.845  1.845  0.099  1.747  0.000  122.0    3.0  119.0    0.0
 2000 298    60   7.90  22.00  14.20  1.843  1.843  0.104  1.739  0.000  123.9    3.1  120.7    0.0
 2000 299    61  13.70  22.00  16.60  3.255  3.255  0.203  3.052  0.000  127.1    3.3  123.8    0.0
 2000 300    62  11.80  23.90  18.10  2.898  2.898  0.206  2.692  0.000  130.0    3.5  126.5    0.0
 2000 301    63  27.40  24.80  12.50  6.488  5.711  0.817  4.894  0.000  135.7    4.3  131.4    0.0
 2000 302    64  27.50  20.10   9.20  5.947  3.093  0.837  2.256  0.000  138.8    5.2  133.6    0.0
 2000 303    65  28.70  17.90   7.40  5.916  2.240  0.885  1.355  0.000  141.1    6.1  135.0    0.0
 2000 304    66  28.40  27.10   9.50  6.720  2.117  1.049  1.069  0.000  143.2    7.1  136.1    0.0
 2000 305    67  26.70  26.60  12.40  6.412  2.023  1.112  0.911  0.000  145.2    8.2  137.0    0.0
 2000 306    68   8.20  24.70  14.60  1.953  1.953  0.260  1.693  0.000  147.2    8.5  138.7    0.0
 2000 307    69  20.50  22.50  13.80  4.706  4.706  0.701  4.005  0.000  151.9    9.2  142.7    0.0
 2000 308    70  29.60  23.40   9.40  6.602  4.987  1.562  3.425  0.000  156.8   10.8  146.1    0.0
 2000 309    71  18.60  22.00  10.60  4.105  2.615  1.047  1.568  0.000  159.5   11.8  147.7    0.0
 2000 310    72  28.70  23.90  10.60  6.472  2.931  1.769  1.162  0.000  162.4   13.6  148.8    0.0
 2000 311    73  25.80  24.90  13.20  5.999  2.740  1.773  0.967  0.000  165.1   15.3  149.8    0.0
 2000 312    74  11.90  23.60  15.00  2.752  2.493  0.893  1.600  0.000  167.6   16.2  151.4    0.0
 2000 313    75  15.90  25.00  17.00  3.783  2.225  1.333  0.892  0.000  169.8   17.6  152.3    0.0
 2000 314    76   8.80  20.70  16.40  1.968  1.554  0.760  0.795  0.000  171.4   18.3  153.1    0.0
 2000 315    77  24.80  23.40  13.80  5.594  3.007  2.284  0.723  0.000  174.4   20.6  153.8    0.0
 2000 316    78  22.70  25.60  14.30  5.260  5.260  1.840  3.419  0.000  179.7   22.5  157.2    0.0
 2000 317    79  22.20  25.80  17.10  5.249  5.249  2.270  2.978  0.000  184.9   24.7  160.2    0.0
 2000 318    80  20.20  21.60  12.40  4.346  4.346  1.818  2.529  0.000  189.3   26.5  162.7    0.0
 2000 319    81  24.90  16.00   7.90  4.756  4.069  2.433  1.636  0.000  193.3   29.0  164.4    0.0
 2000 320    82  22.80  16.60   5.00  4.267  3.398  2.211  1.188  0.000  196.7   31.2  165.5    0.0
 2000 321    83  30.40  22.50   6.30  6.248  4.256  3.275  0.981  0.000  201.0   34.5  166.5    0.0
 2000 322    84  30.30  25.80   9.10  6.642  4.428  3.572  0.856  0.000  205.4   38.0  167.4    0.0
 2000 323    85  30.30  27.90  10.00  6.847  4.579  3.811  0.768  0.000  210.0   41.8  168.2    0.0
 2000 324    86  28.80  29.50  12.70  6.754  6.298  3.898  2.400  0.000  216.3   45.7  170.6    0.0
 2000 325    87  32.00  21.30  10.60  6.648  4.732  3.979  0.753  0.000  221.0   49.7  171.3    0.0
 2000 326    88  30.90  26.40   8.90  6.739  4.807  4.115  0.692  0.000  225.8   53.8  172.0    0.0
 2000 327    89  23.90  28.20  14.80  5.570  4.132  3.489  0.643  0.000  230.0   57.3  172.6    0.0
 2000 328    90  25.60  32.30  16.40  6.305  6.305  3.135  3.170  0.000  236.3   60.5  175.8    0.0
 2000 329    91  16.60  20.50  13.00  3.451  3.451  1.768  1.683  0.000  239.7   62.2  177.5    0.0
 2000 330    92  29.80  23.40   8.70  6.189  6.189  3.947  2.242  0.000  245.9   66.2  179.7    0.0
