*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2000 280    42    39     1.0     0.0     1.0    0.00    4.92      0.1     1.1     0.8     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 2000 281    43    40     1.1     0.0     1.1    0.00    4.89      0.1     1.2     0.9     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 2000 282    44    41     1.2     0.0     1.2    0.00    4.85      0.1     1.3     1.0     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 2000 283    45    42     1.3     0.0     1.3    0.00    4.86      0.1     1.4     1.1     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 2000 284    46    43     1.4     0.0     1.4    0.00    4.83      0.1     1.5     1.1     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 2000 285    47    44     1.5     0.0     1.5    0.00    4.78      0.1     1.7     1.2     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 2000 286    48    45     1.6     0.0     1.6    0.00    4.73      0.1     1.9     1.3     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 2000 287    49    46     1.8     0.0     1.8    0.00    4.72      0.1     2.1     1.5     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 2000 288    50    47     1.9     0.0     1.9    0.00    4.72      0.1     2.2     1.6     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 2000 289    51    48     2.0     0.0     2.0    0.00    4.71      0.1     2.4     1.6     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 2000 290    52    49     2.2     0.0     2.2    0.00    4.68      0.1     2.6     1.7     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 2000 291    53    50     2.3     0.0     2.3    0.00    4.63      0.1     2.7     1.8     0.5    5.72    2.66     0.0    1.5    0.0    0.00    0.07
 2000 292    54    51     2.4     0.0     2.4    0.00    4.60      0.1     2.9     1.9     0.5    5.73    2.66     0.0    1.5    0.0    0.00    0.07
 2000 293    55    52     2.6     0.0     2.6    0.00    4.57      0.1     3.2     2.1     0.6    5.73    2.66     0.0    1.5    0.0    0.00    0.07
 2000 294    56    53     2.8     0.0     2.8    0.00    4.55      0.1     3.4     2.2     0.6    5.73    2.66     0.0    1.5    0.0    0.00    0.08
 2000 295    57    54     3.1     0.0     3.1    0.00    4.46      0.2     3.8     2.4     0.8    5.73    2.66     0.0    1.5    0.0    0.00    0.08
 2000 296    58    55     3.3     0.0     3.3    0.00    4.44      0.2     4.0     2.5     0.8    5.73    2.66     0.0    1.5    0.0    0.00    0.09
 2000 297    59    56     3.5     0.0     3.5    0.00    4.41      0.2     4.2     2.6     0.9    5.73    2.66     0.0    1.5    0.0    0.00    0.09
 2000 298    60    57     3.7     0.0     3.7    0.00    4.42      0.2     4.5     2.8     1.0    5.73    2.66     0.0    1.5    0.0    0.00    0.10
 2000 299    61    58     4.1     0.0     4.1    0.00    4.42      0.2     5.0     3.1     1.1    5.73    2.66     0.0    1.5    0.0    0.00    0.10
 2000 300    62    59     4.6     0.0     4.6    0.00    4.42      0.2     5.5     3.4     1.2    5.73    2.66     0.0    1.5    0.0    0.00    0.11
 2000 301    63    60     5.4     0.0     5.4    0.00    4.41      0.2     6.5     4.0     1.4    5.73    2.66     0.0    1.5    0.0    0.00    0.12
 2000 302    64    61     6.2     0.0     6.2    0.00    4.40      0.2     7.3     4.6     1.6    5.72    2.66     0.0    1.5    0.0    0.00    0.12
 2000 303    65    62     6.8     0.0     6.8    0.00    4.40      0.2     8.1     5.1     1.8    5.72    2.66     0.0    1.5    0.0    0.00    0.12
 2000 304    66    63     8.0     0.0     8.0    0.00    4.39      0.2     9.4     5.9     2.1    5.72    2.66     0.0    1.5    0.0    0.00    0.13
 2000 305    67    64     9.2     0.0     9.2    0.00    4.38      0.3    10.9     6.8     2.5    5.72    2.66     0.0    1.5    0.0    0.00    0.14
 2000 306    68    65     9.9     0.0     9.9    0.00    4.37      0.3    11.6     7.2     2.6    5.72    2.66     0.0    1.5    0.0    0.00    0.15
 2000 307    69    66    11.1     0.0    11.1    0.00    4.36      0.3    13.0     8.1     3.0    5.72    2.66     0.0    1.5    0.0    0.00    0.16
 2000 308    70    67    12.6     0.0    12.6    0.00    4.35      0.3    14.7     9.2     3.4    5.72    2.66     0.0    1.5    0.0    0.00    0.17
 2000 309    71    68    13.8     0.0    13.8    0.00    4.34      0.4    16.2    10.0     3.8    5.72    2.66     0.0    1.5    0.0    0.00    0.18
 2000 310    72    69    15.7     0.0    15.7    0.00    4.33      0.4    18.3    11.3     4.4    5.72    2.66     0.0    1.5    0.0    0.00    0.19
 2000 311    73    70    17.7     0.0    17.7    0.00    4.31      0.4    20.6    12.7     5.0    5.72    2.65     0.0    1.5    0.0    0.00    0.20
 2000 312    74    71    19.1     0.0    19.1    0.00    4.30      0.5    22.2    13.6     5.4    5.71    2.65     0.0    1.5    0.0    0.00    0.22
 2000 313    75    72    20.9     0.0    20.9    0.00    4.28      0.5    24.4    14.9     6.0    5.71    2.64     0.0    1.5    0.0    0.00    0.23
 2000 314    76    73    22.1     0.0    22.1    0.00    4.27      0.5    25.7    15.7     6.4    5.71    2.64     0.0    1.5    0.0    0.00    0.25
 2000 315    77    74    24.6     0.0    24.6    0.00    4.24      0.6    28.7    17.4     7.2    5.70    2.62     0.0    1.5    0.0    0.00    0.27
 2000 316    78    75    27.4     0.0    27.4    0.00    4.22      0.6    32.1    19.2     8.2    5.70    2.62     0.0    1.5    0.0    0.02    0.29
 2000 317    79    76    30.3     0.0    30.3    0.00    4.20      0.7    35.7    21.2     9.2    5.71    2.61     0.0    1.5    0.0    0.05    0.32
 2000 318    80    77    32.9     0.0    32.9    0.00    4.19      0.7    38.8    22.8    10.0    5.72    2.61     0.0    1.5    0.0    0.07    0.34
