*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 259    21     0     0     0.5  109.5   16634   91.2   18.3   1.3   7.5  16.2  13.3   9.5   1.9   0.9   0.8   0.0   0.0   0.2   0.8   1.6   1.0   1.0  1.61  1.00  0.82  0.00  0.00   11.63   17.23    0.33    0.00    0.00
 2000 260    22     0     0     0.7  109.5   16634   91.0   18.6   1.5   7.4  15.9  13.0   9.5   2.0   1.0   0.8   0.0   0.0   0.2   0.8   1.7   1.0   1.0  1.62  1.00  0.81  0.00  0.00   12.05   17.44    0.57    0.00    0.00
 2000 261    23     0     0     0.8  109.7   16634   91.0   18.6   1.7   7.4  15.8  12.9   9.4   2.1   1.0   0.8   0.0   0.0   0.1   0.8   1.7   1.0   1.0  1.63  1.00  0.81  0.00  0.00   12.45   17.75    0.71    0.00    0.00
 2000 262    24     0     0     0.8  110.0   16633   91.2   18.7   1.3   6.5  15.4  13.4   9.8   2.2   1.1   0.9   0.0   0.0   0.1   0.8   1.7   1.1   1.0  1.65  1.01  0.80  0.00  0.00   12.86   18.06    0.76    0.00    0.00
 2000 263    25     0     0     1.3  109.6   16633   90.5   19.0   0.6   4.4  12.3  12.0  10.4   3.8   1.8   1.1   0.0   0.0   0.2   0.8   1.8   1.1   1.0  1.66  1.01  0.80  0.00  0.00   13.32   18.21    1.08    0.00    0.00
 2000 264    26     0     0     1.5  109.5   16632   90.1   19.3   0.6   4.1  11.8  11.8  10.5   3.9   1.9   1.2   0.0   0.0   0.1   0.9   1.9   1.1   1.1  1.68  1.01  0.80  0.00  0.00   13.81   18.40    1.50    0.00    0.00
 2000 265    27     0     0     2.0  109.0   16632   89.3   19.7   0.8   4.1  11.4  11.3  10.2   4.1   2.0   1.2   0.0   0.0   0.1   0.9   1.9   1.1   1.1  1.69  1.02  0.80  0.00  0.00   14.34   18.59    1.92    0.00    0.00
 2000 266    28     0     0     2.4  108.9   16631   88.9   20.0   0.9   4.1  11.2  11.1  10.1   4.1   2.1   1.3   0.0   0.0   0.1   1.0   2.0   1.1   1.1  1.71  1.02  0.79  0.00  0.00   14.89   18.83    2.17    0.00    0.00
 2000 267    29     0     0     2.4  109.2   16631   89.2   20.1   1.1   4.2  11.1  11.0  10.0   4.2   2.2   1.3   0.0   0.0   0.1   0.9   2.0   1.2   1.1  1.72  1.03  0.79  0.00  0.00   15.45   19.27    2.31    0.00    0.00
 2000 268    30     0     0     2.6  109.5   16630   89.3   20.2   1.3   4.3  11.2  10.9  10.0   4.2   2.2   1.3   0.0   0.0   0.1   0.8   2.1   1.2   1.1  1.74  1.03  0.78  0.00  0.00   16.01   19.71    2.39    0.00    0.00
