*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 2000 261    23    20    0.4      0   0.01      4      1      0      5      5      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  207.3   0.04   0.04    0.7   0.67   0.05   0.05   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00       0       0
 2000 262    24    21    0.5      0   0.01      4      1      0      5      5      0     0.0  0.000      0      0  0.000  0.000  0.000  0.008    5.71   0.00   0.00      0      0  213.5   0.04   0.04    0.6   0.74   0.05   0.05   0.04   0.01   0.00   0.00   0.00   0.00   0.00   0.00       0       1
 2000 263    25    22    0.6      0   0.01      5      1      0      6      6      0     0.0  0.000      0      0  0.000  0.000  0.000  0.102    5.71   0.00   0.00      0      0  218.3   0.04   0.04    0.6   0.82   0.05   0.05   0.04   0.01   0.00   0.00   0.00   0.00   0.00   0.00       0       1
 2000 264    26    23    0.7      0   0.01      5      1      0      6      6      0     0.0  0.000      0      0  0.000  0.000  0.000  0.053    5.71   0.00   0.00      0      0  223.7   0.05   0.04    0.7   0.89   0.05   0.05   0.04   0.01   0.00   0.00   0.00   0.00   0.00   0.00       0       1
 2000 265    27    24    0.7      0   0.01      5      1      0      7      6      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  225.6   0.05   0.05    0.6   0.95   0.05   0.05   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       0       1
 2000 266    28    25    0.8      0   0.01      5      2      0      7      7      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  221.7   0.05   0.05    0.7   1.00   0.06   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       0       1
 2000 267    29    26    0.8      0   0.01      5      2      0      8      7      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  221.7   0.05   0.05    0.7   1.05   0.06   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       0       1
 2000 268    30    27    0.9      0   0.01      6      2      0      9      7      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  218.3   0.05   0.05    0.7   1.07   0.06   0.06   0.05   0.01   0.01   0.01   0.00   0.00   0.00   0.00       0       1
 2000 269    31    28    0.9      0   0.01      6      2      0      9      8      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  215.3   0.05   0.05    0.7   1.08   0.06   0.06   0.05   0.01   0.01   0.01   0.00   0.00   0.00   0.00       0       1
 2000 270    32    29    0.9      0   0.01      6      2      0     10      8      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  212.3   0.05   0.05    0.7   1.11   0.07   0.06   0.05   0.01   0.01   0.01   0.00   0.00   0.00   0.00       0       1
