*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 282    44    6.0   12.6   13.5   24.9   49.8   0.10   22.6    9.9   16.1   18.3    9.9   16.1   18.3   86.4    330
 2000 283    45   20.0   12.6   13.6    7.5   15.0   0.73   18.1   12.2   15.1   16.1   12.2   15.1   16.1   86.4    330
 2000 284    46    0.0   12.7   13.6   24.8   49.6   0.11   18.2    9.1   13.5   15.1    9.1   13.5   15.1   86.4    330
 2000 285    47    0.0   12.7   13.6   25.4   50.8   0.09   21.2    8.0   14.5   16.7    8.0   14.5   16.7   86.4    330
 2000 286    48    0.0   12.7   13.7   23.0   46.0   0.18   27.2   16.2   21.6   23.5   16.2   21.6   23.5   86.4    330
 2000 287    49    0.0   12.8   13.7   23.1   46.2   0.18   21.8   11.9   16.7   18.5   11.9   16.7   18.5   86.4    330
 2000 288    50    0.0   12.8   13.7    7.5   15.0   0.74   19.7   13.8   16.7   17.7   13.8   16.7   17.7   86.4    330
 2000 289    51    3.2   12.8   13.8    8.2   16.4   0.71   19.9   12.4   16.1   17.4   12.4   16.1   17.4   86.4    330
 2000 290    52    7.9   12.9   13.8   11.4   22.8   0.60   23.3   14.4   18.8   20.3   14.4   18.8   20.3   86.4    330
 2000 291    53    0.0   12.9   13.8   11.3   22.6   0.61   22.0   16.5   19.2   20.2   16.5   19.2   20.2   86.4    330
 2000 292    54    0.0   12.9   13.9    7.8   15.6   0.73   23.6   16.3   19.9   21.2   16.3   19.9   21.2   86.4    330
 2000 293    55   15.4   12.9   13.9   13.3   26.6   0.54   19.7   16.5   18.1   18.6   16.5   18.1   18.6   86.4    330
 2000 294    56    0.0   13.0   13.9    7.8   15.6   0.73   26.6   15.6   21.0   23.0   15.6   21.0   23.0   86.4    330
 2000 295    57    0.0   13.0   14.0   20.5   41.0   0.30   27.5   15.2   21.3   23.4   15.2   21.3   23.4   86.4    330
 2000 296    58   36.0   13.0   14.0    8.1   16.2   0.72   19.7   16.1   17.9   18.5   16.1   17.9   18.5   86.4    330
 2000 297    59    0.5   13.1   14.0    8.2   16.4   0.72   18.8   14.7   16.7   17.4   14.7   16.7   17.4   86.4    330
 2000 298    60    0.0   13.1   14.0    7.9   15.8   0.73   22.0   14.2   18.1   19.4   14.2   18.1   19.4   86.4    330
 2000 299    61   46.0   13.1   14.1   13.7   27.4   0.54   22.0   16.6   19.3   20.2   16.6   19.3   20.2   86.4    330
 2000 300    62   16.0   13.2   14.1   11.8   23.6   0.61   23.9   18.1   21.0   22.0   18.1   21.0   22.0   86.4    330
 2000 301    63    0.0   13.2   14.1   27.4   54.8   0.09   24.8   12.5   18.6   20.8   12.5   18.6   20.8   86.4    330
 2000 302    64    0.0   13.2   14.2   27.5   55.0   0.09   20.1    9.2   14.6   16.5    9.2   14.6   16.5   86.4    330
 2000 303    65    0.0   13.2   14.2   28.7   57.4   0.05   17.9    7.4   12.6   14.5    7.4   12.6   14.5   86.4    330
 2000 304    66    0.0   13.3   14.2   28.4   56.8   0.06   27.1    9.5   18.2   21.4    9.5   18.2   21.4   86.4    330
 2000 305    67    0.0   13.3   14.3   26.7   53.4   0.12   26.6   12.4   19.5   22.0   12.4   19.5   22.0   86.4    330
 2000 306    68   15.0   13.3   14.3    8.2   16.4   0.73   24.7   14.6   19.6   21.4   14.6   19.6   21.4   86.4    330
 2000 307    69    0.0   13.4   14.3   20.5   41.0   0.33   22.5   13.8   18.1   19.7   13.8   18.1   19.7   86.4    330
 2000 308    70    0.0   13.4   14.4   29.6   59.2   0.04   23.4    9.4   16.4   18.9    9.4   16.4   18.9   86.4    330
 2000 309    71    0.0   13.4   14.4   18.6   37.2   0.40   22.0   10.6   16.3   18.3   10.6   16.3   18.3   86.4    330
 2000 310    72    0.0   13.4   14.4   28.7   57.4   0.07   23.9   10.6   17.2   19.6   10.6   17.2   19.6   86.4    330
 2000 311    73    0.0   13.5   14.4   25.8   51.6   0.17   24.9   13.2   19.0   21.2   13.2   19.0   21.2   86.4    330
 2000 312    74    2.0   13.5   14.5   11.9   23.8   0.62   23.6   15.0   19.3   20.9   15.0   19.3   20.9   86.4    330
 2000 313    75    0.0   13.5   14.5   15.9   31.8   0.49   25.0   17.0   21.0   22.5   17.0   21.0   22.5   86.4    330
