*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2002 025   158   155   6645    8.43    0.69    3.57    1.25    3.90    0.00    5.0    8.0   27.9   24.3    6.04   20.36   33.38
 2002 026   159   156   6544    4.24    0.58    1.45    0.42    3.00    0.00    4.7    7.4   24.8   22.3    6.04   20.36   33.38
 2002 027   160   157   6462    4.17    0.53    1.24    0.35    3.15    0.00    4.5    6.9   25.7   23.2    6.04   20.36   33.37
 2002 028   161   158   6396    4.42    0.47    1.23    0.35    3.36    0.00    4.3    6.5   29.1   23.8    6.04   20.36   33.36
 2002 029   162   159   6337    3.47    0.43    0.32    0.09    3.50    0.00    4.0    6.1   30.7   24.7    6.04   20.36   33.36
 2002 030   163   160   6282    2.69    0.40    0.00    0.00    3.28    0.00    3.8    5.7   29.1   24.5    6.04   20.36   33.36
 2002 031   164   161   6239    1.88    0.36    0.00    0.00    2.91    0.00    3.6    5.4   26.5   23.4    6.04   20.36   33.36
 2002 032   165   162   6204    1.81    0.31    0.00    0.00    2.38    0.00    3.4    5.1   24.2   21.0    6.04   20.36   33.36

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   4        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2002 235     3     0      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   19.6   16.8    0.00    0.00    0.00
 2002 236     4     1      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   25.6   21.3    0.00    0.00    0.00
 2002 237     5     2      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   29.4   24.5    0.00    0.00    0.00
 2002 238     6     3      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   29.8   25.7    0.00    0.00    0.00
 2002 239     7     4      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   25.3   22.2    0.00    0.00    0.00
 2002 240     8     5      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   26.0   21.8    0.00    0.00    0.00
 2002 241     9     6      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   16.6   13.9    0.00    0.00    0.00
 2002 242    10     7      7    0.00    0.00    0.00    0.00    0.00    0.00    4.0    8.0   12.8   10.1    0.00    0.00    0.00
 2002 243    11     8      7    0.04    0.00    0.03    0.01    0.00    0.00    4.0    8.0   10.6    7.8    0.00    0.00    0.00
 2002 244    12     9      8    0.03    0.00    0.02    0.01    0.00    0.00    4.0    7.9    9.1    6.5    0.00    0.00    0.00
 2002 245    13    10      8    0.05    0.00    0.03    0.01    0.00    0.00    4.0    7.9   11.3    6.6    0.00    0.00    0.00
 2002 246    14    11      8    0.06    0.00    0.04    0.01    0.00    0.00    4.0    7.9   13.8    9.3    0.00    0.00    0.00
 2002 247    15    12      9    0.10    0.00    0.06    0.02    0.00    0.00    3.9    7.9   17.4   11.8    0.00    0.00    0.00
 2002 248    16    13      9    0.11    0.00    0.07    0.02    0.01    0.00    3.9    7.8   20.1   14.5    0.00    0.00    0.00
 2002 249    17    14     10    0.04    0.00    0.02    0.01    0.00    0.00    3.9    7.8   14.9   11.4    0.00    0.00    0.00
 2002 250    18    15     10    0.08    0.00    0.05    0.02    0.00    0.00    3.9    7.8   13.5    9.8    0.00    0.00    0.00
 2002 251    19    16     11    0.09    0.00    0.06    0.02    0.00    0.00    3.9    7.7   14.0    9.8    0.00    0.00    0.00
 2002 252    20    17     11    0.12    0.00    0.08    0.03    0.01    0.00    3.9    7.7   16.9   12.7    0.00    0.00    0.00
 2002 253    21    18     12    0.05    0.00    0.03    0.01    0.00    0.00    3.8    7.7   16.7   13.6    0.00    0.00    0.00
 2002 254    22    19     12    0.06    0.00    0.04    0.01    0.01    0.00    3.8    7.6   16.8   16.3    0.00    0.00    0.00
 2002 255    23    20     13    0.14    0.00    0.09    0.03    0.01    0.00    3.8    7.6   16.1   13.5    0.00    0.00    0.00
 2002 256    24    21     14    0.15    0.00    0.10    0.03    0.01    0.00    3.8    7.6   16.2   12.3    0.00    0.00    0.00
 2002 257    25    22     15    0.15    0.00    0.10    0.03    0.01    0.00    3.8    7.6   16.5   12.7    0.00    0.00    0.00
 2002 258    26    23     16    0.13    0.00    0.08    0.03    0.01    0.00    3.7    7.5   15.7   12.9    0.00    0.00    0.00
 2002 259    27    24     16    0.10    0.00    0.06    0.02    0.01    0.00    3.7    7.5   16.7   13.9    0.00    0.00    0.00
 2002 260    28    25     17    0.09    0.00    0.06    0.02    0.01    0.00    3.7    7.4   18.5   17.0    0.00    0.00    0.00
 2002 261    29    26     17    0.10    0.00    0.06    0.02    0.01    0.00    3.7    7.4   18.2   16.3    0.00    0.00    0.00
 2002 262    30    27     18    0.12    0.00    0.07    0.02    0.01    0.00    3.6    7.4   18.0   13.6    0.00    0.00    0.00
 2002 263    31    28     19    0.16    0.00    0.10    0.03    0.01    0.00    3.6    7.4   13.9   10.2    0.00    0.00    0.00
 2002 264    32    29     20    0.18    0.00    0.12    0.03    0.01    0.00    3.6    7.4   15.6   11.3    0.00    0.00    0.00
 2002 265    33    30     21    0.22    0.00    0.14    0.05    0.01    0.00    3.6    7.4   19.2   13.6    0.00    0.00    0.00
 2002 266    34    31     23    0.24    0.00    0.14    0.05    0.01    0.00    3.6    7.3   17.3   13.4    0.00    0.00    0.00
 2002 267    35    32     24    0.27    0.00    0.17    0.06    0.01    0.00    3.7    7.3   18.5   12.9    0.00    0.00    0.00
 2002 268    36    33     27    0.39    0.00    0.24    0.08    0.02    0.00    3.6    7.3   22.5   16.8    0.00    0.00    0.00
 2002 269    37    34     29    0.41    0.00    0.26    0.09    0.02    0.00    3.6    7.3   22.2   16.1    0.00    0.00    0.00
 2002 270    38    35     32    0.50    0.00    0.32    0.10    0.03    0.00    3.6    7.3   23.7   17.9    0.00    0.00    0.00
 2002 271    39    36     35    0.53    0.00    0.33    0.10    0.05    0.00    3.6    7.3   27.0   21.7    0.00    0.00    0.00
 2002 272    40    37     37    0.21    0.00    0.12    0.05    0.02    0.00    3.6    7.2   17.1   16.4    0.00    0.00    0.00
 2002 273    41    38     39    0.46    0.00    0.28    0.10    0.03    0.00    3.6    7.2   19.2   16.7    0.00    0.00    0.00
 2002 274    42    39     43    0.55    0.00    0.34    0.12    0.03    0.00    3.6    7.2   19.8   15.8    0.00    0.00    0.00
 2002 275    43    40     46    0.64    0.00    0.40    0.13    0.04    0.00    3.6    7.2   22.7   18.5    0.00    0.00    0.00
 2002 276    44    41     52    0.89    0.00    0.56    0.17    0.06    0.00    3.6    7.3   21.7   18.9    0.00    0.00    0.00
 2002 277    45    42     57    0.79    0.00    0.50    0.15    0.06    0.00    3.5    7.3   23.8   19.0    0.00    0.00    0.00
 2002 278    46    43     62    0.90    0.00    0.56    0.17    0.07    0.00    3.5    7.3   22.9   21.0    0.00    0.00    0.00
 2002 279    47    44     67    0.98    0.00    0.59    0.19    0.09    0.00    3.5    7.2   26.9   23.0    0.00    0.00    0.00
 2002 280    48    45     71    0.58    0.00    0.35    0.12    0.04    0.00    3.5    7.2   19.8   16.6    0.00    0.00    0.00
 2002 281    49    46     74    0.61    0.00    0.37    0.12    0.05    0.00    3.5    7.2   20.1   18.0    0.00    0.00    0.00
 2002 282    50    47     78    0.65    0.00    0.40    0.12    0.05    0.00    3.5    7.1   18.9   18.5    0.00    0.00    0.00
 2002 283    51    48     81    0.71    0.00    0.43    0.13    0.06    0.00    3.4    7.1   19.2   18.5    0.00    0.00    0.00
 2002 284    52    49     88    1.06    0.01    0.65    0.20    0.09    0.00    3.4    7.1   22.6   20.5    0.00    0.00    0.00
 2002 285    53    50    100    2.12    0.01    1.30    0.38    0.18    0.00    3.4    7.2   27.3   23.3    0.00    0.00    0.00
 2002 286    54    51    116    2.61    0.01    1.59    0.47    0.24    0.00    3.4    7.2   28.5   24.8    0.00    0.00    0.00
 2002 287    55    52    133    2.86    0.01    1.74    0.51    0.28    0.00    3.4    7.2   29.4   25.5    0.00    0.00    0.00
 2002 288    56    53    141    1.56    0.01    0.89    0.29    0.20    0.00    3.4    7.1   28.9   25.9    0.00    0.00    0.00
 2002 289    57    54    150    1.62    0.01    0.99    0.33    0.10    0.00    3.4    7.1   19.6   16.7    0.00    0.00    0.00
 2002 290    58    55    169    3.09    0.01    1.92    0.62    0.14    0.00    3.5    7.2   19.9   15.7    0.00    0.00    0.00
 2002 291    59    56    194    4.08    0.01    2.50    0.81    0.25    0.00    3.5    7.2   23.7   18.9    0.00    0.00    0.00
 2002 292    60    57    206    2.30    0.01    1.37    0.44    0.21    0.00    3.5    7.2   23.5   21.6    0.00    0.00    0.00
 2002 293    61    58    221    2.56    0.01    1.54    0.49    0.20    0.00    3.5    7.1   23.8   19.6    0.00    0.00    0.00
 2002 294    62    59    235    2.28    0.00    1.44    0.45    0.07    0.00    3.5    7.2   12.1   10.0    0.00    0.00    0.00
 2002 295    63    60    258    3.69    0.01    2.32    0.73    0.13    0.00    3.5    7.2   16.8   11.9    0.00    0.00    0.00
 2002 296    64    61    288    4.90    0.01    3.05    0.97    0.22    0.00    3.6    7.2   20.6   14.9    0.00    0.00    0.00
 2002 297    65    62    330    6.98    0.02    4.23    1.35    0.50    0.00    3.6    7.2   24.8   21.4    0.00    0.00    0.00
 2002 298    66    63    357    4.65    0.02    2.83    0.91    0.33    0.00    3.6    7.2   21.6   19.2    0.00    0.00    0.00
 2002 299    67    64    413    8.72    0.00    4.89    1.23    0.67    1.04    5.6   13.1   26.1   22.2    0.00    0.00    0.00
 2002 300    68    65    432    4.69    0.05    1.50    1.14    0.45    0.01    5.4   12.7   23.8   21.8    0.00    0.00    0.00
 2002 301    69    66    486    8.77    0.00    5.21    1.31    0.72    0.66    6.3   15.0   25.6   22.3    0.00    0.00    0.00
 2002 302    70    67    508    5.24    0.04    1.74    1.30    0.27    0.03    6.1   14.7   17.2   14.9    0.00    0.00    0.00
 2002 303    71    68    527    4.36    0.04    2.09    0.95    0.26    0.05    6.0   14.5   18.4   14.9    0.00    0.00    0.00
 2002 304    72    69    590   11.10    0.05    6.40    2.15    0.60    0.19    6.0   14.3   21.5   17.6    0.00    0.00    0.00
 2002 305    73    70    658   11.74    0.06    6.78    2.27    0.66    0.24    6.0   14.1   21.6   17.8    0.00    0.00    0.00
 2002 306    74    71    733   13.20    0.08    7.51    2.52    0.91    0.31    6.0   14.1   23.8   20.2    0.00    0.00    0.00
 2002 307    75    72    761    4.97    0.06    3.11    0.87    0.35    0.14    6.1   14.1   16.9   15.5    0.00    0.00    0.00
 2002 308    76    73    800    7.02    0.05    3.80    1.34    0.33    0.19    6.1   14.2   15.2   13.2    0.00    0.00    0.00
 2002 309    77    74    869   10.97    0.05    6.52    1.92    0.45    0.35    6.1   14.4   17.5   13.3    0.00    0.00    0.00
 2002 310    78    75    949   13.33    0.07    7.81    2.54    0.65    0.45    6.2   14.6   19.8   15.2    0.00    0.00    0.00
 2002 311    79    76   1049   17.02    0.11    9.88    3.09    1.14    0.63    6.4   14.9   24.0   19.1    0.00    0.00    0.00
 2002 312    80    77   1156   18.53    0.15   10.95    3.15    1.51    0.77    6.6   15.3   26.3   21.5    0.00    0.00    0.00
 2002 313    81    78   1206    9.29    0.14    4.82    1.81    0.79    0.37    6.6   15.4   20.0   18.5    0.00    0.00    0.00
 2002 314    82    79   1272   11.29    0.09    6.43    2.22    0.59    0.51    6.7   15.6   16.7   14.3    0.00    0.00    0.00
 2002 315    83    80   1316    8.52    0.15    4.72    1.56    0.75    0.38    6.7   15.7   21.3   17.6    0.00    0.00    0.00
 2002 316    84    81   1459   22.01    0.17   14.17    3.79    1.50    1.27    7.0   16.4   24.9   18.7    0.00    0.00    0.00
 2002 317    85    82   1602   23.11    0.24   14.13    4.06    2.03    1.35    7.3   16.9   27.9   21.6    0.00    0.00    0.00
 2002 318    86    83   1728   20.99    0.31   12.79    3.47    2.25    1.27    7.4   17.3   28.2   23.7    0.00    0.00    0.00
 2002 319    87    84   1833   17.76    0.32   10.84    3.00    1.84    1.11    7.6   17.7   24.1   22.2    0.00    0.00    0.00
 2002 320    88    85   1987   25.79    0.00   14.65    4.03    2.79    2.07    8.1   18.9   28.7   24.2    0.00    0.00    0.00
 2002 321    89    86   2056   13.95    0.45    7.90    2.40    2.02    0.80    8.1   18.9   26.6   24.0    0.00    0.00    0.00
 2002 322    90    87   2222   26.86    0.00   13.20    3.52    2.90    4.74    9.4   22.2   27.3   23.9    0.00    0.00    0.00
 2002 323    91    88   2350   21.70    0.50   13.00    3.74    2.24    1.52    9.5   22.4   26.0   21.5    0.00    0.00    0.00
 2002 324    92    89   2418   13.64    0.53    7.88    2.27    1.83    0.76    9.5   22.3   23.6   21.6    0.00    0.00    0.00
 2002 325    93    90   2564   23.69    0.00   11.53    3.14    2.05    4.25   10.4   24.8   22.8   19.6    0.00    0.00    0.00
 2002 326    94    91   2731   26.35    0.00   12.81    3.63    2.00    4.87   11.4   27.3   22.8   18.1    0.00    0.00    0.00
 2002 327    95    92   2892   28.39    0.78   16.22    5.08    3.28    2.08   11.4   27.2   28.8   23.1    0.00    0.00    0.00
 2002 328    96    93   3010   22.90    0.98   13.10    3.83    3.49    1.50   11.4   27.0   28.1   25.6    0.00    0.00    0.00
 2002 329    97    94   3074   14.61    0.81    8.18    2.46    2.22    0.60   11.3   26.8   23.8   21.8    0.00    0.00    0.00
 2002 330    98    95   3219   26.59    0.90   15.07    4.53    3.34    1.84   11.4   26.8   27.0   23.5    0.00    0.00    0.00
 2002 331    99    96   3308   19.10    0.96   10.48    3.22    3.09    1.00   11.3   26.6   27.8   24.0    0.00    0.00    0.00
 2002 332   100    97   3344   12.04    0.61    6.85    2.30    1.44    0.18   11.3   26.4   18.4   16.9    0.00    0.00    0.00
 2002 333   101    98   3392   13.40    0.83    7.38    2.67    2.05    0.15   11.2   26.1   22.7   20.3    6.18   19.65   33.24
 2002 334   102    99   3509   25.97    1.06   14.00    4.75    3.64    1.60   11.2   26.0   27.4   24.1    6.29   20.13   32.05
 2002 335   103   100   3555   11.65    0.41    6.39    2.09    1.71    0.09   11.2   26.0   19.6   18.4    6.25   19.31   33.12
 2002 336   104   101   3687   27.70    0.86   15.41    5.19    2.63    1.92   11.3   26.1   22.8   19.3    6.23   19.24   33.33
 2002 337   105   102   3801   24.97    1.01   13.17    4.83    2.94    1.46   11.3   26.1   25.0   20.8    6.21   19.47   33.20
 2002 338   106   103   3828   13.70    0.74    7.53    2.66    2.07    0.06   11.3   25.8   20.6   19.4    6.20   19.38   33.35
 2002 339   107   104   3912   21.89    1.26   10.75    4.47    3.56    0.73   11.2   25.6   26.7   23.9    6.25   19.71   32.72
 2002 340   108   105   3935   15.06    1.17    8.16    2.92    2.90    0.02   11.0   25.1   25.0   22.8    6.26   19.88   32.51
 2002 341   109   106   3979   19.13    1.04    9.67    4.18    2.52    0.38   11.0   24.9   23.3   19.9    6.24   19.79   32.72
 2002 342   110   107   4071   22.98    0.89   11.84    5.04    2.14    1.12   11.0   24.8   21.1   17.1    6.25   19.28   33.18
 2002 343   111   108   4202   27.74    1.12   14.12    5.91    3.11    1.55   11.0   24.8   23.8   20.4    6.23   19.37   33.18
 2002 344   112   109   4240   16.87    1.12    9.13    3.83    2.42    0.01   10.8   24.4   22.0   19.6    6.22   19.34   33.26
 2002 345   113   110   4336   28.91    1.35   14.15    6.26    4.02    1.39   10.8   24.3   26.4   23.2    6.24   19.53   33.00
 2002 346   114   111   4401   25.94    1.27   12.82    5.95    3.39    0.81   10.7   24.1   24.6   21.4    6.23   19.62   32.94
 2002 347   115   112   4466   21.76    1.27   10.99    5.19    3.10    0.17   10.6   23.7   23.9   21.1    6.22   19.68   32.92
 2002 348   116   113   4537   24.21    1.44   11.65    5.53    4.13    0.39   10.4   23.3   27.7   24.0    6.24   19.79   32.68
 2002 349   117   114   4573   23.56    1.48   11.40    5.36    4.35    0.38   10.3   22.9   28.3   24.8    6.27   19.88   32.44
 2002 350   118   115   4648   27.89    1.43   13.34    6.44    4.29    0.75   10.2   22.6   26.8   23.7    6.28   19.96   32.30
 2002 351   119   116   4698   26.12    1.33   12.81    6.27    3.66    0.48   10.1   22.3   25.1   21.8    6.27   19.99   32.32
 2002 352   120   117   4774   28.44    1.27   13.75    6.85    3.63    0.76   10.0   22.0   26.0   20.9    6.26   19.98   32.38
 2002 353   121   118   4790   11.13    1.15    6.09    2.84    2.16    0.00    9.8   21.6   20.5   18.5    6.25   19.82   32.59
 2002 354   122   119   4852   23.91    1.26   11.70    6.08    3.29    0.00    9.7   21.1   23.8   20.7    6.25   19.82   32.64
 2002 355   123   120   4925   27.44    1.24   13.58    6.63    3.57    0.63    9.6   20.9   25.4   20.7    6.24   19.82   32.68
 2002 356   124   121   4933   13.14    1.41    6.68    3.01    3.62    0.00    9.4   20.3   27.5   23.8    6.25   19.89   32.54
 2002 357   125   122   4968   11.00    0.93    6.27    2.88    1.58    0.00    9.3   20.0   17.4   15.0    6.27   19.50   32.82
 2002 358   126   123   5016   21.45    1.05   10.96    5.47    2.49    0.00    9.1   19.5   21.7   17.5    6.27   19.35   32.97
 2002 359   127   124   5099   26.86    1.15   13.64    6.31    3.41    0.68    9.0   19.3   25.2   19.8    6.26   19.36   33.01
 2002 360   128   125   5170   26.78    1.29   12.89    6.48    4.39    0.24    8.9   18.9   28.2   23.0    6.26   19.44   32.92
 2002 361   129   126   5222   26.37    1.36   12.15    6.19    5.49    0.18    8.7   18.4   31.8   25.9    6.28   19.52   32.72
 2002 362   130   127   5219   12.04    1.26    6.01    2.68    3.81    0.02    8.5   17.9   26.4   24.3    6.30   19.56   32.56
 2002 363   131   128   5198   11.90    1.23    5.92    2.52    3.95    0.02    8.4   17.4   27.6   24.8    6.32   19.60   32.41
 2002 364   132   129   5217   17.02    1.21    8.28    4.25    3.92    0.00    8.2   16.9   26.9   23.5    6.32   19.66   32.34
 2002 365   133   130   5234   13.21    0.96    6.70    3.21    3.12    0.04    8.0   16.5   23.8   21.5    6.33   19.67   32.29
 2003 001   134   131   5263   19.02    1.09    9.25    4.92    3.68    0.00    7.8   15.9   25.1   22.3    6.32   19.72   32.28
 2003 002   135   132   5304   20.85    1.04    9.90    5.49    3.68    0.00    7.7   15.5   25.0   21.9    6.31   19.75   32.29
 2003 003   136   133   5315   11.81    0.93    6.05    2.76    3.06    0.02    7.5   15.0   24.1   21.4    6.31   19.76   32.29
 2003 004   137   134   5366   23.24    1.03   10.36    6.07    4.58    0.00    7.3   14.5   28.1   24.1    6.32   19.80   32.21
 2003 005   138   135   5415   22.25    0.98    9.91    5.80    4.52    0.00    7.1   14.0   29.3   24.0    6.32   19.84   32.14
 2003 006   139   136   5471   22.55    0.91   10.37    6.19    3.79    0.00    7.0   13.5   25.8   21.9    6.32   19.86   32.15
 2003 007   140   137   5529   22.24    0.88   10.04    6.04    3.94    0.00    6.8   13.0   27.7   22.3    6.32   19.89   32.14
 2003 008   141   138   5589   21.39    0.67    9.50    5.85    4.04    0.06    6.7   12.7   28.5   22.8    6.33   19.89   32.07
 2003 009   142   139   5641   19.39    0.62    8.27    4.96    4.43    0.08    6.6   12.4   28.6   25.0    6.35   19.88   31.94
 2003 010   143   140   5648   11.62    0.80    5.31    2.56    3.66    0.02    6.4   12.0   26.9   24.3    6.35   19.89   31.90
 2003 011   144   141   5696   17.84    0.59    7.69    4.63    3.97    0.07    6.3   11.7   28.3   23.9    6.37   19.89   31.82
 2003 012   145   142   5755   19.87    0.57    8.67    5.42    3.87    0.06    6.2   11.4   28.0   23.1    6.38   19.89   31.77
 2003 013   146   143   5815   19.22    0.43    8.33    5.28    3.43    0.09    6.1   11.2   27.3   21.5    6.38   19.87   31.73
 2003 014   147   144   5870   18.68    0.51    7.86    4.98    3.99    0.08    6.0   11.0   29.2   23.8    6.40   19.86   31.66
 2003 015   148   145   5918   17.26    0.52    7.01    4.40    4.27    0.08    5.9   10.7   29.9   25.3    6.41   19.86   31.58
 2003 016   149   146   5963   16.89    0.58    6.85    4.27    4.43    0.06    5.7   10.4   30.2   26.1    6.42   19.86   31.50
 2003 017   150   147   6016   16.23    0.00    6.51    2.38    4.65    0.46    5.9   10.7   31.8   26.9    6.35   20.05   31.80
 2003 018   151   148   5897   16.00    0.00    6.07    2.05    3.32    2.31    6.4   11.8   26.2   22.5    6.27   20.21   32.11
 2003 019   152   149   5783   12.25    0.71    5.56    2.31    3.36    0.00    6.1   10.9   29.6   23.5    6.22   20.32   32.31
 2003 020   153   150   5684    8.62    0.62    3.73    1.26    2.97    0.00    5.8   10.0   26.7   23.8    6.19   20.38   32.42
 2003 021   154   151   5607    8.05    0.53    3.28    1.30    2.91    0.00    5.5    9.3   28.3   23.8    6.17   20.42   32.48
 2003 022   155   152   5526    4.49    0.48    1.52    0.51    2.89    0.00    5.3    8.6   29.1   25.3    6.18   20.42   32.47
 2003 023   156   153   5466    4.80    0.39    1.87    0.76    2.24    0.00    5.0    8.0   25.4   22.1    6.18   20.42   32.47
 2003 024   157   154   5417    3.78    0.32    1.49    0.58    1.84    0.00    4.8    7.6   25.6   19.8    6.18   20.42   32.48
 2003 025   158   155   5370    2.78    0.32    0.67    0.19    2.25    0.00    4.5    7.1   27.9   23.1    6.18   20.42   32.48
 2003 026   159   156   5330    2.26    0.28    0.33    0.10    2.12    0.00    4.3    6.7   28.0   22.5    6.18   20.42   32.47
 2003 027   160   157   5295    1.71    0.26    0.00    0.00    2.02    0.00    4.1    6.3   27.9   22.1    6.18   20.42   32.47
 2003 028   161   158   5265    1.44    0.25    0.00    0.00    2.25    0.00    3.9    5.9   29.6   23.8    6.18   20.42   32.47
 2003 029   162   159   5239    1.14    0.23    0.00    0.00    2.40    0.00    3.7    5.6   30.1   25.2    6.18   20.42   32.47

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   5        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2003 235     3     0      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0    8.3    7.6    0.00    0.00    0.00
 2003 236     4     1      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   10.4    7.4    0.00    0.00    0.00
 2003 237     5     2      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0    9.0    5.5    0.00    0.00    0.00
 2003 238     6     3      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   10.0    4.7    0.00    0.00    0.00
 2003 239     7     4      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0    8.3    6.5    0.00    0.00    0.00
 2003 240     8     5      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   11.0    8.3    0.00    0.00    0.00
 2003 241     9     6      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   11.0    8.0    0.00    0.00    0.00
 2003 242    10     7      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   12.6    9.5    0.00    0.00    0.00
 2003 243    11     8      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   13.9   10.1    0.00    0.00    0.00
 2003 244    12     9      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   17.0   12.5    0.00    0.00    0.00
 2003 245    13    10      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   17.5   10.8    0.00    0.00    0.00
 2003 246    14    11      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   21.6   15.2    0.00    0.00    0.00
 2003 247    15    12      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   21.1   18.3    0.00    0.00    0.00
 2003 248    16    13      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   24.5   20.4    0.00    0.00    0.00
 2003 249    17    14      7    0.00    0.00    0.00    0.00    0.00    0.00    3.9    7.8   30.0   25.2    0.00    0.00    0.00
 2003 250    18    15      7    0.05    0.00    0.03    0.01    0.00    0.00    3.9    7.7   21.0   18.0    0.00    0.00    0.00
 2003 251    19    16      8    0.03    0.00    0.02    0.01    0.00    0.00    3.9    7.7   14.1   11.9    0.00    0.00    0.00
 2003 252    20    17      8    0.06    0.00    0.04    0.01    0.00    0.00    3.9    7.7   12.0    8.9    0.00    0.00    0.00
 2003 253    21    18      8    0.07    0.00    0.04    0.01    0.00    0.00    3.9    7.7   12.3    8.2    0.00    0.00    0.00
 2003 254    22    19      9    0.09    0.00    0.06    0.02    0.00    0.00    3.8    7.7   15.2    9.3    0.00    0.00    0.00
 2003 255    23    20     10    0.12    0.00    0.08    0.02    0.00    0.00    3.8    7.7   18.4   11.9    0.00    0.00    0.00
 2003 256    24    21     10    0.09    0.00    0.06    0.02    0.00    0.00    3.8    7.7   12.7    9.9    0.00    0.00    0.00
 2003 257    25    22     11    0.07    0.00    0.05    0.01    0.00    0.00    3.8    7.7   11.7    7.2    0.00    0.00    0.00
 2003 258    26    23     11    0.09    0.00    0.06    0.02    0.00    0.00    3.8    7.7   13.6    9.2    0.00    0.00    0.00
 2003 259    27    24     12    0.09    0.00    0.06    0.02    0.00    0.00    3.8    7.7   13.6   10.0    0.00    0.00    0.00
 2003 260    28    25     12    0.10    0.00    0.07    0.02    0.00    0.00    3.8    7.6   14.7   10.3    0.00    0.00    0.00
 2003 261    29    26     13    0.15    0.00    0.10    0.03    0.01    0.00    3.8    7.6   19.0   13.1    0.00    0.00    0.00
 2003 262    30    27     14    0.10    0.00    0.06    0.02    0.01    0.00    3.7    7.5   23.1   17.8    0.00    0.00    0.00
 2003 263    31    28     15    0.15    0.00    0.10    0.03    0.01    0.00    3.7    7.5   16.7   11.6    0.00    0.00    0.00
 2003 264    32    29     16    0.15    0.00    0.10    0.03    0.01    0.00    3.7    7.5   19.8   15.2    0.00    0.00    0.00
 2003 265    33    30     17    0.17    0.00    0.11    0.03    0.01    0.00    3.7    7.4   22.7   19.8    0.00    0.00    0.00
 2003 266    34    31     18    0.13    0.00    0.08    0.02    0.01    0.00    3.6    7.4   19.1   17.0    0.00    0.00    0.00
 2003 267    35    32     19    0.18    0.00    0.12    0.04    0.01    0.00    3.6    7.4   18.3   15.2    0.00    0.00    0.00
 2003 268    36    33     20    0.17    0.00    0.11    0.03    0.01    0.00    3.6    7.4   17.3   13.3    0.00    0.00    0.00
 2003 269    37    34     21    0.14    0.00    0.09    0.03    0.01    0.00    3.6    7.3   17.5   14.2    0.00    0.00    0.00
 2003 270    38    35     22    0.25    0.00    0.15    0.06    0.02    0.00    3.6    7.3   21.7   17.7    0.00    0.00    0.00
 2003 271    39    36     23    0.17    0.00    0.10    0.04    0.01    0.00    3.6    7.3   14.7   11.1    0.00    0.00    0.00
 2003 272    40    37     24    0.22    0.00    0.14    0.05    0.01    0.00    3.6    7.3   15.4    9.8    0.00    0.00    0.00
