*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1999 275    43    40     53    0.45    0.00    0.29    0.10    0.02    0.00    3.6    7.3   13.4   10.1    0.00    0.00    0.00
 1999 276    44    41     56    0.35    0.00    0.22    0.07    0.01    0.00    3.6    7.3   11.0    7.1    0.00    0.00    0.00
 1999 277    45    42     58    0.31    0.00    0.20    0.07    0.01    0.00    3.6    7.4   11.0    6.1    0.00    0.00    0.00
 1999 278    46    43     59    0.31    0.00    0.19    0.07    0.02    0.00    3.6    7.4   15.3   10.7    0.00    0.00    0.00
 1999 279    47    44     63    0.61    0.00    0.38    0.13    0.04    0.00    3.6    7.3   18.9   16.1    0.00    0.00    0.00
 1999 280    48    45     65    0.36    0.00    0.22    0.08    0.03    0.00    3.6    7.3   16.3   15.1    0.00    0.00    0.00
 1999 281    49    46     69    0.66    0.00    0.40    0.15    0.04    0.00    3.6    7.3   17.7   15.4    0.00    0.00    0.00
 1999 282    50    47     73    0.69    0.00    0.43    0.16    0.03    0.00    3.6    7.3   16.7   13.2    0.00    0.00    0.00
 1999 283    51    48     80    1.11    0.00    0.70    0.24    0.05    0.00    3.6    7.3   19.3   14.8    0.00    0.00    0.00
 1999 284    52    49     88    1.39    0.00    0.88    0.29    0.07    0.00    3.6    7.3   21.6   16.5    0.00    0.00    0.00
 1999 285    53    50     92    0.58    0.00    0.35    0.12    0.04    0.00    3.6    7.3   18.0   15.8    0.00    0.00    0.00
 1999 286    54    51     95    0.63    0.00    0.38    0.13    0.05    0.00    3.5    7.2   17.6   16.7    0.00    0.00    0.00
 1999 287    55    52     98    0.54    0.00    0.33    0.12    0.03    0.00    3.5    7.2   14.9   13.8    0.00    0.00    0.00
 1999 288    56    53    105    1.19    0.01    0.74    0.24    0.08    0.00    3.5    7.2   22.2   18.2    0.00    0.00    0.00
 1999 289    57    54    116    1.81    0.00    1.14    0.38    0.10    0.00    3.5    7.3   20.6   16.6    0.00    0.00    0.00
 1999 290    58    55    131    2.40    0.01    1.52    0.49    0.14    0.00    3.5    7.3   23.5   17.9    0.00    0.00    0.00
