*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 15, 2016; 15:39:25

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0201 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 196     0   116      0      0      0     0     0   125  0.363  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 197     1   123      0      0      8     0     0   125  0.498  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 198     2   121      0      0      8     0     0   125  0.449  0.400  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 199     3   126      0      0     15     0     0   125  0.519  0.412  0.394  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1990 200     4   124      0      0     15     0     0   125  0.459  0.421  0.395  0.337  0.377  0.417  0.408  0.395  0.000  0.000
 1990 201     5   122      0      0     15     0     0   125  0.416  0.423  0.395  0.337  0.378  0.416  0.408  0.395  0.000  0.000
 1990 202     6   121      0      0     15     0     0   125  0.385  0.422  0.396  0.338  0.378  0.416  0.408  0.395  0.000  0.000
 1990 203     7   119      0      0     15     0     0   125  0.349  0.420  0.396  0.338  0.378  0.415  0.408  0.395  0.000  0.000
 1990 204     8   117      0      0     15     0     0   125  0.326  0.416  0.397  0.339  0.378  0.415  0.408  0.395  0.000  0.000
 1990 205     9   116      0      0     15     0     0   125  0.310  0.413  0.397  0.339  0.379  0.415  0.408  0.395  0.000  0.000
 1990 206    10   115      0      0     15     0     0   125  0.296  0.410  0.397  0.340  0.379  0.414  0.408  0.395  0.000  0.000
 1990 207    11   114      0      0     15     0     0   125  0.285  0.408  0.397  0.340  0.379  0.414  0.407  0.395  0.000  0.000
 1990 208    12   114      0      0     15     0     0   125  0.274  0.405  0.398  0.341  0.380  0.414  0.407  0.395  0.000  0.000
 1990 209    13   113      0      0     15     0     0   125  0.265  0.403  0.398  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1990 210    14   112      0      0     15     0     0   125  0.256  0.401  0.398  0.342  0.380  0.413  0.407  0.395  0.000  0.000
 1990 211    15   112      0      0     15     0     0   125  0.248  0.399  0.398  0.342  0.380  0.413  0.407  0.395  0.000  0.000
 1990 212    16   111      0      0     15     0     0   125  0.240  0.397  0.398  0.343  0.380  0.412  0.407  0.395  0.000  0.000
 1990 213    17   111      0      0     15     0     0   125  0.233  0.396  0.398  0.343  0.381  0.412  0.407  0.395  0.000  0.000
 1990 214    18   110      0      0     15     0     0   125  0.226  0.394  0.398  0.344  0.381  0.412  0.407  0.395  0.000  0.000
 1990 215    19   110      0      0     15     0     0   125  0.222  0.393  0.398  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 216    20   110      0      0     15     0     0   125  0.222  0.391  0.398  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 217    21   109      0      0     15     0     0   125  0.222  0.390  0.398  0.345  0.381  0.411  0.407  0.395  0.000  0.000
 1990 218    22   109      0      0     15     0     0   125  0.222  0.389  0.398  0.345  0.381  0.411  0.407  0.395  0.000  0.000
 1990 219    23   109      0      0     15     0     0   125  0.222  0.388  0.398  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 220    24   109      0      0     15     0     0   125  0.222  0.387  0.398  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 221    25   111      0      0     17     0     0   125  0.262  0.386  0.398  0.347  0.382  0.410  0.406  0.395  0.000  0.000
 1990 222    26   110      0      0     17     0     0   125  0.254  0.384  0.398  0.347  0.382  0.410  0.406  0.395  0.000  0.000
