*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:27:08

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0032 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 191     0    0.0    9.9   10.9   11.2   22.4   0.17   16.3    7.0   11.2   13.1    7.0   11.2   13.1   86.4    330
 1990 192     1    0.0    9.9   10.9   11.9   23.8   0.12   19.4    6.8   12.5   15.0    6.8   12.5   15.0   86.4    330
 1990 193     2    0.0    9.9   10.9   12.1   24.2   0.11   19.6    5.2   11.7   14.6    5.2   11.7   14.6   86.4    330
 1990 194     3    0.0    9.9   11.0   12.2   24.4   0.11   20.2    5.2   12.0   15.0    5.2   12.0   15.0   86.4    330
 1990 195     4    0.0    9.9   11.0    8.9   17.8   0.35   20.6    6.8   13.0   15.8    6.8   13.0   15.8   86.4    330
 1990 196     5   26.0    9.9   11.0    9.7   19.4   0.30   21.5   10.8   15.6   17.8   10.8   15.6   17.8   86.4    330
 1990 197     6    0.0   10.0   11.0    3.5    7.0   0.75   13.0   10.7   11.7   12.2   10.7   11.7   12.2   86.4    330
 1990 198     7    1.5   10.0   11.0    3.7    7.4   0.73   12.8   10.0   11.3   11.8   10.0   11.3   11.8   86.4    330
 1990 199     8    0.0   10.0   11.0   10.1   20.2   0.28    9.8    4.8    7.1    8.1    4.8    7.1    8.1   86.4    330
 1990 200     9    0.0   10.0   11.0   12.4   24.8   0.12    8.4    3.6    5.8    6.6    3.6    5.8    6.6   86.4    330
 1990 201    10    0.0   10.0   11.1   12.3   24.6   0.13    8.8    4.2    6.3    7.1    4.2    6.3    7.1   86.4    330
 1990 202    11    0.0   10.1   11.1    5.6   11.2   0.61    8.6    2.6    5.3    6.3    2.6    5.3    6.3   86.4    330
 1990 203    12    0.0   10.1   11.1   12.6   25.2   0.13   10.2    0.8    5.1    6.7    0.8    5.1    6.7   86.4    330
 1990 204    13    0.0   10.1   11.1    7.9   15.8   0.46   11.8   -2.6    3.9    6.4   -2.6    3.9    6.4   86.4    330
 1990 205    14    0.0   10.1   11.1   10.6   21.2   0.27   12.5   -1.4    4.9    7.3   -1.4    4.9    7.3   86.4    330
 1990 206    15    0.0   10.1   11.2   10.4   20.8   0.29   16.4    1.4    8.2   10.8    1.4    8.2   10.8   86.4    330
 1990 207    16    0.0   10.2   11.2   10.2   20.4   0.31   14.0    4.1    8.6   10.3    4.1    8.6   10.3   86.4    330
 1990 208    17    0.0   10.2   11.2    9.6   19.2   0.36   10.2    2.4    5.9    7.3    2.4    5.9    7.3   86.4    330
 1990 209    18    0.0   10.2   11.2    4.4    8.8   0.71   10.8    1.0    5.5    7.2    1.0    5.5    7.2   86.4    330
 1990 210    19    0.0   10.2   11.2   12.3   24.6   0.19   11.8    3.4    7.2    8.7    3.4    7.2    8.7   86.4    330
 1990 211    20    0.0   10.3   11.3   12.5   25.0   0.18   15.2    1.8    7.9   10.2    1.8    7.9   10.2   86.4    330
 1990 212    21    0.0   10.3   11.3    9.1   18.2   0.41   15.6    2.8    8.6   10.9    2.8    8.6   10.9   86.4    330
 1990 213    22    0.0   10.3   11.3   13.1   26.2   0.16   17.8    5.0   10.8   13.1    5.0   10.8   13.1   86.4    330
 1990 214    23    0.0   10.3   11.3   12.2   24.4   0.22   19.2    4.8   11.4   13.9    4.8   11.4   13.9   86.4    330
 1990 215    24    0.0   10.4   11.4   13.7   27.4   0.13   20.0    6.0   12.4   14.9    6.0   12.4   14.9   86.4    330
 1990 216    25    0.0   10.4   11.4   12.9   25.8   0.19   22.6    6.2   13.7   16.6    6.2   13.7   16.6   86.4    330
 1990 217    26    0.0   10.4   11.4   12.1   24.2   0.25   23.6   11.0   16.8   19.0   11.0   16.8   19.0   86.4    330
 1990 218    27    0.0   10.5   11.4   12.0   24.0   0.26   25.2   14.0   19.1   21.1   14.0   19.1   21.1   86.4    330
 1990 219    28    0.0   10.5   11.5   13.0   26.0   0.20   25.8   16.2   20.6   22.3   16.2   20.6   22.3   86.4    330
 1990 220    29    0.0   10.5   11.5   10.3   20.6   0.38   17.6   11.2   14.1   15.3   11.2   14.1   15.3   86.4    330
 1990 221    30    0.0   10.5   11.5    9.2   18.4   0.45   14.6    7.8   10.9   12.1    7.8   10.9   12.1   86.4    330
 1990 222    31    0.0   10.6   11.5   12.0   24.0   0.28   21.2    6.4   13.2   15.9    6.4   13.2   15.9   86.4    330
 1990 223    32    0.2   10.6   11.6   14.0   28.0   0.17   28.4   13.4   20.3   23.0   13.4   20.3   23.0   86.4    330
 1990 224    33    0.0   10.6   11.6   14.2   28.4   0.17   24.4   13.0   18.2   20.3   13.0   18.2   20.3   86.4    330
 1990 225    34    1.8   10.7   11.6   10.7   21.4   0.38   25.0   12.8   18.4   20.6   12.8   18.4   20.6   86.4    330
 1990 226    35    7.0   10.7   11.7    4.4    8.8   0.75   15.0   11.2   13.0   13.6   11.2   13.0   13.6   86.4    330
 1990 227    36    0.0   10.7   11.7   11.7   23.4   0.33   13.8    6.4    9.8   11.2    6.4    9.8   11.2   86.4    330
 1990 228    37    0.0   10.8   11.7   15.1   30.2   0.15   20.4    3.6   11.4   14.4    3.6   11.4   14.4   86.4    330
 1990 229    38    0.0   10.8   11.7   15.2   30.4   0.15   19.8    7.2   13.0   15.3    7.2   13.0   15.3   86.4    330
 1990 230    39    0.0   10.8   11.8   14.9   29.8   0.17   18.0    7.0   12.1   14.1    7.0   12.1   14.1   86.4    330
 1990 231    40    0.0   10.9   11.8   15.6   31.2   0.14   20.4    7.6   13.5   15.9    7.6   13.5   15.9   86.4    330
 1990 232    41    0.0   10.9   11.8   16.7   33.4   0.09   17.5    5.8   11.2   13.4    5.8   11.2   13.4   86.4    330
 1990 233    42    0.0   10.9   11.9    7.5   15.0   0.60   15.0    7.6   11.0   12.4    7.6   11.0   12.4   86.4    330
 1990 234    43    0.0   10.9   11.9   16.1   32.2   0.14   13.8    4.7    8.9   10.6    4.7    8.9   10.6   86.4    330
 1990 235    44    0.0   11.0   11.9   16.0   32.0   0.15   15.2    0.2    7.2   10.0    0.2    7.2   10.0   86.4    330
 1990 236    45    0.0   11.0   12.0   15.4   30.8   0.19   19.0    3.9   10.9   13.8    3.9   10.9   13.8   86.4    330
 1990 237    46    0.0   11.0   12.0   15.6   31.2   0.19   22.6    8.4   15.0   17.7    8.4   15.0   17.7   86.4    330
 1990 238    47    0.0   11.1   12.0   13.5   27.0   0.30   23.8   11.8   17.4   19.7   11.8   17.4   19.7   86.4    330
 1990 239    48    2.0   11.1   12.1   10.1   20.2   0.48   13.6    8.0   10.6   11.7    8.0   10.6   11.7   86.4    330
 1990 240    49    0.0   11.2   12.1    9.7   19.4   0.51    9.8    2.3    5.8    7.2    2.3    5.8    7.2   86.4    330
 1990 241    50    0.0   11.2   12.1   15.9   31.8   0.20   15.0   -1.4    6.3    9.4   -1.4    6.3    9.4   86.4    330
 1990 242    51    0.0   11.2   12.2   13.5   27.0   0.33   16.0    4.8   10.0   12.2    4.8   10.0   12.2   86.4    330
 1990 243    52    2.0   11.3   12.2    5.2   10.4   0.74    9.8    2.8    6.1    7.4    2.8    6.1    7.4   86.4    330
 1990 244    53    0.0   11.3   12.2   14.0   28.0   0.31    9.6   -0.2    4.4    6.3   -0.2    4.4    6.3   86.4    330
 1990 245    54    0.0   11.3   12.3   16.4   32.8   0.20   13.6   -2.8    4.9    8.1   -2.8    4.9    8.1   86.4    330
 1990 246    55    0.0   11.4   12.3   17.1   34.2   0.18   16.4   -0.5    7.4   10.7   -0.5    7.4   10.7   86.4    330
 1990 247    56    0.0   11.4   12.3    7.1   14.2   0.66   16.2    7.2   11.4   13.2    7.2   11.4   13.2   86.4    330
 1990 248    57    0.0   11.4   12.4    9.9   19.8   0.53   17.0   10.8   13.7   14.9   10.8   13.7   14.9   86.4    330
 1990 249    58   28.5   11.5   12.4    5.5   11.0   0.74   16.0   10.2   12.9   14.1   10.2   12.9   14.1   86.4    330
 1990 250    59    4.0   11.5   12.4    5.5   11.0   0.74   17.0   12.3   14.5   15.4   12.3   14.5   15.4   86.4    330
 1990 251    60    0.0   11.5   12.5    7.5   15.0   0.65   15.2   12.0   13.5   14.1   12.0   13.5   14.1   86.4    330
 1990 252    61    0.0   11.6   12.5   18.0   36.0   0.18   24.2    9.8   16.6   19.4    9.8   16.6   19.4   86.4    330
 1990 253    62   24.3   11.6   12.5   12.4   24.8   0.44   22.0   12.9   17.2   19.0   12.9   17.2   19.0   86.4    330
 1990 254    63    0.0   11.6   12.6   13.8   27.6   0.38   14.2    7.1   10.5   11.9    7.1   10.5   11.9   86.4    330
 1990 255    64    0.0   11.7   12.6   16.4   32.8   0.27   12.0    5.9    8.8   10.0    5.9    8.8   10.0   86.4    330
 1990 256    65    0.0   11.7   12.6   17.5   35.0   0.23   16.0    3.4    9.4   11.9    3.4    9.4   11.9   86.4    330
 1990 257    66    0.0   11.8   12.7   20.0   40.0   0.12   16.0    0.8    8.0   11.0    0.8    8.0   11.0   86.4    330
 1990 258    67    0.0   11.8   12.7   20.2   40.4   0.12   19.8    4.0   11.5   14.7    4.0   11.5   14.7   86.4    330
 1990 259    68    0.0   11.8   12.8   17.5   35.0   0.24   21.2    6.6   13.5   16.5    6.6   13.5   16.5   86.4    330
 1990 260    69    0.0   11.9   12.8   12.6   25.2   0.46   15.0    9.8   12.3   13.3    9.8   12.3   13.3   86.4    330
 1990 261    70    3.0   11.9   12.8    6.1   12.2   0.74   12.6   10.0   11.2   11.8   10.0   11.2   11.8   86.4    330
 1990 262    71    0.0   11.9   12.9    9.0   18.0   0.62   15.2    7.8   11.3   12.8    7.8   11.3   12.8   86.4    330
 1990 263    72    0.0   12.0   12.9   10.8   21.6   0.55   20.6   11.6   15.9   17.7   11.6   15.9   17.7   86.4    330
 1990 264    73    5.0   12.0   12.9    6.2   12.4   0.74   20.6   12.5   16.4   17.7   12.5   16.4   17.7   86.4    330
 1990 265    74    0.0   12.0   13.0   18.5   37.0   0.24   16.0   10.0   12.9   13.9   10.0   12.9   13.9   86.4    330
 1990 266    75    0.0   12.1   13.0   10.9   21.8   0.55   11.8    6.4    9.0    9.9    6.4    9.0    9.9   86.4    330
 1990 267    76    0.0   12.1   13.0   19.6   39.2   0.20   14.2    5.8    9.8   11.2    5.8    9.8   11.2   86.4    330
 1990 268    77    0.0   12.2   13.1   21.7   43.4   0.12   19.4    3.7   11.2   13.8    3.7   11.2   13.8   86.4    330
