*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:24

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0198 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 341     0  27.70  30.30  11.50  6.871  5.703  0.000  5.703  0.000    5.7    0.0    5.7    0.0
 2000 342     1  26.00  31.20  16.20  6.751  2.162  0.000  2.162  0.000    7.9    0.0    7.9    0.0
 2000 343     2  19.80  32.30  17.90  5.268  1.337  0.000  1.337  0.000    9.2    0.0    9.2    0.0
 2000 344     3  31.40  31.80  19.50  8.405  0.586  0.000  0.586  0.000    9.8    0.0    9.8    0.0
 2000 345     4  24.60  29.30  16.50  6.267  5.926  0.000  5.926  0.000   15.7    0.0   15.7    0.0
 2000 346     5  17.60  29.90  19.10  4.602  3.025  0.000  3.025  0.000   18.7    0.0   18.7    0.0
 2000 347     6  23.40  32.50  16.00  6.154  1.439  0.000  1.439  0.000   20.2    0.0   20.2    0.0
 2000 348     7  28.50  33.60  20.50  7.831  2.996  0.000  2.996  0.000   23.2    0.0   23.2    0.0
 2000 349     8  22.70  29.60  20.30  5.968  4.782  0.000  4.782  0.000   28.0    0.0   28.0    0.0
 2000 350     9  22.20  29.40  15.50  5.617  5.617  0.018  5.599  0.000   33.6    0.0   33.6    0.0
 2000 351    10  32.20  21.10   9.80  7.026  4.384  0.034  4.350  0.000   38.0    0.1   37.9    0.0
 2000 352    11  31.50  25.00  10.20  7.248  1.384  0.057  1.328  0.000   39.3    0.1   39.2    0.0
 2000 353    12  32.20  29.20  13.20  7.980  1.137  0.082  1.055  0.000   40.5    0.2   40.3    0.0
 2000 354    13  26.60  26.60  11.10  6.284  0.990  0.087  0.903  0.000   41.5    0.3   41.2    0.0
 2000 355    14  29.70  29.00  12.60  7.298  2.652  0.172  2.480  0.000   44.1    0.4   43.7    0.0
 2000 356    15   9.70  21.00  15.50  2.211  2.211  0.081  2.130  0.000   46.3    0.5   45.8    0.0
 2000 357    16  29.30  29.60  15.70  7.403  1.497  0.346  1.151  0.000   47.8    0.9   47.0    0.0
 2000 358    17  12.60  20.30  15.30  2.833  2.833  0.184  2.649  0.000   50.7    1.1   49.6    0.0
 2000 359    18  28.50  26.30  11.10  6.658  1.700  0.508  1.191  0.000   52.4    1.6   50.8    0.0
 2000 360    19  28.00  31.40  19.00  7.354  1.660  0.677  0.983  0.000   54.0    2.2   51.8    0.0
 2000 361    20  30.90  35.10  20.70  8.552  6.773  1.009  5.764  0.000   60.8    3.3   57.5    0.0
 2000 362    21   9.10  28.20  17.20  2.260  2.260  0.344  1.915  0.000   63.1    3.6   59.5    0.0
 2000 363    22  16.00  26.00  16.10  3.829  3.829  0.680  3.149  0.000   66.9    4.3   62.6    0.0
 2000 364    23  15.80  23.90  16.00  3.674  3.674  0.742  2.932  0.000   70.6    5.0   65.5    0.0
 2000 365    24  29.60  26.20  14.50  6.971  5.532  1.570  3.962  0.000   76.1    6.6   69.5    0.0
 2000 366    25  30.60  29.40  15.90  7.535  3.857  1.903  1.954  0.000   79.9    8.5   71.5    0.0
 2001 001    26  31.30  29.90  16.50  7.753  3.514  2.226  1.288  0.000   83.5   10.7   72.7    0.0
 2001 002    27  30.60  30.00  16.20  7.537  3.480  2.444  1.035  0.000   86.9   13.2   73.8    0.0
 2001 003    28  30.40  32.50  15.80  7.640  3.660  2.770  0.890  0.000   90.6   15.9   74.7    0.0
 2001 004    29  19.70  33.10  21.90  5.177  4.115  2.098  2.018  0.000   94.7   18.0   76.7    0.0
 2001 005    30  30.40  32.20  20.60  7.789  7.703  3.591  4.112  0.000  102.4   21.6   80.8    0.0
 2001 006    31  29.10  33.80  20.90  7.550  7.511  3.883  3.628  0.000  109.9   25.5   84.4    0.0
 2001 007    32  11.60  28.40  21.30  2.831  2.831  1.601  1.230  0.000  112.8   27.1   85.7    0.0
 2001 008    33  20.20  28.40  17.80  4.781  4.781  2.890  1.891  0.000  117.5   30.0   87.5    0.0
 2001 009    34  26.00  29.90  17.40  6.214  6.214  3.974  2.240  0.000  123.8   34.0   89.8    0.0
 2001 010    35   9.00  22.70  16.10  1.950  1.950  1.316  0.633  0.000  125.7   35.3   90.4    0.0
 2001 011    36  32.10  22.60  13.00  6.751  6.751  4.717  2.034  0.000  132.5   40.0   92.4    0.0
 2001 012    37  31.60  23.70   9.90  6.550  6.550  4.699  1.851  0.000  139.0   44.7   94.3    0.0
 2001 013    38  23.50  27.60  13.10  5.236  5.236  3.838  1.398  0.000  144.2   48.5   95.7    0.0
 2001 014    39  17.00  30.30  20.40  4.116  4.116  3.103  1.013  0.000  148.4   51.6   96.7    0.0
 2001 015    40  25.70  28.30  20.60  6.078  6.078  4.744  1.333  0.000  154.4   56.4   98.0    0.0
 2001 016    41  23.10  29.90  19.80  5.513  5.513  4.428  1.085  0.000  159.9   60.8   99.1    0.0
 2001 017    42  14.90  26.50  20.10  3.423  3.423  2.820  0.603  0.000  163.4   63.6   99.7    0.0
 2001 018    43  12.60  25.00  21.50  2.871  2.871  2.413  0.457  0.000  166.2   66.1  100.2    0.0
 2001 019    44  14.80  26.40  18.00  3.331  3.331  2.850  0.480  0.000  169.6   68.9  100.7    0.0
 2001 020    45  30.30  25.80  14.10  6.558  6.558  5.695  0.862  0.000  176.1   74.6  101.5    0.0
 2001 021    46  30.60  26.30  12.40  6.566  6.566  5.766  0.800  0.000  182.7   80.4  102.3    0.0
 2001 022    47  13.90  28.10  14.80  3.102  3.102  2.750  0.351  0.000  185.8   83.1  102.7    0.0
 2001 023    48  30.60  30.50  17.90  7.175  7.175  6.429  0.746  0.000  193.0   89.5  103.4    0.0
 2001 024    49  29.90  32.20  16.30  7.051  7.051  6.391  0.661  0.000  200.0   95.9  104.1    0.0
 2001 025    50  28.50  32.30  19.70  6.889  6.889  6.306  0.583  0.000  206.9  102.2  104.7    0.0
 2001 026    51  22.70  33.40  20.30  5.569  5.569  5.146  0.423  0.000  212.5  107.4  105.1    0.0
 2001 027    52   9.90  25.50  21.60  2.248  2.248  2.095  0.153  0.000  214.7  109.5  105.3    0.0
 2001 028    53   8.70  21.60  18.50  1.841  1.841  1.721  0.121  0.000  216.6  111.2  105.4    0.0
 2001 029    54  28.00  26.90  12.20  6.004  6.004  5.620  0.384  0.000  222.6  116.8  105.8    0.0
 2001 030    55  29.30  26.40  15.70  6.419  6.419  6.026  0.393  0.000  229.0  122.8  106.1    0.0
 2001 031    56  26.50  30.50  18.10  6.192  6.192  5.832  0.360  0.000  235.2  128.7  106.5    0.0
 2001 032    57  18.70  30.20  20.80  4.440  4.440  4.198  0.242  0.000  239.6  132.9  106.7    0.0
 2001 033    58  28.80  32.40  20.60  6.989  6.989  6.626  0.363  0.000  246.6  139.5  107.1    0.0
