*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 14:28:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0117 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1987 184     0   3.70  18.00  11.00  0.807  0.807  0.000  0.807  0.000    0.8    0.0    0.8    0.0
 1987 185     1  12.80  19.90   7.80  2.783  2.783  0.000  2.783  0.000    3.6    0.0    3.6    0.0
 1987 186     2  12.70  22.50   8.10  2.867  2.684  0.000  2.684  0.000    6.3    0.0    6.3    0.0
 1987 187     3  12.80  23.10   7.80  2.904  2.904  0.000  2.904  0.000    9.2    0.0    9.2    0.0
 1987 188     4   7.30  18.50   8.80  1.571  1.571  0.000  1.571  0.000   10.7    0.0   10.7    0.0
 1987 189     5   8.50  19.00   8.80  1.842  1.715  0.000  1.715  0.000   12.5    0.0   12.5    0.0
 1987 190     6   3.80  16.40  10.30  0.806  0.806  0.000  0.806  0.000   13.3    0.0   13.3    0.0
 1987 191     7  10.80  22.30  12.90  2.534  2.534  0.000  2.534  0.000   15.8    0.0   15.8    0.0
 1987 192     8   4.80  24.70  14.80  1.178  1.178  0.000  1.178  0.000   17.0    0.0   17.0    0.0
 1987 193     9   9.00  20.20  10.40  2.011  2.011  0.000  2.011  0.000   19.0    0.0   19.0    0.0
 1987 194    10   4.10  15.50  11.00  0.864  0.864  0.000  0.864  0.000   19.9    0.0   19.9    0.0
 1987 195    11   7.00  20.70  10.30  1.573  1.573  0.000  1.573  0.000   21.4    0.0   21.4    0.0
 1987 196    12  10.50  28.00  16.70  2.719  1.781  0.000  1.781  0.000   23.2    0.0   23.2    0.0
 1987 197    13   6.10  25.20  11.10  1.461  1.461  0.004  1.457  0.000   24.7    0.0   24.7    0.0
 1987 198    14   3.90  12.60   9.80  0.779  0.779  0.003  0.775  0.000   25.5    0.0   25.4    0.0
 1987 199    15  13.50  11.60   3.70  2.493  1.422  0.012  1.410  0.000   26.9    0.0   26.9    0.0
 1987 200    16  12.50   5.40  -3.60  1.899  1.103  0.009  1.094  0.000   28.0    0.0   27.9    0.0
 1987 201    17  11.70  13.80   0.50  2.164  0.928  0.001  0.927  0.000   28.9    0.0   28.9    0.0
 1987 202    18  11.20  15.30   0.10  2.112  0.820  0.001  0.819  0.000   29.7    0.0   29.7    0.0
 1987 203    19   4.00  14.90   3.70  0.778  0.742  0.000  0.741  0.000   30.5    0.0   30.4    0.0
 1987 204    20   4.10  15.50  12.40  0.875  0.875  0.001  0.875  0.000   31.3    0.0   31.3    0.0
 1987 205    21   5.80  21.10  11.60  1.325  1.325  0.002  1.323  0.000   32.7    0.0   32.6    0.0
 1987 206    22   7.50  27.70  19.00  1.969  1.969  0.007  1.962  0.000   34.6    0.0   34.6    0.0
 1987 207    23   4.10  12.10  11.30  0.824  0.824  0.005  0.819  0.000   35.5    0.0   35.4    0.0
