*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 15, 2016; 16:10:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0212 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1990 227     3     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 228     4     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 229     5     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 230     6     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 231     7     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 232     8     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 233     9     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 234    10     7     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 235    11     8     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1990 236    12     9     0.2     0.0     0.2    0.00    5.15      0.0     0.0     0.2     0.0    5.70    2.64     0.0    1.5    0.0    0.00    0.00
 1990 237    13    10     0.2     0.0     0.2    0.00    5.14      0.0     0.0     0.2     0.0    5.70    2.64     0.0    1.5    0.0    0.00    0.01
 1990 238    14    11     0.2     0.0     0.2    0.00    5.13      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1990 239    15    12     0.2     0.0     0.2    0.00    5.13      0.0     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1990 240    16    13     0.2     0.0     0.2    0.00    5.11      0.0     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1990 241    17    14     0.2     0.0     0.2    0.00    5.11      0.0     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1990 242    18    15     0.2     0.0     0.2    0.00    5.09      0.0     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.02
 1990 243    19    16     0.3     0.0     0.3    0.00    5.09      0.1     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.02
 1990 244    20    17     0.3     0.0     0.3    0.00    5.08      0.1     0.1     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.02
 1990 245    21    18     0.0     0.0     0.0    0.00    2.82      0.1     0.1     0.0     0.0    5.71    2.65     0.0    1.5    0.0    0.23    0.02
 1990 246    22    19     0.0     0.0     0.0    0.00    2.82      0.1     0.1     0.0     0.0    5.71    2.65     0.0    1.5    0.0    0.23    0.02
 1990 247    23    20     0.0     0.0     0.0    0.00    2.82      0.1     0.1     0.0     0.0    5.71    2.65     0.0    1.5    0.0    0.23    0.03
 1990 248    24    21     0.0     0.0     0.0    0.00    2.83      0.1     0.1     0.0     0.0    5.72    2.65     0.0    1.5    0.0    0.23    0.03
 1990 249    25    22     0.0     0.0     0.0    0.00    2.83      0.1     0.1     0.0     0.0    5.72    2.65     0.0    1.5    0.0    0.23    0.03
