*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:40:54

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0037 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 184     0     0     0     0.0   99.3   16646   76.3   22.9  15.9  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.3   1.5   1.4   1.4  1.50  1.47  1.45  0.00  0.00    0.49    1.52    0.00    0.00    0.00
 1990 185     1     0     0     0.0   99.7   16645   77.5   22.2  16.3  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.97    2.73    0.00    0.00    0.00
 1990 186     2     0     0     0.0  100.2   16645   78.6   21.6  16.5  15.6  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.45    3.80    0.00    0.00    0.00
 1990 187     3     0     0     0.0  100.7   16644   79.6   21.1  16.6  15.8  15.5   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.94    4.80    0.00    0.00    0.00
 1990 188     4    24     2     0.0  125.2   16644   80.6   44.5  16.8  15.9  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0  43.2   0.9   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.45    5.78    0.00    0.00    0.06
 1990 189     5    24     2     0.0  125.6   16643   96.3   29.3  43.5  16.1  15.7   9.0   4.9   0.1   0.3   0.3   0.0   0.0  16.5   0.9   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.96   21.45    0.00    0.00    0.10
 1990 190     6    24     2     0.0  126.1   16643  103.3   22.8  54.4  16.2  15.8   9.1   4.9   0.1   0.3   0.3   0.0   0.0   5.6   0.8   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.50   28.39    0.00    0.00    0.14
 1990 191     7    24     2     0.0  126.6   16642  106.2   20.4  58.2  16.4  16.0   9.1   5.0   0.1   0.4   0.4   0.0   0.0   1.8   0.8   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.04   31.35    0.00    0.00    0.19
 1990 192     8    24     2     0.0  127.1   16641  107.7   19.4  59.4  16.5  16.1   9.2   5.0   0.2   0.4   0.4   0.0   0.0   0.7   0.7   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.56   32.81    0.00    0.00    0.23
 1990 193     9    24     2     0.0  127.6   16641  108.7   18.8  59.8  16.6  16.2   9.3   5.1   0.2   0.4   0.5   0.0   0.0   0.3   0.7   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.07   33.82    0.00    0.00    0.27
 1990 194    10    24     2     0.0  128.0   16640  109.6   18.5  60.0  16.7  16.3   9.3   5.1   0.2   0.5   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.53  1.17  1.07  0.00  0.00    5.59   34.68    0.00    0.00    0.30
 1990 195    11    24     2     0.0  128.5   16640  110.4   18.2  60.1  16.8  16.4   9.4   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.53  1.14  1.04  0.00  0.00    6.10   35.46    0.00    0.00    0.34
 1990 196    12    24     2     0.0  129.0   16639  111.1   17.9  60.1  16.9  16.5   9.4   5.2   0.2   0.5   0.6   0.0   0.0   0.0   0.6   1.3   1.0   1.0  1.54  1.12  1.01  0.00  0.00    6.61   36.22    0.00    0.00    0.37
 1990 197    13    24     2     0.0  129.5   16639  111.9   17.7  60.2  17.0  16.6   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.09  0.98  0.00  0.00    7.15   36.98    0.00    0.00    0.38
 1990 198    14    24     2     0.0  130.1   16638  112.6   17.4  60.3  17.1  16.7   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.2   0.9   1.0  1.54  1.07  0.95  0.00  0.00    7.68   37.73    0.00    0.00    0.38
 1990 199    15    24     2     0.0  130.6   16638  113.4   17.2  60.4  17.2  16.8   9.6   5.4   0.3   0.6   0.7   0.0   0.0   0.1   0.6   1.2   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.21   38.48    0.00    0.00    0.38
 1990 200    16    24     2     0.0  131.1   16637  114.1   17.0  59.6  17.7  16.9   9.6   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.03  0.90  0.00  0.00    8.70   39.18    0.00    0.00    0.38
 1990 201    17    24     2     0.0  131.5   16637  114.7   16.8  59.5  17.8  17.0   9.7   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.01  0.87  0.00  0.00    9.14   39.81    0.00    0.00    0.38
 1990 202    18    24     2     0.0  131.9   16637  115.3   16.6  59.6  17.9  17.1   9.7   5.5   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  0.99  0.85  0.00  0.00    9.53   40.39    0.00    0.00    0.39
 1990 203    19    24     2     0.0  132.2   16636  115.8   16.4  59.6  17.9  17.2   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.97  0.82  0.00  0.00    9.87   40.93    0.00    0.00    0.39
 1990 204    20    24     2     0.0  132.5   16636  116.3   16.2  59.7  18.0  17.3   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.95  0.80  0.00  0.00   10.18   41.42    0.00    0.00    0.39
 1990 205    21    24     2     0.0  132.9   16636  116.8   16.0  59.7  18.0  17.3   9.8   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.94  0.78  0.00  0.00   10.48   41.91    0.00    0.00    0.39
 1990 206    22    24     2     0.0  133.2   16635  117.3   15.9  59.8  18.1  17.4   9.9   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.92  0.76  0.00  0.00   10.81   42.40    0.00    0.00    0.40
 1990 207    23    24     2     0.0  133.5   16635  117.8   15.7  59.8  18.1  17.5   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.74  0.00  0.00   11.14   42.89    0.00    0.00    0.40
 1990 208    24    24     2     0.0  133.9   16635  118.3   15.6  59.9  18.2  17.6   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.89  0.72  0.00  0.00   11.49   43.37    0.00    0.00    0.40
 1990 209    25    24     2     0.0  134.2   16634  118.8   15.4  59.9  18.2  17.6  10.0   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.87   43.88    0.00    0.00    0.40
 1990 210    26    24     2     0.0  134.6   16634  119.3   15.3  60.0  18.3  17.7  10.0   5.7   0.5   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.57  0.86  0.68  0.00  0.00   12.25   44.38    0.00    0.00    0.40
 1990 211    27    24     2     0.0  135.0   16633  119.8   15.2  60.0  18.3  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.84  0.67  0.00  0.00   12.61   44.87    0.00    0.00    0.40
 1990 212    28    24     2     0.0  135.4   16633  120.3   15.1  60.1  18.4  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.83  0.65  0.00  0.00   12.99   45.37    0.00    0.00    0.41
