*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 21:02:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0190 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1992 224     0   116      0      0      0     0     0   125  0.347  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1992 225     1   114      0      0      0     0     0   125  0.322  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1992 226     2   113      0      0      0     0     0   125  0.303  0.391  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1992 227     3   154      0      0      0     1    43   125  0.511  0.566  0.477  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1992 228     4   151      0      0      0     1    43   125  0.496  0.534  0.488  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 1992 229     5   149      0      0      0     1    43   125  0.473  0.517  0.490  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 1992 230     6   147      0      0      0     1    43   125  0.447  0.504  0.489  0.343  0.378  0.416  0.408  0.395  0.000  0.000
 1992 231     7   145      0      0      0     1    43   125  0.440  0.493  0.488  0.345  0.378  0.415  0.408  0.395  0.000  0.000
 1992 232     8   144      0      0      0     1    43   125  0.435  0.485  0.486  0.348  0.379  0.415  0.408  0.395  0.000  0.000
 1992 233     9   143      0      0      0     1    43   125  0.430  0.479  0.484  0.350  0.379  0.415  0.408  0.395  0.000  0.000
 1992 234    10   143      0      0      0     1    43   125  0.426  0.474  0.482  0.351  0.379  0.414  0.408  0.395  0.000  0.000
 1992 235    11   143      0      0      2     1    43   125  0.443  0.470  0.480  0.353  0.380  0.414  0.407  0.395  0.000  0.000
 1992 236    12   145      0      0      7     1    43   125  0.485  0.472  0.478  0.355  0.380  0.414  0.407  0.395  0.000  0.000
 1992 237    13   144      0      0      7     1    43   125  0.461  0.474  0.476  0.356  0.381  0.413  0.407  0.395  0.000  0.000
 1992 238    14   143      0      0      7     1    43   125  0.447  0.473  0.475  0.358  0.381  0.413  0.407  0.395  0.000  0.000
 1992 239    15   142      0      0      7     1    43   125  0.437  0.470  0.474  0.359  0.381  0.413  0.407  0.395  0.000  0.000
 1992 240    16   142      0      0      7     1    43   125  0.430  0.467  0.472  0.361  0.382  0.412  0.407  0.395  0.000  0.000
 1992 241    17   141      0      0      7     1    43   125  0.424  0.464  0.471  0.362  0.382  0.412  0.407  0.395  0.000  0.000
 1992 242    18   140      0      0      7     1    43   125  0.419  0.460  0.469  0.363  0.382  0.412  0.407  0.395  0.000  0.000
 1992 243    19   140      0      0      7     1    43   125  0.415  0.458  0.468  0.364  0.383  0.411  0.407  0.395  0.000  0.000
 1992 244    20   144      0      0     13     1    43   125  0.513  0.455  0.467  0.365  0.383  0.411  0.407  0.395  0.000  0.000
 1992 245    21   143      0      0     13     1    43   125  0.477  0.464  0.466  0.366  0.383  0.411  0.407  0.395  0.000  0.000
 1992 246    22   142      0      0     13     1    43   125  0.457  0.465  0.465  0.367  0.384  0.411  0.407  0.395  0.000  0.000
 1992 247    23   142      0      0     13     1    43   125  0.444  0.464  0.465  0.368  0.384  0.410  0.407  0.395  0.000  0.000
 1992 248    24   141      0      0     13     1    43   125  0.434  0.462  0.464  0.369  0.384  0.410  0.406  0.395  0.000  0.000
 1992 249    25   140      0      0     13     1    43   125  0.427  0.459  0.463  0.370  0.384  0.410  0.406  0.395  0.000  0.000
 1992 250    26   139      0      0     13     1    43   125  0.420  0.456  0.463  0.370  0.385  0.410  0.406  0.395  0.000  0.000
 1992 251    27   139      0      0     13     1    43   125  0.415  0.453  0.462  0.371  0.385  0.409  0.406  0.395  0.000  0.000
 1992 252    28   138      0      0     13     1    43   125  0.410  0.450  0.461  0.372  0.385  0.409  0.406  0.395  0.000  0.000
 1992 253    29   138      0      0     13     1    43   125  0.406  0.447  0.460  0.372  0.386  0.409  0.406  0.394  0.000  0.000
 1992 254    30   137      0      0     13     1    43   125  0.402  0.444  0.458  0.373  0.386  0.409  0.406  0.394  0.000  0.000
 1992 255    31   139      0      0     17     1    43   125  0.450  0.441  0.457  0.373  0.386  0.409  0.406  0.394  0.000  0.000
 1992 256    32   139      0      0     19     1    43   125  0.452  0.441  0.456  0.374  0.386  0.408  0.406  0.394  0.000  0.000
 1992 257    33   138      0      0     19     1    43   125  0.437  0.442  0.455  0.374  0.387  0.408  0.406  0.394  0.000  0.000
 1992 258    34   137      0      0     19     1    43   125  0.426  0.441  0.453  0.374  0.387  0.408  0.405  0.394  0.000  0.000
 1992 259    35   136      0      0     19     1    43   125  0.416  0.439  0.452  0.375  0.387  0.408  0.405  0.394  0.000  0.000
 1992 260    36   135      0      0     19     1    43   125  0.409  0.436  0.450  0.375  0.387  0.408  0.405  0.394  0.000  0.000
 1992 261    37   134      0      0     19     1    43   125  0.402  0.433  0.448  0.375  0.388  0.407  0.405  0.394  0.000  0.000
 1992 262    38   164      0      0     23     2    73   125  0.502  0.564  0.524  0.376  0.388  0.407  0.405  0.394  0.000  0.000
 1992 263    39   160      0      0     23     2    73   125  0.466  0.533  0.528  0.379  0.388  0.407  0.405  0.394  0.000  0.000
 1992 264    40   156      0      0     23     2    73   125  0.443  0.514  0.521  0.382  0.388  0.407  0.405  0.394  0.000  0.000
 1992 265    41   154      0      0     23     2    73   125  0.439  0.500  0.513  0.384  0.389  0.407  0.405  0.394  0.000  0.000
 1992 266    42   164      0      0     35     2    73   125  0.565  0.544  0.512  0.386  0.389  0.407  0.405  0.394  0.000  0.000
 1992 267    43   171      0      0     45     2    73   125  0.515  0.559  0.553  0.395  0.389  0.407  0.405  0.394  0.000  0.000
 1992 268    44   170      0      0     45     2    73   125  0.517  0.540  0.544  0.407  0.390  0.406  0.405  0.394  0.000  0.000
 1992 269    45   183      0      0     62     2    73   125  0.524  0.559  0.560  0.454  0.400  0.406  0.404  0.394  0.000  0.000
 1992 270    46   179      0      0     62     2    73   125  0.479  0.541  0.550  0.446  0.419  0.406  0.404  0.394  0.000  0.000
 1992 271    47   176      0      0     62     2    73   125  0.473  0.523  0.541  0.442  0.426  0.406  0.404  0.394  0.000  0.000
 1992 272    48   173      0      0     62     2    73   125  0.457  0.514  0.534  0.440  0.428  0.406  0.404  0.394  0.000  0.000
 1992 273    49   171      0      0     62     2    73   125  0.453  0.505  0.527  0.438  0.428  0.407  0.404  0.393  0.000  0.000
 1992 274    50   169      0      0     62     2    73   125  0.449  0.497  0.520  0.436  0.428  0.407  0.404  0.393  0.000  0.000
 1992 275    51   167      0      0     62     2    73   125  0.446  0.491  0.516  0.435  0.428  0.407  0.404  0.393  0.000  0.000
 1992 276    52   167      0      0     64     2    73   125  0.466  0.487  0.512  0.433  0.427  0.407  0.404  0.393  0.000  0.000
 1992 277    53   165      0      0     64     2    73   125  0.454  0.483  0.506  0.431  0.427  0.407  0.404  0.393  0.000  0.000
 1992 278    54   162      0      0     64     2    73   125  0.445  0.478  0.501  0.429  0.427  0.408  0.404  0.393  0.000  0.000
 1992 279    55   161      0      0     64     2    73   125  0.438  0.475  0.498  0.427  0.426  0.408  0.404  0.393  0.000  0.000
 1992 280    56   168      0      0     76     2    73   125  0.517  0.523  0.492  0.425  0.426  0.408  0.404  0.393  0.000  0.000
