*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 21:02:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0190 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1992 224     0     0     0     0.0   99.2   16646   76.3   23.0  15.8  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.4   1.5   1.4   1.5  1.50  1.47  1.46  0.00  0.00    0.46    1.45    0.00    0.00    0.00
 1992 225     1     0     0     0.0   99.7   16645   77.4   22.2  16.2  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.91    2.63    0.00    0.00    0.00
 1992 226     2     0     0     0.0  100.1   16645   78.5   21.7  16.5  15.6  15.3   8.7   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.4   1.4  1.51  1.40  1.37  0.00  0.00    1.37    3.66    0.00    0.00    0.00
 1992 227     3     0     0     0.0  100.6   16644   79.4   21.2   5.7  16.1  18.8   8.8   4.7   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.84    4.63    0.00    0.00    0.00
 1992 228     4     2     2     0.0  103.0   16644   81.2   21.7   7.6  15.6  19.3   8.9   4.8   0.1   0.2   0.2   0.0   0.0   1.8   1.1   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.31    5.41    0.00    0.00    0.10
 1992 229     5     2     2     0.0  103.4   16643   82.7   20.7   8.6  15.6  19.4   9.1   4.8   0.1   0.3   0.3   0.0   0.0   0.6   1.0   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.80    6.88    0.00    0.00    0.17
 1992 230     6     2     2     0.0  103.8   16643   83.8   20.0   9.1  15.7  19.5   9.2   4.9   0.1   0.3   0.3   0.0   0.0   0.1   0.9   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.32    8.01    0.00    0.00    0.26
 1992 231     7     2     2     0.0  104.3   16642   84.8   19.5   9.1  15.9  19.5   9.4   5.0   0.1   0.3   0.4   0.0   0.0   0.0   0.8   1.3   1.1   1.2  1.52  1.25  1.18  0.00  0.00    3.87    8.96    0.00    0.00    0.34
 1992 232     8     2     2     0.0  104.9   16642   85.7   19.2   9.2  16.0  19.6   9.5   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.52  1.22  1.14  0.00  0.00    4.44    9.84    0.00    0.00    0.34
 1992 233     9     2     2     0.0  105.4   16641   86.6   18.8   9.3  16.2  19.7   9.6   5.1   0.2   0.4   0.4   0.0   0.0   0.1   0.7   1.3   1.1   1.1  1.53  1.20  1.11  0.00  0.00    5.01   10.76    0.00    0.00    0.36
 1992 234    10     2     2     0.0  106.0   16640   87.5   18.5   9.4  16.3  19.7   9.7   5.1   0.2   0.5   0.5   0.0   0.0   0.1   0.7   1.3   1.0   1.1  1.53  1.17  1.07  0.00  0.00    5.59   11.65    0.00    0.00    0.38
 1992 235    11     2     2     0.0  106.6   16640   88.3   18.2   9.6  16.4  19.8   9.8   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.53  1.15  1.04  0.00  0.00    6.18   12.52    0.00    0.00    0.39
 1992 236    12     2     2     0.0  107.1   16639   89.2   17.9   9.6  16.5  19.9  10.0   5.2   0.2   0.5   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.12  1.01  0.00  0.00    6.76   13.35    0.00    0.00    0.41
 1992 237    13     2     2     0.0  107.7   16639   90.0   17.7   9.6  16.7  19.9  10.1   5.3   0.2   0.6   0.6   0.0   0.0   0.1   0.6   1.2   1.0   1.0  1.54  1.10  0.98  0.00  0.00    7.33   14.17    0.00    0.00    0.43
 1992 238    14     2     2     0.0  108.0   16638   90.6   17.5   9.5  16.7  20.0  10.2   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.2   0.9   1.0  1.54  1.07  0.95  0.00  0.00    7.91   14.97    0.00    0.00    0.43
 1992 239    15     2     2     0.0  108.6   16638   91.4   17.2   9.7  16.8  20.1  10.3   5.4   0.3   0.6   0.7   0.0   0.0   0.1   0.6   1.2   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.50   15.79    0.00    0.00    0.44
