*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:15

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0131 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1987 227     0     0     0     0.0   99.3   16645   76.6   22.7  15.7  15.5  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.5   1.3   1.5   1.4   1.4  1.50  1.46  1.45  0.00  0.00    0.56    1.80    0.00    0.00    0.00
 1987 228     1     0     0     0.0   99.9   16645   77.9   22.0  15.4  16.1  15.3   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.2   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    1.11    3.07    0.00    0.00    0.00
 1987 229     2     0     0     0.0  100.4   16644   78.9   21.5  15.4  16.3  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.64    4.14    0.00    0.00    0.00
 1987 230     3     0     0     0.0  100.9   16644   79.9   21.0   6.4  15.6  19.1   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.1   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    2.11    5.07    0.00    0.00    0.00
 1987 231     4     1     1     0.0  102.3   16644   81.1   21.2   7.3  15.1  19.5   9.0   4.8   0.1   0.2   0.2   0.0   0.0   1.0   1.0   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.53    5.75    0.00    0.00    0.04
 1987 232     5     3     2     0.0  104.5   16643   82.9   21.6   9.6  14.9  19.6   9.1   4.9   0.1   0.3   0.3   0.0   0.0   2.2   1.0   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.91    6.63    0.00    0.00    0.13
 1987 233     6     3     2     0.0  104.8   16643   84.2   20.7  10.5  15.0  19.6   9.3   4.9   0.1   0.3   0.3   0.0   0.0   1.3   1.0   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.26    7.84    0.00    0.00    0.19
 1987 234     7     3     2     0.0  105.1   16642   85.1   20.0  11.0  15.1  19.7   9.4   4.9   0.1   0.3   0.4   0.0   0.0   0.7   0.9   1.3   1.2   1.2  1.52  1.26  1.18  0.00  0.00    3.61    8.80    0.00    0.00    0.23
 1987 235     8     3     2     0.0  105.4   16642   86.0   19.4  11.4  15.2  19.7   9.5   5.0   0.2   0.4   0.4   0.0   0.0   0.2   0.9   1.3   1.1   1.2  1.52  1.23  1.15  0.00  0.00    4.00    9.68    0.00    0.00    0.34
 1987 236     9     3     2     0.0  105.8   16642   86.8   19.0  11.6  15.2  19.7   9.7   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.53  1.20  1.11  0.00  0.00    4.43   10.47    0.00    0.00    0.40
 1987 237    10     3     2     0.0  106.2   16641   87.6   18.7  11.7  15.3  19.7   9.8   5.1   0.2   0.4   0.5   0.0   0.0   0.0   0.8   1.3   1.1   1.1  1.53  1.18  1.08  0.00  0.00    4.90   11.24    0.00    0.00    0.44
 1987 238    11     3     2     0.0  106.7   16641   88.3   18.4  11.9  15.4  19.8   9.9   5.1   0.2   0.5   0.5   0.0   0.0   0.1   0.7   1.3   1.0   1.1  1.53  1.15  1.05  0.00  0.00    5.42   12.03    0.00    0.00    0.44
 1987 239    12     3     2     0.0  107.3   16640   89.2   18.1  12.1  15.4  19.8  10.0   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.7   1.3   1.0   1.0  1.53  1.13  1.02  0.00  0.00    5.99   12.87    0.00    0.00    0.46
 1987 240    13     3     2     0.0  107.9   16639   90.0   17.8   5.3  13.5  21.5  11.9   5.2   0.2   0.6   0.6   0.0   0.0   0.1   0.6   1.2   1.0   1.0  1.54  1.11  0.99  0.00  0.00    6.57   13.71    0.00    0.00    0.48
 1987 241    14     3     2     0.0  108.4   16639   90.5   17.9   2.3   9.3  17.9  13.2   8.6   1.1   0.6   0.6   0.0   0.0   0.1   0.7   1.3   1.0   1.0  1.54  1.08  0.96  0.00  0.00    7.14   14.22    0.00    0.00    0.50
 1987 242    15     3     2     0.2  108.7   16638   90.4   18.3   2.4   9.1  17.5  12.8   8.6   1.4   0.7   0.6   0.0   0.0   0.2   0.8   1.4   1.0   1.0  1.55  1.09  0.95  0.00  0.00    7.69   14.37    0.00    0.00    0.50
 1987 243    16     3     2     0.4  109.1   16638   90.5   18.5   2.6   9.0  17.3  12.6   8.6   1.6   0.8   0.7   0.0   0.0   0.1   0.9   1.5   1.0   1.0  1.57  1.09  0.95  0.00  0.00    8.20   14.61    0.00    0.00    0.50
 1987 244    17     3     2     0.5  109.5   16637   90.8   18.7   2.9   9.0  17.2  12.5   8.6   1.7   0.8   0.7   0.0   0.0   0.1   0.8   1.5   1.0   1.0  1.58  1.09  0.94  0.00  0.00    8.68   14.96    0.00    0.00    0.51
 1987 245    18     3     2     0.5  109.9   16637   91.2   18.6   3.2   9.0  17.3  12.4   8.6   1.7   0.8   0.7   0.0   0.0   0.1   0.8   1.5   1.0   1.1  1.60  1.09  0.93  0.00  0.00    9.13   15.41    0.00    0.00    0.51
 1987 246    19     3     2     0.5  110.1   16636   91.4   18.6   3.5   8.9  17.4  12.4   8.5   1.7   0.8   0.7   0.0   0.0   0.1   0.7   1.5   1.0   1.1  1.61  1.09  0.92  0.00  0.00    9.56   15.85    0.02    0.00    0.52
 1987 247    20     3     2     0.5  110.5   16636   91.9   18.6   3.8   9.0  17.5  12.4   8.6   1.8   0.9   0.7   0.0   0.0   0.1   0.7   1.4   1.1   1.1  1.62  1.09  0.92  0.00  0.00   10.01   16.29    0.04    0.00    0.52
 1987 248    21     3     2     0.5  111.0   16636   92.3   18.7   4.0   9.0  17.5  12.4   8.6   1.8   0.9   0.7   0.0   0.0   0.1   0.7   1.4   1.1   1.1  1.64  1.09  0.91  0.00  0.00   10.47   16.73    0.05    0.00    0.52
 1987 249    22     3     2     0.5  111.4   16635   92.8   18.6   4.3   9.1  17.6  12.5   8.6   1.8   0.9   0.7   0.0   0.0   0.1   0.6   1.4   1.0   1.1  1.65  1.09  0.90  0.00  0.00   10.93   17.24    0.06    0.00    0.52
 1987 250    23     3     2     0.5  111.8   16635   93.3   18.6   4.5   9.1  17.6  12.5   8.6   1.8   0.9   0.7   0.0   0.0   0.1   0.6   1.4   1.0   1.1  1.66  1.09  0.90  0.00  0.00   11.38   17.74    0.06    0.00    0.53
 1987 251    24     3     2     0.5  112.3   16634   93.8   18.5   4.8   9.2  17.7  12.6   8.6   1.8   0.9   0.7   0.0   0.0   0.1   0.6   1.4   1.0   1.1  1.68  1.09  0.89  0.00  0.00   11.84   18.24    0.07    0.00    0.53
 1987 252    25    25     3     0.5  134.7   16634  105.3   29.4  24.9   9.3  17.7  12.6   8.6   1.8   0.9   0.8   0.0   0.0  19.8   0.6   1.3   1.0   1.1  1.69  1.09  0.88  0.00  0.00   12.32   18.74    0.08    0.00    0.56
 1987 253    26    25     3     0.5  135.2   16633  113.0   22.2  38.1   9.3  17.8  12.7   8.6   1.8   0.9   0.8   0.0   0.0   6.8   0.6   1.3   0.9   1.1  1.71  1.09  0.88  0.00  0.00   12.82   26.46    0.09    0.00    0.59
 1987 254    27    25     3     0.5  135.7   16633  116.1   19.6  42.9   9.4  17.9  12.7   8.7   1.8   0.9   0.8   0.0   0.0   2.2   0.6   1.3   0.9   1.2  1.72  1.09  0.87  0.00  0.00   13.33   29.52    0.09    0.00    0.62
 1987 255    28    25     3     0.5  136.2   16632  117.4   18.7  44.6   9.5  18.0  12.8   8.7   1.8   0.9   0.8   0.0   0.0   0.7   0.5   1.3   0.9   1.2  1.73  1.09  0.87  0.00  0.00   13.86   30.87    0.10    0.00    0.65
 1987 256    29    25     3     0.5  136.6   16632  118.1   18.5  45.2   9.6  18.0  12.8   8.7   1.8   0.9   0.8   0.0   0.0   0.2   0.5   1.3   0.9   1.2  1.75  1.09  0.86  0.00  0.00   14.39   31.63    0.10    0.00    0.67
 1987 257    30    25     3     0.5  137.2   16631  118.7   18.4  45.5   9.7  18.1  12.8   8.7   1.8   1.0   0.8   0.0   0.0   0.1   0.5   1.3   0.9   1.2  1.76  1.09  0.85  0.00  0.00   14.94   32.22    0.11    0.00    0.70
 1987 258    31    25     3     0.6  137.6   16631  119.2   18.3  15.3  15.4  17.4  14.0  10.7   3.1   1.3   0.9   0.0   0.0   0.1   0.5   1.3   0.8   1.1  1.77  1.09  0.85  0.00  0.00   15.49   32.84    0.11    0.00    0.72
 1987 259    32    25     3     1.0  137.6   16630  118.9   18.7  15.3  15.1  17.1  13.6  10.6   3.3   1.5   1.0   0.0   0.0   0.0   0.6   1.3   0.9   1.2  1.79  1.10  0.84  0.00  0.00   16.02   32.98    0.17    0.00    0.76
